Complexity,Loss,Equation
1,50.09052,"x4"
3,41.903538,"x2 - -7.8964853"
4,39.77609,"x2 + log(x5)"
5,39.11485,"sqrt(sqrt(x5) * x2)"
6,37.64446,"x2 + sqrt(x5 * 0.049508795)"
7,36.975292,"sqrt(sqrt(x5 * (x1 + 9.3543825)))"
8,35.646954,"sqrt(sqrt(x4) * (x1 + sqrt(x5)))"
9,34.578648,"sqrt((x2 * x4) + sqrt(x3 * x5))"
10,34.203213,"sqrt((sqrt(x5) + x1) * sqrt(x3 + x2))"
11,33.513203,"sqrt((x2 * x4) + (x1 + sqrt(x3 * x5)))"
12,33.508156,"sqrt((x2 * x4) + (abs(x1) + sqrt(x3 * x5)))"
13,33.47784,"sqrt((sqrt(x5 * x3) + (x2 * x4)) - (x1 * -1.2319044))"
14,33.468266,"sqrt(x1 + ((x2 * x4) + sqrt(abs(x5 * (x3 - 0.48237583)))))"
15,33.19173,"(x1 * 0.07739563) + sqrt(sqrt(x3 * x5) - (x4 * (x2 * -0.70749414)))"
16,32.980072,"sqrt(sqrt(x3 * x5) + abs((x1 * 1.9806571) - (x0 - (x2 * x4))))"
17,32.89079,"sqrt(sqrt(x3 * x5) + (abs(x1 - (x0 - (x4 * x2))) + abs(x1)))"
18,32.86275,"sqrt(sqrt(x5 * x3) + (x1 + abs(((x0 * 1.1738883) - (x2 * x4)) - x1)))"
19,32.854443,"sqrt(sqrt(x5 * x3) + (abs(x1) + abs(((x0 * 1.1738883) - (x2 * x4)) - x1)))"
20,32.695038,"sqrt(x1 + sqrt(x5)) + abs((sqrt(sqrt((x2 * x4) * x3)) * 1.8228288) + (x0 * -0.12149218))"
21,32.662453,"(sqrt(sqrt((x4 * (x3 * x2)) + x0)) * 1.8271981) + ((x0 * -0.12706569) + sqrt(sqrt(x5) + x1))"
22,32.530212,"(sqrt(sqrt((x2 * (x4 * x3)) + x0)) * 1.8721416) + abs(sqrt(x1 + sqrt(x5)) + (x0 * -0.14082457))"
23,32.52921,"(sqrt(sqrt((x4 * (x3 * x2)) + x0)) * 1.8809571) + abs((x0 * -0.14346866) + sqrt(abs(x1) + sqrt(x5)))"
24,32.489098,"abs((x0 * -0.15142806) + sqrt(x1 + sqrt(x5))) + sqrt(sqrt((x0 * 2.042681) + ((x3 * x4) * x2)) * 3.5499938)"
25,32.485165,"abs(sqrt(sqrt(x5) + abs(x1)) + (x0 * -0.15201597)) + (sqrt(sqrt((x0 * 2.0640452) + ((x2 * x4) * x3))) * 1.8854737)"
