Complexity,Loss,Equation
1,50.863564,"13.316424"
3,46.01665,"x2 + 7.930666"
4,45.410534,"x2 + log(x5)"
5,44.979652,"sqrt(sqrt(x5) * 5.421628)"
6,43.53875,"sqrt(x3 * x2) + 7.2308397"
7,42.644985,"sqrt(x3 * x2) + log(x5)"
8,42.50201,"((x4 + x3) / 3.2963119) + log(x5)"
9,42.26343,"sqrt((x3 * x2) - -4.884527) + log(x5)"
10,41.85241,"sqrt((x3 + x2) * sqrt(x4)) + log(x5)"
11,41.763676,"log(x5) + sqrt(sqrt(x4 * (x3 * abs(x1))))"
12,41.525574,"sqrt(abs(x1) + ((x3 * x2) / 1.5905386)) + log(x5)"
13,41.40006,"sqrt(sqrt(x3 * ((x2 + abs(x1)) * x4))) + log(x5)"
14,41.228756,"sqrt(abs((x0 - ((x3 + x4) / 0.47176054)) - x1)) + log(x5)"
15,41.217846,"sqrt(abs((x0 - ((x3 + x4) / 0.47176054)) - abs(x1))) + log(x5)"
16,41.098854,"sqrt(abs(x1 + (19.113646 - x0)) + ((x2 * x3) / 1.672209)) + log(x5)"
17,41.037422,"((((((x0 - x3) - x4) / 0.51401937) - x1) * -0.07082363) - (x5 * -0.0009784228)) + 10.298308"
18,40.837845,"sqrt(abs(x1 - (x0 - ((x4 / 0.57302886) + ((x2 * x3) / 1.9395565))))) + log(x5)"
19,40.827816,"(((((((x0 - x3) - x4) - x2) / 0.46499604) - x1) * -0.062906176) - (x5 * -0.00091705244)) + 9.814691"
20,40.736244,"(((((((x0 - x3) - x4) - x2) / 0.46205902) - x1) * -0.060967863) - (sqrt(x5) * -0.07329841)) + 8.63509"
21,40.6594,"abs(((((((x0 - x3) - x4) - x2) / 0.48832926) - x1) * -0.065026835) - (sqrt(x5) * -0.08185032)) + 8.164412"
22,40.657284,"abs((-0.065026835 * (((((x0 - x3) - x4) - x2) / 0.48832926) - abs(x1))) - (sqrt(x5) * -0.08185032)) + 8.164412"
23,40.65258,"abs(((((((x0 - x3) - x4) - x2) / 0.4718954) - x1) * -0.06380095) - (sqrt(x5 + x0) * -0.081590995)) + 8.157867"
24,40.639126,"(((((x2 * -2.0156412) - x4) / 0.4315718) - x1) * -0.05537257) + ((((x0 - (x3 * 2.102151)) - sqrt(x5)) * -0.07876701) + 6.66432)"
25,40.575474,"abs(((x0 - x3) * -0.13030155) + ((((((x2 * -1.9711201) - x4) / 0.43601158) - x1) * -0.057777897) - (sqrt(x5) * -0.07213614))) + 7.9391356"
