Complexity,Loss,Equation
1,50.86356,"13.316406"
3,46.01665,"x2 + 7.930667"
4,45.410534,"log(x5) + x2"
5,44.979652,"sqrt(sqrt(x5) / 0.1844469)"
6,43.53875,"sqrt(x3 * x2) + 7.2310476"
7,42.644985,"sqrt(x2 * x3) + log(x5)"
8,42.50201,"log(x5) + ((x4 + x3) * 0.30337158)"
9,41.9457,"sqrt(log(x5) * (x4 + (x3 + x2)))"
10,41.826965,"log(x5) + (((x3 + x2) + x4) * 0.2453083)"
11,41.688114,"sqrt(sqrt(x5)) + sqrt((x2 * x3) + abs(x1))"
12,41.43186,"log(x5) + sqrt(abs(x1) + ((x4 * 0.25561833) * x3))"
14,41.21457,"log(x5) + sqrt((((x3 * 0.040579055) * x2) * x4) + abs(x1))"
16,41.062466,"(log(log((((x3 * x4) * x2) / x0) + 5.39811)) * log(x5)) - -4.994865"
17,40.99918,"(x5 * 0.0009841186) + (log(log((((x4 * x2) / x0) * x3) + 9.889557)) * 9.471318)"
18,40.835716,"(log(x5) - -3.0587187) * log(log(((x3 / x0) * (x1 + (x4 * x2))) + 11.893489))"
20,40.678574,"(log(x5 + 206.97343) - -2.0243704) * log(log((x2 * ((x3 * (x4 + x1)) / x0)) + 13.822165))"
22,40.601185,"(log((x4 * x4) + x5) - -1.9838728) * log(log((x2 * ((x3 * (x4 + x1)) / x0)) + 15.94434))"
24,40.557617,"(log(x5 + (x4 * x4)) - -2.3305585) * log(log((x2 * ((x3 * (x4 + x1)) / (x0 + 4.7067375))) + 14.063544))"
26,40.49553,"(log(log(((x2 * x3) * ((x1 + x4) / (x0 + x2))) + 23.195902)) * (log((x4 * 24.499332) + x5) - -5.6124535)) + -5.3230124"
28,40.456387,"((log((x4 * 32.482536) + x5) - -6.4543595) * log(log(((x1 + x4) * (((x2 - -0.88664955) * x3) / (x0 + x2))) + 26.737322))) + -7.1542635"
30,40.44576,"(log(log((((x3 * (x2 - -0.7946351)) * (x4 + x1)) / (x0 + x2)) + 26.98506)) * (log((x4 * (x4 + 16.23061)) + x5) - -6.2628365)) + -6.8241997"
32,40.415546,"((log((x5 + ((x4 * 1.8068352) * x4)) + 129.84293) - -6.6254473) * log(log(((x3 * ((x4 + x1) * (x2 - -1.0272614))) / (x2 + x0)) + 28.32706))) + -7.595847"
33,40.40679,"((log(x5 + (((x4 * x4) * sqrt(x2)) + 133.60529)) - -6.101757) * log(log((((x4 + x1) * (x3 * (x2 - -1.4222131))) / (x0 + x2)) + 28.153887))) + -7.0072665"
35,40.397923,"(log(log(((x3 / (x0 + x2)) * ((x4 + x1) * (x2 - -1.1552321))) + 24.622206)) * (log(((x4 * sqrt(x2)) * (x4 + -5.62794)) + (x5 + 139.4594)) - -5.5033317)) + -5.714679"
37,40.397007,"((log(((sqrt(x2 - -0.5665932) * ((x4 + -5.5941286) * x4)) + 139.4574) + x5) - -5.4188013) * log(log(((x3 / (x0 + x2)) * ((x1 + x4) * (x2 - -1.0923955))) + 24.650976))) + -5.5941286"
39,40.38857,"log(log(abs(((((x4 + x1) - sqrt(x0)) / ((x0 + 5.3813486) / (x3 + -0.31204146))) * (x2 - (sqrt(x5) * -0.03702422))) + 14.463256))) * log(((x5 + 88.86648) * 8.204265) + ((x4 * x4) * x4))"
41,40.38536,"log(log((((x4 + x1) * (x2 - -0.75357854)) / ((x0 + 4.65918) / (x3 + -0.24691814))) + 13.144839)) * log(abs(((x5 + ((x0 * x0) / (x4 + (x1 + -3.1056645)))) * 7.897923) + ((x4 * x4) * x4)))"
42,40.384342,"log(abs(((((x0 * x0) / ((x4 + x1) + -3.1050448)) + x5) * 8.014988) + ((x4 * x4) * x4))) * log(log(((x4 + x1) * ((x2 - -0.7892805) / ((x0 + 4.7904673) / abs(x3 + -0.2907188)))) + 13.024462))"
43,40.352715,"log((x4 * (x4 * x4)) + abs((((x0 * x0) / ((x1 + x4) + -4.3730316)) + x5) * -14.211972)) * log(log((((x2 - -1.7765445) / ((x0 + 5.0882106) / ((x3 * 0.54973704) + 0.37396896))) * (x4 + x1)) + 10.802789))"
45,40.343,"log(abs((x4 * (x4 * x4)) + ((((x0 * x0) / ((x4 + x1) + -4.3705335)) + x5) * 9.873825))) * log(log(abs(((-0.95826465 - x2) / ((x0 + 5.686926) / (x3 + -0.27355015))) * (x1 + (x4 - sqrt(x0)))) + 13.52595))"
46,40.321243,"log(log(abs(((x1 + x4) - (x0 * 0.29131287)) * ((x2 - -1.093207) / ((x0 + 5.6531634) / (x3 + -0.22081873)))) + 14.348624)) * log(abs(((((x0 * x0) / (x1 + (x4 + -4.4283137))) + x5) * 9.63683) + ((x4 * x4) * x4)))"
47,40.319027,"log(log(abs(((x2 - -1.1174537) / ((x0 + 5.6449385) / (x3 + -0.18671544))) * ((x0 * 0.30386725) - (abs(x1) + x4))) + 14.361444)) * log(abs(((((x0 * x0) / ((x1 + x4) + -4.4282756)) + x5) * 9.64804) + (x4 * (x4 * x4))))"
48,40.298973,"log(log(14.169123 + abs((((x0 * 0.27833283) - (x4 + x1)) * (x2 - -1.0930411)) / ((x0 + 5.460204) / (x3 + -0.21781595))))) * log((x4 * (x4 * x4)) + abs(-9.4781685 * (((x0 * x0) / ((x4 * 0.64172876) + (x1 + -3.2041028))) + x5)))"
50,40.29413,"log(((x4 * x4) * x4) + abs((((x0 * x0) / ((x4 * 0.64172876) + (x1 + -3.2041028))) + (x5 - x0)) * 9.497523)) * log(log((abs(((x0 * 0.27833283) - (x4 + x1)) / ((x0 + 5.460204) / (x3 + -0.19602367))) * (x2 - -1.0930411)) + 14.169123))"
