Complexity,Loss,Equation
1,50.863564,"13.316429"
3,46.01665,"x2 + 7.930666"
4,45.410534,"x2 + log(x5)"
5,44.979652,"sqrt(sqrt(x5 * 29.39387))"
6,43.53875,"sqrt(x2 * x3) + 7.2308555"
7,42.644985,"log(x5) + sqrt(x2 * x3)"
8,42.50201,"log(x5) + ((x4 + x3) * 0.30337125)"
9,41.9457,"sqrt(log(x5) * ((x3 + x2) + x4))"
10,41.826965,"((x4 + (x3 + x2)) * 0.2453011) + log(x5)"
11,41.77981,"sqrt(log(x5) * ((x3 + x4) + (x1 * 0.2860737)))"
12,41.705933,"log(x5) + (((x3 + x4) + (x2 * 1.9449474)) * 0.20635761)"
13,41.41376,"sqrt(((x3 + (x2 + (x4 * 0.7834191))) * log(x5)) + x1)"
14,41.41009,"sqrt((log(x5) * (x3 + (x2 + (x4 * 0.7829151)))) + abs(x1))"
15,41.306126,"log(abs((x5 * (x1 / x0)) * ((x3 * x4) * x3)) + 4609.0073)"
16,41.24036,"((((x4 + x2) + x3) * (log(x5) * 0.03206013)) - -9.594981) - (x0 * 0.1161713)"
17,40.88074,"log((abs(x1 / (x0 - x2)) * (x5 * (x3 * (x2 * x4)))) + 4853.8887)"
19,40.744396,"log(abs(((((x1 - 2.553112) * x3) * x3) / (x2 - x0)) * (x4 * x5)) + 4259.735)"
20,40.731834,"log(((x4 * x3) * abs((6175.1074 - (abs(x5 * x1) * x3)) / (x0 - x2))) + 3765.2263)"
21,40.6458,"log(abs((((x4 / (x2 - x0)) + 0.15566985) * (5915.283 - (x3 * (x1 * x5)))) * x3) + 4838.8794)"
22,40.63372,"log(abs(((x4 / (x2 - x0)) + 0.15566985) * ((5915.283 - abs(x3 * (x1 * x5))) * x3)) + 4838.8794)"
23,40.619804,"log(4838.8794 + (x3 * abs(((x4 / ((1.0267845 * x2) - x0)) + 0.15566985) * ((x3 * (x1 * x5)) - 5915.283))))"
24,40.60179,"log(abs(((x4 / ((x2 * 1.0243362) - x0)) + 0.15742645) * ((5915.283 - abs(x3 * (x1 * x5))) * x3)) + 4838.8794)"
25,40.58826,"log(abs(((x2 + (-1.3041015 - (x5 * -0.0018192057))) * ((((x5 * x3) * x1) - 5677.032) / (x2 - x0))) * x4) + 3431.7983)"
26,40.58148,"log((x4 * abs(((((x5 * x3) * abs(x1)) - 5677.032) / (x2 - x0)) * ((-1.3041015 - (x5 * -0.0017581913)) + x2))) + 3431.7983)"
27,40.559746,"log((x5 + (x4 * x4)) * (abs(x3 * ((x3 + (x1 - 8.997513)) * (((x4 * x2) / (x0 - x2)) + -0.4980961))) + 13.332124))"
28,40.543007,"log((x5 + (x4 * x4)) * (abs((x3 * ((x3 + abs(x1)) - 8.997513)) * ((x4 * (x2 / (x0 - x2))) + -0.4980961)) + 13.332124))"
29,40.530685,"log((abs((((x2 * x4) / (x0 - (0.20799418 + x2))) + -0.50288224) * (x3 * (x1 + (x3 - 8.998996)))) + 13.331932) * (x5 + (x4 * x4)))"
30,40.51396,"log((abs((((x2 * x4) / (x0 - (x2 + 0.20799418))) + -0.50288224) * (x3 * ((abs(x1) + x3) - 8.998996))) + 13.331932) * (x5 + (x4 * x4)))"
31,40.503155,"log((abs((x1 * -3.1031885) + (((x2 * (x3 * x4)) / ((x0 - x2) + -0.20728615)) * ((x3 + x1) - 8.047936))) + 7.6398997) * ((x4 * x4) + x5))"
32,40.48732,"log((x5 + (x4 * x4)) * (abs((x1 * -3.0858617) + (((x3 * (x4 * x2)) / ((x0 - x2) + -0.069593415)) * abs(x1 + (x3 - 8.006613)))) + 8.339786))"
33,40.48143,"log((abs((x1 * -3.0858617) + (abs((x3 - 8.006613) + abs(x1)) * (((x3 * x4) * x2) / ((x0 - x2) + -0.069593415)))) + 8.339786) * ((x4 * x4) + x5))"
35,40.47312,"log((abs((((x4 * (x2 * x3)) / ((x0 + -0.066702895) - x2)) * abs((x3 + x1) - 7.99685)) + (x1 * -3.079423)) + 9.841938) * abs((x4 * (x4 - x3)) + x5))"
37,40.459026,"log((abs((((x4 * (x2 * x3)) / ((x0 + -0.066702895) - x2)) * abs(x3 + (x1 - 7.99685))) + (x1 * -3.079423)) + 9.841938) * abs(((x4 + -0.801316) * (x4 - x3)) + x5))"
39,40.4488,"log(abs(((x4 + -0.8013168) * (x4 - x3)) + x5) * (abs((abs((x3 + x1) - 7.9968505) * (((x3 * x2) * (x4 / 0.87849826)) / ((x0 + -0.06670068) - x2))) + (x1 * -3.0794232)) + 9.841938))"
41,40.44555,"log((9.841938 + abs(((((x4 / 0.9277746) * (x3 * x2)) / (-0.066702895 + (x0 - x2))) * abs(7.99685 - (x3 + x1))) + (x1 * -3.079423))) * abs((0.74379236 + (x4 * (x4 - x3))) + (x0 + x5)))"
42,40.442425,"log((abs((abs(x3 + (x1 - 7.9928436)) * ((x4 * (x3 * x2)) / ((x0 - x2) + -0.33835945))) + (-3.0747232 * x1)) + 9.842) * abs(((x4 + -0.8047253) * (x4 - x3)) + (abs(x1 - x0) + x5)))"
43,40.43807,"log(abs(x0 + (x5 + (x4 * ((x4 - x3) + ((x5 * 0.17726947) / x0))))) * (abs(((((x4 * x2) * x3) / ((x0 - x2) + -0.20652293)) + (x1 * -0.10929094)) * (x3 + (abs(x1) - 9.000053))) + 13.294587))"
44,40.43613,"log((abs((abs(x3 + (x1 - 7.9928436)) * (((x4 / 0.93744856) * (x2 * x3)) / ((x0 - x2) + -0.07917956))) + (x1 * -3.0747232)) + 9.842) * abs((((x4 + -0.8047253) * (x4 - x3)) + abs(x1 - x0)) + x5))"
45,40.420826,"log((abs((((x2 * (x3 * x4)) / ((x0 - x2) + -0.20995407)) + (x1 * -0.10636659)) * (x3 + (abs(x1) - 8.977666))) + 13.297141) * abs((x0 + x5) + ((x4 * (x4 - x3)) + (x5 / (x0 + (x4 * -0.1332556))))))"
47,40.413612,"log((abs((((x2 * (x3 * x4)) / ((x0 - x2) + -0.20995407)) + (x1 * -0.10636659)) * (x3 + (abs(x1) - 8.977666))) + 13.297141) * abs((x0 + x5) + ((x4 * (x4 - x3)) + ((x5 + -0.55596226) / (x0 + (x4 * -0.1332556))))))"
49,40.406517,"log((abs(((((x2 * x3) * x4) / ((x0 - x2) + -0.20950127)) + (x1 * -0.107386485)) * ((x3 + abs(x1)) - 8.979012)) + 13.29699) * abs((x5 / (x0 + (((x0 - x2) + x3) * -0.13399044))) + (x0 + (x5 + (x4 * (x4 - x3))))))"
