Complexity,Loss,Equation
1,50.86356,"13.316406"
3,46.01666,"x2 + 7.929474"
4,45.410534,"log(x5) + x2"
5,44.979652,"sqrt(sqrt(x5)) * 2.3284366"
6,43.53875,"sqrt(x3 * x2) - -7.2308517"
7,42.936268,"sqrt(sqrt(x5) + x1) * 1.8536142"
8,42.57103,"sqrt(sqrt(x5 * x3)) + sqrt(x4)"
9,42.054085,"sqrt((x4 * 6.641675) + sqrt(x3 * x5))"
10,41.834637,"sqrt(sqrt((x5 * x3) - -987.7684)) + sqrt(x4)"
11,41.445953,"sqrt((sqrt(x3 * x5) + (x4 * 5.2467933)) + x1)"
12,41.220703,"sqrt((x3 * x2) + (x1 + sqrt(x5))) + sqrt(x4)"
13,41.124035,"sqrt(sqrt(x3 * x5) + (((x2 + x4) * 3.8642583) + x1))"
14,41.121964,"sqrt((abs(x1) + ((x4 + x2) * 3.860556)) + sqrt(x3 * x5))"
15,40.944717,"sqrt((x1 + ((x2 * x4) * 0.59039533)) + (sqrt(x5 * x3) + 27.32653))"
16,40.943523,"sqrt((abs(x1) + 27.18084) + (sqrt(x3 * x5) + ((x4 * 0.5915542) * x2)))"
17,40.92703,"sqrt((x1 + 30.153309) + ((x4 * (x2 * 0.6356736)) + sqrt((x5 * x3) * 0.8497427)))"
18,40.912712,"((abs(sqrt(x4) - (x0 * 0.090815805)) + sqrt(x1 + sqrt(x5))) + sqrt(x3)) + 1.5920374"
19,40.739964,"(sqrt((x2 * 4.5608163) + (sqrt(x5) + x1)) - ((x0 * 0.08394334) - sqrt(x4))) + sqrt(x3)"
20,40.665276,"(abs(sqrt(x4) - (x0 * 0.0881395)) + (sqrt(x3) + sqrt(x1 + sqrt(x5)))) - (x2 * -0.2774242)"
21,40.651245,"((abs((x0 * 0.08770792) - sqrt(x4)) + sqrt(x3)) + sqrt(sqrt(x5) + abs(x1))) - (x2 * -0.2754192)"
22,40.53137,"abs((x2 * 0.3066134) + (sqrt(x3) - ((x0 * 0.16341159) - sqrt(x4)))) + sqrt(x0 + (sqrt(x5) + x1))"
23,40.528614,"sqrt(sqrt(x5) + (x0 + abs(x1))) + abs(sqrt(x3) + ((x2 * 0.30641305) - ((x0 * 0.16342217) - sqrt(x4))))"
24,40.501205,"sqrt(x0 + (sqrt(x5 * 1.4412248) + x1)) + abs(((x2 * 0.2615867) - ((x0 * 0.16920346) - sqrt(x4))) + sqrt(x3))"
25,40.499237,"sqrt(sqrt(x5 * 1.4345648) + (abs(x1) + x0)) + abs((sqrt(x3) - ((x0 * 0.16916901) - sqrt(x4))) + (x2 * 0.26213577))"
26,40.49324,"sqrt((x0 + sqrt((x0 + x5) * 1.4525162)) + x1) + abs(((0.17078376 * x0) - sqrt(x4)) - ((x2 * 0.26102415) + sqrt(x3)))"
27,40.481922,"sqrt((x1 + x0) + (sqrt(x5) * 1.3579115)) + abs(((x2 * 0.2798208) + abs(0.6999337 - sqrt(x3))) - ((x0 * 0.1540136) - sqrt(x4)))"
28,40.48098,"abs((x2 * 0.27491206) + (abs(0.51891315 - sqrt(x3)) - ((x0 * 0.15784653) - sqrt(x4)))) + sqrt(((sqrt(x5) * 1.3148506) + x0) + abs(x1))"
29,40.46068,"sqrt((sqrt(x5) * 1.2450812) + (x1 + x0)) + (abs(abs(((x2 * 0.28087065) - ((x0 * 0.15367374) - sqrt(x4))) + sqrt(x3)) - 1.0682528) - -0.5692164)"
30,40.459595,"(sqrt((sqrt(x5) * 1.2450812) + (abs(x1) + x0)) + abs(abs(((x2 * 0.28087065) - ((x0 * 0.15367374) - sqrt(x4))) + sqrt(x3)) - 1.0682528)) - -0.5692164"
31,40.447598,"abs(0.9882213 - abs(sqrt(x3 - -0.7775888) + ((x2 * 0.27963805) - ((x0 * 0.16021189) - sqrt(x4))))) + (sqrt((x0 + x1) + (sqrt(x5) * 1.2256885)) + 0.5140233)"
33,40.44217,"abs(abs(((x2 * 0.28051665) - ((x0 * 0.1602818) - sqrt(x4))) + sqrt(x3 - -0.7571655)) - 1.0156703) + (0.39074185 + sqrt((x0 + sqrt((x5 + x0) * 1.6682374)) + x1))"
34,40.44146,"(abs(abs(((x2 * 0.28051665) - ((x0 * 0.1602818) - sqrt(x4))) + sqrt(x3 - -0.7571655)) - 1.0156703) + 0.39074185) + sqrt((x0 + sqrt((x5 + x0) * 1.6682374)) + abs(x1))"
35,40.43125,"((sqrt(x1 + sqrt(x5)) + 1.1487513) + sqrt(x3)) + abs(1.1024671 - abs(((x2 * -0.27279365) - (x0 * -0.104655206)) - (sqrt(x4 + 1.4056501) - ((x4 / -0.20023276) / (x1 + x5)))))"
36,40.426422,"((sqrt(abs(x1) + sqrt(x5)) + 1.1487513) + sqrt(x3)) + abs(1.1024671 - abs(((x2 * -0.27279365) - (x0 * -0.104655206)) - (sqrt(x4 + 1.4056501) - ((x4 / -0.20023276) / (x1 + x5)))))"
37,40.422176,"(sqrt(x1 + sqrt(x0 + x5)) + (sqrt(x3) + 1.0933037)) + abs(abs(((x2 * -0.27622825) - (x0 * -0.110082686)) - (sqrt(x4 + 2.1151097) - ((x4 / -0.21505308) / (x1 + x5)))) - 1.0775796)"
