Complexity,Loss,Equation
1,50.863564,"13.316424"
3,46.01666,"x2 + 7.928184"
4,45.410534,"x2 + log(x5)"
5,44.979652,"sqrt(sqrt(x5)) * 2.3284397"
6,43.53875,"sqrt(x2 * x3) + 7.230853"
7,42.644985,"sqrt(x2 * x3) + log(x5)"
8,42.57103,"sqrt(sqrt(x3 * x5)) + sqrt(x4)"
9,42.054085,"sqrt(sqrt(x5 * x3) + (x4 * 6.641675))"
10,41.834637,"sqrt(x4) + sqrt(sqrt((x3 * x5) + 989.5417))"
11,41.4444,"sqrt((x4 * x2) + sqrt((x3 * x5) - -2353.517))"
12,41.42548,"sqrt((x1 * sqrt(x2)) + (sqrt(x3 * x5) + 43.42469))"
13,41.17672,"sqrt(((x4 * sqrt(abs(x1))) + 31.976797) + sqrt(x3 * x5))"
14,40.9704,"sqrt(sqrt((x5 * x3) + 2003.1257) + (sqrt(x2) * (x4 + x1)))"
15,40.944717,"sqrt(((sqrt(x5 * x3) + x1) + ((x4 * 0.5896923) * x2)) + 27.359848)"
16,40.943527,"sqrt(sqrt(x3 * x5) + ((((x2 * 0.591386) * x4) + 27.178165) + abs(x1)))"
17,40.93276,"sqrt(((x4 * (x2 * 0.5930917)) + 25.746674) + (sqrt(x3 * (x5 + 27.482533)) + x1))"
18,40.86291,"sqrt(x4 + ((x3 * x2) / ((x3 + x0) / 15.329662))) + sqrt(x1 + sqrt(x5))"
19,40.84481,"sqrt(sqrt(x5) + abs(x1)) + sqrt(x4 + ((x2 * x3) / ((x3 + x0) / 15.311794)))"
20,40.743797,"sqrt(((abs(x0 + (-15.072109 - (x2 * (x4 * 0.5904549)))) + 30.502441) + x1) + sqrt(x3 * x5))"
21,40.74379,"sqrt(x1 + abs((abs(((x2 * x4) * 0.589118) - (x0 + -15.116507)) + sqrt(x3 * x5)) + 30.489063))"
22,40.723557,"(sqrt(x1 + (x4 + sqrt(x5))) + sqrt((x2 + 3.2014358) * (x3 / ((x0 + x3) / 5.609892)))) * 1.138067"
23,40.689503,"sqrt((sqrt(x4) + x2) * ((x3 / ((x0 + x2) / 5.9628615)) + 1.1441166)) + sqrt(x4 + (x1 + sqrt(x5)))"
24,40.65722,"sqrt(((sqrt(x4) + x2) * (x3 + 5.5344696)) / sqrt((x2 / x0) + x0)) + sqrt(x1 + (sqrt(x5) + x4))"
25,40.653664,"sqrt((x4 + sqrt(x5)) + abs(x1)) + sqrt(((sqrt(x4) + x2) * (x3 + 5.518347)) / sqrt((x2 / x0) + x0))"
26,40.624477,"sqrt((x1 + sqrt(x5)) + x4) + sqrt((x3 + 5.9521203) * ((sqrt(x4) + x2) / sqrt((x2 / (x0 * 0.44156623)) + x0)))"
27,40.594498,"sqrt((x4 + x1) + sqrt(x5)) + sqrt(((x3 + 5.378305) * (sqrt(x4) + x2)) / sqrt(abs((x1 / x0) + (x0 + -2.255142))))"
28,40.593018,"sqrt((sqrt(x4) + x2) * ((x3 + 5.3544583) / sqrt(abs((x1 / x0) + (x0 + -2.255767))))) + sqrt((sqrt(x5) + abs(x1)) + x4)"
29,40.567005,"sqrt(((x1 + x4) + sqrt(x5)) * 1.1617076) + sqrt(((x3 + 2.6252337) / sqrt(abs((x0 + -2.2488685) + (x1 / x0)))) * (sqrt(x4) + x2))"
30,40.56298,"sqrt(((x3 + 2.6252337) / sqrt(abs((x0 + -2.2488685) + (x1 / x0)))) * (x2 + sqrt(x4))) + sqrt((abs(x1) + (sqrt(x5) + x4)) * 1.1617076)"
31,40.55664,"sqrt((sqrt(x0 + x5) + (x1 + x4)) * 1.1611675) + sqrt(((sqrt(x4) + x2) * (x3 + 2.6251898)) / sqrt(abs((x0 + (x1 / x0)) + -2.248439)))"
32,40.54943,"(sqrt(sqrt(x5 / x0) + x2) * (sqrt(sqrt(x5 + (x3 * 516.99426))) / sqrt(sqrt((x0 / 0.047374394) + (x5 / x0))))) + sqrt((x1 + 13.631125) + x4)"
33,40.54649,"(sqrt(sqrt(x5 / x0) + x2) * (sqrt(sqrt((x3 * 516.99426) + x5)) / sqrt(sqrt((x0 / 0.047374394) + (x5 / x0))))) + sqrt(x4 + (13.631125 + abs(x1)))"
34,40.53086,"(sqrt(sqrt(x5 / x0) + x2) * (sqrt(x3 + sqrt(x5 + (x3 * 325.18655))) / sqrt(sqrt((x0 / 0.057408802) + (x5 / x0))))) + sqrt(x4 + (12.159292 + x1))"
35,40.5268,"(sqrt(sqrt(x5 / x0) + x2) * (sqrt(x3 + sqrt(x5 + (x3 * 325.18655))) / sqrt(sqrt((x0 / 0.057408802) + (x5 / x0))))) + sqrt(x4 + (12.159292 + abs(x1)))"
36,40.50292,"((sqrt(x4 + sqrt((x3 * 519.2107) + x5)) / sqrt(sqrt((x5 / x0) + (x0 / 0.05980132)))) * sqrt(x2 + sqrt(x5 / x0))) + sqrt((x1 + (x4 + 14.493131)) / 1.3845323)"
37,40.501476,"(sqrt(x3 + sqrt(x5 + (x3 * 443.9826))) * (sqrt(sqrt(x5 / x0) + x2) / sqrt(sqrt((x0 / 0.0654993) + (x5 / x0))))) + sqrt((10.699304 + x4) + (abs(x1) / 1.3663508))"
38,40.484966,"(sqrt(x1 + (x4 + 9.962362)) + (x0 / (x5 + x1))) + (sqrt(x2 + sqrt(x5 / x0)) * (sqrt(sqrt((x3 * 519.22766) + x5)) / sqrt(sqrt((x5 / x0) + (x0 / 0.056923132)))))"
40,40.4655,"sqrt((x1 + (13.43366 + x4)) / 1.4240528) + ((x0 / x5) + ((sqrt(x2 + sqrt(x5 / x0)) * sqrt(x4 + sqrt((x3 * 519.2065) + x5))) / sqrt(sqrt((x0 / 0.06465365) + (x5 / x0)))))"
41,40.464214,"((sqrt(sqrt(x5 / x0) + x2) * (sqrt(sqrt((x3 * 519.2065) + x5) + x4) / sqrt(sqrt((x0 / 0.06465365) + (x5 / x0))))) + sqrt(((abs(x1) + 13.43366) + x4) / 1.4240528)) + (x0 / x5)"
42,40.43461,"((sqrt(x4 + sqrt((x3 * 524.92883) + x5)) * (sqrt(x2 + sqrt(x5 / x0)) / sqrt(sqrt((x0 / 0.06472702) + (x5 / x0))))) + (x0 / (x1 + x5))) + sqrt((x1 + (x4 + 13.69766)) / 1.4311608)"
43,40.43419,"((x0 / (x1 + x5)) + ((sqrt(sqrt(x5 / x0) + x2) * sqrt(x4 + sqrt((x3 * 519.2065) + x5))) / sqrt(sqrt((x0 / 0.0654376) + (x5 / x0))))) + sqrt((abs(x1) + (x4 + 13.433661)) / 1.4239603)"
44,40.423218,"sqrt(((x1 + x4) + 13.300339) / 1.5696788) + ((x0 / ((x1 + x5) * 0.6051835)) + ((sqrt(x2 + sqrt(x5 / x0)) * sqrt(sqrt((x3 * 653.3442) + x5) + x4)) / sqrt(sqrt((x5 / x0) + (x0 / 0.06339656)))))"
46,40.414192,"((sqrt(x2 + sqrt(x5 / x0)) * (sqrt(sqrt((x3 * 519.20667) + x5) + x4) / sqrt(sqrt((x5 / x0) + (x0 / 0.0658676))))) + sqrt((x1 + (x4 + 13.4309025)) / 1.426254)) + ((x0 - x1) / ((x5 + x1) * 0.591043))"
48,40.41353,"((x0 - x1) / ((x5 + x1) * 0.591043)) + ((sqrt(x2 + sqrt((1.0207814 * x5) / x0)) * (sqrt(sqrt(x5 + (x3 * 519.20667)) + x4) / sqrt(sqrt((x5 / x0) + (x0 / 0.0658676))))) + sqrt(((x4 + x1) + 13.4309025) / 1.426254))"
50,40.411453,"(((sqrt(x2 + sqrt(x5 / x0)) * sqrt(x4 + sqrt((x3 * 524.92883) + x5))) / sqrt(sqrt((x0 / 0.06472702) + (x5 / x0)))) + ((((x4 - x1) + x4) + (x0 - x1)) / (x1 + x5))) + sqrt((x1 + (x4 + 13.69766)) / 1.4311608)"
