Complexity,Loss,Equation
1,267220.06,"470.99423"
3,56428.062,"x1 / 0.20368062"
4,51031.105,"sqrt(x1 * 5985.3843)"
5,19404.467,"(x2 + x1) / 0.28266352"
6,17387.396,"(x1 + sqrt(x3)) / 0.26178223"
7,10905.764,"(0.03910024 * x3) - (x1 * -4.0916758)"
9,10878.775,"((x3 * 0.039903864) - (x1 * -4.1079416)) - 8.091549"
10,10482.997,"((x1 * (-99.56257 - sqrt(x2))) - x3) * -0.038210504"
11,10163.386,"((x3 * 0.008043037) + x1) / ((x2 * -0.00021827852) + 0.2549582)"
13,10117.603,"(((x3 * 0.007965232) + x1) + 2.1794684) / ((x2 * -0.00021758677) + 0.25640768)"
15,10050.917,"sqrt(x2 * x1) + ((x3 * 0.035397705) + abs(x0 - (x1 / 0.26468554)))"
17,9888.64,"(x3 * 0.031425774) + ((x1 / 0.2663842) + sqrt(abs(x2 * ((x2 + -97.0) - x1))))"
18,9546.596,"(sqrt(x2 * abs(x1 - abs(x2 + -97.00032))) + (x1 / 0.26314843)) + (x3 * 0.03175495)"
19,9401.333,"((sqrt(abs(x2 * ((x2 + -99.0) - x1))) + -35.250298) + (x3 * 0.03486586)) + (x1 / 0.26155126)"
20,9361.449,"(x1 / 0.26009765) + (((x3 * 0.033874035) + -21.669634) + sqrt(x2 * abs(x1 - abs(x2 + -99.999695))))"
21,8977.437,"(x1 / 0.28006402) + ((sqrt(abs(((x2 + -100.00037) - x1) * (x2 / 0.2782343))) + -60.38308) + (x3 * 0.030363714))"
22,8950.814,"abs((sqrt(abs((((x2 - x1) + -100.00002) / 0.2721946) * x2)) + ((x1 / 0.28038472) + -62.44804)) + (x3 * 0.030415205))"
23,8541.003,"(x3 * 0.031899266) + (((-57.67722 - x0) + sqrt(abs((x2 + (-101.03586 - x1)) * (x2 / 0.21542153)))) + (x1 / 0.2857964))"
24,8518.414,"abs(((x3 * 0.031949192) + ((-58.680008 - x0) + (x1 / 0.28584608))) + sqrt(abs(x2 * ((x2 + (-101.03571 - x1)) / 0.21413168))))"
25,8083.254,"((x3 * 0.031823732) + ((x1 / 0.27008042) + sqrt(abs((x2 + (-111.127365 - x1)) * ((x1 + -226.43106) - (x2 / 0.15436037)))))) + -169.79971"
26,8082.909,"abs((sqrt(abs(((x1 - (x2 / 0.15436037)) + -226.43106) * (x2 + (-111.127365 - x1)))) + ((x3 * 0.031823732) + -169.79971)) + (x1 / 0.27008042))"
27,7645.766,"(-151.38612 - x0) + (((0.032972172 * x3) + (x1 / 0.27280295)) + sqrt(abs((-111.20787 + (x2 - x1)) * ((x2 / 0.13446382) - (-185.19849 + x1)))))"
28,7645.1685,"abs(((sqrt(abs(((x2 / 0.13446382) - (x1 + -185.19849)) * ((x2 - x1) + -111.20787))) + (x1 / 0.27280295)) + (x3 * 0.032972172)) + (-151.38612 - x0))"
29,7450.1763,"(x1 / 0.27767015) + (((x3 * 0.03342206) + sqrt(abs((x2 + (-109.789314 - x1)) * (x1 + ((-12.177241 - x2) / 0.109261855))))) + ((x0 * -2.2803204) + -120.515434))"
30,7438.824,"abs((sqrt(abs((x2 + (-109.789314 - x1)) * (((-12.177241 - x2) / 0.109261855) + x1))) + (x3 * 0.03342206)) + ((x1 / 0.27767015) + ((-2.2803204 * x0) + -120.737816)))"
32,7368.7085,"((x3 * 0.034709323) + (((x1 / 0.28036055) + (x0 * -2.3705556)) + -113.00878)) + sqrt(abs(x3 - abs((x1 + ((-9.906872 - x2) / 0.10500328)) * ((x2 + -110.41557) - x1))))"
34,7307.6504,"(x3 * 0.03466175) + (((x0 * -1.9002328) + (-118.89762 + (x1 / 0.2812405))) + sqrt(abs((x1 + ((-10.381775 - x2) / 0.10585463)) * (abs((-110.81076 - x1) + x2) - (x0 * 0.299499)))))"
35,7297.683,"abs(((x3 * 0.034662146) + (((x0 * -1.9002328) + (x1 / 0.2812406)) + -118.89762)) + sqrt(abs((((-10.381775 - x2) / 0.10585479) + x1) * (abs((-110.81076 - x1) + x2) - (x0 * 0.29949898)))))"
37,7268.51,"(-115.77297 + (x0 * -1.9002281)) + ((abs((x1 + -2.1995585) / 0.28087947) + (x3 * 0.03512818)) + sqrt(abs((abs(x2 + (-110.81076 - x1)) - (x0 * 0.2994836)) * (x1 + ((-10.381776 - x2) / 0.10570724)))))"
38,7258.466,"abs(sqrt(abs((abs(x2 + (-110.81076 - x1)) - (x0 * 0.2994836)) * (((-10.381776 - x2) / 0.10570724) + x1))) + ((x3 * 0.03512818) + (abs((x1 + -2.7508502) / 0.28087947) + ((x0 * -1.9002281) + -115.77297))))"
