Complexity,Loss,Equation
1,267220.06,"470.9724"
3,56428.062,"x1 * 4.909752"
4,51031.105,"sqrt(x1) * 77.36741"
5,19404.467,"(x2 + x1) * 3.5377884"
6,17387.396,"(sqrt(x3) + x1) / 0.26178223"
7,10905.763,"(x3 * 0.03910633) + (x1 * 4.0916743)"
9,10878.774,"((x3 * 0.039904803) + (x1 * 4.1079354)) - 8.094377"
10,10857.45,"(abs(2.1729019 - x1) * 4.1188254) + (x3 * 0.039551333)"
11,10161.287,"((x3 * 35.759254) + (x1 * 4439.269)) / (1135.798 - x2)"
13,9586.396,"abs(abs((x1 * 4.283781) + -1954.1206) + -1939.693) + (x3 * 0.03871783)"
15,9414.312,"abs(abs((x1 * 4.3138504) + -1955.1713) + (x0 + -1960.3884)) + (x3 * 0.039127357)"
16,9390.716,"abs(abs(((x3 * 0.039708115) + abs(x0 - (x1 * 4.339791))) + -2082.108) + -2077.892)"
17,9381.855,"((x3 * 0.040050503) + abs((abs((x1 * 4.3138127) + -1954.6359) + x0) + -1964.4294)) + -10.226127"
18,9346.929,"abs(abs((abs(10.491212 - (x0 - (x1 * 4.312378))) + (x3 * 0.04015521)) + -2085.1526) + -2073.8452)"
19,9312.911,"abs(abs((x3 * 0.03985057) + (abs(abs(x0 - 14.025517) - (x1 * 4.3008747)) + -2078.3105)) + -2069.0132)"
20,9258.157,"abs(abs(((x1 * 3.4605217) + -2015.1757) + ((x3 + (sqrt(x3) * (x1 + x2))) * 0.013019914)) + -2039.542)"
21,9079.496,"abs(abs((x3 * 0.03555008) + (abs((x1 * 3.892733) - x0) + (sqrt(x1 * x2) + -2034.7892))) + -2026.9299)"
23,8719.1045,"abs(abs((abs(x0 - (x1 * 3.4131448)) + -2052.4365) + (((x1 + x2) + 106.67328) * (sqrt(x3) * 0.014416026))) + -2047.2651)"
25,8649.147,"abs(abs(((((sqrt(x3) * (x2 + x1)) + x3) * 0.013720594) + abs((x1 * 3.5437129) - (x2 * 0.42628676))) + -2039.4973) + -2064.3652)"
26,8573.081,"abs(abs(abs((x2 - sqrt(x3)) - (x1 * 3.4237864)) + (-2023.6279 + ((x3 + (sqrt(x3) * (x2 + x1))) * 0.014020238))) + -2039.7668)"
27,8457.972,"abs(abs((((x3 + ((x1 + x2) * sqrt(x3))) * 0.013674052) + -2016.7863) + abs((x1 * 3.4832714) - abs(x2 - sqrt(x3)))) + -2041.9174)"
29,8395.527,"abs(abs(abs((x1 * 3.5054085) - abs(sqrt(x3) - (x2 * 1.1398485))) + (((x3 + ((x1 + x2) * sqrt(x3))) * 0.013876114) + -2036.0598)) + -2058.6384)"
30,8245.95,"abs(abs(abs((x1 * 3.2493796) - ((x0 + x2) - sqrt(x3))) + ((((x2 + (x1 + 93.74482)) - x0) * (sqrt(x3) * 0.018113162)) + -2069.1538)) + -2061.53)"
31,8045.5176,"abs(abs(abs((x1 * 3.2409685) - abs((x0 + x2) - sqrt(x3))) + (((sqrt(x3) * 0.018287724) * (((86.11027 - x0) + x1) + x2)) + -2049.8455)) + -2051.252)"
33,8011.2456,"abs(abs(((((x2 + x1) + (104.55848 - x0)) * (sqrt(x3) * 0.017520428)) + -2060.5896) + abs(abs((x2 + x0) - sqrt(x3)) - ((x1 - -2.8542604) * 3.249104))) + -2048.0637)"
35,8007.288,"abs(abs(abs(((x1 * 3.2459326) + 9.1453085) - abs(sqrt(x3) - (x2 + x0))) + ((sqrt(x3 + x0) * (((103.41861 - x0) + (x1 + x2)) * 0.017545937)) + -2060.2197)) + -2047.9336)"
37,8004.414,"abs(abs(abs(((x1 * 3.245933) + 9.1453085) - abs(sqrt(x3) - (x2 + x0))) + ((sqrt((x3 + x0) + x0) * (((103.41861 - x0) + (x1 + x2)) * 0.017545877)) + -2060.2197)) + -2047.9336)"
38,7971.956,"abs(abs(((sqrt(x3) + (x1 + -2060.3767)) + ((sqrt(x3) * 0.017618833) * (((x1 + 39.294556) - x0) + x2))) + abs(abs((x2 + x0) - sqrt(x3)) - ((x1 * 2.2697153) + 8.5838))) + -2052.1304)"
39,7961.6855,"abs(abs(abs(((sqrt(x1) + x1) * 2.1802514) - abs((x0 + x2) - sqrt(x3))) + ((sqrt(x3) + (x1 + -2060.0725)) + ((((x1 - x0) + 37.341667) + x2) * (sqrt(x3) * 0.017624406)))) + -2051.7307)"
41,7953.309,"abs(abs((((x1 + sqrt(x3)) + -2060.444) + (((x1 + x2) + (37.41342 - x0)) * (sqrt(x3) * 0.017716682))) + abs(((sqrt(x1) + (x1 + 1.7600689)) * 2.1610992) - abs((x0 + x2) - sqrt(x3)))) + -2050.9102)"
43,7951.3696,"abs(abs((((((x1 + 37.41342) + x2) - x0) * (sqrt(x0 + x3) * 0.017677844)) + ((sqrt(x3) + x1) + -2060.444)) + abs(((sqrt(x1) + (x1 + 1.7600689)) * 2.1610987) - abs(sqrt(x3) - (x0 + x2)))) + -2050.9102)"
45,7950.193,"abs(abs(abs(abs(sqrt(x3) - (x0 + x2)) - ((sqrt(x1) + (x1 + 1.7600689)) * 2.1610987)) + (((x1 + ((37.41342 + x2) - x0)) * (sqrt(x0 + x3) * 0.017677844)) + ((sqrt(x1 + x3) + x1) + -2060.444))) + -2050.9102)"
46,7888.272,"abs(((((x1 * 2.3583412) + abs(x0 + (31.415041 - x1))) - (x0 * 3.677973)) + abs(abs((x0 - x2) + 17.113626) - (x0 * 2.8420322))) * 1.5694267) + (((x3 + (x2 * 149.94562)) - (abs((x2 - x1) + 32.11254) * 76.94335)) * 0.019333905)"
48,7709.7017,"abs((abs(abs((x0 + 20.761631) - x2) - ((x0 + 7.645648) * 2.280407)) + (((x1 * 2.154476) + abs(x0 + (30.068796 - x1))) - (x0 * 3.4461107))) * -1.666389) + ((((x2 * 150.73361) - abs(((x2 - x1) + 34.314426) * 79.99663)) + x3) * 0.019517832)"
50,7700.5073,"(((x3 + (x2 * 152.2331)) - abs(((x2 + 36.66) - x1) * 79.80284)) * 0.019440807) + abs((((abs((x0 + 28.445887) - x1) + ((x1 + 1.8860778) * 2.1271408)) - (x0 * 3.5008004)) + abs(abs(19.781939 - (x2 - x0)) - ((x0 + 7.057498) * 2.341958))) * 1.668517)"
