Complexity,Loss,Equation
1,267220.06,"470.96863"
3,56428.062,"x1 / 0.20367613"
4,51031.105,"sqrt(x1) * 77.36741"
5,19404.467,"(x1 + x2) * 3.5377147"
6,17387.396,"(sqrt(x3) + x1) / 0.26176986"
7,10905.764,"(x1 / 0.2444026) + (x3 * 0.03910951)"
9,10878.775,"((x1 * 4.1079497) - 8.094873) + (x3 * 0.03990421)"
10,10857.449,"abs((x1 + -2.1709356) * 4.1186986) + (x3 * 0.039551843)"
11,10172.639,"((x2 * 0.004095353) + 3.8812394) * ((x3 * 0.008125654) + x1)"
13,10113.567,"(((x2 * 0.0046794154) + 3.82176) * ((x3 * 0.0077273757) + x1)) - -12.930354"
15,9986.757,"(x3 * 0.035400886) + abs(abs((x1 + 33.079147) - x2) - (x1 / 0.19888553))"
16,9788.006,"(x3 * 0.035887368) + abs(abs(40.74611 - abs(x2 - x1)) - (x1 / 0.20864345))"
18,9658.1045,"abs((x1 / 0.21129408) + (15.466867 - abs(abs(x2 - x1) - 41.47265))) + (x3 * 0.035668198)"
19,9655.831,"(x3 * 0.038955577) + (abs(abs((x1 - x2) + 30.901476) - ((x1 / 0.20153256) - -21.750118)) - x0)"
20,9093.504,"abs(abs(((-146.46312 - x1) + x2) * 11.511787) - abs((-7.408631 * (x1 + 233.33295)) + (x2 * 14.713493)))"
22,8894.348,"x2 + abs(abs((x2 + (-141.6541 - x1)) * 9.481812) - abs((x2 * 11.679403) + ((x1 + 258.9386) * -5.3667893)))"
24,8007.2246,"abs(abs(((-145.19962 - x1) + x2) * 8.485783) - abs((x2 * 10.31113) + ((x1 + 288.17792) * -4.390728))) + (x3 * 0.019125966)"
25,8007.213,"(x3 * 0.019100994) + abs(abs(((x1 + 288.17792) * -4.390211) + (x2 * 10.311214)) - abs(abs((x2 + (-145.19962 - x1)) * 8.486044)))"
26,7892.4165,"(x3 * 0.018835252) + abs(abs(((x1 + 282.32016) * -4.50748) + ((x2 * 10.662052) - x0)) - abs((x2 + (-145.19011 - x1)) * 8.602037))"
27,7735.821,"abs(abs(((x1 - (x2 + -87.15384)) * 17.085407) + (x3 * 0.035290252)) - abs(abs((x2 * 18.220345) + ((x1 + 121.24039) * -13.102662)) + -68.838234))"
29,7707.162,"abs(abs(((x1 - (x2 + -87.92053)) * 17.45374) + (x3 * 0.0345354)) - abs(abs(((x1 + 120.83025) * -13.463885) + (x2 * 18.664125)) + -69.216385)) - 10.633128"
30,7702.377,"abs((abs(((x1 - (x2 + -87.14205)) * 17.0893) + (x3 * 0.03531531)) - abs(abs(((121.24645 + x1) * -13.107498) + (x2 * 18.22589)) + -69.21526)) - sqrt(x0))"
