Complexity,Loss,Equation
1,267220.06,"470.9658"
3,56428.062,"x1 * 4.909752"
4,51031.105,"sqrt(x1) * 77.36741"
5,19404.467,"(x2 + x1) * 3.5377154"
6,17387.398,"(x1 + sqrt(x3)) * 3.8199942"
7,10905.763,"(x1 * 4.0916467) + (x3 / 25.572971)"
9,10878.775,"((x1 * 4.107957) + -8.084927) - (x3 / -25.061241)"
10,10857.449,"(x3 / 25.284533) + abs((x1 * 4.118908) - 8.957413)"
11,10161.322,"((x1 * -123.99348) - x3) / ((x2 * 0.027734892) + -31.71379)"
13,10089.854,"((x3 + (x1 * 131.84319)) / ((x2 * -0.034543898) + 34.220264)) + 14.295586"
14,10089.851,"abs((((x1 * 131.84319) + x3) / ((x2 * -0.034481313) + 34.220264)) + 14.295586)"
15,9922.698,"(x1 * 4.8666945) - ((x3 - (x1 * 16.560713)) / ((x1 * 0.033582356) + -28.251686))"
16,9794.375,"(x1 * 5.158283) - ((x3 - (x1 * 24.301878)) / (sqrt(x2 + x1) + -40.403206))"
17,9461.169,"(x1 * 4.929634) - ((x3 - (x1 * 18.337486)) / (((x1 + x2) * 0.045520183) + -36.419807))"
19,9388.33,"(x1 * 4.8234334) - ((((x1 * -17.024797) + x3) / (((x1 + x2) * 0.053704787) + -39.679974)) + -12.983406)"
20,9227.871,"abs((x1 * -5.0586348) + x0) - ((x3 - (x1 * 19.79905)) / (((x2 + x1) * 0.039885666) + -34.3791))"
21,9194.022,"abs(abs((x1 * -5.125878) + x0) - ((x3 - (x1 * 20.868769)) / (((x2 + x1) * 0.042793084) + -35.4044)))"
22,8923.073,"(abs(x0 + (x1 * -5.0128183)) - ((x3 - (x1 * 18.729572)) / (((x1 + x2) * 0.05105997) + -37.978523))) + 17.883326"
24,8920.994,"(abs((x1 * -5.0128183) + x0) - ((x0 + (x3 - (x1 * 18.729572))) / (((x1 + x2) * 0.05105997) + -37.978523))) + 17.020058"
25,8910.762,"abs((x1 * -4.9397426) + (x2 * 0.481262)) - (((x3 - (x1 * 17.138119)) / (sqrt((x2 + x1) * 4.1539245) + -56.985706)) + -27.303991)"
26,8617.052,"(x1 * 4.9690347) - (((x2 / (x1 - -15.936458)) * -21.16336) + ((x3 - (x1 * 18.04122)) / (sqrt((x2 + x1) * 10.563391) + -84.582115)))"
28,8478.233,"(x1 * 4.9825215) - (((x3 - ((x1 + x0) * 16.621307)) / (sqrt((x2 + x1) * 11.543582) + -86.786964)) + (x2 * (-27.360378 / (x1 - -18.757435))))"
29,8422.495,"abs(((x3 - ((x1 + x2) * 13.959818)) / (sqrt((x1 + x2) * 10.044639) + -79.705)) + (((x2 * -35.5095) / (x1 - -23.681131)) - (x1 * 4.968193)))"
30,8422.113,"abs((((-35.114647 / abs(-23.403347 - x1)) * x2) - (x1 * 4.9680076)) + ((x3 - ((x1 + x2) * 13.963533)) / (sqrt((x2 + x1) * 10.021367) + -79.61315)))"
31,8279.142,"(x1 * 4.8595967) - (((x3 - (((x2 * 2.7415996) + x1) * 9.906681)) / (sqrt((x2 + x1) * 11.531207) + -82.63867)) + (-7.02093 * (x2 / sqrt(x1 + 14.79648))))"
32,8278.672,"abs((((x3 - ((x1 + (x2 * 2.7276719)) * 9.939686)) / (sqrt((x2 + x1) * 11.504193) + -82.55654)) - (x1 * 4.8651333)) + ((-6.9865613 / sqrt(14.707775 + x1)) * x2))"
33,8256.729,"((x1 * 4.940605) - ((x2 * (-8.646772 / sqrt(x1 + 15.639558))) + ((x3 - ((x1 + (x2 * 2.3675559)) * 10.546033)) / (sqrt((x1 + x2) * 11.871381) + -83.909775)))) - x0"
34,8177.811,"abs(((x2 * (-6.843015 / sqrt(x1 - -15.075856))) - (x1 * 4.8527126)) + ((1.3732197 / (sqrt((x1 + x2) * 15.613694) + -95.91681)) * (x3 - ((x1 + (x2 * 3.802477)) * 8.442426))))"
36,8141.0757,"abs((x1 * 4.854213) - (((x2 * (-4.5527344 / sqrt(x1 - -14.279485))) + (((x3 - (x2 * 27.731789)) - ((x1 + x0) * 8.818788)) / (sqrt((x1 + x2) * 19.554821) + -107.43253))) / 0.679386))"
37,8126.0425,"(x1 * 4.958168) - ((((x1 - (4.593537 * x2)) / sqrt(x1 - -14.778126)) + (((x3 - (x2 * 27.648186)) - ((x0 + x1) * 8.960774)) / (sqrt((x2 + x1) * 19.562607) + -107.49525))) / 0.67378855)"
38,8125.658,"abs(((((x1 - (x2 * 4.558039)) / sqrt(x1 - -14.887056)) + (((x3 - (x2 * 27.773325)) - ((x0 + x1) * 8.954337)) / (sqrt((x2 + x1) * 20.028467) + -108.78338))) / 0.6645794) - (x1 * 4.9618487))"
