Complexity,Loss,Equation
1,267220.06,"470.96994"
3,56428.062,"x1 / 0.20368062"
4,51031.105,"sqrt(x1 * 5985.739)"
5,19404.467,"(x2 + x1) / 0.28266352"
6,17387.396,"(x1 + sqrt(x3)) * 3.820146"
7,10905.763,"(x3 * 0.03910322) + (x1 * 4.091654)"
9,10878.774,"((x1 + (x3 * 0.009714066)) + -1.9704342) * 4.1079397"
10,10857.45,"(x3 * 0.03955222) + (abs(x1 + -2.171398) * 4.118794)"
11,10172.638,"(3.881235 - (x2 * -0.0040966775)) * ((0.0081249 * x3) + x1)"
13,10113.573,"12.868892 - (((x2 * -0.0046787723) - 3.8221507) * (x1 + (x3 * 0.0077275187)))"
14,10006.671,"(x1 * ((sqrt(x1) * 0.54414684) - (x1 * 0.017051985))) + (0.041229926 * x3)"
16,9842.164,"((((0.53291965 * sqrt(x1)) - (x1 * 0.016523793)) * x1) + x2) + (0.027311083 * x3)"
18,9809.504,"((x1 * ((sqrt(x1) * 0.5361863) - (x1 * 0.016677458))) + (x2 * 0.7108595)) + (x3 * 0.03133443)"
20,9751.022,"(((x3 * 0.029775448) + x2) + ((x1 + 10.373994) * ((sqrt(x1) * 0.5060159) - (x1 * 0.015381956)))) - x0"
21,9731.008,"(abs(((x1 + 17.923706) * ((sqrt(x1) * 0.501073) - (x1 * 0.015223086))) - x0) + x2) + (x3 * 0.026097713)"
22,9597.694,"x2 + ((x1 * (sqrt(x1 + (x1 * -0.74578893)) - ((x1 * 0.01554667) - (x3 * 4.717642e-5)))) - (x3 * -0.025602756))"
24,9541.574,"x2 + ((x1 * (sqrt((x1 * -0.7562518) + x1) - ((x1 + (x3 * -0.00362378)) * 0.015144116))) - ((x3 * -0.024196172) + -12.034059))"
25,9291.756,"abs((x1 - (x0 + -35.747097)) * ((x2 * -0.0067096846) + ((x1 * 0.013190483) - sqrt(x1 + (-0.80547416 * x1))))) - (x3 * -0.038059458)"
27,8928.679,"x2 - ((x3 * -0.023475474) - abs((sqrt(x1 + (x1 * -0.790637)) - (((x3 * -0.007933314) + x1) * 0.014034016)) * (x0 + (-30.649063 - x1))))"
29,8831.132,"(x0 + x2) - ((x3 * -0.019199293) - ((sqrt(x1 + (x1 * -0.79935443)) - ((x1 + (x3 * -0.00894517)) * 0.013676269)) * abs(x0 + (-30.087212 - x1))))"
30,8831.068,"abs(((x3 * -0.01921287) - x2) - (x0 + abs((x0 + (-30.011497 - x1)) * ((((x3 * -0.008946444) + x1) * 0.013679622) - sqrt(x1 + (x1 * -0.7992763))))))"
31,8807.43,"(abs((x0 + (-31.504179 - x1)) * (sqrt(x1 + (x1 * -0.79679394)) - ((x1 + (x3 * -0.008386246)) * 0.013754909))) - (((x3 * -0.020232225) + 8.875649) - x2)) + x0"
32,8807.339,"x0 + abs(abs(((x0 - x1) + -31.504179) * (sqrt(x1 + (x1 * -0.79679394)) - (((x3 * -0.008386246) + x1) * 0.013754909))) - (((x3 * -0.020232225) - x2) + 8.875649))"
33,8709.811,"x2 - ((x3 * -0.024607316) - abs((((-28.82619 - x1) + x0) * (sqrt((x1 * -0.7914002) + x1) - ((x1 + (x3 * -0.009132776)) * 0.014088977))) - (x0 - (x2 * 0.35268545))))"
35,8694.286,"x2 - ((x3 * -0.024607316) - abs((x0 - (0.3375901 * x2)) - ((sqrt((x1 * -0.7914002) + x1) - (((x1 + 1.819767) + (x3 * -0.009132776)) * 0.014088977)) * ((x0 + -28.82619) - x1))))"
36,8610.93,"x2 + (abs(((x3 * 0.007929345) - x0) - x0) - ((x3 * -0.020800527) - abs((x0 + (-29.663809 - x1)) * (sqrt((x1 * -0.79730207) + x1) - (((x3 * -0.008467285) + x1) * 0.013738997)))))"
37,8376.684,"abs(x0 - abs(x0 - (x3 * 0.008048404))) + (x2 - ((x3 * -0.020819824) - abs(((-29.663809 - x1) + x0) * (sqrt((x1 * -0.7972988) + x1) - ((x1 + (x3 * -0.008497702)) * 0.01371721)))))"
39,7942.798,"abs(-2.7688205 * (abs((x3 * 0.0077012433) - x0) - x0)) + (x2 - ((x3 * -0.017816352) - ((sqrt((x1 * -0.7978136) + x1) - (((x3 * -0.0077941846) + x1) * 0.013654593)) * abs((-27.304316 - x1) + x0))))"
41,7903.3804,"((abs((abs((x3 * 0.0076773684) - x0) - x0) * 2.9322352) + x2) - ((x3 * -0.017815078) - abs((sqrt(x1 + (x1 * -0.7978132)) - (((x3 * -0.0077941143) + x1) * 0.013647228)) * (x1 - (x0 + -27.304316))))) + -7.3283615"
42,7895.717,"(x2 + abs((x0 - abs((x3 * 0.007634684) - x0)) * -3.0861697)) - (((x3 * -0.017815312) - abs((sqrt((x1 * -0.7978124) + x1) - (((x3 * -0.007795363) + x1) * 0.013635183)) * (x0 + (-27.304316 - x1)))) + sqrt(x2))"
44,7869.9277,"(abs((abs(x0 + (2.1176984 - (x3 * 0.0077012274))) - x0) * 3.1641219) + x2) - (((x3 * -0.017816352) - ((sqrt((x1 * -0.7978136) + x1) - ((x1 + (x3 * -0.0077941846)) * 0.013654588)) * abs((x0 + -27.304316) - x1))) + sqrt(x2))"
45,7736.899,"(abs((abs(x0 - (0.007854336 * x3)) - x0) * -2.5445805) - ((x3 * -0.020077774) - abs(((0.013624227 * ((x3 * -0.0078047076) + x1)) - sqrt((-0.7973538 * x1) + x1)) * ((x2 * -0.109724626) - (((x0 * 0.70628464) + -26.045153) - x1))))) + x2"
