Complexity,Loss,Equation
1,267168.4,"470.91745"
3,56415.98,"x1 / 0.20370834"
4,51020.207,"sqrt(x1 * 5984.411)"
5,19399.512,"(x2 + x1) / 0.2826994"
6,17382.758,"(sqrt(x3) + x1) / 0.26180992"
7,10902.337,"((x3 * 0.009557323) + x1) * 4.091274"
9,10875.3545,"(x3 * 0.039902464) - (8.108297 - (x1 * 4.10759))"
10,10854.03,"(x3 * 0.03954806) + abs((x1 * 4.118438) - 8.952415)"
11,10406.398,"(x1 * 3.8313613) + (((x1 * 6.547949e-5) + 0.036729436) * x3)"
13,10291.095,"(x3 * (((x2 * x1) * 3.7704703e-7) + 0.036245476)) - (x1 * -3.9785926)"
15,10117.995,"(((x1 * 5.8968748e-5) + 0.035402134) * ((x1 * -20.005827) + x3)) - (x1 * -4.988891)"
16,9866.141,"abs((x2 * (x1 - x0)) * -0.006877943) - (((x3 * -0.009448296) - x1) * 3.7454793)"
17,9866.093,"abs((((x3 * -0.009436843) - x1) * 3.7454798) - abs(((x0 - x1) * x2) * -0.006885985))"
18,9412.291,"abs(x2 * (((x1 + 110.09129) - x2) / 131.20422)) - ((x3 * -0.033093452) - (x1 / 0.27339557))"
20,9036.164,"((x2 - x0) * abs((112.97262 + (x1 - x2)) * 0.012442317)) - (3.6380663 * ((x3 * -0.008789351) - x1))"
21,9035.3955,"abs(((x2 - x0) * (abs((x1 + 112.97262) - x2) * 0.012442317)) - (((x3 * -0.008789351) - x1) * 3.6380663))"
22,9019.715,"((((x2 / 1.1679918) - x0) * abs(((x1 - x2) + 112.40698) / 237.58197)) - ((x3 * -0.008749957) - x1)) * 3.6593716"
23,9017.122,"abs((((x3 * -0.008751336) - x1) - (abs((x1 + (112.748566 - x2)) / 237.56473) * ((x2 / 1.1679432) - x0))) * 3.6587512)"
24,8996.1045,"((((((x2 * 0.83235973) - x0) / 222.44917) + 0.02100513) * abs(x1 + (113.12851 - x2))) - ((x3 * -0.008904629) - x1)) * 3.5775788"
25,8932.333,"(abs((x1 + (107.98742 - x2)) * (x2 / 352.59192)) - ((x3 * -0.011949958) - (x1 - (x0 * (sqrt(x3) / 130.0388))))) * 3.5178254"
26,8865.667,"(abs((x2 * (x1 + (123.41498 - x2))) / 293.1624) - ((x3 * -0.009753251) - (x1 - (x0 * ((x1 - -93.71585) / 257.68387))))) * 3.6736157"
27,8570.0,"(abs((((x1 + 111.66886) - x2) / 295.21774) * x2) - ((x3 * -0.009803207) - (x1 - abs(x0 * ((111.38472 - x1) / -186.82738))))) * 3.5732625"
28,8521.326,"(abs((((103.285934 - x2) + x1) / 258.90936) * x2) - ((x3 * -0.009361651) - (x1 - abs(x0 * ((sqrt(x3) - x1) / -146.29974))))) * 3.6252503"
29,8094.611,"(((x2 / 221.34628) * abs((97.83651 - x2) + x1)) - ((x3 * -0.009509752) - (x1 - abs((x0 / 119.20209) * ((x0 + x1) - x2))))) * 3.6152391"
30,8093.3545,"abs((((x3 * -0.009512473) - (x1 - abs((x1 + (x0 - x2)) * (x0 / -118.81726)))) - abs((x2 * ((x1 - x2) + 97.79001)) / 221.2019)) * 3.6159697)"
31,8053.653,"(abs((((x1 + 97.58804) - x2) * x2) / 214.50601) - ((x3 * -0.009208668) - (x1 - abs((((x1 + x0) - x2) * (x0 / 114.13901)) - -2.6261566)))) * 3.6465259"
33,7864.9854,"(((x2 + x0) * (abs((x1 + 93.94428) - x2) / 228.50461)) - ((x3 * -0.009313469) - (x1 - abs(((x0 / 78.80893) * (x0 + (x1 - x2))) - -6.044526)))) * 3.651469"
35,7698.4976,"(abs(((x1 + (122.993355 - x2)) * ((x2 + (x0 / 0.28112578)) / -243.09526)) + x0) - ((x3 * -0.00971864) - (x1 - ((x0 / 48.671833) * abs(x1 + (61.728275 - x2)))))) * 3.5520768"
36,7697.9263,"abs((abs(x0 + ((x2 + (x0 / 0.28112578)) * (((122.993355 - x2) + x1) / -243.09526))) - ((x3 * -0.009718641) - (x1 - abs((x0 / 48.671833) * (x1 + (61.728275 - x2)))))) * 3.5520768)"
37,7621.509,"((abs(x0 + ((((x0 / 0.22673172) + x2) / -248.41678) * ((x1 + 120.73413) - x2))) - ((x3 * -0.0108899325) - (x1 - abs((x0 / 44.60532) * (x1 + (62.366264 - x2)))))) * 3.4892712) - x0"
39,7202.459,"(abs(((x2 + ((x0 + 12.211165) / 0.23679918)) * (((x1 - x2) + 119.39989) / -228.97339)) + x0) - ((x3 * -0.014387326) - ((x1 + -27.526754) - abs(((x1 - x2) + 60.656708) * (x0 / 38.41844))))) * 3.015342"
40,7202.3047,"abs((abs(((x2 + ((x0 + 12.211165) / 0.23679918)) * (((x1 - x2) + 119.39989) / -228.97339)) + x0) - ((-0.014387326 * x3) - ((x1 + -27.526754) - abs(((x1 - x2) + 60.656708) * (x0 / 38.41844))))) * 3.015342)"
41,7076.1353,"(abs((((x1 - x2) + 140.53857) * ((((x0 + 10.223538) / 0.1635264) + x2) / -263.4276)) + (x0 * 1.9914043)) - ((x3 * -0.015257928) - ((x1 + -33.19074) - ((x0 / 34.323032) * abs(x1 + (60.306065 - x2)))))) * 2.976668"
42,7075.476,"abs((abs(((((x0 + 10.223538) / 0.1635264) + x2) * (((x1 - x2) + 140.53857) / -263.4276)) + (x0 * 1.9914043)) - ((x3 * -0.015257928) - ((x1 + -33.19074) - abs((x0 / 34.323032) * ((60.306065 - x2) + x1))))) * 2.976668)"
43,6808.073,"x2 + ((abs(((((x1 + 142.51025) - x2) / -258.15744) * (x2 + ((x0 + 14.357409) / 0.15253799))) + (x0 * 2.2881515)) - ((x3 * -0.013318706) - ((x1 + -53.5728) - ((x0 / 30.453648) * abs((x1 + 59.361187) - x2))))) * 2.7646127)"
45,6756.5005,"((abs((x0 * 2.319948) + ((((x1 + 141.7913) - x2) / -260.10516) * (x2 + ((x0 + 14.552723) / 0.14818364)))) - ((x3 * -0.0136601925) - ((x1 + -53.537754) - abs((x0 / 30.908798) * ((x1 + 65.29548) - (x2 * 1.0583822)))))) * 2.7022796) + x2"
47,6753.84,"x2 + ((abs((((x1 + (141.72876 - x2)) / -260.0771) * (x2 + ((x0 + 14.907105) / 0.14867443))) + (x0 * 2.3027658)) - ((x3 * -0.013793222) - (((x1 - 1.5789657) + -53.22232) - abs((x0 / 30.889553) * ((x2 * 1.058149) - (x1 + 65.27642)))))) * 2.69536)"
48,6744.0205,"x2 + ((abs((x0 * 2.3027658) + (((x1 + (141.72876 - x2)) / -260.0771) * (x2 + ((x0 + 14.907105) / 0.14867443)))) - ((x3 * -0.013793222) - ((-53.22232 + abs(x1 - 1.9392701)) - (abs((x1 + 65.27642) - (x2 * 1.058149)) * (x0 / 30.889553))))) * 2.69536)"
