Complexity,Loss,Equation
1,267168.4,"470.95395"
3,56415.98,"x1 / 0.20371155"
4,51020.2,"sqrt(x1 * 5984.4956)"
5,19399.512,"(x1 + x2) * 3.537477"
6,17382.758,"(x1 + sqrt(x3)) * 3.8197079"
7,10902.337,"(x3 * 0.039101977) + (x1 * 4.091261)"
9,10875.3545,"((x3 * 0.039898533) - (x1 * -4.1075125)) - 8.068786"
10,10854.03,"(x3 * 0.039548006) + (abs(x1 + -2.1740935) * 4.1184397)"
11,10169.36,"((x1 + (x3 * 0.008126889)) / 244.42305) * (x2 + 948.61017)"
13,10110.31,"(((x3 * 0.0077331592) + x1) * ((x2 + 819.6684) / 214.45102)) + 12.908022"
14,9980.83,"((x2 + 795.14343) / (sqrt(x1) + 186.7394)) * (x1 + (x3 * 0.0071107857))"
15,9917.473,"((x3 * 0.007100407) + x1) * ((x2 + 920.6707) / ((x1 * 0.058161005) + 215.1824))"
17,9609.837,"((x1 * 4.082488) + (x3 * 0.030937683)) + abs(x1 - abs(28.531416 + (x1 - x2)))"
18,9351.147,"(x1 * 3.8800676) + (abs(abs(abs(x1 - x2) + -34.999992) - x1) + (x3 * 0.031631142))"
19,9160.682,"((((x3 * 0.005630732) + x1) * 1.7548038) + abs(abs(x0 + (x1 - x2)) - x1)) * 2.283072"
21,8904.907,"(x1 * 3.9635792) + ((x3 * 0.030262766) + abs((x1 - -54.978104) - abs((x2 * 1.5684912) - (x1 + 84.29949))))"
22,8651.115,"(abs(abs(x1 + (119.23503 - (x2 * 1.4753218))) - abs((x1 + 109.0943) - (x2 * 0.67902845))) + x1) * 4.1129847"
23,8515.73,"(((x1 * 3.9544413) + abs((x1 - -67.25226) - abs((x1 + 91.709694) - (x2 * 1.6975262)))) + (x3 * 0.03348793)) - x0"
24,8476.648,"(x1 + (abs(abs((x1 + 111.06309) - (x2 * 1.3966461)) - abs((x2 * 0.66423136) - (x1 + 102.34198))) * 1.1306934)) / 0.24680449"
25,8018.4644,"(((x1 - x0) + (x3 * 0.01565137)) + (abs(abs(x1 + ((51.810566 - x2) * 1.4548246)) - (x1 - -56.12698)) + x1)) / 0.5187748"
26,7252.134,"(((x3 * 0.006830838) + -60.626053) + (abs(abs((x1 - (x2 * 1.329032)) + 102.58545) - abs(x2 - (x1 + 158.20189))) + x1)) / 0.24797949"
27,7248.4087,"abs(((x1 + (x3 * 0.0068234624)) + (abs(abs((x1 + 158.2092) - x2) - abs((x1 + 102.81078) - (x2 * 1.330748))) + -60.615105)) / 0.24789737)"
28,7063.173,"((abs(abs((x2 * 1.3521914) - (x1 + 104.952576)) - abs((x1 + 157.9483) - x2)) + ((x3 * 0.007223894) + (x1 + -55.664005))) / 0.24775477) - x0"
29,7061.9385,"abs(((abs(abs((x2 * 1.3521914) - (x1 + 104.952576)) - abs((x1 + 157.9483) - x2)) + ((x3 * 0.007223894) + (x1 + -55.664005))) / 0.24775477) - x0)"
30,6888.7056,"(((x1 + (x3 * 0.0060031526)) + abs(abs(x1 + (102.59551 - (x2 * 1.3443458))) - abs((x1 + 97.850365) - (x2 * 0.60634714)))) / 0.24927291) - (x0 + x2)"
31,6887.9,"abs((((x1 + (x3 * 0.0060021705)) + abs(abs((x1 + 97.850365) - (x2 * 0.6063471)) - abs((x1 + 102.59551) - (x2 * 1.3443458)))) / 0.2492724) - (x0 + x2))"
32,6790.5938,"((((x0 / -2.13387) + abs(abs((x2 * 1.3419377) - (x1 + 100.856926)) - abs((x2 * 0.5844542) - (x1 + 97.80589)))) + ((x3 * 0.0067072525) + x1)) / 0.24983022) - x2"
33,6782.0254,"abs((((((x3 * 0.0067072525) + x1) + (x0 / -2.13387)) + abs(abs((x2 * 0.5844542) - (97.80589 + x1)) - abs((x2 * 1.3419377) - (x1 + 100.856926)))) / 0.24983022) - x2)"
34,6737.7827,"((abs((abs((x2 * 1.3606385) - (101.33853 + x1)) + -8.260321) - abs(89.28288 + (x1 - (x2 * 0.5773154)))) + ((x1 + (0.006844879 * x3)) + (x0 / -2.2112825))) / 0.25153443) - x2"
36,6719.873,"((abs(abs((x1 + 87.32782) - (x2 * 0.5714835)) - (abs((x2 * 1.3524623) - (x1 + 100.15467)) + -9.880181)) + ((x0 / -2.3653708) + (x1 + (x3 * 0.007004936)))) / 0.25149167) - (x2 + 8.726486)"
37,6487.4272,"(((x3 * 0.0067792195) + (abs(abs((x1 + 101.88434) - (x2 * 1.3350345)) - abs((x2 * 0.62408143) - (x1 + 99.808624))) + (x1 + (x0 / -2.0720234)))) / 0.25276783) - abs(x2 - (x1 * 0.26273915))"
38,6478.415,"abs(((abs(abs((x2 * 0.61982006) - (x1 + 99.25565)) - abs((x2 * 1.328889) - (x1 + 101.05003))) + ((x1 + (x0 / -1.9907732)) + (x3 * 0.0068375524))) / 0.25252149) - abs(x2 - (x1 * 0.26543614)))"
39,6449.36,"((((x0 / -2.1709666) + ((x3 * 0.00727253) + x1)) + abs(abs((x1 - (x2 * 0.6542573)) + 105.963776) - abs((x1 + 102.33157) - (x2 * 1.3393493)))) / 0.25664383) - abs((-22.7034 - x2) + (x1 * 0.32866904))"
40,6414.9106,"(((x3 * 0.006606502) + (abs(abs((x1 + 102.186714) - (x2 * 1.33428)) - abs((x2 * 0.6271847) - (x1 + 99.40029))) + ((x0 / -2.179636) + x1))) / 0.2510991) - abs(x2 - abs((x1 * 0.3128407) + -9.244831))"
41,6407.44,"abs(((((x1 + (x3 * 0.0066188816)) + (x0 / -2.142947)) + abs(abs((x1 + 102.190956) - (x2 * 1.3356439)) - abs((x1 + 99.397125) - (x2 * 0.6257074)))) / 0.25113484) - abs(abs((x1 * 0.31019205) + -9.076345) - x2))"
42,6378.231,"((abs(abs(x1 + (101.91697 - (x2 * 1.3319957))) - abs((x2 * 0.64884365) - (x1 + 102.992165))) + ((x0 / -2.4339342) + ((x3 * 0.006905569) + x1))) / 0.25397438) - abs((x2 + 17.551554) - abs(11.482011 - (x1 * 0.36899078)))"
