Complexity,Loss,Equation
1,267168.4,"470.93906"
3,56415.98,"x1 / 0.20371012"
4,51020.2,"sqrt(x1 * 5984.4927)"
5,19399.512,"(x2 + x1) / 0.28268483"
6,17382.758,"(x1 + sqrt(x3)) * 3.8198392"
7,10902.337,"(x3 * 0.039100844) + (x1 * 4.091296)"
9,10875.3545,"((x3 * 0.03990241) + -8.106228) + (x1 * 4.1075864)"
10,10854.03,"(x3 * 0.039547924) + (abs(2.1747763 - x1) * 4.118447)"
11,10169.358,"(x1 + (x3 * 0.00812475)) * ((x2 * 0.004096043) + 3.880952)"
13,10110.306,"(((x2 * 0.0046748733) + 3.8217762) * (x1 + (x3 * 0.007725654))) + 13.0135765"
15,8024.3633,"(x1 + ((x3 * 0.0026054843) * log(abs(x2 + (-103.50687 - x1))))) * 3.8456113"
16,7987.8076,"(x1 * 3.8467019) + abs(x3 * (log(abs((x2 + -101.67164) - x1)) * 0.010038624))"
17,7982.0464,"((x3 * 0.010953232) * log(abs((x2 + -104.3007) - x1))) + ((x1 * 3.8496346) - x0)"
18,7476.9365,"(x1 + ((x3 * 0.0024980593) * log(abs(abs((x2 + 183.85037) - x1) + -284.14966)))) * 3.960319"
20,7461.9624,"(x1 * 3.9603572) + (((x2 + x3) * log(abs(abs((183.85037 - x1) + x2) + -284.14966))) * 0.009754746)"
22,7336.2056,"(((x1 * 9.652115) + x3) * (log(abs(abs((189.71875 - x1) + x2) + -293.27393)) * 0.009825638)) + (x1 * 3.499516)"
24,7096.043,"(((x3 + (x2 * 45.51738)) * log(abs(abs(x2 + (189.51488 - x1)) + -293.48505))) * 0.006576211) + ((x1 * 3.9285183) - x0)"
25,7014.378,"abs(((x1 * 3.9285786) - x0) + (log(abs(abs(x2 + (189.51488 - x1)) + -293.48505)) * (((x2 * 45.51738) + x3) * 0.006582057)))"
27,7011.7593,"abs((((-0.40141606 + x1) * 3.9289064) - x0) + (((x3 + (x2 * 45.51738)) * 0.0065751704) * log(abs(abs((189.51488 - x1) + x2) + -293.48505))))"
28,6932.146,"(x1 * 3.4900908) + ((x3 + ((x1 + ((x2 - x0) * 3.1104128)) * 13.963358)) * (log(abs(abs((x2 + 189.65865) - x1) + -293.32965)) * 0.0068389946))"
29,6929.228,"(x1 * 3.4900908) + (abs((((x1 + ((x2 - x0) * 3.1104128)) * 13.963358) + x3) * 0.0068389974) * log(abs(abs((x2 + 189.65865) - x1) + -293.32965)))"
30,6914.9575,"(log(abs(abs((x2 + 189.36653) - x1) + -293.64627)) * ((x3 + ((((x2 - x0) * 3.731574) + (x1 - x2)) * 13.02354)) * 0.007538465)) + (x1 * 3.4799526)"
31,6743.7236,"((log(abs(abs(x2 + (189.15453 - x1)) + -293.7365)) * 0.008333449) * (abs(x3 + (x1 * -8.829684)) + ((x1 + x2) * 22.317835))) + ((x1 * 3.3119407) - x0)"
32,6731.2256,"abs((log(abs(abs(x2 + (189.74706 - x1)) + -293.73782)) * ((abs((x1 * -8.89726) + x3) + ((x2 + x1) * 21.525602)) * 0.008455407)) + ((x1 * 3.3217914) - x0))"
