Complexity,Loss,Equation
1,267168.4,"470.93918"
3,56415.98,"x1 / 0.20370996"
4,51020.2,"sqrt(x1) * 77.359505"
5,19399.512,"(x2 + x1) * 3.5374792"
6,17382.758,"(x1 + sqrt(x3)) * 3.8196054"
7,10902.337,"(x1 + (x3 * 0.009557258)) * 4.0912614"
9,10875.3545,"((x1 * 4.1076055) + (x3 * 0.039901674)) - 8.115624"
10,10854.029,"(x3 * 0.039548144) + abs((x1 * -4.118444) - -8.954496)"
11,10785.219,"(x3 * 0.028882658) + ((x1 * 4.0902677) + (x2 - x0))"
12,9595.885,"(483.8522 - abs((x3 * 0.009227351) - (486.5388 - x1))) / 0.23511428"
13,9583.238,"(x3 * 0.038715385) + abs((452.86133 - abs(456.21332 - x1)) / 0.23350646)"
15,9411.114,"abs(((abs(x1 - 453.1468) - 454.36026) / 0.23196588) + x0) + (x3 * 0.0391589)"
17,9378.611,"(x3 * 0.04001841) + (abs(x0 + ((abs(x1 - 453.048) - 455.3374) / 0.23160993)) - 10.43378)"
18,9363.424,"(x3 * 0.040057525) + abs(18.167097 - abs(((457.48865 - abs(453.39423 - x1)) / 0.23178518) - x0))"
19,9263.033,"((x2 + ((413.79443 - abs(455.55405 - x1)) / 0.23302764)) - (x3 * -0.035948507)) + abs(x2 - 175.02272)"
20,9204.682,"abs(abs(x2 - 174.59053) + (((411.90887 - abs(454.91028 - x1)) / 0.23147261) + x2)) - (x3 * -0.036136817)"
21,9129.926,"(((400.5814 - abs(451.9272 - x1)) / 0.23188618) + abs((227.70818 - x2) - x0)) + (x2 - (x3 * -0.038866848))"
22,9116.534,"abs(((abs((x2 + x0) - 233.333) - (x3 * -0.03894471)) + ((400.6095 - abs(453.47415 - x1)) / 0.23203321)) + x2)"
23,9082.358,"(((402.262 - abs(442.20676 - x1)) / 0.30010515) - x0) + (abs((x1 - x2) + 140.01224) + (x2 - (x3 * -0.037994735)))"
24,9080.514,"abs(((402.2151 - abs(442.1924 - x1)) / 0.30001026) + (((x2 - (-0.037999313 * x3)) - x0) + abs(x1 + (139.96634 - x2))))"
25,9030.496,"((abs((x1 + 140.33679) - x2) + ((421.75537 - abs(452.6264 - x1)) / 0.2311865)) + ((x2 - (x3 * -0.038076922)) - x0)) - x1"
26,9028.677,"abs(((abs((x1 + 140.33679) - x2) + ((421.75537 - abs(452.6264 - x1)) / 0.2311865)) + ((x2 - (x3 * -0.038076922)) - x0)) - x1)"
27,8928.52,"(((419.33008 - abs(457.18317 - x1)) / 0.33649236) + abs((x1 - x2) + 126.4917)) + ((x3 - (x2 * ((-142.52899 - x1) / 7.853299))) * 0.035712752)"
29,8919.73,"(((419.32144 - abs(457.14838 - x1)) / 0.33653954) + abs((x1 - x2) + 126.73696)) + ((((x1 - -141.68402) * (x2 / 7.8801985)) + (x3 - x0)) * 0.03587485)"
31,8342.236,"((x3 - (x2 * ((-224.26785 - x1) / ((x0 + 50.349564) / 21.155497)))) * 0.032275952) + (abs((x2 + x2) - ((532.71234 - abs(466.95087 - x1)) * 3.7018464)) + -239.23314)"
33,8260.1,"((x3 - (x2 * ((-224.63475 - x1) / ((x0 + 50.503082) / 21.284866)))) * 0.032160167) + (abs((x2 + x2) - (((522.7666 - abs(471.13934 - x1)) * 4.703558) - x1)) + -238.52428)"
35,8196.033,"abs(((x1 + x2) + x2) + (x1 - ((516.96704 - abs(474.31635 - x1)) * 5.7088213))) + ((((((-229.15865 - x1) * x2) / ((x0 + 51.05589) / 21.30134)) - x3) * -0.03203946) + -239.77492)"
37,8195.186,"abs((((x2 + x1) + x2) + x1) - (5.6988688 * (517.0591 - abs(474.2919 - x1)))) + (-239.96524 + (((((x2 * (-229.54425 - x1)) - x1) / ((x0 + 51.696198) / 21.534403)) - x3) * -0.03196933))"
39,7592.179,"(((((x2 * (-293.86813 - x1)) / ((x0 + 40.345684) / 14.501106)) - x3) + abs((((x1 - x2) * -8.684634) - 531.2687) / -0.09814767)) * -0.033458125) + (-193.87524 + abs((x2 / 0.22836123) - ((x1 - -56.20078) * 6.50429)))"
40,7591.998,"abs((((((x2 * (-293.86813 - x1)) / ((x0 + 40.345684) / 14.501106)) - x3) + abs((((x1 - x2) * -8.684634) - 531.2687) / -0.09814767)) * -0.033458125) + (-193.87524 + abs((x2 / 0.22836123) - ((x1 - -56.20078) * 6.50429))))"
