Complexity,Loss,Equation
1,267168.4,"470.91745"
3,56415.98,"x1 * 4.9091673"
4,51020.2,"sqrt(x1) * 77.359665"
5,19399.512,"(x1 + x2) / 0.2827025"
6,17382.758,"(sqrt(x3) + x1) / 0.26181"
7,10902.337,"(x1 * 4.0912914) + (x3 * 0.039100204)"
9,10875.3545,"(x3 * 0.039903797) + ((x1 + -1.971259) * 4.107568)"
10,10854.03,"(x3 * 0.03954753) + (abs(2.1729314 - x1) * 4.11843)"
11,10246.443,"(x3 + 64845.438) * ((x1 + (x3 * 0.007973508)) / 16634.373)"
12,9645.768,"((abs(x1 + -456.9952) + -454.27518) * -4.2575827) + (x3 * 0.039198652)"
13,9583.23,"abs((abs(x1 + -456.16824) + -452.79666) * 4.2836275) + (x3 * 0.03871251)"
15,9411.132,"(x3 * 0.03915895) + abs(((abs(x1 + -453.25232) - 454.45792) / 0.23198746) + x0)"
17,9374.697,"(x3 * 0.0391824) + abs((((abs(x1 + -460.10574) - 461.17178) / 0.18856762) + x1) + x0)"
18,9362.488,"(x3 * 0.040091638) + abs(abs(x0 + ((abs(x1 + -453.78323) - 458.20203) / 0.2320465)) + -18.71687)"
19,9343.583,"(abs(x1 + (x0 + ((abs(x1 + -461.1332) - 463.13205) / 0.18868546))) + -10.963301) + (x3 * 0.040265482)"
20,9335.404,"abs((abs((x1 + -910.84143) + x1) + (abs(x0 + -19.490625) - 917.1319)) * 2.143639) + (x3 * 0.038288515)"
22,9002.367,"(x3 * 0.037604142) + abs((((abs(x1 + (x1 + -908.8936)) + abs(x0 + -38.029076)) - 943.9351) + x0) * 2.1537242)"
24,8960.321,"(x3 * 0.036759645) + abs((954.8733 - (abs((x0 + -35.79027) * 1.4066494) + (abs((x1 + x1) + -912.03424) + x0))) * 2.1444743)"
26,7973.694,"(abs(abs((x3 + (390.05035 * x1)) + ((65.303604 - x2) * 284.0389)) - abs(((x2 + -69.099785) - x1) * -274.827)) * 0.03517476) + x2"
