Complexity,Loss,Equation
1,267168.4,"470.93906"
3,56415.98,"x1 * 4.908941"
4,51020.2,"sqrt(x1 * 5984.533)"
5,19399.512,"(x2 + x1) * 3.53756"
6,17382.758,"(x1 + sqrt(x3)) * 3.8196054"
7,10902.337,"(x3 * 0.03910095) + (x1 * 4.091291)"
9,10875.3545,"((x1 + -1.9724487) * 4.1074967) + (x3 * 0.03990383)"
10,10854.03,"(x3 * 0.039548077) + abs((x1 + -2.1741846) * 4.118439)"
11,10169.358,"((x2 * 0.0040956214) + 3.8809662) * (x1 - (x3 * -0.008124617))"
13,10110.301,"(((x2 * 0.0046790713) + 3.8213573) * (x1 - (x3 * -0.007726804))) + 12.965684"
14,10091.972,"(x1 * 3.761803) + (x3 * ((abs(x1 - x0) * 0.00010112436) - -0.03492384))"
16,9624.301,"(x3 * (((x2 * abs(x1 - x0)) * 6.504832e-7) - -0.033328924)) + (x1 * 3.9627714)"
18,9508.374,"((x3 * (((x2 * abs(x1 - x0)) * 7.407723e-7) - -0.030703232)) + (x1 * 3.907778)) + 18.476643"
20,9288.605,"abs((x1 * 3.7066805) + (x2 * (0.026147781 * (31.64656 - (x0 + (x1 * -0.2693491)))))) - (x3 * -0.033517133)"
22,9210.297,"abs((x2 * ((x0 + -32.440327) * 0.025377193)) - (x1 * 3.7014651)) - ((((x2 * x1) * 0.21657164) + x3) * -0.03305468)"
24,9110.65,"abs(((x1 * x1) * -0.001712966) + ((4.417003 * x1) - ((x2 * 0.012795789) * (x0 + (x1 * -0.5024601))))) - (x3 * -0.034858476)"
26,8922.62,"abs(((x0 + ((x1 * -0.27790493) + -25.123428)) * (x2 * 0.02403694)) - (x1 * 4.26729)) - (((x1 * (x1 * -0.04338249)) + x3) * -0.032872558)"
27,8775.496,"(x3 * 0.033448882) + abs(((x1 * 4.609377) - (((x1 * -0.50788635) + x0) * (abs(x2 + -43.974632) * 0.01899886))) + ((x1 * x1) * -0.0019898936))"
29,8676.976,"(x3 * 0.03710116) + (abs((x1 * (x1 * -0.002211307)) + ((x1 * 4.729654) - ((x0 + (x1 * -0.4667799)) * abs((x2 + -43.199684) * 0.01983767)))) - x0)"
30,8674.252,"abs((x3 * 0.037094377) + (abs((((x1 * -0.4667796) + x0) * abs((x2 + -43.199684) * 0.019834967)) - (((x1 * x1) * -0.0022109437) + (x1 * 4.729654))) - x0))"
