Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.075647034"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt((x1 * x3) * 0.87614423)"
8,40631.688,"(x2 + sqrt(x1 * x3)) * 0.81970596"
9,39787.38,"(sqrt(x1) + 1.8468624) * sqrt(x3 * 0.62442124)"
11,39376.14,"sqrt(x1 + (x3 * 0.57580066)) * (sqrt(x1) + 2.0637302)"
12,38326.938,"(x3 * ((x1 * -0.00014629871) + 0.011444152)) + sqrt(x1 * x3)"
14,37975.07,"((x1 + -74.0937) * (x3 * -0.00015666838)) + sqrt(x1 * (x1 + x3))"
16,37794.34,"(x3 * ((x1 + (x2 * -0.5466217)) * -0.00016141942)) + sqrt((x1 + x3) * x1)"
18,37544.715,"sqrt(x1 * (x1 + x3)) + ((x3 * (((x0 + x1) / -0.8690594) + x2)) * 0.00013745924)"
19,37544.344,"abs(sqrt(x1 * (x1 + x3)) + ((x3 * (((x0 + x1) / -0.8690594) + x2)) * 0.00013745924))"
20,37336.258,"sqrt(x1 * (x3 + (x1 + x1))) + ((x3 * 0.0001430859) * (((x1 + x0) / -0.8475065) + x2))"
21,37335.85,"abs(((x3 * 0.0001430859) * (((x1 + x0) / -0.8475065) + x2)) + sqrt(x1 * ((x3 + x1) + x1)))"
22,37329.13,"(((((x1 + x0) / -0.8323921) + x2) * x3) * 0.00014047686) + (sqrt(((x3 + x1) + x1) * x1) + 3.3638203)"
23,37290.242,"abs(sqrt(x1 * (x1 + ((x2 + x3) + x1))) + (x3 * (0.00014330793 * (((x0 + x1) / -0.8323987) + x2))))"
24,37290.24,"abs(abs(sqrt(x1 * (x1 + ((x2 + x3) + x1)))) + (x3 * ((((x1 + x0) / -0.8323987) + x2) * 0.00014342116)))"
25,37261.688,"abs(sqrt(sqrt((abs(x3 - (x0 * x2)) + ((x2 + x1) * 30.989569)) * (((x1 + 1.133083) * x3) * 114.84337))) + -147.71364)"
27,37179.438,"abs(sqrt(sqrt((((x3 + 107.733246) * 124.32172) * (x1 + 1.4579979)) * (abs((x0 * x2) - x3) + ((x2 + x1) * 29.496881)))) + -163.73984)"
29,37018.195,"abs(sqrt(sqrt((((x1 + x2) * 27.518291) + abs((x2 * x0) - x3)) * (((x1 + 1.357344) * (x3 + (x0 / 0.07436799))) * 123.723045))) + -163.8196)"
30,36967.492,"x1 + (sqrt(sqrt((((x1 * x2) * (x2 * (x0 * x2))) * sqrt(x0)) + ((-1537.8527 - x3) * (((x3 * x1) + 6985.717) * -76.66166)))) - 158.96565)"
31,36852.992,"(sqrt(sqrt(((-1835.1671 - x3) * (((x3 * x1) + 5926.7295) * -75.769325)) + ((x0 * ((x2 + -81.473434) * x2)) * (x0 * (x1 * 41.70303))))) + x1) - 156.75575"
32,36580.3,"sqrt(sqrt(abs((((-3149.5635 - x3) * ((x3 * x1) + 7341.961)) * 82.724396) + (((142.09311 - x2) * (x0 * x1)) * ((x0 * x2) * x2))))) + (x1 - 187.544)"
33,36510.82,"sqrt(sqrt((((x3 * x1) + 8414.287) * ((-1471.6799 - x3) * -81.13476)) + (x1 * (((x2 * (x2 - 84.44498)) * (x2 + -119.739685)) * (x0 * x0))))) + (x1 - 166.2498)"
34,36469.984,"sqrt(sqrt(abs(((((x1 * x3) + 7341.974) * 78.15132) * (-3149.5254 - x3)) + ((137.30113 - x2) * ((x1 * x0) * ((x0 / 1.4587535) * (x2 * x2))))))) + (x1 - 183.0439)"
35,36279.96,"(x1 + sqrt(sqrt(((((x3 * x1) + 6095.3555) * (-879.76044 - x3)) * -87.93823) + (((x2 - 113.792915) * (x2 * (x1 * x0))) * (x0 * (x2 + -81.241264)))))) - (x0 + 131.1184)"
36,35536.31,"(x1 - 162.0147) + sqrt(sqrt(abs((((x2 + (x1 * -0.79854566)) * x0) * ((x2 - 106.23814) * ((x2 * x1) * x0))) + ((-1191.7539 - x3) * (((x1 * x3) + 8299.957) * -84.23429)))))"
38,35339.902,"sqrt(sqrt(abs((((x3 * x1) + 7896.265) * ((-936.96747 - x3) * -97.13269)) + (((x2 + (x1 * -0.7952374)) * x0) * (x0 * ((x2 - 97.61135) * (x2 * x1))))))) + ((x1 - 147.15399) - x0)"
40,35233.25,"sqrt(sqrt(abs((((-1373.9307 - x3) * ((x1 * x3) + 11188.721)) * -106.56576) + ((((x2 - 107.88981) * (x1 * x0)) * (x2 / 0.6605699)) * (((x1 * -0.79492223) + x2) * x0))))) + (x1 - (x0 + 178.25397))"
42,35093.92,"sqrt(sqrt(abs((((x0 - 7.7616267) * ((x1 * -0.79346615) + x2)) * ((x2 / 0.55790484) * ((x1 * x0) * (x2 - 110.813416)))) + (((x1 * x3) + 11182.943) * ((-1374.2632 - x3) * -105.496376))))) + (x1 - (x0 + 175.38712))"
44,35054.508,"sqrt(sqrt(abs(((((x3 + 11182.742) + (x1 * x3)) * -107.688835) * (-1374.3846 - x3)) + (((x0 - 7.7944317) * ((x1 * -0.7936141) + x2)) * (((x2 / 0.5443059) * (x2 - 110.9012)) * (x1 * x0)))))) + (x1 - (x0 + 184.2516))"
46,35046.824,"(x1 - (x0 + 184.2516)) + sqrt(sqrt(abs(((((x1 * x3) + (x3 + 11182.742)) * -107.688835) * (-1374.3846 - x3)) + ((((x2 / 0.5443059) * (x2 - 110.9012)) * (x0 * (-0.3096481 + x1))) * ((x0 - 7.7944317) * (x2 + (-0.7936141 * x1)))))))"
47,35015.27,"sqrt(sqrt(abs(((((x0 * x1) * (x2 - 110.10076)) * (x2 / 0.5790726)) * (((x1 * -0.79370964) + x2) * (x0 - 7.041447))) + ((x3 + ((x3 * x1) + 11182.679)) * ((-1374.7766 - x3) * -102.99962))))) + (x1 + (sqrt(x1) - (x0 + 184.04137)))"
49,34992.074,"sqrt(sqrt(abs(((-1374.6167 - x3) * (((x1 * x3) + (11182.693 + x3)) * -97.37534)) + (((x2 - 109.79753) * ((x1 * x0) * (x2 / 0.6021874))) * ((x0 - 7.8675766) * ((x1 * -0.79372257) + x2)))))) + ((x1 + sqrt(x1 / 0.16021885)) - (185.07344 + x0))"
