Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.075645834"
4,43965.05,"sqrt(x3 * x1)"
6,42851.902,"sqrt((x3 * x1) * 0.8761407)"
8,40631.688,"(sqrt(x3 * x1) + x2) * 0.8197145"
9,40091.05,"sqrt(x1 * (x3 * 0.69900686)) + sqrt(x3)"
11,39405.594,"sqrt(((sqrt(x1 - -44.115173) * 17.217575) - 112.29609) * x3)"
12,38822.668,"x1 + abs(sqrt((x3 * 7.9704056) * sqrt(x1)) + -62.160717)"
13,38676.17,"(x1 + -64.11549) + sqrt((x3 * 7.9894004) * sqrt(x1 + 0.28846887))"
14,38592.555,"x1 + abs(sqrt((x3 * 8.149459) * sqrt(x1 + 0.32113284)) + -70.58138)"
15,38391.33,"sqrt(((x3 + 554.83234) * 8.547993) * sqrt(x1 + 1.0930003)) + (x1 + -121.724236)"
16,38146.938,"x1 + abs(sqrt(((x0 * x2) + (x3 * 7.329745)) * sqrt(x1)) + -62.92687)"
17,37955.887,"sqrt(sqrt(x1 + 0.33091727) * ((x2 * x0) + (x3 * 7.4116807))) + (x1 + -67.548225)"
18,37895.848,"x1 + abs(sqrt(sqrt(x1 + 0.35921723) * ((x0 * x2) + (x3 * 7.556265))) + -73.35056)"
19,37796.3,"((x1 + -57.054714) + sqrt(((x3 * 4.785237) + (x2 * x0)) * sqrt(x1 + 0.40664375))) / 0.84365165"
20,37648.867,"x1 + abs(sqrt(sqrt(x1) * (((x2 * 0.011618629) * (x2 * x0)) + (x3 * 6.869535))) + -58.420742)"
21,37473.57,"((-64.39764 - x0) + x1) + sqrt(sqrt(x1 + 0.5428118) * ((x3 * 7.3534045) + ((x0 * x2) / 0.4265486)))"
22,37295.688,"abs((x1 + -45.29467) + (sqrt(((x3 * 7.102923) + (((x2 * x2) * 0.015239085) * x0)) * sqrt(x1)) - x0))"
23,37043.7,"x1 + ((sqrt(((x2 * ((x2 * 0.015068275) * x0)) + (x3 * 7.3306527)) * sqrt(x1 + 0.43063608)) + -55.168575) - x0)"
24,37004.67,"abs((-58.250973 - x0) + (x1 + sqrt(sqrt(x1 + 0.45293102) * ((x3 * 7.4122787) + ((x2 * 0.015083375) * (x2 * x0))))))"
25,36962.56,"((sqrt(sqrt(x1 + 0.4868923) * (((x2 * (x2 * 0.015266361)) * x0) + ((x3 + x1) * 7.212107))) + -57.217026) + x1) - x0"
26,36752.36,"sqrt(sqrt(x1 + 0.5595834) * ((x3 * 7.9678183) + abs(x2 * ((x0 * (x2 + -115.178764)) * -0.041386586)))) + ((x1 + -68.21888) - x0)"
27,36692.883,"abs(sqrt(sqrt(x1 + 0.6058644) * ((x3 * 8.107617) + abs((x2 + -116.26712) * ((x2 * x0) * -0.042247158)))) + ((x1 + -74.05875) - x0))"
28,36573.586,"(x1 + (-67.43356 - x0)) + sqrt(((x3 * 8.021119) + (x0 * abs(((x2 + -39.07932) * 0.05949368) * (x2 + -122.04873)))) * sqrt(x1 + 0.53971106))"
29,36528.2,"abs((x1 + (-71.50425 - x0)) + sqrt((abs(((x2 + -38.22429) * x0) * ((x2 + -122.57133) * 0.059779067)) + (x3 * 8.121177)) * sqrt(x1 + 0.5562678)))"
30,36331.684,"sqrt(sqrt(x1 + 0.696819) * ((x3 * 9.687421) + (((sqrt(x3) - (x2 + -57.35568)) * (x0 * -0.07280437)) * (x2 + -52.103577)))) + ((x1 - x0) + -90.998375)"
31,36236.2,"(x1 - x0) + abs(sqrt(sqrt(0.696819 + x1) * ((x3 * 9.687421) + ((sqrt(x3) - (-57.35568 + x2)) * ((x0 * -0.07280437) * (-52.103577 + x2))))) + -92.49725)"
33,36227.91,"(x1 - x0) + abs(sqrt((((x0 + x3) * 9.919395) + (((x2 + -47.10186) * (x0 * -0.07448506)) * (sqrt(x3) - (x2 + -62.990837)))) * sqrt(x1 + 0.6955987)) + -93.33119)"
35,36216.445,"((0.9325108 * x1) - x0) + abs(-92.49725 + sqrt(sqrt(0.696819 + x1) * (((x1 + x3) * 9.687421) + ((sqrt(x3) - (-57.35568 + x2)) * ((x0 * -0.07280437) * (x2 + -52.103577))))))"
37,36207.676,"(((x1 * 0.8937348) - x0) + -8.892356) + abs(sqrt(sqrt(x1 + 0.71262825) * ((((x2 + -53.98481) * (x0 * -0.07688581)) * (sqrt(x3) - (x2 + -56.80405))) + ((x3 + x1) * 9.875004))) + -87.87198)"
39,36183.867,"(x1 + ((sqrt(x1) / abs(x2 + -52.103577)) - x0)) + abs(sqrt(sqrt(x1 + 0.696819) * ((((x0 * -0.07280437) * (x2 + -52.103577)) * (sqrt(x3) - (x2 + -57.35568))) + (9.687421 * x3))) + -92.49725)"
40,36182.562,"abs((((x2 / abs((x3 * -0.11999238) + x2)) - x0) + sqrt(((x3 * 9.687421) + ((sqrt(x3) - (x2 + -57.35568)) * ((x0 * -0.07280437) * (x2 + -52.103577)))) * sqrt(x1 + 0.696819))) + (x1 + -92.49725))"
41,36099.98,"((-0.57073027 * x0) * ((x2 / ((-0.11999238 * x3) + x2)) - -1.6574959)) + abs(sqrt((((sqrt(x3) - (x2 + -57.35568)) * ((x0 * -0.07280437) * (-52.103577 + x2))) + (x3 * 9.687421)) * sqrt(x1)) + (x1 + -92.49725))"
42,35772.24,"sqrt((((((sqrt(x3) - (x2 + -57.35568)) * -0.07280437) * (x2 + -52.103577)) * x0) + (x3 * 9.687421)) * sqrt(x1 + 0.5977543)) + ((x1 + -92.49725) + ((((x2 / (x2 + (x3 * -0.11999238))) * -0.57073027) * x0) - x0))"
43,35650.26,"((-0.57073027 * (x0 * (x2 / ((x3 * -0.11999238) + x2)))) - x0) + abs(sqrt(((x3 * 9.687421) + ((sqrt(x3) - (x2 + -57.35568)) * ((x0 * -0.07280437) * (-52.103577 + x2)))) * sqrt(x1 + 0.5977543)) + (x1 + -92.49725))"
45,35645.78,"(((((x0 + -2.209453) * x2) / ((x3 * -0.11999238) + x2)) * -0.57073027) - x0) + abs(sqrt(((x3 * 9.687421) + (((-52.103577 + x2) * (-0.07280437 * x0)) * (sqrt(x3) - (x2 + -57.35568)))) * sqrt(x1 + 0.89663833)) + (x1 + -92.49725))"
48,35477.68,"((((((x2 * 0.16752201) + -2.209453) * x2) / (abs(x2) + (x3 * -0.11999238))) * -0.57073027) - x0) + abs(sqrt(((x3 * 9.687421) + ((sqrt(x3) - (x2 + -57.35568)) * ((x2 + -52.103577) * (x0 * -0.07280437)))) * sqrt(x1 + 0.89663833)) + (x1 + -92.49725))"
