Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07564472"
4,43965.05,"sqrt(x3 * x1)"
6,42851.902,"sqrt((x3 * x1) / 1.1412613)"
8,40631.688,"(sqrt(x3 * x1) + x2) * 0.8197145"
9,39787.38,"(1.8471174 + sqrt(x1)) * sqrt(x3 / 1.6016221)"
11,39487.746,"x1 + sqrt(sqrt((x1 * x2) / 2.8251019) * x3)"
12,38822.668,"x1 + abs(sqrt((sqrt(x1) * x3) / 0.12551549) + -62.10779)"
13,38676.17,"(x1 + sqrt(sqrt(x1 + 0.28817105) * (x3 / 0.12519032))) + -64.12007"
14,38592.582,"abs(sqrt((x3 * sqrt(x1 + 0.3192333)) / 0.1228545) + -70.32061) + x1"
15,38391.344,"(sqrt((sqrt(x1 + 1.1142263) * (x3 + 560.31287)) / 0.1169074) + x1) + -122.423004"
16,38323.625,"x1 + abs(sqrt(((x3 + 559.8756) * sqrt(x1 + 1.1090297)) / 0.11534687) + -127.34973)"
17,38307.637,"(sqrt(((x3 + (x2 + 463.73642)) / 0.11834163) * sqrt(x1 + 1.0233614)) + x1) + -118.08702"
18,38154.383,"sqrt(sqrt(((x1 * x2) / 4.2785425) + 75.80809) * x3) + ((sqrt(x1) * 29.39065) + -107.59422)"
19,38037.637,"abs((sqrt(x3 * sqrt((x2 * (x1 / 4.2321453)) + 93.048164)) + -119.05173) + (sqrt(x1) * 30.313072))"
20,37766.31,"((sqrt(x1 + 35.834282) * 40.09151) + sqrt((sqrt(x2 * (x1 / 4.728354)) + 3.67686) * x3)) - 290.4563"
21,37735.24,"abs(sqrt(x3 * (sqrt((x1 * x2) / 4.755618) + 4.209791)) + ((sqrt(x1 + 29.972935) * 39.46481) - 274.258))"
22,37724.223,"sqrt(x3 * sqrt(((x1 * (x2 + 34.912384)) / 4.453948) + 14.687389)) + ((sqrt(x1 + 43.498093) * 36.632893) - 287.9041)"
23,37686.67,"abs(((sqrt(x1 + 34.52073) * 38.1176) - 290.20663) + sqrt((sqrt(x1 * ((x2 + 33.77416) / 5.242923)) + 4.3851204) * x3))"
25,37643.77,"(sqrt((sqrt(x2 * (x1 / 5.1382017)) + 4.060597) * (x3 + (x0 * sqrt(x2)))) + (sqrt(x1 + 33.95727) * 39.37801)) - 287.20416"
26,37608.086,"abs(((sqrt(x1 + 28.10713) * 38.896328) - 273.41293) + sqrt(((x0 * sqrt(x2)) + x3) * (sqrt(x2 * (x1 / 5.1824)) + 4.734794)))"
27,37477.617,"abs((x0 - sqrt((((x0 * x2) / 5.197946) + x3) * sqrt((x1 * (x2 / 4.1719866)) - -138.03333))) - ((sqrt(x1) * 29.855589) - 121.01241))"
29,37387.836,"abs(((sqrt(x1 + 22.946493) * 34.288754) - 207.60913) - (x0 - sqrt((x3 + (x2 * (x0 / 5.9217424))) * sqrt(((x1 * x2) / 3.8136911) - -33.649963))))"
