Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07564542"
4,43965.05,"sqrt(x3 * x1)"
6,42851.902,"sqrt((x1 * x3) * 0.8761978)"
8,40872.562,"sqrt((x3 * 0.8102492) * (x1 + 5.9176536))"
9,39787.38,"sqrt(x3) * (sqrt(x1 * 0.62443364) + 1.459235)"
11,39487.746,"x1 + sqrt(sqrt(x2 * (x1 * 0.35399216)) * x3)"
12,38822.668,"x1 + abs(sqrt(sqrt(x1 * 63.505894) * x3) + -62.12018)"
13,38676.17,"(sqrt(x3 * sqrt((x1 + 0.28643164) * 63.824627)) + x1) + -64.06039"
14,38592.56,"x1 + abs(sqrt(sqrt((x1 * 66.40922) + 21.29182) * x3) + -70.5731)"
15,38391.332,"(sqrt(sqrt((x1 * 73.01284) + 79.51193) * (x3 + 550.9363)) + -121.36959) + x1"
16,38323.39,"x1 + abs(sqrt(sqrt((x1 * 75.73696) + 86.28851) * (x3 + 566.5882)) + -128.7834)"
17,38266.37,"(x1 * 1.4395125) + (((x2 * 0.0053427774) + 1.6993859) * sqrt(x3 * sqrt(x1 - -0.047127526)))"
18,38219.164,"(x1 * 1.3423499) + abs((sqrt(x3 * sqrt(x1)) * ((x2 * 0.0036264276) + 2.123641)) + -37.315445)"
19,38029.453,"(x1 * 1.3649061) + ((sqrt(sqrt(x1 - -0.18967232) * x3) * ((x2 * 0.003830241) + 2.068903)) + -33.770298)"
20,38016.98,"(x1 * 1.3585117) + abs((sqrt(sqrt(x1 - -0.19638148) * x3) * ((x2 * 0.003730991) + 2.0936527)) + -35.94868)"
21,37985.29,"(x1 + -43.13316) + ((2.189923 + (x2 * 0.0036920323)) * sqrt(((x1 * 3.5713165) + x3) * sqrt(x1 - -0.23454702)))"
22,37870.957,"((((x2 * 0.004468014) + 1.8795344) * sqrt(sqrt(x1 - -0.526242) * x3)) + -51.706997) + ((sqrt(x1) * 8.916871) + x1)"
23,37844.977,"abs((((x2 * 0.00433064) + 1.9106365) * sqrt(sqrt(x1 - -0.561077) * x3)) + ((sqrt(x1) * 8.981364) + (x1 + -55.532913)))"
24,37832.266,"abs(sqrt(sqrt((x1 * sqrt(x3)) * x3) * sqrt((x2 * x0) - ((x0 - 80.46106) * x1))) - (x0 + 21.219187))"
25,37637.203,"sqrt(sqrt((x2 * x0) - ((x0 - 78.2743) * (x1 - -24.26014))) * sqrt(((x1 * sqrt(x3)) - -24.26014) * x3)) + -72.728676"
26,37591.375,"abs(sqrt(sqrt((x2 * x0) - ((x0 - 80.66205) * (x1 - -38.792103))) * sqrt(x3 * ((x1 * sqrt(x3)) - -32.137165))) + -91.53159)"
27,37501.406,"abs(sqrt(sqrt(0.54785514 * ((((x2 + -88.20949) * x2) - ((x0 - 116.480804) * (x1 - -44.851105))) * (x3 * (x1 * sqrt(x3)))))) - 52.912495)"
28,37298.74,"sqrt(sqrt(((((x2 * (x2 + -94.1122)) - ((x0 - 114.13916) * (x1 - -53.763054))) * (x1 - -0.38905966)) * (x3 * 0.58339375)) * sqrt(x3))) - 63.213993"
29,37265.094,"abs(64.31775 - sqrt(sqrt(((x2 * (x2 + -93.69023)) - ((x1 - -53.763054) * (x0 - 114.13916))) * (sqrt(x3) * ((x3 * (x1 - -0.38905966)) * 0.5844979)))))"
30,37103.582,"sqrt(sqrt((x3 * (((-0.6015854 - x1) * (x0 + sqrt(x3))) * 0.43123934)) * (((x1 - -101.87579) * (x0 - 103.32623)) - ((x2 + -93.47895) * x2)))) - 92.89943"
31,36949.207,"sqrt(sqrt(abs(((((x0 - 97.45417) * (x1 - -90.893394)) - (x2 * (x2 + -111.42655))) * ((x3 * 0.5323951) * (-0.5753313 - x1))) * (sqrt(x3) + x0)))) - 84.36493"
