Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.075644724"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt((x1 * x3) / 1.141295)"
8,40631.688,"(sqrt(x1 * x3) + x2) / 1.2199571"
9,39787.38,"(sqrt(x3) * 0.79025346) * (sqrt(x1) + 1.8461388)"
11,39376.14,"(sqrt(x1) + 2.065628) * sqrt(x1 + (x3 * 0.57570654))"
13,38685.28,"((sqrt(x1) + 4.7883782) * ((sqrt(x3) + 30.893415) * 0.56633437)) + -174.21965"
14,38589.598,"abs((((sqrt(x3) + 35.202934) * 0.545121) * (sqrt(x1) + 5.3525186)) + -209.0001)"
15,38449.645,"((sqrt(x2 + (x3 * 0.3051327)) + 16.976313) * (sqrt(x1) + 5.396799)) - 206.34225"
16,38349.598,"abs(((sqrt(x1) + 6.102341) * (sqrt((x3 * 0.27863932) + x2) + 18.973377)) - 251.07988)"
17,38292.957,"((sqrt(x3) + sqrt(x1 * 7.5646396)) + -19.695133) * sqrt(sqrt((x1 * 54.290504) - -6.1256866))"
18,38186.96,"abs(((x2 * 0.46663505) + -226.1337) + (((sqrt(x3) + 37.85171) * 0.5305168) * (sqrt(x1) + 4.8745522)))"
19,38153.52,"((sqrt(x3 + x2) + -21.124737) + sqrt(x1 * 7.402943)) * sqrt(sqrt((x1 * 56.944138) - -6.8056583))"
20,38004.324,"((sqrt(x1 * 8.480663) - 26.095875) + (sqrt(x2) + sqrt(x3))) * sqrt(sqrt((x1 * 42.67573) - -5.0252814))"
21,37803.504,"(((sqrt(x3) + sqrt(x1 * 9.118552)) + -23.981882) + (x2 / 10.42829)) * sqrt(sqrt((x1 * 36.677795) - -4.401225))"
22,37789.277,"sqrt(sqrt((x1 * 37.00782) - -4.6595707)) * abs(((x2 / 10.405691) + (sqrt(x3) + sqrt(x1 * 9.179468))) + -24.326227)"
23,37674.74,"(sqrt(sqrt((x1 * 36.277695) - -7.192973)) * (sqrt(x1 * 24.455225) + ((sqrt(x3) + (x2 / 10.420537)) + -29.003178))) - x1"
24,37642.48,"abs(x1 - (sqrt(sqrt((x1 * 36.79415) - -8.02674)) * ((((x2 / 10.36761) + -29.61601) + sqrt(x1 * 24.59403)) + sqrt(x3))))"
25,37536.363,"(sqrt(x3) + ((x2 / 10.022617) + (sqrt(x1 * 16.461714) + -31.868898))) * (sqrt(sqrt((x1 - -0.16296718) * 46.48599)) - (x1 / 182.03465))"
26,37467.523,"(sqrt(sqrt((x1 + 0.19499429) * 48.688038)) - (x1 / 164.73676)) * abs(((sqrt(x3) + (x2 / 9.878383)) + sqrt(x1 * 17.555305)) + -33.64417)"
27,37445.984,"(sqrt(sqrt((x1 * 52.674934) - -4.3957624)) - (x1 / 122.83648)) * (((x2 / 9.985385) + -52.17258) + (sqrt(x3) + sqrt((x1 - -25.071936) * 29.56577)))"
28,37392.453,"abs((sqrt(sqrt((x1 * 54.346577) - -5.0379148)) - (x1 / 118.898834)) * ((sqrt(x3) + ((x2 / 9.812124) + -51.398613)) + sqrt((x1 - -21.37186) * 29.205984)))"
29,37385.0,"(sqrt((x1 + 51.238976) * 31.090559) + (((x2 / 10.037422) + sqrt(x3)) + -61.548717)) * (sqrt(sqrt((x1 - -0.51132244) * 103.9311)) - ((x1 / 95.0147) - -1.1768512))"
30,37208.797,"(sqrt(sqrt(x1 * 29.233572)) + (x3 / (((31.6789 - x0) * 7.5853) + x3))) * ((sqrt(sqrt((x1 * 5.951854) - -56.600986)) * 14.461242) + (sqrt(x3) - 62.11734))"
31,37129.63,"abs((((sqrt(sqrt((x1 * 6.1779547) - -56.40233)) * 14.26104) + sqrt(x3)) - 63.039127) * (sqrt(sqrt(x1 * 31.40145)) + (x3 / (x3 + ((31.678555 - x0) * 7.582857)))))"
33,37060.504,"abs(((sqrt(sqrt((x1 * 6.1779547) - -56.40233)) * 14.26104) + (sqrt(x3) - 63.039127)) * ((x3 / (x3 + ((31.678555 - x0) * 7.582857))) + sqrt(sqrt((x1 * 31.38694) - -0.25002345))))"
34,36997.863,"((x1 / (x3 + ((31.800388 - x0) * 7.7009892))) + sqrt(sqrt((x1 - -0.09731917) * 48.668064))) * (((sqrt(sqrt((x1 * 5.3768187) - (x2 * -1.1389036))) * 13.468957) + sqrt(x3)) - 57.534897)"
35,36925.61,"((x1 / (x3 + ((31.800388 - x0) * 7.7009892))) + sqrt(sqrt((x1 - -0.09731917) * 48.668064))) * abs(((sqrt(sqrt((x1 * 5.3768187) - (x2 * -1.1389036))) * 13.468957) + sqrt(x3)) - 57.534897)"
36,36784.293,"(sqrt(sqrt((x1 * 41.5913) - -5.1854568)) + (x1 / (x3 + ((31.734797 - x0) * 7.6577497)))) * ((sqrt(sqrt((x1 * 5.8402996) - -51.196915)) * 12.378369) + ((x2 / 12.96055) + (sqrt(x3) - 56.014816)))"
37,36761.086,"((x1 / (x3 + ((31.774927 - x0) * 7.6630726))) + sqrt(sqrt((x1 * 42.398235) - -5.295104))) * abs(((11.905964 * sqrt(sqrt((x1 * 6.760297) - -51.023743))) + (x2 / 13.082525)) + (sqrt(x3) - 55.90204))"
39,36758.92,"((x1 / ((x3 - 0.28173614) + ((31.80173 - x0) * 7.667847))) + sqrt(sqrt((x1 * 42.3938) - -5.295676))) * abs((sqrt(x3) + (sqrt(sqrt((x1 * 6.7534366) - -51.02431)) * 11.898287)) + ((x2 / 13.078233) - 55.900536))"
