Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.075649336"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt(x3 * (x1 * 0.876146))"
8,40631.688,"(x2 + sqrt(x3 * x1)) / 1.2199667"
9,39787.38,"sqrt(x3) * ((sqrt(x1) + 1.8476486) / 1.2656344)"
11,39376.137,"(sqrt(x1) + 2.0668218) * sqrt(x1 + (x3 / 1.7377646))"
13,38685.29,"(((sqrt(x1) + 4.795149) / 1.7668449) * (sqrt(x3) + 30.949125)) - 174.53546"
14,38589.6,"abs(209.4981 - ((sqrt(x3) + 35.272232) * ((sqrt(x1) + 5.3613534) / 1.8356383)))"
15,38323.387,"((((sqrt(x1) + 4.7457914) * (sqrt(x3) + 38.172203)) + x2) / 1.9054569) + -217.74828"
16,38184.742,"abs(((x2 + ((5.2769904 + sqrt(x1)) * (sqrt(x3) + 42.459805))) / 1.9647658) + -252.73946)"
17,38111.77,"((sqrt(x3) + 36.798817) * ((sqrt(x1) + ((x2 * 0.01240234) + 3.0836985)) / 1.8875858)) - 145.64418"
18,38026.453,"abs(179.25415 - ((sqrt(x3) + 42.086124) * (((sqrt(x1) + 3.5729692) + (x2 * 0.012709908)) / 1.9687682)))"
19,38010.78,"abs(abs(((((sqrt(x1) + 6.8040857) * (sqrt(x3) + 54.570927)) + x2) / 2.1526372) + -303.6106) - 40.953495)"
20,37969.566,"abs(176.42682 - (((sqrt(x3) + 38.07405) / 1.8826284) * ((((x0 - x2) * -0.014920004) + 3.6730785) + sqrt(x1))))"
21,37574.555,"(((x2 * 0.02617404) - 3.3954055) * x0) + (((sqrt(x1) + 5.0012155) * ((sqrt(x3) + 41.00874) / 1.9577008)) - 171.12245)"
22,37428.28,"abs((((sqrt(x3) + 41.74867) * (sqrt(x1) + 5.1137247)) / 1.9637202) + (((x2 * 0.030256353) - 4.2076387) * x0)) - 170.47963"
23,37341.516,"abs(197.18993 - abs((((sqrt(x1) + 5.561052) / 2.0242248) * (sqrt(x3) + 45.72908)) + (x0 * ((0.031302314 * x2) - 4.4048495))))"
25,37267.918,"abs(abs((((sqrt(x1) + 7.4046736) * (sqrt(x3) + 61.34684)) / 2.2784083) - (267.6519 - ((-3.804089 - (x2 * -0.027936976)) * x0))) + -47.293106)"
27,37246.258,"abs(abs((((sqrt(x0 + x3) + 60.539764) / 2.2670095) * (sqrt(x1) + 7.436091)) - (267.0101 - (x0 * (-3.895346 - (x2 * -0.027999988))))) + -47.77446)"
29,37028.52,"abs((((sqrt(x1) + 7.15174) * ((sqrt(x3) + 43.209244) / 1.9626682)) - 276.94116) - (x0 * ((x2 * -0.03592311) - -2.5524988))) + (sqrt(x3) * (x0 * -0.036769494))"
30,37007.305,"abs(((sqrt(x3) * x0) * -0.03799282) + abs((((sqrt(x3) + 42.84245) * ((sqrt(x1) + 7.1666036) / 1.9545027)) - 277.4675) - (((x2 * -0.0363448) - -2.5447595) * x0)))"
31,36955.004,"((sqrt(x3) * (x0 * -0.036875825)) + -25.051615) + abs((((sqrt(x1) + 8.150253) * ((sqrt(x3) + 50.66978) / 2.0866578)) - 309.10754) - (((x2 * -0.036453035) - -2.665731) * x0))"
32,36797.215,"abs(abs((x0 * ((x2 * -0.037446234) - -2.6823342)) - ((((sqrt(x1) + 8.81251) / 2.1362073) * (sqrt(x3) + 54.7127)) - 337.5205)) + (((x0 * -0.03882497) * sqrt(x3)) + -43.135075))"
34,36771.32,"abs((((sqrt(x3) * -0.040895775) * x0) + -44.50125) + abs(((x0 + -5.007644) * ((x2 * -0.041245606) - -2.900247)) - (((sqrt(x1) + 8.950314) * ((sqrt(x3) + 53.410862) / 2.119352)) - 338.1593)))"
36,36711.207,"abs((((x0 * -0.037245993) * ((x1 * 0.17040208) + sqrt(x3))) + -43.49118) + abs((((sqrt(x3) + 52.781364) * ((sqrt(x1) + 7.7592564) / 1.9804904)) - 325.17227) - (x0 * ((x2 * -0.03770734) - -2.478046))))"
37,36595.52,"abs((((x0 * sqrt(abs(x3 + (x2 / -0.117990874)))) * -0.054596346) + -42.107403) + abs(((((sqrt(x3) + 50.257805) * (sqrt(x1) + 8.858546)) / 2.0622265) - 335.63556) - (x0 * ((x2 * -0.04123037) - -2.3354714))))"
39,36569.332,"abs((((x0 * -0.055309933) * sqrt(abs(x1 + ((x2 / -0.113475375) + x3)))) + -42.107403) + abs(((((sqrt(x3) + 50.25782) * (sqrt(x1) + 8.858525)) / 2.0613725) - 335.63556) - (x0 * ((x2 * -0.041673746) - -2.3354478))))"
41,36544.766,"abs((((sqrt(x3) * -0.04293105) * (x0 - ((x2 * x0) / ((x3 + -1.2753652) * (x0 - 83.01164))))) + (((sqrt(x3) + 50.26248) * ((sqrt(x1) + 8.79874) / 2.1527696)) - 335.63498)) - (x0 * ((x2 * -0.036919527) - -2.3578994)))"
42,36410.55,"abs(((sqrt(x3) * -0.04293105) * (x0 - (x2 * (x0 / ((x3 + -1.2753652) * (x0 - 83.01164)))))) + abs(((((sqrt(x3) + 50.26248) * (sqrt(x1) + 8.79874)) / 2.1527696) - 335.63498) - (x0 * ((x2 * -0.036919527) - -2.3578994))))"
44,36055.395,"abs(abs(((((sqrt(x3) + 50.256004) * (sqrt(x1) + 8.864888)) / 2.0629568) - 335.6352) - (x0 * ((x2 * -0.036781702) - -2.3404157))) + (-42.107395 + ((sqrt(x3) * -0.043750126) * (x0 - ((x2 * x2) / ((x0 + x3) * (x0 - 83.02305)))))))"
46,36055.39,"abs(abs((((sqrt(x3) + 50.256004) * ((sqrt(x1) + 8.864888) / 2.0629568)) - 335.6352) - (x0 * ((x2 * -0.036781702) - -2.3404157))) + (-42.107395 + ((sqrt(x3) * -0.043750126) * (x0 - ((x2 * x2) / (((0.24510103 + x0) + x3) * (x0 - 83.02305)))))))"
47,36055.387,"abs(abs((((sqrt(x3) + 50.256004) * ((sqrt(x1) + 8.864888) / 2.0629568)) - 335.6352) - (x0 * ((x2 * -0.036781702) - -2.3404157))) + (-42.107395 + ((sqrt(x3) * -0.043750126) * (x0 - ((x2 * x2) / ((abs(-0.45976514) + (x0 + x3)) * (x0 - 83.02305)))))))"
48,36040.438,"abs(abs((((sqrt(x3) + 50.256004) * ((sqrt(x1) + 8.864888) / 2.0629568)) - 335.6352) - (x0 * ((x2 * -0.036781702) - -2.3404157))) + ((sqrt(x0 + x3) * ((x0 - (((x2 * x2) / 1.0769919) / ((x0 + x3) * (x0 - 83.02305)))) * -0.043750126)) + -42.107395))"
50,36018.43,"abs(abs((((x2 * -0.037833963) - -2.3404336) * (x0 + -2.340426)) - ((((sqrt(x1) + 8.86483) * (sqrt(x3) + 50.256004)) / 2.0632067) - 335.6352)) + ((sqrt(x0 + x3) * ((x0 - (((x2 * x2) / 1.07699) / ((x0 + x3) * (x0 - 83.02286)))) * -0.04379539)) + -42.107395))"
