Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07564747"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt((x3 * 0.87622297) * x1)"
8,40631.688,"(x2 + sqrt(x1 * x3)) / 1.2199599"
9,39787.38,"(sqrt(x1) + 1.8469907) * sqrt(x3 * 0.6244569)"
11,39356.004,"sqrt(sqrt(x3) * (x1 * 44.61737)) + (x3 * 0.022792429)"
12,38822.668,"x1 + abs((sqrt(x3 * sqrt(x1)) * 2.8230445) + -62.132717)"
13,38485.13,"((sqrt(sqrt(x3) * x1) * 6.992881) - 46.707325) + (x3 * 0.026393479)"
14,38393.863,"abs((sqrt((x1 * sqrt(x3)) * 49.66337) - 53.30497) + (x3 * 0.026747532))"
15,38250.926,"(x3 * 0.019364908) + sqrt((sqrt(x3) * (x1 * (152.85857 + x2))) * 0.18162924)"
17,38031.14,"(sqrt(((x1 * sqrt(x3)) * (x2 + 251.93553)) * 0.13641092) + -27.333952) + (x3 * 0.022388235)"
18,37999.887,"abs(x0 - (x3 * 0.023152417)) + sqrt((x1 * (sqrt(x3) * 0.1815289)) * (x2 + 161.4764))"
19,37860.266,"((x3 * 0.02234548) + -28.94282) + sqrt((x1 * (((x2 - x0) + 168.34557) * sqrt(x3))) * 0.2060174)"
20,37828.285,"abs(((x3 * 0.022653779) + sqrt(((((176.98196 - x0) + x2) * 0.20028606) * sqrt(x3)) * x1)) + -32.782795)"
21,37812.36,"abs(sqrt(((abs(x2 - x0) + 172.02368) * 0.204225) * (x1 * sqrt(x3))) + ((x3 * 0.022629527) + -32.707443))"
22,37795.99,"abs((x3 * 0.022730595) + (sqrt((((x2 + (177.01738 - x0)) * 0.1996475) * sqrt(x0 + x3)) * x1) + -33.31257))"
23,37561.055,"((x3 * 0.02274846) + -28.240747) + sqrt((sqrt((x0 * x0) + x3) * 0.19691062) * (x1 * (x2 + (149.95187 - x0))))"
24,37536.76,"abs(sqrt((((x2 + 155.38103) - x0) * 0.19310111) * (sqrt((x0 * x0) + x3) * x1)) + ((x3 * 0.022987572) + -31.008242))"
25,37283.87,"sqrt((sqrt(x3 + (x0 * x0)) * (x1 * 0.22678329)) * (x2 + (155.08228 - (x0 * 1.8368634)))) + ((x3 * 0.024034979) + -38.10956)"
26,37215.617,"sqrt(((x1 * 0.23043476) * sqrt(x3 + (x0 * x0))) * (abs(161.81056 - (x0 * 2.1605935)) + x2)) + ((x3 * 0.024455145) - 40.498962)"
27,37156.07,"abs(sqrt(((x1 * 0.22864462) * sqrt((x0 * x0) + x3)) * (x2 + abs(169.47546 - (x0 * 2.2621546)))) + (-46.97057 + (x3 * 0.024967667)))"
29,37096.645,"((x3 * 0.023629125) + -35.533314) + sqrt((sqrt(abs((x3 + (x0 * x0)) - 148.86217)) * 0.23465127) * (x1 * (x2 + abs(165.74533 - (x0 * 2.2870471)))))"
30,36965.023,"sqrt(x3) + ((sqrt(sqrt(x3 + (x0 * x0)) * ((((34.444633 - x0) + x2) * x1) + 509.82977)) - ((x1 * (x2 + -33.349564)) * 0.019455966)) + -140.28246)"
31,36767.76,"sqrt(sqrt(x3 + (x0 * x0)) * ((x1 * ((x2 + 30.085016) - x0)) + 464.91043)) + (-115.87679 - (((x2 + -41.617138) * (x1 * 0.02082993)) + (x3 * -0.010189339)))"
32,36700.723,"abs((0.010103306 * x3) + ((-136.15459 - ((x1 * (x2 + -39.528095)) * 0.020929025)) + sqrt(((((34.515194 + x2) - x0) * x1) + 594.3684) * sqrt(x3 + (x0 * x0)))))"
33,36595.742,"sqrt(sqrt((x0 * x0) + (x3 / 1.6271051)) * ((x1 * (x2 + (28.140442 - x0))) + 269.64365)) + (((x3 * 0.014692928) + -85.42375) - ((x1 * (x2 + -54.759342)) * 0.019442465))"
34,36562.594,"abs(sqrt(sqrt((x0 * x0) + (x3 / 1.6182746)) * ((x1 * ((29.101988 - x0) + x2)) + 269.7416)) + (((x3 * 0.014988403) - (x1 * ((x2 + -54.01058) * 0.019585092))) + -89.47675))"
35,36423.87,"(((-75.643974 - (((x2 + -51.17297) * x1) * 0.017819507)) - x0) + sqrt(((((x2 + 36.311947) - x0) * x1) + 273.95502) * sqrt((x3 / 2.068524) + (x0 * x0)))) + (x3 * 0.01840253)"
36,36400.402,"abs((((-76.16212 - (((x2 + -50.261997) * x1) * 0.017793681)) - x0) + sqrt(sqrt((x3 / 2.0619917) + (x0 * x0)) * ((x1 * (x2 + (36.830227 - x0))) + 273.18826))) + (x3 * 0.018375546))"
38,36385.406,"abs(sqrt(sqrt(((x0 + -1.98864) * x0) + (x3 / 2.0889146)) * (((x2 + (37.514072 - x0)) * x1) + 273.2455)) + (((-75.31809 - (((x2 + -50.941696) * x1) * 0.01774106)) - x0) + (x3 * 0.018386971)))"
40,36374.125,"abs(sqrt(((x1 * ((x2 + 35.340584) - x0)) + 202.38275) * sqrt(abs(((x0 + -23.537037) * x0) + (x3 / 1.9318775)))) + (-67.13906 - ((x3 * -0.015135376) + (x1 * ((sqrt(x2 + 75.96077) + -11.674981) * 0.48769915)))))"
42,36335.996,"abs(((-59.8438 - ((x1 * (sqrt(x2 + 72.88198) + -11.884918)) * 0.48775455)) + (x3 * 0.016227877)) + sqrt((((((x2 + 30.398657) - x0) * x1) + 201.44847) - x0) * sqrt(abs(((x0 + -24.9677) * x0) + (x3 / 2.0854359)))))"
44,36307.668,"abs(sqrt((((x0 * -1.5648031) + 212.72653) + (x1 * (x2 + (35.313324 - x0)))) * sqrt(abs(((x0 + -23.223368) * x0) + (x3 / 1.9596124)))) + (-66.8877 - ((x3 * -0.015936188) + ((x1 * (sqrt(x2 + 75.96948) + -11.666066)) * 0.4919762))))"
45,36243.723,"abs((-60.482887 - ((((sqrt(x2 + 76.28947) + -11.806389) * 0.4818771) * x1) + (x3 * -0.016923243))) + sqrt(abs(((x0 * -3.3248696) + 225.7848) + (x1 * ((x2 + 31.41866) - x0))) * sqrt(abs(((x0 + -22.516233) * x0) + (x3 / 2.032072)))))"
47,36239.633,"abs((-55.3509 - ((((sqrt(x2 + 76.28015) + -11.902376) * x1) * 0.48690236) + (x3 * -0.016453894))) + sqrt(sqrt(abs((x3 / 2.0883064) + ((x0 + 0.82160217) * (x0 + -22.599215)))) * abs((x1 * ((x2 + 31.730093) - x0)) + ((x0 * -3.5886462) + 231.81769))))"
49,36211.895,"abs((-58.486687 - (((x1 * (-12.082519 + sqrt(x2 + 76.51167))) * 0.5292527) + (x3 * -0.017184986))) + sqrt(sqrt(abs((x3 / 1.9438289) + ((x0 / 0.79949206) * (x0 + -22.12018)))) * abs((x1 * ((x2 + 28.614464) - (x0 + 4.175892))) + (231.80574 + (x0 * -3.9375148)))))"
