Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07563889"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt(x1 * (x3 * 0.8761326))"
8,40631.688,"(x2 + sqrt(x3 * x1)) * 0.8197145"
9,39787.38,"(sqrt(x1 * 0.6244457) + 1.4595828) * sqrt(x3)"
11,39420.754,"sqrt(x3 * (sqrt((x1 - -40.303402) * 281.56866) - 104.56161))"
12,38822.668,"abs(sqrt(x3 * (sqrt(x1) * 7.9693785)) + -62.12618) + x1"
13,38676.17,"(sqrt(x3 * (sqrt(x1 - -0.28857252) * 7.9893627)) + x1) + -64.12225"
14,38592.56,"x1 + abs(sqrt((x3 * 8.14787) * sqrt(x1 - -0.3194742)) + -70.53368)"
15,38391.746,"sqrt((sqrt(x1 - -1.1564715) * (x3 + 586.16223)) * 8.571304) + (x1 + -124.74295)"
16,38146.938,"abs(sqrt(sqrt(x1) * ((x3 * 7.3297734) + (x2 * x0))) + -62.916492) + x1"
18,38003.824,"(x1 + abs(sqrt(((x2 * x0) + (x3 * 4.8065095)) * sqrt(x1)) + -52.374645)) * 1.1762494"
19,37946.24,"(x1 + (((x2 + -152.77934) * x0) * 0.028952595)) + sqrt((x3 * sqrt(x1 - -0.09453085)) * 7.057229)"
20,37780.867,"abs((x1 * 1.3645904) + (((x0 * 0.031173809) * (x2 + -138.83885)) + sqrt(sqrt(x1) * (x3 * 5.995719))))"
21,37589.0,"x1 + (((x2 + -139.6227) * (x0 * 0.02652931)) + sqrt((x3 * 7.537491) * (sqrt(x1 - -1.321757) - 0.9623616)))"
22,37457.02,"abs((x1 + (((x2 + -160.8052) * ((x0 * x2) * 0.0002646471)) + sqrt(x3 * (sqrt(x1) * 7.980445)))) + -40.053917)"
23,37278.188,"(((x2 + -162.89983) * (x0 * (x2 * 0.00025483296))) + -46.64111) + (sqrt((x3 * sqrt(x1 - -0.3168591)) * 8.150412) + x1)"
24,37232.598,"abs((((x2 * x0) * ((x2 + -163.56912) * 0.00026101185)) + x1) + sqrt((sqrt(x1 - -0.32043847) * 8.169119) * x3)) + -47.04951"
25,37126.074,"x1 + (((((x2 + -160.78835) * (x2 * x0)) * 0.00024973296) + sqrt(((x1 + x3) * sqrt(x1 - -0.36277816)) * 7.997773)) + -49.779114)"
26,37081.89,"x1 + abs((((x0 * sqrt(x1)) * ((sqrt(x3) * -1.6451639) + x2)) * 0.00443227) + (-74.478676 + sqrt(sqrt(x1) * (8.954588 * x3))))"
27,36872.97,"x1 + abs(((((x2 + (sqrt(x3) * -1.7241929)) * x0) * (sqrt(sqrt(x1)) * 0.015006238)) + -75.89114) + sqrt((sqrt(x1) * 9.342366) * x3))"
28,36652.742,"((sqrt((x3 * sqrt(x1 + 0.39041838)) * 9.684054) + x1) + (((x2 + (sqrt(x3) * -1.7555989)) * (sqrt(sqrt(x1)) * 0.015349538)) * x0)) + -84.75625"
29,36523.85,"x1 + abs(((((sqrt(sqrt(x1)) * 0.015612084) * ((sqrt(x3) * -1.7907025) + x2)) * x0) + sqrt((x3 * 10.121974) * sqrt(x1 + 0.4257553))) + -94.89059)"
30,36304.453,"abs((sqrt((x3 * sqrt(x1)) * 8.702554) + -70.60296) + abs(x1 - ((sqrt(x1) * 0.007692171) * abs(((x0 * -1.318062) * sqrt(x3)) + (x2 * x0)))))"
31,36157.297,"(sqrt(sqrt(x1 + 0.29681927) * (x3 * 8.767131)) - 73.79868) + abs((sqrt(x1) * abs(((x2 * x0) + (sqrt(x3) * (x0 * -1.3175851))) * 0.0076762736)) - x1)"
32,36004.984,"abs(x1 - (sqrt(x1) * (abs((x2 * x0) + ((x0 * -1.3267099) * sqrt(x3))) * 0.008179274))) + (abs(sqrt(x3 * (sqrt(x1) * 9.6354685)) + -69.65282) - x0)"
33,35869.58,"((-66.77615 - x0) + abs(x1 - abs((((x0 * -1.3280071) * sqrt(x3)) + (x2 * x0)) * (sqrt(x1) * -0.00824837)))) + sqrt((x3 * sqrt(x1 + 0.4021957)) * 9.492578)"
34,35730.22,"abs(abs((sqrt(x1) * 0.00818834) * (((x0 * -1.325948) * sqrt(x3)) + (x2 * x0))) - x1) + (abs(sqrt(sqrt(x1 + 0.43633416) * (x3 * 9.738715)) + -75.722885) - x0)"
35,35665.395,"(sqrt(((x3 + x1) * 9.394222) * sqrt(x1 + 0.47035605)) + (-70.26498 - x0)) + abs(abs((sqrt(x1) * ((x2 * x0) + (sqrt(x3) * (x0 * -1.3278122)))) * 0.008263414) - x1)"
36,35525.355,"(abs(sqrt(((x3 + x1) * sqrt(x1 + 0.47940734)) * 9.552845) + -77.19803) - x0) + abs(x1 - abs(((x0 * (sqrt(x3) * -1.3232136)) + (x2 * x0)) * (sqrt(x1) * 0.008111612)))"
37,35510.668,"abs((abs(sqrt(sqrt(x1 + 0.4678822) * ((x3 + x1) * 9.575587)) + -75.73317) - x0) + abs(x1 - abs((((x0 * -1.3220398) * sqrt(x3)) + (x2 * x0)) * (sqrt(x1) * 0.00818029))))"
38,35464.543,"(abs(sqrt((x1 + (x3 + x1)) * (9.552845 * sqrt(x1 + 0.47940734))) + -77.19803) - x0) + abs(abs(((x0 * (sqrt(x3) * -1.3232136)) + (x2 * x0)) * (sqrt(x1) * 0.008111612)) - x1)"
39,35374.93,"((-91.18271 - x0) + sqrt((x3 + 184.09344) * (sqrt(x1 + 0.52841014) * 9.458291))) + abs(abs((sqrt(x1) * 0.00860501) * ((x2 * x0) + ((x0 * sqrt(x3)) * -1.2999728))) - ((x1 - 12.340258) * 1.2994643))"
40,35331.605,"abs(((-91.18271 - x0) + sqrt(((x3 + 184.09344) * sqrt(x1 + 0.52841014)) * 9.458291)) + abs(abs((0.008605049 * sqrt(x1)) * ((x2 * x0) + ((-1.2999728 * x0) * sqrt(x3)))) - ((x1 - 12.340258) * 1.2994643)))"
41,35297.18,"abs(((x1 - 13.086691) * 1.3306036) - (sqrt(x1) * abs((((x0 * x2) - x1) + (sqrt(x3) * (x0 * -1.237913))) * 0.008483623))) + (sqrt(sqrt(x1 + 0.49416977) * ((x3 + 183.35603) * 9.37859)) + (-90.35251 - x0))"
42,35168.496,"(sqrt((x3 + 182.976) * (sqrt(x1 + 0.4304041) * 9.288596)) + (-86.97966 - x0)) + abs(abs((x1 * 1.3861104) - x0) - abs(((((x2 * x0) - x1) + (sqrt(x3) * (x0 * -1.2313842))) * 0.0080927275) * sqrt(x1)))"
