Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07564485"
4,43965.05,"sqrt(x1 * x3)"
6,42851.902,"sqrt((x1 * x3) * 0.8761444)"
8,40631.688,"(x2 + sqrt(x3 * x1)) * 0.8197159"
9,40091.05,"sqrt(x3) + sqrt(x1 * (x3 / 1.430338))"
11,39738.363,"sqrt(((x3 / 1.5350127) + 274.9498) * x1) + sqrt(x3)"
12,39736.504,"sqrt(x3 * (x1 / 1.4890645)) + sqrt(x2 * sqrt(x3))"
13,39387.938,"(sqrt(x3) + sqrt(x1 * ((x3 / 4.0775642) + x1))) * 1.5079894"
14,38822.668,"x1 + abs(62.125496 - sqrt(sqrt(((x3 * x1) * 63.509094) * x3)))"
15,38676.164,"sqrt(sqrt((x1 + 0.28830984) * ((x3 * 63.833454) * x3))) + (x1 - 64.14791)"
16,38592.555,"x1 + abs(sqrt(sqrt((x1 + 0.32052892) * ((x3 * 66.41103) * x3))) - 70.569466)"
17,38511.113,"((x1 - 49.889553) * 1.2462152) + sqrt(sqrt(x3 * (((x1 + 0.3579361) * 54.238693) * x3)))"
18,38346.008,"sqrt(sqrt(x3 * ((((x1 + x2) * x1) + 25.36909) * (sqrt(x3) * 40.163303)))) - 55.184315"
19,38220.324,"sqrt(sqrt((x3 * 451.75113) * ((((x2 + x1) * x1) * sqrt(sqrt(x3))) + 563.2619))) - 97.05435"
20,38007.82,"(sqrt(sqrt((x2 + 60.77097) * ((x3 * 38.57262) * ((x1 * sqrt(x3)) + 52.181953)))) + x1) - 105.50114"
21,37944.875,"x1 + abs(sqrt(sqrt(((sqrt(x3) * x1) + 57.873592) * ((x2 + 69.24323) * (x3 * 38.71842)))) - 114.66839)"
22,37849.113,"(x1 + sqrt(sqrt((((sqrt(x3) * x1) + 123.10914) * ((x3 - -442.06772) * 39.955784)) * (x2 + 93.16932)))) - 160.53369"
23,37715.758,"((x0 / 30.659435) * (x2 - 133.03166)) + (x1 + abs(sqrt(sqrt(sqrt(x3) * (x1 * (x3 * 6087.4917)))) - 77.40407))"
24,37445.105,"abs(abs(sqrt(sqrt((x1 * sqrt(x3)) * (x3 * 6580.1187))) + ((x2 - 135.98691) * (x0 / 28.165993))) + (x1 - 84.77909))"
25,37302.812,"abs(sqrt(sqrt((x1 + 0.89130473) * ((x3 * 6882.1816) * sqrt(x3)))) + ((((x2 - 142.34692) * x0) / 29.42597) + x1)) - 90.20608"
26,37166.742,"abs(97.37302 - abs(sqrt(sqrt((x1 + 0.90421635) * (sqrt(x3) * (x3 * 7166.9487)))) + ((((x2 - 142.42847) * x0) / 29.195807) + x1)))"
