Complexity,Loss,Equation
1,155063.73,"355.49948"
3,98599.48,"x3 * 0.07564747"
4,43965.05,"sqrt(x3 * x1)"
6,42851.902,"sqrt((x1 * x3) * 0.87614095)"
8,40631.688,"(x2 + sqrt(x3 * x1)) * 0.81971747"
9,40091.05,"sqrt(x3) + (sqrt(x1 * x3) * 0.8361097)"
10,39895.484,"sqrt(sqrt((x1 * sqrt(x1)) * 8.405023) * x3)"
11,39487.746,"x1 + sqrt(x3 * sqrt((x1 * x2) * 0.35399133))"
12,38822.668,"x1 + abs(sqrt(x3 * sqrt(x1 * 63.50993)) + -62.125183)"
13,38676.17,"(sqrt(x3 * sqrt((x1 - -0.28768238) * 63.829674)) + x1) + -64.118355"
14,38592.555,"x1 + abs(sqrt(x3 * sqrt((x1 - -0.32012382) * 66.39971)) + -70.536285)"
15,38391.445,"x1 + (sqrt(sqrt((x1 - -1.0669707) * 72.86951) * (x3 - -539.37836)) + -120.26903)"
16,38146.938,"x1 + abs(sqrt(((x3 * 7.326359) + (x0 * x2)) * sqrt(x1)) + -62.82803)"
17,37955.887,"x1 + (sqrt(((x2 * x0) + (x3 * 7.4104505)) * sqrt(x1 - -0.3309601)) + -67.51479)"
18,37895.848,"x1 + abs(sqrt(sqrt(x1 - -0.3598713) * ((x0 * x2) + (x3 * 7.5566382))) + -73.371666)"
19,37796.3,"(x1 + (sqrt(sqrt(x1 - -0.40595424) * ((x3 * 4.7827845) + (x2 * x0))) + -57.013752)) / 0.8435667"
20,37740.887,"(x1 + abs(-61.482933 + sqrt(((x2 * x0) + (x3 * 4.8994493)) * sqrt(x1 - -0.43337253)))) / 0.84540033"
21,37473.562,"((sqrt((x3 + ((x0 * x2) * 0.31913975)) * sqrt((x1 + 0.54359215) * 54.06117)) + x1) + -64.43021) - x0"
22,37422.6,"x1 + abs((-69.14093 - x0) + sqrt(((x0 * (x2 * 0.3154427)) + x3) * sqrt((x1 + 0.5750276) * 55.776936)))"
23,37248.49,"(sqrt((x3 + ((x0 * x2) * 0.49736443)) * sqrt((x1 + 1.0585395) * 59.0342)) + -59.05195) - ((x0 * 2.5628235) - x1)"
24,37167.246,"abs(((x0 * 2.8301098) - x1) - sqrt(((x0 * (x2 * 0.5242357)) + x3) * sqrt((x1 + 1.1637058) * 60.664852))) + -59.80327"
25,37126.59,"abs(abs(sqrt((x3 + ((x2 * 0.5232645) * x0)) * sqrt((x1 + 1.214575) * 62.133617)) - ((x0 * 2.8592205) - x1)) + -63.24353)"
26,36849.742,"((x1 + (x0 * -1.6501042)) - 66.09952) + sqrt(sqrt((x1 + 0.718708) * 58.065857) * (x3 + abs((-32.837894 - (x0 - x2)) * x0)))"
27,36822.465,"abs(((x1 + (x0 * -1.6501042)) - 66.09952) + sqrt(sqrt(58.065857 * (x1 + 0.718708)) * (x3 + abs((-32.837894 - (x0 - x2)) * x0))))"
29,36746.2,"abs(((x1 + (x0 * -1.6501042)) - 66.09952) + sqrt(sqrt(58.065857 * (x1 + 0.718708)) * (x3 + abs((-32.837894 - (x0 - x2)) * (x0 - 2.1479404)))))"
30,36694.67,"(x1 + (x0 * -2.1235962)) + (sqrt((abs((4.4667826 - x0) * ((x2 * -1.109395) - (-33.226128 - x0))) + x3) * sqrt((x1 + 0.72087586) * 57.105785)) - 53.28052)"
31,36640.81,"abs(sqrt((x3 + abs((4.7833376 - x0) * ((x2 * -1.1310793) - (-49.270092 - x0)))) * sqrt((x1 + 0.78476703) * 63.211693)) + (x1 + ((x0 * -1.9331977) - 64.3645)))"
32,36590.836,"(abs((sqrt(x1) * -23.761719) - -80.05007) - ((x0 + x0) + 93.08398)) + sqrt((abs(x0 * (-37.196304 - (x2 * -0.6381388))) + x3) * (sqrt(x1 * 55.662422) + 3.741231))"
33,36573.086,"abs((abs((sqrt(x1) * -23.767462) - -79.59291) - ((x0 + 95.03639) + x0)) + sqrt((sqrt(x1 * 56.086052) + 3.892674) * (x3 + abs(x0 * ((x2 * -0.6319423) - -36.794388)))))"
34,36526.695,"(sqrt((sqrt(x1 * 56.153576) + 3.466263) * (abs((-50.495552 - (x2 * -0.74459094)) * (x0 + -4.682674)) + x3)) + abs((sqrt(x1) * -23.733892) - -79.779366)) - (x0 + (x0 + 87.307945))"
35,36510.08,"abs(sqrt((sqrt(x1 * 56.153576) + 3.466263) * (abs((-50.495552 - (x2 * -0.74459094)) * (x0 + -4.682674)) + x3)) + (abs((-23.733892 * sqrt(x1)) - -79.779366) - (x0 + (x0 + 87.307945))))"
36,36347.11,"(sqrt((sqrt(x1 * 56.681877) + 3.1942956) * (x3 + abs((5.2341332 - x0) * ((x2 * -1.0955161) - (-46.199066 - x0))))) + (x0 * -1.7982078)) + (abs(-82.121086 - (sqrt(x1) * -23.847347)) - 95.619255)"
37,36329.26,"abs(sqrt((sqrt(x1 * 56.681877) + 3.1942956) * (x3 + abs((5.2341332 - x0) * ((x2 * -1.0955161) - (-46.199066 - x0))))) + ((x0 * -1.7982078) + (abs(-82.121086 - (sqrt(x1) * -23.847347)) - 95.619255)))"
39,36327.855,"abs((abs((sqrt(x1) * -23.905241) - -80.95274) + ((x0 * -1.8140745) - 96.41851)) + sqrt((sqrt(64.79293 * x1) + 3.63956) * ((x3 * 0.92750645) + abs(((-44.204624 - x0) - (-1.0655924 * x2)) * (5.242596 - x0)))))"
40,36321.977,"(abs(-87.42923 - (sqrt(x1 - -0.96651125) * -24.584255)) + ((x0 * -1.9071662) - 94.81161)) + sqrt((abs(((-45.043804 - x0) - (x2 * -1.0798571)) * (5.2381935 - x0)) + (x3 * 0.9148376)) * (sqrt(x1 * 63.885113) + 4.6889215))"
41,36301.207,"abs(((abs(-87.42923 - (sqrt(x1 - -0.96651125) * -24.584255)) + (x0 * -1.9071662)) - 94.81161) + sqrt((abs(((-45.043804 - x0) - (x2 * -1.0798571)) * (5.2381935 - x0)) + (x3 * 0.9148376)) * (sqrt(63.885113 * x1) + 4.6889215)))"
42,36275.57,"((sqrt(x1) * 8.762291) + (((x0 * -2.6140566) - 104.21646) + abs((sqrt(x1) * -18.094275) - -78.52119))) + sqrt(((sqrt(x1) * 7.1161366) + sqrt(x0)) * (x3 + abs(((-46.50026 - x0) - (x2 / -0.8813916)) * (x0 - 4.8396864))))"
43,36256.848,"abs(((((x0 * -2.6140566) - 104.21646) + (sqrt(x1) * 8.762291)) + abs((sqrt(x1) * -18.094275) - -78.52119)) + sqrt(((sqrt(x1) * 7.1161366) + sqrt(x0)) * (x3 + abs(((-46.50026 - x0) - (x2 / -0.8813916)) * (x0 - 4.8396864)))))"
44,36233.48,"abs(sqrt((sqrt(x1 * 57.110138) + 5.5190973) * ((x3 * 0.92880565) + abs(((-45.330837 - x0) - (x2 * -1.0866122)) * (x0 - 5.228391)))) + (((x0 * -1.8929806) - 122.68005) + ((sqrt(x1) * 9.905349) + abs((sqrt(x1) * -16.948206) - -73.91773))))"
48,36228.707,"abs(((abs(-75.83448 - (sqrt(x1) * -17.187515)) + (sqrt(x1) * 9.946688)) + ((x0 * -1.9172022) - 119.24783)) + sqrt((abs(((x2 * -1.0704207) - (-44.82617 - x0)) * (x0 - 4.7952805)) + (x3 * 0.92208236)) * (sqrt(x1 * 57.071377) + sqrt(sqrt(x2 * 7.7315025)))))"
50,36225.137,"abs((abs(-74.83612 - (sqrt(x1) * -16.498674)) + (((sqrt(x1) * 10.39801) + (x0 * -1.8695579)) - 119.673904)) + sqrt((abs((5.151444 - x0) * ((x2 * -1.0714312) - (-45.059723 - x0))) + (x3 * 0.93465066)) * (sqrt((x1 * 57.385113) + 0.8718985) + sqrt(sqrt(x2 * 4.067854)))))"
