Complexity,Loss,Equation
1,1.4654272e8,"13269.886"
3,1.1228994e8,"x1 * 32049.045"
5,5.5720692e7,"(x1 * 23616.041) + 8436.481"
7,4.1453416e7,"(x1 * 23480.018) + (x0 * 222.51694)"
9,4.079751e7,"(x0 * (x0 + 173.30685)) + (x1 * 23698.816)"
10,4.072647e7,"(log(x0) * (x0 * 57.691113)) + (x1 * 23788.193)"
11,4.0578936e7,"((x1 * 23868.803) + 2382.167) + ((x0 * x0) * 3.459402)"
13,4.0570784e7,"(((x1 + x0) * (x0 * 3.4517121)) + (x1 * 23734.883)) + 2395.6614"
15,4.0530852e7,"((((11.633156 * x1) + x0) * (x0 * 3.3620238)) + 2553.4426) + (x1 * 22351.8)"
17,3.992582e7,"((23664.463 - (-4355.198 / (x0 + -21.509296))) * x1) + (((x0 * 3.4531245) * x0) + 2392.5789)"
19,3.9918564e7,"(((23523.084 - (-4279.1406 / (x0 + -21.516895))) * x1) + 2398.7976) + (x0 * ((x1 + x0) * 3.4502528))"
21,3.9880748e7,"(((22141.057 - (-4108.0176 / (x0 + -21.57688))) * x1) + ((x0 * 3.379283) * (x0 - (x1 * -11.375467)))) + 2519.808"
23,3.9880736e7,"((((4106.5825 / (x0 + -21.57688)) + 22139.297) * x1) + ((((x0 - (x1 * -11.375467)) * x0) + 1.5570456) * 3.379283)) + 2515.4065"
24,3.9880732e7,"((abs((x0 * (x0 - (x1 * -11.375467))) + 1.5570456) * 3.379283) + (x1 * ((4096.642 / (x0 + -21.57688)) + 22139.297))) + 2515.4065"
27,3.958543e7,"((7896.3403 - ((-1529.8619 / (x0 + -21.540535)) + (-593.4094 / (x0 + -53.77814)))) * (x1 + (x1 + x1))) + ((x0 * (x0 * 3.452952)) + 2432.618)"
29,3.9569896e7,"((((x0 + x0) * 1.7176334) * x0) + ((7930.467 - ((-1501.5576 / (x0 + -21.51674)) + (-840.6725 / (x0 + -53.70254)))) * ((x1 + x1) + x1))) + 2424.8452"
31,3.9568464e7,"(((((x0 / 0.06659123) / (x0 + -53.72017)) + (7750.0093 - (-1437.431 / (x0 + -21.541548)))) * (x1 + (x1 + x1))) + 2451.2026) + ((x0 * 3.4355876) * (x0 + x1))"
33,3.9509212e7,"(((x0 * x0) * 3.4022293) + (((x1 + x1) + x1) * ((x0 / (x0 + -53.968422)) + (7750.4204 - (((-1437.4312 / (x0 + -44.968567)) + -1437.4312) / (x0 + -21.564713)))))) + 2485.0405"
35,3.9387064e7,"((((7749.823 - ((-110.47046 / (x0 + -44.953014)) + (-1437.4312 / (x0 + -21.558432)))) + ((x0 / 0.055255342) / (x0 + -53.65688))) * ((x1 + x1) + x1)) + (x0 * (x0 * 3.4010365))) + 2446.6807"
36,3.935842e7,"((x0 * (x0 * 3.4010365)) + 2446.2886) + ((((x0 / 0.055255342) / (x0 + -53.65688)) + (7749.823 - ((-1437.4312 / (x0 + -21.558432)) + (-110.47046 / abs(x0 + -44.953014))))) * ((x1 + x1) + x1))"
37,3.9252004e7,"(((((x0 / 0.056351256) / (x0 + -53.65025)) + 7747.5557) - (((x0 * -15.325281) / (x0 + -43.722343)) + (-1437.4312 / (x0 + -21.549065)))) * (x1 + (x1 + x1))) + (((x0 * 3.4096396) * x0) + 2470.4246)"
39,3.9236484e7,"(((x0 * 3.4096396) * (x1 + x0)) + 2469.583) + (((((x0 / 0.05635135) / (x0 + -53.650246)) - (((x0 / (x0 + -43.72234)) * -15.325281) + (-1437.4312 / (x0 + -21.549065)))) + 7747.5557) * (x1 + (x1 + x1)))"
41,3.9227932e7,"((x1 + (x1 + x1)) * (((x0 / 0.056351256) / (x0 + -53.65025)) + (7742.3325 - (((x0 / (x0 + -43.722343)) * -15.325281) + (-1437.4312 / (-21.549065 + x0)))))) + ((x0 * (((x1 / 0.40099907) + x0) * 3.4096396)) + 2469.583)"
43,3.9226904e7,"((((x1 + x1) + x1) * ((((x0 / 0.05662343) / (x0 + -53.64898)) + 7744.894) - ((-1437.4312 / (x0 + -21.539972)) + ((x0 * -15.316605) / (x0 + -43.722034))))) + ((((x1 / 0.37274405) + x0) * (x0 * 3.3782191)) + x0)) + 2477.9165"
45,3.922669e7,"((x1 + (x1 + x1)) * ((((x0 / 0.05662353) / (x0 + -53.648975)) + 7744.894) - ((-1437.4312 / (x0 + -21.539972)) + (((x0 * -15.316605) / (x0 + -43.722027)) + 11.008449)))) + ((x0 + ((x0 * 3.3782191) * (x0 + (x1 / 0.359537)))) + 2479.9507)"
