Complexity,Loss,Equation
1,1.4654272e8,"13269.847"
3,1.1228994e8,"x1 * 32049.037"
5,5.57207e7,"(x1 * 23614.883) + 8435.026"
7,4.1453416e7,"(x1 * 23480.34) + (x0 * 222.51695)"
9,4.079751e7,"(x0 * (x0 + 173.30505)) + (x1 * 23698.953)"
10,4.072647e7,"(log(x0) * (x0 * 57.695557)) + (x1 * 23789.188)"
11,4.0578944e7,"((x1 * 23868.156) + (x0 * (x0 * 3.4588978))) - -2382.8948"
13,4.057078e7,"(((x0 * 3.451719) * (x1 + x0)) - -2395.6616) + (x1 * 23735.27)"
15,4.053024e7,"((x1 * 23038.715) + 2555.4136) + ((x0 * x0) * ((x1 / 2.037595) + 3.360771))"
17,4.0522804e7,"(x1 * 22735.447) + ((x1 + 7.268678) * ((x0 * ((x0 * 0.39410052) - -5.602027)) + 249.93297))"
19,4.0127104e7,"(x1 * 23636.838) + (((x1 / (x0 + -21.955288)) + 9.49817) * (242.45306 - (x0 * (x0 * -0.3693861))))"
21,3.9891976e7,"(x1 * 23004.84) + ((((x0 * x0) * 0.17375275) - -124.102455) * (((x1 * x0) / (x0 + -21.528725)) + 19.692493))"
23,3.9878216e7,"((((x0 * x1) / (x0 + -21.533884)) + (20.293005 + x1)) * ((x0 * (x0 * 0.16688386)) - -123.84121)) + (x1 * 22605.176)"
25,3.9874904e7,"(((x0 * (x0 * 0.22984564)) - -170.2347) * (((x0 * ((x1 / (x0 + -21.560942)) * 0.69484675)) + x1) + 14.70763)) + (x1 * 22550.654)"
27,3.962239e7,"((190.20984 - ((x0 * x0) * -0.26429093)) * ((((3.1167397 / (x0 + -43.70342)) + (13.722029 / (x0 + -21.553709))) * x1) + 13.040927)) + (x1 * 22910.584)"
29,3.9575336e7,"(x1 * 22905.059) + ((190.86377 - (x0 * (x0 * -0.25977328))) * ((x1 * (((2.8511283 / (x0 + -43.708027)) + (13.722022 / (x0 + -21.553743))) + 0.77814114)) + 13.041962))"
31,3.957398e7,"((190.86377 - (x0 * ((x0 - x1) * -0.25977322))) * (((((2.8511283 / (x0 + -43.70803)) + (13.722022 / (x0 + -21.553743))) + 1.022338) * x1) + 13.041962)) + (x1 * 22905.018)"
33,3.9544816e7,"(x1 * 22844.088) + (((x1 * ((-0.7347392 / ((-0.25932616 * (x0 + -0.7893007)) + 13.715927)) + (13.715927 / (x0 + -21.558788)))) + (13.040936 + x1)) * (190.86264 - ((x0 * -0.25951532) * x0)))"
35,3.9475244e7,"((((x1 * 13.461124) / (x0 + -21.553621)) + ((((x1 / (x0 - 40.803047)) + (x1 / (x0 + -43.70775))) * 2.429645) + 13.0419445)) * (194.32544 - ((x0 * x0) * -0.259156))) + (x1 * 23208.332)"
37,3.9409428e7,"(22844.088 * x1) + (((((13.815305 / (x0 + -21.558788)) + (-0.7205354 / (((x0 + -0.7893009) * -0.2592314) + 13.715729))) * x1) + ((x1 / (x0 + -43.72241)) + 13.040936)) * (190.86264 - ((x0 * -0.26524132) * x0)))"
39,3.9268052e7,"(x1 * 22844.088) + (((x1 * ((13.040936 / (x0 + -21.558788)) + (-0.7347392 / (((x0 + -0.7893009) * -0.2592314) + 13.715729)))) + (((x1 / (x0 + -43.72241)) * 2.9762468) + 13.040936)) * (190.86264 - ((x0 * -0.26524132) * x0)))"
41,3.922528e7,"((191.02567 - ((x0 * -0.25932616) * x0)) * ((x1 * (((0.6446688 / (x0 + -21.558788)) * x0) + (-0.7347392 / (((x0 + -0.7893007) * -0.25932616) + 13.715927)))) + ((x1 / ((x0 + -43.722443) / 2.8922405)) + 13.058069))) + (x1 * 22844.088)"
42,3.9225176e7,"((191.02567 - ((x0 * -0.25932616) * x0)) * ((x1 * (((abs(-0.6362798) / (x0 + -21.558788)) * x0) + (-0.7347392 / (((x0 + -0.7893007) * -0.25932616) + 13.715927)))) + ((x1 / ((x0 + -43.722443) / 2.8922405)) + 13.058069))) + (x1 * 22844.088)"
43,3.922463e7,"((191.02567 - (x0 * (x0 * -0.25932616))) * (((((x0 * 0.6446688) / (x0 + -21.558788)) + (-0.7347392 / (((x0 + -0.7893007) * -0.25932616) + 13.715927))) * x1) + (((x1 + 0.01713301) / ((x0 + -43.722443) / 2.8922405)) + 13.040936))) + (x1 * 22844.088)"
45,3.9224384e7,"((190.86264 - ((-0.25932616 * (x0 - -0.16302682)) * x0)) * ((((x1 + 0.01713301) / ((-43.722443 + x0) / 2.8922405)) + 13.040936) + (x1 * ((-0.7347392 / ((-0.25932616 * (x0 + -0.7893007)) + 13.715927)) + (x0 * (0.6446688 / (x0 + -21.558788))))))) + (22844.088 * x1)"
47,3.9202384e7,"(x1 * 22844.088) + ((193.56715 - ((x0 * -0.2593242) * x0)) * (((((x1 * (x0 / 0.66158676)) / (x0 + -20.848925)) / (-43.722427 + x0)) + 13.040936) + (x1 * ((x0 * (0.6406936 / (x0 + -21.558788))) + (-0.7394851 / (((x0 + -0.7847742) * -0.2593242) + 13.715923))))))"
49,3.920111e7,"(x1 * 22844.088) + ((193.56715 - ((x0 * -0.2593242) * x0)) * (((((((x1 * x0) / 0.66158676) + 1.625351) / (x0 + -20.848925)) / (x0 + -43.722427)) + 13.040936) + ((((x0 * 0.6406936) / (x0 + -21.558788)) + (-0.7394851 / (((x0 + -0.7847742) * -0.2593242) + 13.715923))) * x1)))"
