Complexity,Loss,Equation
1,1.4654272e8,"13269.815"
3,1.1228994e8,"x1 * 32050.613"
5,5.57207e7,"(x1 * 23616.232) + 8434.454"
7,4.1453416e7,"(x1 * 23480.006) + (x0 * 222.5177)"
9,4.079751e7,"(x1 * 23699.008) + (x0 * (x0 + 173.3047))"
10,4.072647e7,"(x1 * 23789.37) + ((x0 * 57.69462) * log(x0))"
11,4.0578944e7,"(((x0 * 3.4583688) * x0) + (x1 * 23868.197)) + 2383.4946"
13,4.0570784e7,"((x1 * 23733.244) - -2395.4763) + ((x1 + x0) * (x0 * 3.45189))"
14,4.0532864e7,"((x1 * 23902.436) + 15769.48) - abs(13527.346 - ((x0 * 3.5746167) * x0))"
15,4.0530852e7,"(((38.645386 * x0) + 22374.162) * x1) + (((x0 * x0) * 3.3639772) - -2549.2449)"
16,4.0471076e7,"(18229.521 - abs(((x1 + 3.3474185) * (x0 * x0)) + -15651.057)) + (x1 * 22436.672)"
18,4.046824e7,"((x1 * 22544.936) + 18011.332) - abs(15445.545 - (x0 * ((x0 - x1) * (x1 + 3.3578131))))"
19,3.9941276e7,"((x0 * x0) * 3.4712336) + ((x1 * ((27928.611 / (174.25687 - (3766.6538 / x0))) + 23502.934)) + 2355.791)"
21,3.9907532e7,"((x0 * (x0 * 3.4378335)) + 2416.547) + ((((x0 * 2016.9347) / (214.24982 - (4610.8047 / x0))) + 23094.979) * x1)"
23,3.987213e7,"((x0 * (x0 * 3.3697004)) + ((((x0 * (106.44981 / (264.33636 - (5707.6904 / x0)))) * x0) + 22411.22) * x1)) + 2536.4954"
25,3.987047e7,"((x0 * (x0 * 3.3663936)) + 2541.9436) + (x1 * (((((x0 * x0) + 1283.4563) * x0) / (195.88577 - (4226.2344 / x0))) + 22454.543))"
27,3.9869348e7,"(x1 * (((((x0 * 57.70898) * x0) / (141.9201 - (3062.3093 / x0))) + (5623.469 / x0)) + 22250.9)) + ((x0 * (x0 * 3.3679204)) + 2541.5852)"
28,3.968161e7,"((x0 / (log(x0) - (x1 + 2.7799242))) + ((23557.645 + (23616.232 / (142.00034 - (3062.3093 / x0)))) * x1)) + (2436.557 + (x0 * (3.3721755 * x0)))"
30,3.9672708e7,"(((x0 + -1.4349777) / (log(x0) - (x1 + 2.7799242))) + ((23557.645 + (23616.232 / (142.00034 - (3062.3093 / x0)))) * x1)) + (2436.557 + (x0 * (3.3721755 * x0)))"
32,3.954935e7,"(((x0 * x0) * 3.364674) + 2541.7698) + (x1 * ((((x0 * x0) * 57.715687) / (141.70616 - (3062.3284 / x0))) + ((48.876335 / (log(x0) - (x1 + 2.983234))) + 22353.445)))"
34,3.954846e7,"((x0 * (x0 * 3.364674)) + 2541.7698) + (x1 * ((((x0 - 0.850796) * (x0 * 57.715687)) / (141.70616 - (3062.3284 / x0))) + ((48.876335 / (log(x0) - (x1 + 2.983234))) + 22353.445)))"
35,3.9548424e7,"(((x0 * x0) * 3.364674) + 2541.7698) + (x1 * (((((x0 - sqrt(0.4484735)) * (x0 * 57.715687)) / (141.70616 - (3062.3284 / x0))) + (48.876335 / (log(x0) - (x1 + 2.983234)))) + 22353.445))"
37,3.9548348e7,"(((x0 * 3.364674) * x0) + 2541.7698) + ((x1 * (((((x0 - 0.66968167) * (x0 * 57.715687)) / (141.70616 - (3062.3284 / x0))) + (48.876335 / (log(x0) - (x1 + 2.983234)))) + 22353.445)) + log(x0))"
38,3.9548324e7,"((((3.364674 * x0) * x0) + 2541.7698) + (x1 * ((((x0 - sqrt(0.4484735)) * (x0 * 57.715687)) / (141.70616 - (3062.3284 / x0))) + ((48.876335 / (log(x0) - (x1 + 2.983234))) + 22353.445)))) + sqrt(x0)"
40,3.9546236e7,"(x1 * ((((x0 / (log(x0 + -0.20291255) - ((x1 + x1) + 1.9781387))) + ((x0 * 57.70898) * (x0 / (141.9201 - (3062.3093 / x0))))) + (5623.469 / x0)) + 22250.9)) + ((x0 * (x0 * 3.3679204)) + 2541.5852)"
41,3.946285e7,"(x1 * ((((x0 / (log(x0) - (2.7799242 + x1))) + (23616.232 / (142.00034 - (3062.3093 / x0)))) + (x0 / (log(x0 + -0.26486188) - ((x1 + x1) + 1.9775915)))) + 22353.445)) + ((x0 * (x0 * 3.3721755)) + 2541.4675)"
43,3.9295584e7,"(((((x0 / (log(x0) - ((x1 + x1) + 1.978491))) + (x0 / (log(x0) - (x1 + 2.7789013)))) + (((x0 * (x0 * 57.708946)) / (142.00034 - (3062.3093 / x0))) + 22353.445)) * x1) + 2541.7666) + ((x0 * x0) * 3.3725827)"
45,3.924459e7,"((x0 / (log(x0 - 0.282056) - (x1 + (x1 + 1.9768941)))) + (((((x0 / (log(x0) - (x1 + 2.778082))) + 22353.445) + (((x0 * 57.708813) * x0) / (142.00002 - (3062.3093 / x0)))) * x1) + 2541.7666)) + (x0 * (x0 * 3.346585))"
48,3.9243132e7,"(((x0 / (log(x0) - abs(x1 + 2.7779372))) + (((x0 / (log(x0 - 0.28202417) - ((x1 + x1) + 1.9772471))) + ((x0 * (x0 * 57.708813)) / (142.00002 - (3062.3093 / x0)))) + 22353.445)) * x1) + (2541.7666 + ((x0 - x1) * (x0 * 3.346582)))"
49,3.9241156e7,"((((x0 / (log(x0) - (x1 + 2.7780066))) + (((x0 * (x0 * 57.708813)) / (142.00002 - (3062.3093 / x0))) + 22353.445)) * x1) + 2541.7666) + (((x0 + -1.5596318) / (log(x0 - 0.28202417) - (x1 + (x1 + 1.9771252)))) + ((x0 - x1) * (x0 * 3.346582)))"
