Complexity,Loss,Equation
1,1.4654272e8,"13269.839"
3,1.1228994e8,"x1 * 32049.139"
5,5.57207e7,"8434.455 + (x1 * 23615.62)"
7,4.1453416e7,"(x1 * 23480.406) + (x0 * 222.51773)"
9,4.079751e7,"((x0 + 173.31036) * x0) + (x1 * 23699.8)"
10,4.0726468e7,"((x0 * 57.69562) * log(x0)) + (x1 * 23789.158)"
11,4.0578944e7,"(((x0 * 3.4590201) * x0) + (x1 * 23868.016)) - -2383.0896"
13,4.0570784e7,"((x1 * 23734.506) - -2395.6648) + (((x1 + x0) * x0) * 3.451729)"
15,4.0530844e7,"((x0 + 572.46576) * (x1 * 39.053055)) + (((x0 * x0) * 3.362552) - -2552.059)"
17,4.0284104e7,"((((x1 * 23667.113) / x0) + x0) + 172.3402) * (x0 - (2.854435 / (21.49768 - x0)))"
19,3.993936e7,"((x0 - (3.6550913 / (21.501389 - x0))) * ((x1 * (23797.107 / x0)) + (x0 * 3.439979))) + 2396.3284"
21,3.9857856e7,"(((23735.78 * (x1 / x0)) - (x0 * -3.4496038)) * (x0 + (3.824214 / (x0 - (22.518074 - x1))))) + 2387.7366"
23,3.9832148e7,"(((3.8238833 / (x0 - (22.547361 - x1))) + x0) * ((x1 * ((22824.225 / x0) + 26.023346)) - (x0 * -3.4585423))) + 2306.5728"
25,3.9802484e7,"(((3.795136 / (x0 - (22.54821 - x1))) + x0) * ((x1 * ((23749.215 / x0) + (x0 + -43.808487))) - (x0 * -3.3695238))) + 2519.4575"
26,3.977286e7,"(((x0 + (sqrt(x0) / (x0 - (22.499277 - x1)))) + 2.8762794) * ((x1 * (20207.508 / x0)) + ((x1 - -3.2482722) * x0))) + 2370.884"
28,3.9771816e7,"((x0 + ((sqrt(x0) / (x0 - (22.499468 - x1))) + 2.876753)) * (((x1 * 20207.508) / x0) + ((x1 - -3.2526107) * x0))) + (2371.2263 - x0)"
29,3.9689028e7,"(x0 - (2.8558095 / (21.558254 - x0))) * ((130.40273 + (x0 * 1.8858025)) + (((23714.133 / x0) * x1) - (104.90439 / (107.30867 - ((x0 * x1) + x0)))))"
31,3.9608104e7,"(x0 - (x1 * (3.051878 / (21.58465 - x0)))) * ((((x0 * 1.9034531) - (104.89538 / (107.333084 - ((x1 * x0) + x0)))) + 130.40892) + ((23714.133 / x0) * x1))"
33,3.9528396e7,"(x0 - (3.3243773 / (22.602816 - (x1 + x0)))) * ((((x1 * 23714.045) / x0) + 127.25785) + ((x0 - (x0 / (106.16648 - ((x1 * (x0 + -1.1302956)) + x0)))) * 1.9632456))"
35,3.952711e7,"(x0 - (3.3243773 / (22.602816 - (x1 + x0)))) * (((x1 * (23714.045 / x0)) + 127.25785) + (((x0 - 0.570407) - (x0 / (106.16648 - (x0 + ((x0 + -1.1302956) * x1))))) * 1.9632456))"
36,3.9527096e7,"(x0 - (3.3243773 / (22.602816 - (x1 + x0)))) * ((((x1 * 23714.045) / x0) + 127.25785) + (((x0 - abs(-0.5594558)) - (x0 / (106.16648 - (x0 + (x1 * (x0 + -1.1302956)))))) * 1.9632456))"
37,3.9527044e7,"(x0 - (3.3243773 / (22.602816 - (x1 + x0)))) * (((x1 * (23714.045 / x0)) + 127.25785) + ((abs(x0 - abs(-0.38825616)) - (x0 / (106.16648 - (x0 + ((x0 + -1.1302956) * x1))))) * 1.9632456))"
