Complexity,Loss,Equation
1,1.4654272e8,"13269.882"
3,1.1228994e8,"x1 * 32049.863"
5,5.57207e7,"(x1 * 23615.273) + 8434.448"
7,4.1453416e7,"(x0 + (x1 * 105.522446)) * 222.51718"
9,4.079751e7,"(x1 * 23698.852) + (x0 * (x0 - -173.30699))"
11,4.0578944e7,"((x1 * 23867.832) - ((x0 * x0) * -3.4591475)) + 2382.986"
13,4.0570784e7,"((x1 * 23736.002) + 2395.4856) - (x0 * ((x0 + x1) * -3.4518144))"
15,4.053024e7,"((x1 * 23041.162) - ((x0 * ((x1 * -0.48881507) + -3.3607948)) * x0)) + 2556.2473"
16,4.049856e7,"((abs(39.68417 - x0) * 83.47562) + (x1 * 23884.125)) + ((x0 * 276.11688) - 3469.583)"
17,3.9925572e7,"((x1 * ((4346.7334 / (x0 + -21.522408)) + 23636.43)) + ((x0 * 3.4627635) * x0)) + 2376.7761"
19,3.9918636e7,"(((x1 + x0) * x0) * 3.4532259) + ((((4323.423 / (x0 + -21.51129)) + 23524.031) * x1) + 2394.3796)"
21,3.9911612e7,"(x1 * ((4335.921 / (x0 + -21.52715)) + 23385.32)) + (((x0 * 3.444799) * ((x1 + x1) + x0)) + 2406.824)"
23,3.9886324e7,"((((-273691.5 / ((x0 + -21.546875) * -65.35279)) + 22613.098) * x1) + 2493.8877) + (x0 * (((x1 * 8.164671) + x0) * 3.391857))"
24,3.9877932e7,"(x1 * ((-273691.5 / ((x0 + -21.574104) * -65.74225)) + 22735.537)) + ((((x1 * sqrt(x0)) + x0) * (x0 * 3.3817742)) + 2532.266)"
26,3.9876864e7,"((((-273691.5 / ((x0 + -21.569258) * -65.74235)) + 22735.537) * x1) + (x0 * ((x0 + (x1 * sqrt(x0 * 1.2037276))) * 3.3747447))) + 2531.5505"
27,3.9792096e7,"((x1 * ((23530.275 - (155522.1 / (((x0 + -13.504749) * -48.103497) - -391.71576))) + (x0 / (x0 - 43.99292)))) + 1996.7104) - (x0 * (x0 * -3.5863576))"
29,3.9764576e7,"(x1 * (((x0 / (x0 - 43.992977)) + 23517.648) - (155522.1 / (((x0 + -13.504706) * -48.103516) - -391.71576)))) + (1996.7104 - (((x0 * x0) + 43.992977) * -3.575086))"
31,3.9764404e7,"((x1 * ((23517.648 - (155522.1 / (((x0 + -13.504706) * -48.103516) - -391.71576))) + (x0 / (x0 - 43.992977)))) + 1996.7104) - (-3.575086 * ((x0 * x0) + (43.992977 + 1.2224891)))"
34,3.955145e7,"(((22001.064 - (155522.1 / (((x0 + -13.472313) * -48.433098) - -399.43716))) + abs(x0 * ((x0 / (x0 + -44.212288)) + 34.868134))) * x1) + (1910.062 - (((x0 * -2.8948843) + -37.52206) * x0))"
36,3.9546256e7,"((x1 * (((x0 + 3.5515733) * abs((x0 / (x0 + -44.212288)) + 34.868134)) + (22001.064 - (155522.1 / (((x0 + -13.472313) * -48.433098) - -399.43716))))) + 1910.062) - (x0 * ((x0 * -2.8948843) + -37.52206))"
38,3.948152e7,"((x1 * (abs(((x0 + x0) * (x0 / (x0 + -44.428024))) + (x0 * 34.873104)) + (21998.93 - (155522.1 / (((x0 + -13.444554) * -48.446674) - -399.43533))))) + 1909.7018) - (x0 * ((x0 * -2.8683517) + -37.524746))"
40,3.9474764e7,"(((22001.064 - (155522.1 / (((x0 + -13.447597) * -48.451145) - -399.43515))) + abs((x0 * 34.870483) + ((x0 / (x0 + -44.43162)) * (x0 + x0)))) * x1) + (1912.5702 - ((x0 - x1) * ((x0 * -2.8837564) + -37.522285)))"
42,3.947277e7,"(((22001.064 - (155522.1 / ((-48.451145 * (x0 + -13.447597)) - -399.43515))) + abs((x0 * 34.870483) + (x0 / ((x0 + -44.43162) / (x0 + x0))))) * x1) + (1912.5702 - (x0 * ((-2.8837564 * ((x0 - x1) - x1)) + -37.522285)))"
44,3.9472116e7,"((((22001.064 - (155522.1 / ((-48.451145 * (x0 + -13.447597)) - -399.43515))) + abs(((1.7483925 + x0) * 34.870483) + (x0 / ((x0 + -44.43162) / (x0 + x0))))) * x1) + 1912.5702) - (x0 * ((-2.8837564 * ((x0 - x1) - x1)) + -37.522285))"
46,3.947096e7,"(((22001.064 - ((155522.1 - (x0 * -399.43515)) / ((-48.451145 * (x0 + -13.447597)) - -399.43515))) + abs((x0 / ((x0 + -44.43162) / (x0 + x0))) + (x0 * 34.870483))) * x1) + (1912.5702 - (x0 * (((x0 - (x1 + x1)) * -2.8837564) + -37.522285)))"
47,3.946923e7,"((x1 * (abs((x0 * 34.869953) + (x0 / ((x0 + -44.427658) / (x0 + x0)))) + (22001.064 - ((155521.4 - (x0 * -582.4582)) / (((x0 + -13.426203) * -48.443047) - -399.4361))))) + 1912.5702) - ((((x0 - abs(x1 + x1)) * -2.8997483) + -37.522377) * x0)"
48,3.946809e7,"((abs((x0 * 34.869953) + (x0 / ((x0 + -44.427658) / (x0 + x0)))) + (22001.064 - (((155522.1 - (x0 * -582.2625)) / 0.98539746) / (((x0 + -13.426203) * -48.443047) - -399.4361)))) * x1) + (1912.5702 - (x0 * (((x0 - (x1 + x1)) * -2.8997483) + -36.893353)))"
