Complexity,Loss,Equation
1,1.4654272e8,"13269.917"
3,1.1228994e8,"x1 * 32050.61"
5,5.5720692e7,"(x1 * 23614.787) + 8436.511"
7,4.1453416e7,"(x0 + (x1 * 105.53193)) * 222.51183"
9,4.079751e7,"(x0 * (x0 - -173.30618)) + (x1 * 23698.992)"
10,4.072647e7,"(x1 + (log(x0) * (x0 * 0.0024253093))) * 23789.0"
11,4.0578944e7,"(x1 * 23864.498) + (((x0 * x0) * 3.4596798) - -2383.518)"
13,4.0570784e7,"(x1 * 23733.322) - (-2395.51 - ((x0 * (x0 + x1)) * 3.4518816))"
15,4.0192484e7,"(x0 * (x0 + 173.2173)) + (((4185.236 / (x0 + -21.516804)) - -23495.338) * x1)"
17,3.992566e7,"((x1 * ((4403.3037 / (x0 + -21.518864)) + 23639.193)) + ((x0 * x0) * 3.4601195)) - -2383.4038"
19,3.9915268e7,"(((x1 + 3.264271) * x0) * x0) + ((((4267.332 / (x0 + -21.575819)) + 21917.814) * x1) - -2726.1533)"
21,3.989187e7,"(x0 * ((x0 * 3.423216) + (x1 / 0.043614857))) + ((((4353.938 / (x0 + -21.530045)) - -22824.783) * x1) - -2437.0923)"
23,3.972878e7,"(x1 * ((3246.2612 / (-21.663992 + x0)) - -23582.523)) - (((x1 / (x0 + -38.97282)) - x0) * (x0 + (x0 + 124.80716)))"
25,3.9715e7,"(x1 * ((3246.2612 / (-21.663992 + x0)) - -23582.523)) - ((((x1 / (x0 + -38.97282)) - x0) - x1) * ((x0 + x0) + 124.80716))"
26,3.971348e7,"abs((((3246.2612 / (x0 + -21.70979)) - -23582.523) * x1) - ((((x1 * x0) / (x0 + -38.97272)) - ((x0 + x0) + 124.80716)) * x0))"
27,3.9704188e7,"(x1 * ((3246.2612 / (x0 + -21.663992)) - -23582.523)) - (((x0 + (x0 + 122.118195)) - (x1 / -0.08199231)) * ((x1 / (x0 + -38.97282)) - x0))"
28,3.96924e7,"abs((((3246.2612 / (x0 + -21.70979)) - -23582.523) * x1) - (((-2.158569 / (((x0 * 0.045838296) - x1) - x1)) - (x0 + (x0 + 124.80716))) * x0))"
