Complexity,Loss,Equation
1,1.4654272e8,"13269.796"
3,1.1228994e8,"x1 * 32049.863"
5,5.57207e7,"(x1 * 23618.117) + 8433.169"
6,5.5720692e7,"abs((x1 * 40487.047) + -8436.51)"
7,4.1453416e7,"(x0 * 222.51697) - (x1 * -23480.432)"
9,4.079751e7,"((x0 - -173.30577) * x0) - (x1 * -23698.875)"
11,4.0578944e7,"((x0 * x0) - (-689.1549 - (x1 * 6900.2314))) * 3.4590766"
13,4.0570788e7,"((x0 * x0) - (-694.1077 - ((x0 + 6876.3877) * x1))) * 3.451672"
14,4.053286e7,"15770.696 - ((abs(3784.466 - (x0 * x0)) - (x1 * 6686.4204)) * 3.5748818)"
16,4.050065e7,"15315.425 - ((abs(3755.8267 - (x0 * x0)) - (x1 * 5914.546)) * (x1 + 3.3953032))"
18,4.0469172e7,"15498.611 - ((abs(3770.362 - (x0 * x0)) - (x1 * 6206.9775)) * ((x1 * 0.584945) + 3.4645185))"
19,4.039681e7,"24262.217 - (((6375.5786 - (x0 * x0)) - (x1 * 6787.019)) * (3.4213867 - (x1 / (21.54065 - x0))))"
21,3.9926052e7,"(((6344.0825 - (x0 * x0)) + (x1 * -6842.98)) * -3.4574103) - (-24320.459 - (x1 * (4409.4546 / (x0 - 21.501074))))"
22,3.9905804e7,"24262.217 - (((6375.5786 - (x0 * x0)) - (x1 * 6787.019)) * (3.4213867 - (sqrt(x1 * x0) / (21.54065 - x0))))"
23,3.98797e7,"24316.271 - (((6424.146 - (x0 * x0)) - (x1 * 6683.0527)) * (3.3967936 - ((x1 * x0) / ((21.55078 - x0) * 3.5642993))))"
25,3.9874444e7,"((3.3759515 - ((x0 * x1) / ((21.57055 - x0) * 2.8983939))) * (-315.37857 - ((6262.408 - (x0 * x0)) - (x1 * 6678.3257)))) - -24728.979"
26,3.9874412e7,"((3.3647416 - (x1 * (x0 / ((21.562428 - x0) * 2.7083821)))) * (sqrt(x0) - ((6608.9277 - (x0 * x0)) - (x1 * 6681.201)))) - -24761.908"
27,3.9874308e7,"((-315.37857 - ((6260.834 - (x0 * x0)) - (x1 * 6678.3257))) * (3.3783867 - (((x1 * x0) - -0.031236395) / ((21.553766 - x0) * 2.897386)))) + 24744.057"
31,3.987411e7,"(((3.3757463 - (x1 * ((x0 / (2.897483 * (21.55441 - x0))) + -0.037488516))) * (-315.37857 - ((6260.834 - (x0 * x0)) - (x1 * 6678.3257)))) - -24727.404) - (x0 * x1)"
33,3.981281e7,"(-354.22607 / (43.679188 - x0)) - (-24674.104 - (((x0 * -9.898471) - ((5536.575 - (x0 * x0)) - (x1 * 5844.8013))) * (3.8873088 - (x0 * (x1 / ((21.501606 - x0) * 2.734665))))))"
35,3.9665736e7,"(-410.19644 / (43.932903 - (x0 * x1))) - (-24582.98 - (((x0 * -9.501551) - ((5509.0444 - (x0 * x0)) - (x1 * 5820.466))) * (3.8972087 - ((x0 * x1) / ((21.63136 - x0) * 3.363462)))))"
37,3.9584956e7,"(((x1 * -46.25333) * x0) / (43.71208 - x0)) - (-24583.65 - ((3.87418 - ((x0 * x1) / ((21.547398 - x0) * 2.8155913))) * ((x0 * -10.319432) - ((5509.0493 - (x0 * x0)) - (x1 * 5820.465)))))"
39,3.9582536e7,"((x0 * (-1.9043638 - (x1 * x0))) / (43.70862 - x0)) - (-24574.957 - ((3.8746545 - ((x0 * x1) / ((21.564404 - x0) * 2.9048944))) * ((x0 * -10.269703) - ((5509.0493 - (x0 * x0)) - (x1 * 5820.465)))))"
41,3.9581652e7,"((43.70862 / (43.70862 - x0)) * (-1.9043638 - (x1 * x0))) - (-24581.826 - ((3.8746545 - ((x0 * x1) / ((21.564404 - x0) * 2.9048944))) * (((x0 - x1) * -10.269703) - ((5509.0493 - (x0 * x0)) - (5820.465 * x1)))))"
43,3.958127e7,"(x0 * ((-1.9043638 - (x1 * 43.70862)) / (43.70862 - x0))) - (-24581.826 - ((3.8746545 - ((x1 / ((21.564404 - x0) * 2.9048944)) * x0)) * (((x0 - x1) * -10.269703) - ((5509.0493 - ((x0 / 1.001359) * x0)) - (x1 * 5820.465)))))"
45,3.958095e7,"(x0 * ((-1.9043638 - (x1 * x0)) / (43.70862 - x0))) - (-24581.826 - ((3.8746545 - ((x1 / ((21.564404 - x0) * 2.9048944)) * x0)) * (((x0 - x1) * -10.269703) - ((5509.0493 - (((x0 * x0) / 1.001359) / 1.001359)) - (x1 * 5820.465)))))"
46,3.9579336e7,"((x0 * (-1.872059 - (x1 * x0))) / (43.706577 - x0)) - (((3.8594785 - (((x0 * 1.0538281) * x1) / ((21.570389 - x0) * 2.9060493))) * (abs(x0 - 44.270706) - ((x0 * -10.276285) - ((5509.0493 - (x0 * x0)) - (x1 * 5820.5156))))) + -24583.65)"
48,3.9577468e7,"(((x0 / (43.70862 - x0)) * (-1.4068245 - (x0 * x1))) - (-24583.65 - ((((-2.6106112 + x0) * -10.269703) - ((5509.0493 - (x0 * x0)) - (x1 * 5820.465))) * (3.8746545 - (x1 * (x0 / ((21.564404 - x0) * 2.9048944))))))) + (abs(44.269207 - x0) * -8.8219)"
50,3.957673e7,"(abs(44.269207 - x0) * (-8.8219 + x1)) + (((x0 / (43.70862 - x0)) * (-1.4068245 - (x0 * x1))) - (-24583.65 - ((3.8746545 - ((x1 * x0) / ((21.564404 - x0) * 2.9048944))) * (((-2.6106112 + x0) * -10.269703) - ((5509.0493 - (x0 * x0)) - (x1 * 5820.465))))))"
