Complexity,Loss,Equation
1,1.4654272e8,"13269.882"
3,1.1228994e8,"x1 * 32049.863"
5,5.57207e7,"(x1 * 23615.102) + 8435.043"
7,4.1453416e7,"(x1 * 23479.89) + (x0 * 222.51682)"
9,4.079751e7,"(x1 * 23698.643) + (x0 * (x0 + 173.3096))"
10,4.072647e7,"(x1 * 23789.193) + ((x0 * 57.695545) * log(x0))"
11,4.0578944e7,"((x1 * 23868.504) + ((x0 * x0) * 3.4596682)) - -2381.4834"
13,4.0570784e7,"((((x0 + x1) * 3.451725) * x0) - -2395.6692) + (x1 * 23735.09)"
14,4.0565956e7,"(x1 * 23841.025) + ((abs((x0 * 2.3345032) + -70.09125) - -175.67531) * x0)"
15,4.0530236e7,"(((x0 * x0) * ((x1 * 0.4893543) + 3.360323)) + 2555.434) + (x1 * 23040.768)"
17,4.0204596e7,"(x1 * ((183.0442 / (x0 + -21.973146)) + 23635.098)) + ((x0 + (x0 - -125.12827)) * x0)"
19,3.9988428e7,"(((x0 / ((x0 + -21.569454) / 192.77245)) + 23445.53) * x1) + (((x0 - -124.28617) + x0) * x0)"
21,3.9975036e7,"(((x0 + x0) - -109.91509) * (x0 + 3.2041876)) + (x1 * (((x0 / (x0 + -21.546562)) * 192.6632) + 23445.46))"
23,3.9922744e7,"((x0 + 6.8893538) * ((x0 + x0) + 94.89097)) + (((x0 * ((174.48149 / (x0 + -21.624115)) + 39.849625)) + 21883.63) * x1)"
25,3.9905884e7,"((x0 - -8.249733) * ((x0 + x0) - -90.38624)) + ((22156.707 - (x0 * (((-257.33255 / (x0 + -21.639997)) - x0) * 0.6809431))) * x1)"
27,3.9894236e7,"(x1 * (22306.805 - (x0 * ((-188.70279 / (x0 + -21.580963)) - (x0 * 0.6386161))))) + ((x0 - (-91.48574 / x0)) * (x0 + (x0 - -113.31811)))"
29,3.961072e7,"((((((204.7996 / (x0 + -21.568281)) + 35.0854) * x0) + 21897.484) - (1428.5146 / (x0 + -60.1814))) * x1) + ((x0 + 6.9428554) * ((x0 + 94.14334) + x0))"
31,3.9596236e7,"(x1 * ((x0 * (33.519875 - (8.909201 / (x0 + -60.064358)))) + (((x0 / (x0 + -21.589998)) * 184.77753) + 21884.742))) + (((x0 + 94.77432) + x0) * (x0 + 6.945964))"
33,3.9309136e7,"(((((204.7996 / (x0 + -21.568281)) + 35.0854) * (x0 - ((705.21204 / (x0 + -43.689846)) / (x0 + -60.1814)))) + 21897.484) * x1) + ((94.14334 + (x0 + x0)) * (x0 + 6.9428554))"
34,3.929572e7,"(((abs(x0 - ((705.21204 / (x0 + -43.689846)) / (x0 + -60.1814))) * ((204.7996 / (x0 + -21.568281)) + 35.0854)) + 21897.484) * x1) + (((94.14334 + x0) + x0) * (x0 + 6.9428554))"
36,3.929105e7,"(((x0 - x1) + 6.9428554) * (x0 + (94.59262 + x0))) + (((abs(x0 - ((705.21204 / (-43.689846 + x0)) / (-60.1814 + x0))) * ((204.7996 / (x0 + -21.568281)) + 35.0854)) + 21897.484) * x1)"
38,3.9290416e7,"(((((204.7996 / (x0 + -21.568281)) + 35.0854) * abs(x0 - ((705.21204 / (x0 + -43.689842)) / (x0 + -60.1814)))) + 21897.484) * x1) + ((x0 + 6.9428554) * (((x0 - (x1 + x1)) + 94.14334) + x0))"
39,3.925832e7,"(x1 * ((((204.79968 / (x0 + -21.620766)) + 35.08539) * x0) + (21881.988 - ((33845.895 / (x0 + -43.7128)) / (x0 + -60.243595))))) + ((x0 + 6.65688) * ((x0 + (x0 + (9.284886 / (x0 + -22.867548)))) + 94.59346))"
41,3.923667e7,"(((((x0 / 1.1153935) * ((204.79968 / (x0 + -21.620766)) + 35.08539)) + (21881.988 - ((33845.895 / (-43.7128 + x0)) / (-60.243595 + x0)))) * x1) + ((x0 + 6.9452524) * ((x0 + x0) + 94.59346))) + (204.79968 / (x0 + -22.867548))"
43,3.922865e7,"((x1 * (((((204.79968 / (x0 + -21.620766)) + 35.08539) * x0) + 21881.988) - ((33845.895 / (x0 + -43.7128)) / (x0 + -60.243595)))) + (((x0 + x0) + 94.59346) * (x0 + 6.65688))) + ((334.47852 / (x0 + -21.620766)) / (x0 + -22.867548))"
45,3.9200452e7,"(334.47852 / (x0 + ((x0 / (x0 * 0.43384984)) + -44.48831))) + ((x1 * (((35.08539 + (204.79968 / (x0 + -21.620766))) * x0) + (21881.988 - ((33845.895 / (x0 + -43.7128)) / (-60.243595 + x0))))) + (((x0 + x0) + 94.59346) * (x0 + 6.65688)))"
47,3.9188296e7,"(334.47852 / ((x0 + (x0 / (x0 * 0.43384984))) + -44.48831)) + (((((35.08539 + (204.79968 / (x0 + -21.620766))) * (x0 - 1.8418779)) + (21881.988 - ((33845.895 / (x0 + -43.7128)) / (-60.243595 + x0)))) * x1) + ((x0 + 6.65688) * ((x0 + x0) + 94.59346)))"
49,3.9178924e7,"(((x0 * ((204.79968 / (x0 + -21.620766)) + 35.08539)) + (21881.988 - ((33845.895 / (x0 + -43.7128)) / (x0 + -60.243595)))) * x1) + (((x0 + 6.65688) * (x0 + (94.59346 + x0))) + ((x0 + 334.47852) / ((-44.48831 + (x0 / (0.43384984 * (x0 - x1)))) + x0)))"
