Complexity,Loss,Equation
1,1.4654272e8,"13269.847"
3,1.1228994e8,"x1 * 32051.195"
5,5.57207e7,"(x1 * 23615.783) + 8436.729"
7,4.1453416e7,"(x0 * 222.51683) + (x1 * 23480.066)"
9,4.079751e7,"(x1 * 23698.838) + ((x0 - -173.30731) * x0)"
10,4.072647e7,"(x1 * 23789.162) + ((x0 * log(x0)) * 57.695724)"
11,4.0578944e7,"((x1 * 23868.424) - -2381.92) - ((x0 * x0) * -3.4594984)"
13,4.0570784e7,"((x0 * 3.4517012) * (x0 + x1)) - (-2395.6782 - (x1 * 23734.654))"
14,4.0532864e7,"((x1 * 23902.463) - -15769.785) - abs(-13528.389 - ((x0 * -3.5750663) * x0))"
15,4.053024e7,"(x0 * (((x1 * 0.48975947) + 3.36013) * x0)) - (-2555.681 - (x1 * 23039.027))"
16,4.0471444e7,"((x1 * 22388.1) - -18264.379) - abs(((x0 * x0) * (-3.3584259 - x1)) + 15693.396)"
17,3.9925804e7,"(((x0 * x0) * 3.4579997) - -2385.307) + (x1 * (23654.033 - (-4274.583 / (x0 + -21.51731))))"
19,3.9910064e7,"((x1 * (21901.918 - (-3964.9817 / (x0 + -21.615387)))) - -2665.8865) + ((x0 * x0) * (x1 + 3.2894797))"
21,3.9870876e7,"(((x1 * 0.516014) + 3.364341) * (x0 * x0)) + (((22757.27 - (-4199.696 / (x0 + -21.57357))) * x1) - -2546.6284)"
23,3.986997e7,"((22752.922 - (-4186.0156 / (x0 + -21.574879))) * x1) + (((x1 - x0) * (((x1 * -0.5944642) + -3.3632855) * x0)) - -2549.8372)"
25,3.9781376e7,"((22741.793 - (-4201.9326 / (x0 + -21.57224))) * x1) - (-2514.8572 + (x0 * ((x1 / ((x0 / -22.606907) + 1.9355707)) - (x0 * 3.475536))))"
27,3.9692828e7,"((22741.793 - (-4201.9326 / (x0 + -21.57224))) * x1) - ((((0.54114765 / ((x1 * (x0 / -22.606907)) + 1.9355707)) - x0) * (x0 * 3.475536)) + -2514.8572)"
28,3.9684092e7,"abs((((x0 * 3.5019448) * ((0.69049925 / (2.372176 + (x1 * (x0 / -22.622904)))) - x0)) + -2494.0896) - ((22745.031 - (-4201.9326 / (x0 + -21.587831))) * x1))"
29,3.9657976e7,"((22741.793 - (-4201.9326 / (x0 + -21.570454))) * x1) - ((((x1 + x0) * ((0.543591 / (((x1 * x0) / -22.605307) + 1.9353313)) - x0)) * 3.4721222) + -2514.8572)"
30,3.964674e7,"abs((((x0 * 3.5019448) * ((0.69049925 / ((x1 * (x0 / -22.622904)) + 2.372176)) - (x1 + x0))) + -2494.0896) - (x1 * (22745.031 - (-4201.9326 / (x0 + -21.587831)))))"
31,3.9629604e7,"((22741.793 - (-4201.9326 / (x0 + -21.561136))) * x1) - ((((0.5653941 / (((x1 / -22.60046) * x0) + 1.9353858)) - (x1 + (x1 + x0))) * (x0 * 3.4539092)) + -2514.8572)"
32,3.9561496e7,"abs((((0.5178409 * x1) + 3.3866963) * (((0.63386166 / ((x0 * (x1 / -22.52684)) + 2.3807325)) - x0) * x0)) + (-2494.0896 - ((22745.031 - (-4201.9326 / (x0 + -21.531874))) * x1)))"
33,3.9544336e7,"((22744.348 - (-4201.9326 / (x0 + -21.56371))) * x1) - (((((0.58454996 / ((x0 * (x1 / -22.641539)) + 2.3692255)) - x0) * (x0 + 2.554703)) * ((x1 * 0.4416555) + 3.233953)) + -2495.1763)"
36,3.954385e7,"abs(((22777.332 - (-4201.9326 / (x0 + -21.56371))) * x1) - (((((x0 / 1.6271119) / (((x0 * x1) / -22.641539) + 2.3692248)) - ((x0 + 2.554703) * x0)) * ((x1 * 0.43029204) + 3.233953)) + -2494.0896))"
38,3.9543588e7,"abs(((22777.332 - (-4201.9326 / (-21.56371 + x0))) * x1) - (((((x0 / 1.6271119) / (2.3692248 + ((x1 * x0) / -22.641539))) - ((x0 + sqrt(sqrt(x0))) * x0)) * ((x1 * 0.43029204) + 3.233953)) + -2494.0896))"
39,3.9542388e7,"(((22744.348 - (-4201.9326 / (-21.56371 + x0))) + (3447.2178 / x0)) * x1) - (((((x0 / 1.599118) / (2.3692255 + ((x0 * x1) / -22.641539))) - (x0 * (x0 + 2.554703))) * (3.233953 + (0.4416555 * x1))) + -2494.0896)"
40,3.9481336e7,"abs(((((0.5232925 / ((x1 * (x0 / -22.639402)) + 2.366644)) - x0) * ((x1 + 3.3123624) * x0)) + -2494.0896) - (x1 * (((x0 * x0) / (23.751684 - (x0 + -22.676125))) + (22745.031 - (-4201.9326 / (x0 + -21.551163))))))"
41,3.9481092e7,"abs(-2494.0896 + ((((0.5232925 / ((x1 * (x0 / -22.639402)) + 2.366644)) - x0) * (x0 * (3.3123624 + x1))) - (x1 * (((x0 * x0) / (23.751684 - abs(x0 + -22.676125))) + (22745.031 - (-4201.9326 / (-21.551163 + x0)))))))"
42,3.939055e7,"abs((((0.5232925 / (((x1 * x0) / -22.639402) + 2.366644)) - x0) * (((x1 * 0.56093454) + 3.3123624) * x0)) + (-2494.0896 - (x1 * ((((x0 * x0) / (23.751684 - (x0 + -22.676125))) + 22745.031) - (-4201.9326 / (x0 + -21.551163))))))"
44,3.9330428e7,"abs((-2494.0896 - (((x0 * (x0 / (23.715536 - (x0 + -22.641539)))) + (22745.031 - (-4201.9326 / (x0 + -21.56371)))) * x1)) + ((x0 * ((x1 * 0.54959965) + 3.233953)) * (((x1 / 1.7040896) / (2.3692248 + (x0 / -22.641539))) - (2.3692248 + x0))))"
46,3.9329388e7,"abs((-2494.0896 - ((((-2.678144 + x0) * (x0 / (23.715536 - (-22.641539 + x0)))) + (22745.031 - (-4201.9326 / (x0 + -21.56371)))) * x1)) + (((((x1 / 1.7040896) / (2.3692248 + (x0 / -22.641539))) - (2.3692248 + x0)) * x0) * (3.233953 + (x1 * 0.54959965))))"
48,3.9327616e7,"abs(((((x1 * 0.4805097) + 3.233953) * (((x0 / 1.6408437) / (((x1 * x0) / -22.641539) + 2.3692248)) - (x0 * (sqrt(sqrt(x0)) + x0)))) - (x1 * ((22745.031 - (-4201.9326 / (x0 + -21.56371))) + (x0 * (x0 / (23.715536 - (x0 + -22.641539))))))) + -2494.0896)"
50,3.932646e7,"abs((((((x0 / 1.6408437) / ((x0 * (x1 / -22.641539)) + 2.3692248)) - (x0 * (sqrt(sqrt(x0)) + x0))) * ((x1 * 0.4805097) + 3.233953)) - (x1 * ((22745.031 - (-4201.9326 / (x0 + -21.56371))) + (x0 * ((x0 - 2.795265) / (23.715536 - (x0 + -22.641539))))))) + -2494.0896)"
