Complexity,Loss,Equation
1,1.4654272e8,"13269.836"
3,1.1228994e8,"x1 * 32051.201"
5,5.57207e7,"(x1 * 23615.422) - -8432.257"
7,4.1453416e7,"(x0 * 222.51729) + (x1 * 23480.057)"
9,4.079751e7,"(x1 * 23699.318) + ((x0 + 173.304) * x0)"
10,4.0731544e7,"(sqrt(x0) * (x0 * 31.801434)) - (x1 * -24075.145)"
11,4.0578936e7,"(2382.2097 - (x1 * -23868.336)) + ((x0 * 3.4593868) * x0)"
13,4.0570784e7,"(((x0 + x1) * 3.4517744) * x0) + (2395.629 - (x1 * -23734.46))"
14,4.057054e7,"(((x0 * 3.1995997) * x0) + (log(x0) * 787.5904)) - (x1 * -23866.547)"
15,4.0530844e7,"((x0 * (x0 + (x1 * 11.603346))) * 3.3622456) + (2552.5461 - (x1 * -22358.268))"
16,4.0498572e7,"(((x0 * 276.11252) + (x1 * 23889.39)) + -3467.7983) + abs((x0 * 83.31043) - 3306.5413)"
18,4.0486652e7,"(x0 * 280.97333) + (abs(3435.2368 - ((x0 + x1) * 84.18012)) + ((x1 * 23888.605) + -3670.7139))"
19,4.022532e7,"(2.6118205e6 / ((x0 * 622.90826) - (x1 * 13431.667))) + ((-2669.9658 - (x0 * -278.4567)) - (x1 * -23799.121))"
21,3.990936e7,"(((1.7334852 - (x1 / ((x0 + -21.525415) * -0.21352766))) * (x0 + x0)) * x0) + (2337.5298 - (x1 * -23134.023))"
23,3.990751e7,"(((x0 + x0) * (x0 * ((-97.19121 - ((x1 / (x0 + -21.529028)) / -0.21423984)) + 98.90864))) - (x1 * -23108.47)) + 2412.2383"
25,3.9642584e7,"(((x0 * 3.4794972) * x0) - (x1 * -23824.137)) + (2357.0308 - ((1.5724242e6 / ((x0 + -38.692978) * (x0 * (x0 + -21.506683)))) * x1))"
27,3.9635204e7,"(((x0 * 3.4794972) * (x0 + x1)) - (x1 * -23824.137)) + (2357.0308 - ((1.5724242e6 / (((x0 + -38.692978) * x0) * (x0 + -21.506683))) * x1))"
28,3.963434e7,"abs(((1.5724242e6 / ((x0 + -38.693523) * ((x0 + -21.492098) * x0))) * x1) - ((((x1 + x0) * 3.4635909) * x0) + (2357.5593 - (x1 * -23824.137))))"
29,3.960466e7,"((((x0 * x0) * 3.4878001) + 2274.3088) - (((1.5724246e6 / ((x0 * (x0 + -38.682358)) * (x0 + -21.521568))) - (x0 * 19.612495)) * x1)) - (x1 * -23171.385)"
31,3.9585696e7,"((((x0 * x0) * 3.4600596) - (x1 * -23822.377)) + 2357.5637) - (((1.5724242e6 / ((x0 + -38.687275) * (x0 * (x0 + -21.489922)))) - (x0 * (x0 + -38.687275))) * x1)"
33,3.9306656e7,"((x0 * (x0 * 3.4601417)) - (x1 * -23824.137)) + (2357.5637 - (((1.5724242e6 / (((x0 + -38.69354) * (-21.489838 + x0)) * x0)) - ((x0 / (x0 + -60.002956)) / -2.2440615)) * x1))"
35,3.930586e7,"((2357.5637 - (((1.5724242e6 / (((x0 + -38.69354) * (x0 + -21.489838)) * x0)) - (((x0 + 2.3815846) / (x0 + -60.002956)) / -2.2440615)) * x1)) + ((x0 * x0) * 3.4601417)) - (x1 * -23824.137)"
37,3.9304304e7,"(2357.5637 - ((((1.5724242e6 / ((x0 * (x0 + -38.687275)) * (x0 + -21.489922))) - -60.003) - (((x0 + 3.4600596) / (x0 + -60.003)) / -2.244099)) * x1)) + (((x0 * x0) * 3.4600596) - (x1 * -23822.377))"
38,3.930423e7,"(2357.5637 - ((((1.5724242e6 / (((x0 + -21.489922) * x0) * (x0 + -38.687275))) - -60.003) - (((log(x0) + x0) / (x0 + -60.003)) / -2.244099)) * x1)) + ((x0 * (3.4600596 * x0)) - (-23822.377 * x1))"
39,3.9304092e7,"(2357.5637 - ((((1.5724242e6 / ((x0 + -0.7405544) * ((x0 + -38.687275) * (x0 + -21.489922)))) - -60.003) - (((x0 + 3.4600596) / (x0 + -60.003)) / -2.244099)) * x1)) + (((x0 * x0) * 3.4600596) - (x1 * -23822.377))"
40,3.9303904e7,"(2357.5637 - ((((1.5724242e6 / ((x0 + -0.5438152) * ((-38.687275 + x0) * (x0 + -21.489922)))) - -60.003) - (((x0 + log(x0)) / (x0 + -60.003)) / -2.244099)) * x1)) + ((x0 * (x0 * 3.4600596)) - (x1 * -23822.377))"
42,3.9303812e7,"(((((x0 * x0) * 3.4600596) - (x1 * -23822.377)) + 2357.5637) - ((((1.5724242e6 / (((x0 + -38.687275) * (x0 + -21.489922)) * (x0 + -0.5438152))) - -60.003) - (((x0 + log(x0)) / (x0 + -60.003)) / -2.244099)) * x1)) + 7.765384"
47,3.92532e7,"(((((x0 * x0) * 3.4732323) - (x1 * -23824.137)) + 2357.564) - (((1.5724242e6 / (((x0 + -37.458336) * x0) * (x0 + -21.476011))) - ((-22.059011 / (x0 + -60.14945)) * x0)) * x1)) - ((x1 / (x0 * (x0 + ((x0 + -37.458336) * -21.476011)))) * 1.2899902e6)"
48,3.917228e7,"((2357.564 - (((1.5724242e6 / (((x0 + -21.476017) * (x0 + -37.45837)) * x0)) - (x0 * (-23.603855 / (x0 + -60.149796)))) * x1)) + (((x0 * x0) * 3.4732141) - (x1 * -23824.137))) - (x1 * abs(1.393397e6 / ((((x0 + -37.458652) * -21.476011) + x0) * x0)))"
