Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31994.693"
5,1.9433446e7,"(x1 * 23563.297) + 8430.346"
7,5.201006e6,"((x0 * 0.009491947) + x1) * 23428.572"
9,4.5484025e6,"((x0 + 173.172) * x0) + (x1 * 23647.422)"
11,4.332257e6,"(((x0 * x0) * 3.454508) + (x1 * 23814.84)) + 2387.4788"
13,4.3243625e6,"(x1 * 23682.104) + (((x0 * (x0 + x1)) * 3.4467013) - -2400.7202)"
15,3.9464715e6,"(x0 * (x0 + 173.08974)) + (x1 * (23441.469 + (4178.612 / (x0 + -21.51561))))"
17,3.835767e6,"(((4065.3875 / (x0 + -21.555054)) + 23599.832) * x1) + ((-5.025242 + x0) * (x0 + 200.13306))"
19,3.6645615e6,"(((x0 * x0) * (((x1 / (x0 + -21.530678)) * 9.338061) + 3.4302382)) + 2433.0288) + (x1 * 23005.834)"
21,3.6606815e6,"(x1 * 22923.066) + ((x0 * ((x1 + x0) * (((x1 / (x0 + -21.515247)) * 9.032855) + 3.4247744))) + 2436.7607)"
22,3.6225838e6,"(((x0 + -12.437671) * 271.79132) + (((4153.6963 / (x0 + -21.513105)) + 23625.256) * x1)) + abs((x0 + -39.0549) * 89.66916)"
24,3.611589e6,"(((x0 + -12.978832) * 276.8032) + (x1 * ((4099.5215 / (x0 + -21.538921)) + 23625.271))) + (abs(x1 + (x0 + -40.15424)) * 90.890205)"
26,3.6016345e6,"((x1 * ((4121.339 / (x0 + -21.534096)) + 23626.963)) + ((x0 + -13.393897) * 280.71872)) + abs((x1 + ((x1 + x0) + -41.027927)) * 91.707726)"
28,3.5161565e6,"((x1 * 23645.637) + (abs((x0 + -38.986877) * 98.502335) + ((x0 + -12.562997) * 268.4134))) + (((x1 * 3612.2954) + 819.4423) / ((x0 + x1) + -22.489853))"
30,3.5074185e6,"((abs((x0 + -40.0022) + x1) * 99.15231) + ((((x1 * 3627.5676) + 805.0857) / (x0 + (x1 + -22.503122))) + ((x0 + -13.116531) * 273.76364))) + (x1 * 23648.893)"
32,3.4815418e6,"((x1 * 23550.436) + (((x1 + 0.22391671) * (3627.2847 / (x0 + (x1 + -22.534782)))) + ((x0 + -11.421031) * 256.16125))) + (abs((x0 + -37.99251) + (x1 / 0.1668777)) * 100.54842)"
34,3.480976e6,"(((x1 + 100.22083) * abs((x0 + (x1 / 0.16650161)) + -38.008816)) + (((x0 + -11.422365) * 256.18478) + (x1 * 23550.436))) + ((x1 + 0.23216586) * (3627.2854 / (x1 + (x0 + -22.519806))))"
35,3.4404415e6,"(abs(((x1 / (x0 + -22.515947)) + 0.1477099) * -4399.286) / (x0 + (-22.291952 + x1))) + (((x0 + 186.01399) * (x0 + -6.419117)) + abs((x1 * 24129.678) + ((x0 + -38.05952) * 66.6297)))"
37,3.4230392e6,"(((x0 + -6.415095) * (x0 + 185.12628)) + (abs(((x1 / (x0 + -22.4813)) + 0.19300854) * -4454.319) / ((x1 / 0.7852972) + (x0 + -22.498594)))) + abs((x1 * 24063.072) + ((x0 + -37.89342) * 67.62035))"
39,3.4182628e6,"(((x0 + 185.12628) * (x1 + (x0 + -6.612765))) + (abs(((x1 / (x0 + -22.4813)) + 0.19300854) * -4454.319) / ((x1 / 0.7852972) + (-22.498594 + x0)))) + abs((x1 * 24063.072) + ((x0 + -37.89342) * 67.62035))"
40,3.3794572e6,"abs((-36.873543 + x0) * -83.1648) + (((x0 + 183.45416) * (x0 + -7.5444307)) + ((x1 * 23891.629) + ((((x0 + x0) * x1) - (5.703016 / (x1 + (x0 / -43.74589)))) * (97.93914 / (x0 + (-22.506681 + x1))))))"
41,3.2545895e6,"((x0 + -3.2380571) * (x0 + 154.19675)) + ((abs((x0 + -31.909355) * 83.412766) + (x1 * 23527.436)) + (((x1 * (x0 + x0)) - (sqrt(x0) / ((x0 / -43.724445) + x1))) * (125.55801 / ((x0 + x1) + -22.483074))))"
43,3.2543638e6,"(((x0 + -3.2380571) * (x0 + 154.19675)) + ((abs((x0 + -31.909355) * 83.412766) + (x1 * 23527.436)) + (((x1 * (x0 + x0)) - (sqrt(x0) / ((x0 / -43.724445) + x1))) * (125.55801 / ((x0 + x1) + -22.483074))))) - -1.4680111"
44,3.2501702e6,"(((x0 + -3.2380571) * (x0 + 154.19675)) + (((abs(x0 + -31.909355) * 83.412766) + (x1 * 23527.436)) + (((x1 * (x0 + x0)) - (sqrt(x0) / ((x0 / -43.724445) + x1))) * (125.55801 / (x0 + (x1 + -22.483074)))))) + abs(x0)"
45,3.2489715e6,"((x1 * 23527.436) + abs((x0 + -31.909355) * 83.412766)) + ((((x0 + -3.2380571) * (x0 + 154.19675)) + ((125.55801 / ((x0 + (x1 * 0.9741601)) + -22.483074)) * (((x0 + x0) * x1) - (sqrt(x0) / (x1 + (x0 / -43.724445)))))) + 43.724445)"
46,3.24531e6,"((x0 + -3.2380571) * (x0 + 154.19675)) + ((abs(((x1 + x0) + -31.909355) * 83.412766) + (x1 * 23527.436)) + (((((x0 + x0) * x1) - (sqrt(x0) / ((x0 / -43.724445) + x1))) * (125.55801 / (x0 + (x1 + -22.483074)))) + abs(x0)))"
