Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31993.586"
5,1.9433446e7,"(x1 * 23563.299) + 8430.345"
7,5.201006e6,"(x1 * 23428.365) + (x0 * 222.38307)"
9,4.548403e6,"(23647.467 * x1) + (x0 * (x0 + 173.17117))"
11,4.332257e6,"((x1 + ((x0 * x0) / 6894.8037)) * 23815.234) - -2387.6606"
13,4.3243625e6,"((x1 + ((x0 * (x1 + x0)) / 6871.5166)) * 23682.166) - -2401.24"
15,4.286959e6,"((x1 + (((x1 * 11.22736) + x0) * (x0 / 6652.4697))) * 22354.996) - -2551.919"
16,4.2522585e6,"((x0 * 275.70505) - ((x1 * -23829.275) + 3453.8726)) + abs((x0 * 83.22785) + -3301.75)"
17,3.745166e6,"((23637.48 - (-4105.555 / (x0 + -21.570614))) * x1) + (x0 * ((x0 + x0) + 123.90807))"
19,3.7327885e6,"((x1 * 23056.188) + (((x0 + x0) + 132.65689) * x0)) - (-187.92491 / ((-21.577858 / x0) + x1))"
21,3.7133218e6,"(x0 * ((x0 + x0) + 122.958626)) + (((x1 - -0.018941505) * 23045.39) - (-191.09763 / ((-21.55757 / x0) + x1)))"
23,3.666933e6,"((x0 + (x0 + (x0 + 43.932003))) * x0) + (((x1 - -0.07853738) * 23046.508) - (-197.70216 / ((-21.541918 / x0) + x1)))"
25,3.665711e6,"((x0 * ((((x0 + x0) + x1) + x0) + 43.47334)) - (-196.52216 / ((-21.54605 / x0) + x1))) + ((x1 - -0.07887923) * 23046.023)"
27,3.6390135e6,"(((((x0 + x0) - 984.517) + (x0 - (-8.304086 / ((-21.614887 / x0) + x1)))) * x0) + (1440.3926 - (x1 * -22401.652))) + (x0 * 1045.6489)"
29,3.6389262e6,"((((8.187966 / (x1 + (-25.989151 / (x0 * 1.2022597)))) + 1064.3887) * x0) - ((-22441.25 * x1) - 1471.3389)) + (((x0 + (x0 + x0)) + -1004.27716) * x0)"
31,3.6352512e6,"((((x0 * (x0 + (x0 + x0))) + 1826.7828) + (x0 / (x0 + -49.92254))) + (((x0 * -0.001895249) - x1) * -22980.977)) - (-202.03102 / ((-21.539768 / x0) + x1))"
33,3.6201292e6,"((((x0 + (x0 + x0)) * x0) + ((x0 * 2.2932284) / (x0 + -49.9135))) + ((((x0 * -0.0018935082) - x1) * -22980.977) + 1826.7828)) - (-202.03102 / (x1 + (-21.535252 / x0)))"
35,3.3319945e6,"(((((x0 + (x0 + (x0 + -993.46344))) * x0) - (-192.93327 / (x1 + (-21.546915 / x0)))) + (x0 * 1038.2961)) - (x1 * -22890.557)) + ((x1 / ((-107.48485 / x0) + 1.7915194)) + 1731.6931)"
36,3.3312538e6,"((((x0 * 1038.2961) - (x1 * -22890.557)) + 1731.6931) + ((((x0 + -993.46344) + (x0 + x0)) * x0) - (-192.93327 / (x1 + (-21.546915 / x0))))) + (x1 / abs((-107.48485 / x0) + 1.7915194))"
37,3.313646e6,"((1729.2799 - (x1 * -22967.271)) + ((x0 * 1038.763) - (-192.97238 / (x1 + (-21.555176 / x0))))) + (((x0 + (x0 + -993.1317)) + ((0.9654695 / ((-107.322624 / (x0 + x0)) + x1)) + x0)) * x0)"
39,3.311e6,"(((((x0 - -0.14424142) * 1038.0232) + (x0 / ((-107.321655 / (x0 + x0)) + x1))) + (1727.9231 - (x1 * -22967.266))) - (-192.93388 / (x1 + (-21.557116 / x0)))) + ((((x0 + -995.20404) + x0) + x0) * x0)"
41,3.3100188e6,"((x0 * (((x0 + -994.03864) + x0) + x0)) + ((x0 - 2.5550017) / (x1 + (-107.33379 / (x0 + x0))))) + (((1728.6187 - (x1 * -22967.266)) + ((x0 - -0.16756669) * 1036.2368)) - (-192.93524 / (x1 + (-21.559061 / x0))))"
42,3.3097072e6,"((x0 + ((x0 + x0) + -995.30176)) * x0) + ((((1727.9231 - (x1 * -22967.266)) + ((x0 - log(x0)) / ((-107.34808 / (x0 + x0)) + x1))) + ((x0 - -0.14424455) * 1038.0232)) - (-192.93388 / ((-21.557665 / x0) + x1)))"
43,3.3091298e6,"((((x0 - -0.15430188) * 1037.2427) + (((-2.7149339 + x0) / ((-107.33356 / (x0 + x0)) + x1)) - (x1 * -22923.207))) - (-193.17882 / ((-21.562984 / x0) + x1))) + (((((x0 + x0) + (-994.58875 + x1)) + x0) * x0) + 1727.2607)"
45,3.3088362e6,"((((x0 * ((x0 + x0) + (((x0 + x1) + -994.6698) + x1))) + ((x0 + -2.623581) / ((-107.32729 / (x0 + x0)) + x1))) + (((x0 - -0.14438298) * 1037.164) - (x1 * -22923.203))) - (-193.3292 / ((-21.557842 / x0) + x1))) + 1728.6146"
47,3.3086168e6,"(((((x0 - -0.17014836) * 1038.0233) + ((1728.6187 - (x1 * -22967.266)) - (-192.9354 / ((-21.562965 / x0) + x1)))) + ((x0 - 2.7328858) / (x1 + (-107.33564 / (x0 + x0))))) * 0.9979587) + (((((x0 + x0) + (x1 + x1)) + x0) + -993.9282) * x0)"
49,3.3082758e6,"0.99548596 * ((((x1 + ((x0 + -993.9278) + (x0 + x0))) + x1) * x0) + ((((x0 - 2.9276218) / (x1 + (-107.34269 / (x0 + x0)))) + ((x0 - -0.16788569) * 1038.0238)) + (((1728.6187 - (x1 * -22967.266)) - (-192.9354 / (x1 + (-21.567286 / x0)))) - x0)))"
