Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31994.725"
5,1.9433446e7,"(x1 * 23563.291) + 8430.352"
7,5.201006e6,"(x0 * 222.38269) + (x1 * 23428.396)"
9,4.548403e6,"(x1 * 23647.31) + (x0 * (x0 - -173.17105))"
10,4.479066e6,"(x1 + ((x0 * 0.0024288206) * log(x0))) * 23738.809"
11,4.332256e6,"((x0 * (x0 * 3.454389)) - -2387.5576) + (x1 * 23814.883)"
13,4.324362e6,"(x1 * 23682.246) + ((x0 * ((x1 + x0) * 3.4466982)) - -2400.7266)"
15,3.9462732e6,"(((4082.068 / (x0 + -21.532011)) + 23462.484) * x1) + (x0 * (x0 + 172.98453))"
17,3.7447725e6,"(x0 * ((x0 + x0) + 124.04308)) + (((4044.0764 / (x0 + -21.578487)) + 23614.236) * x1)"
19,3.7312868e6,"(((4137.3345 / (x0 + -21.550901)) + 23581.479) * x1) + ((x0 * (x0 + (x0 + 115.52529))) + 380.73218)"
21,3.684698e6,"(((((x0 + x0) + x0) - -36.526917) * x0) + (((4283.5586 / (x0 + -21.524137)) + 23603.076) * x1)) + 1742.1825"
23,3.4958955e6,"(x0 * (x0 + (x0 + 124.55209))) + (x1 * ((23734.326 - (2086.4421 / (x0 + -38.70934))) + (2086.4421 / (-21.770813 + x0))))"
25,3.441775e6,"((((1986.5535 / (x0 + -21.552711)) + 11779.217) - (1087.9325 / (x0 + -38.69948))) * (x1 * 2.0178597)) + (((x0 + x0) + 124.23938) * x0)"
27,3.437353e6,"(((x0 + x0) + 124.03322) * x0) + (((((x0 + (1986.5535 / (x0 + -21.552711))) + 11779.217) - (1087.9325 / (x0 + -38.69948))) * x1) * 2.0085006)"
29,3.3916908e6,"((x1 * 1.8855752) * ((((1987.6583 / (x0 + -21.624895)) - (1219.3505 / (x0 + -38.696556))) + 11778.818) - (x0 * -20.682507))) + (x0 * ((x0 + x0) + 123.52527))"
31,3.3695065e6,"(x0 * (((x0 + x0) + 103.910645) + (x1 * x0))) + (((x1 * 1.8337636) * (((2269.017 / (x0 + -21.598207)) + 11982.284) - (-1581.2648 / (38.627316 - x0)))) + 840.606)"
33,3.3283305e6,"(x0 * (((x0 + x0) + (x0 + (x1 * 51.834034))) + 30.084774)) + (((((2080.827 / (x0 + -21.60521)) + 11802.981) - (-1386.5228 / (38.658817 - x0))) * (x1 * 1.8367424)) + 1998.4312)"
35,3.3250955e6,"((((2154.7288 / (x0 + -21.580376)) + (11789.274 - (-1414.4219 / (38.652866 - x0)))) * (x1 * 1.9079953)) + (x0 * ((x0 + x0) + ((((x0 * 0.7042111) * x1) + x0) + 29.736223)))) + 2012.8048"
37,3.3113175e6,"(((x0 + (x0 * x1)) + ((x0 - -30.198795) + x0)) * x0) + (((((2375.1384 / (x0 + -21.557827)) - (-1423.8623 / (38.658337 - x0))) + (11753.9375 - (-18714.094 / x0))) * (x1 * 1.7878463)) + 1988.564)"
39,3.3075115e6,"(((x0 + (x0 + (x1 * x0))) + (x0 + 30.703714)) * x0) + ((x1 * (1.7781155 * ((2366.0396 / (x0 + -21.551579)) + ((11757.155 - (-18713.746 / (x0 + -3.6114998))) - (-1412.4508 / (38.662674 - x0)))))) + 1966.1666)"
41,3.3071335e6,"(((x1 * (((2366.0396 / (x0 + -21.552149)) + (11757.155 - (-18713.746 / (x0 + -2.6562345)))) - (-1412.4508 / (38.66825 - x0)))) * 1.7791944) + (((x0 + x0) + ((((x1 - 0.04581333) * x0) + x0) - -32.622288)) * x0)) + 1978.7491"
42,3.2996358e6,"(abs(((((11757.722 - (-18713.746 / x0)) * x1) + (2367.0674 / (x0 + -21.554495))) - (-1412.4669 / (38.649593 - x0))) * 1.8694609) * (x1 - 0.04568754)) + (((x0 + (x0 + (((x1 * x0) + x0) - -31.104778))) * x0) + 1982.3108)"
44,3.296695e6,"(((((x0 + ((x1 * x0) + x0)) + x0) - -31.104774) * x0) + 1982.3108) + (abs((((2367.0674 / (x0 + -21.554502)) - (-1412.4669 / (38.65192 - x0))) + ((11756.277 - (-18713.746 / (x0 - 1.868647))) * x1)) * 1.868647) * (x1 - 0.047070354))"
46,3.292886e6,"(abs((x1 * (11756.277 - (-18713.746 / (x0 - 3.0433671)))) + ((2367.0674 / (x0 + -21.553867)) - (-1412.4669 / (38.646046 - x0)))) * ((x1 - 0.052387424) * 1.8666289)) + ((((x0 + (x0 * x1)) + (((x1 + x0) - -30.128393) + x0)) * x0) + 2059.609)"
