Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31993.586"
5,1.9433446e7,"(x1 * 23563.3) + 8430.345"
7,5.201006e6,"(x0 * 222.3832) + (x1 * 23428.08)"
9,4.5484025e6,"(x0 * (x0 + 173.172)) + (x1 * 23647.445)"
10,4.4790655e6,"((x0 * log(x0)) * 57.657303) + (x1 * 23737.953)"
11,4.3322565e6,"((x1 * 23815.56) + ((x0 * x0) * 3.4541614)) + 2387.5806"
13,4.3243625e6,"((23681.844 * x1) + (((x1 + x0) * x0) * 3.4467351)) + 2400.6938"
15,4.1113915e6,"(x1 * 23566.084) + (-2485.048 + (((x1 / (x0 + -21.972515)) + x0) * 277.2004))"
17,3.8797392e6,"(x0 * (((x1 / (x0 + -21.945667)) + 3.4378803) * x0)) + ((x1 * 23523.389) + 2417.9663)"
18,3.654669e6,"(x1 * 22881.928) + ((((x1 / (sqrt(x0) + -4.639874)) + 3.4244564) * (x0 * x0)) + 2439.6055)"
20,3.6537092e6,"(((x0 + 22877.268) * x1) + ((x0 * ((x1 / (sqrt(x0) + -4.639874)) + 3.4244564)) * x0)) + 2436.5825"
21,3.6406375e6,"(x1 * 22087.41) + ((((x0 + (x1 * ((55.846527 / (x0 + -21.58167)) + 10.301802))) * x0) * 3.3695738) + 2533.1104)"
22,3.6380448e6,"((((x1 * ((58.366924 / (x0 + -21.543322)) + sqrt(x0))) + x0) * (x0 * 3.3800933)) + 2518.8037) + (x1 * 22531.418)"
23,3.5708365e6,"(x1 * 23451.6) + (((((((x1 * 47.40611) - -10.611956) / (x0 + (x1 + -22.530766))) + x0) * x0) * 3.4476087) + 2336.1123)"
25,3.5556088e6,"(x1 * 23170.182) + (((((((x1 - -0.21229003) / ((x1 + x0) - 22.53206)) * (x0 / 0.44423354)) + x0) * 3.4103656) * x0) + 2335.027)"
27,3.52693e6,"((x1 * 22047.168) + 2474.393) + (((x1 * 10.7682) + ((((x1 * 45.4806) + 10.7682) / (x0 + (x1 - 22.574594))) + x0)) * (x0 * 3.3641772))"
28,3.5234385e6,"(x1 * 22598.967) + ((x0 * ((sqrt(x1 * x0) + ((((x1 * 46.267128) + 10.995842) / (x0 + (x1 - 22.562786))) + x0)) * 3.3754432)) + 2457.5989)"
30,3.523248e6,"((x0 * (((((x1 * 46.267296) + 10.995651) / ((x1 + x0) - 22.562714)) + x0) + sqrt(x1 * (x0 / 0.9478726)))) * 3.3775349) + (2457.5989 + (x1 * 22598.967))"
31,3.392688e6,"(((x0 * 2.3900797) + (35.97442 - (3.582808 / (x1 + ((x0 * 0.5528343) - 22.528637))))) * (x0 + (24.45118 - (-48.926483 / ((x1 * x0) + -21.538536))))) + (x1 * 23219.395)"
33,3.3873178e6,"(x1 * 23207.281) + ((((x0 + x1) - (-48.926483 / ((x1 * x0) + -21.558094))) + 24.185478) * ((x0 * 2.3900797) + (35.97442 - (3.582808 / (x1 + ((x0 * 0.5528343) - 22.528637))))))"
35,3.3447612e6,"(x1 * 23240.678) + (((x0 * 2.3900795) + 35.97442) * ((x0 - (-48.926483 / ((x0 * x1) + -21.58018))) + (24.081032 - ((35.97442 / (x0 - 22.528637)) / ((x1 + (x0 * 0.55299)) - 22.528637)))))"
37,3.3372455e6,"((36.447712 + (x0 * 2.3900795)) * ((x0 - (-48.926483 / ((x1 * x0) + -21.58018))) + (24.012444 - ((-0.7207804 - (-48.926483 / (x0 - 22.528637))) / (x1 + ((x0 * 0.5530772) - 22.528637)))))) + (x1 * 23215.875)"
39,3.188472e6,"(x1 * 23349.049) + ((((24.012444 - (-49.67561 / ((x0 * x1) + -21.53102))) + x0) - ((49.552723 / ((x1 / -0.12361203) + (x0 - 22.63949))) / (x1 + ((x0 * 0.5543956) - 22.528591)))) * ((x0 * 2.3900793) + 35.597565))"
41,3.1752755e6,"(23249.943 * x1) + ((((0.5543956 - (49.552723 / ((x0 - 22.63949) + (x1 / -0.12361203)))) / (x1 + ((x0 * 0.5543956) - 22.528591))) + (x0 + (24.012444 - (-48.926483 / ((x0 * x1) + -21.53102))))) * ((2.3900793 * x0) + 35.597565))"
43,3.1675128e6,"(23249.943 * x1) + ((((((1.3274069 - x1) - (49.552723 / ((x0 - 22.63949) + (x1 / -0.12361203)))) / ((x1 + (x0 * 0.5543956)) - 22.528591)) + (x0 + 24.012444)) - (-48.926483 / ((x0 * x1) + -21.53102))) * ((x0 * 2.3900793) + 35.597565))"
45,3.1628845e6,"(23249.943 * x1) + (((((1.3274069 - x1) - (49.552723 / ((x0 - 22.63949) + (x1 / -0.12361203)))) / ((x1 + (x0 * 0.5543956)) - 22.528591)) + (((x0 + x1) + 24.012444) - (-48.926483 / ((x0 * x1) + -21.53102)))) * ((x0 * 2.3900793) + 35.597565))"
46,3.162832e6,"(23249.943 * x1) + (((((x1 + x0) + 24.012444) + (((sqrt(1.6794261) - x1) - (49.552723 / ((x0 - 22.63949) + (x1 / -0.12361203)))) / (x1 + ((x0 * 0.5543956) - 22.528591)))) - (-48.926483 / (-21.53102 + (x0 * x1)))) * ((x0 * 2.3900793) + 35.597565))"
47,3.1101195e6,"((((x0 - ((49.552723 / ((x1 / -0.12361203) + (x0 - 22.63949))) / ((x1 + (x0 * 0.5543956)) - 22.528591))) + 24.012444) - (-48.926483 / ((x1 * x0) + -21.53102))) * (((x0 + (99.105446 / ((x0 - 49.552723) * 24.012444))) * 2.3900793) + 35.597565)) + (x1 * 23249.943)"
49,3.1040375e6,"((((x0 - ((49.552723 / ((x1 / -0.12361203) + (x0 - 22.63949))) / ((x1 + (x0 * 0.5543956)) - 22.528591))) + (x1 + 24.012444)) - (-48.926483 / ((x1 * x0) + -21.53102))) * (((x0 + (99.105446 / ((x0 - 49.552723) * 24.012444))) * 2.3900793) + 35.597565)) + (x1 * 23249.943)"
50,3.0974602e6,"((((x0 - ((49.552723 / ((x1 / -0.12361203) + (x0 - 22.63949))) / ((x1 + (x0 * 0.5543956)) - 22.528591))) + (x1 + 24.012444)) - (-48.926483 / ((x1 * x0) + -21.53102))) * (((x0 + ((x1 / (x0 - 49.552723)) * log(x0))) * 2.3900793) + 35.597565)) + (x1 * 23249.943)"
