Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31994.693"
5,1.9433446e7,"(x1 * 23562.89) + 8430.346"
7,5.201006e6,"(x0 * 222.38286) + (x1 * 23428.957)"
9,4.548403e6,"(x0 * (x0 - -173.1708)) + (x1 * 23647.414)"
10,4.4829205e6,"(log(x0) * (x0 / 0.01739375)) + (x1 * 23635.67)"
11,4.3322565e6,"((x0 * (x0 * 3.4541392)) + (x1 * 23814.766)) - -2388.0217"
13,4.324247e6,"(((x0 + 6878.8726) * (x1 - -0.101104885)) + (x0 * x0)) * 3.4426324"
14,4.318389e6,"((x0 * x0) + abs((x0 + -711.43274) + (x1 * 8185.789))) * 3.4815814"
15,4.286959e6,"((x0 * x0) + ((((11.219435 * x0) + 6652.1025) * x1) - -759.1393)) * 3.3607647"
17,3.6820782e6,"(((x1 * ((1256.2845 / (x0 - 21.522343)) + 6822.451)) + 689.1617) + (x0 * x0)) * 3.4577324"
19,3.675012e6,"((x0 * x0) + (((x0 + ((1247.5414 / (x0 - 21.526373)) + 6815.026)) * x1) + 698.75085)) * 3.4428513"
21,3.640449e6,"(((x0 * x0) + (((1242.6935 / (x0 - 21.577625)) + ((x0 * 10.701762) + 6581.56)) * x1)) - -751.4646) * 3.3693385"
23,3.3629868e6,"((x0 * x0) + ((x1 * ((1265.3884 / (x0 - 21.525278)) + ((654.61084 / (x0 + -43.682762)) + 6838.246))) - -690.7478)) * 3.4469345"
25,3.3565932e6,"(((x0 * x0) + ((((x0 + 6819.538) + (605.7989 / (x0 + -43.680527))) + (1245.4725 / (x0 - 21.543293))) * x1)) - -708.8441) * 3.4333994"
26,3.214887e6,"((abs(((x1 * 1338.2788) / (x0 + -44.393375)) + 724.7611) + (x0 * x0)) + (((1276.5035 / (x0 - 21.553211)) + 6856.1865) * x1)) * 3.4065907"
28,3.213442e6,"((((x0 * x0) + abs((x1 * (1338.5018 / (x0 + -44.39342))) + 704.63)) + (((1276.5035 / (x0 - 21.55417)) + 6856.1865) * x1)) + 20.128618) * 3.4075084"
29,3.118204e6,"(((x0 * x0) + (x1 * (((654.61084 / (x0 + -43.682762)) + (1265.3884 / (x0 - 21.525278))) + (6793.8154 - (654.61096 / (x0 + -37.489307)))))) - -689.9842) * 3.4566278"
31,3.111626e6,"(((((1265.3884 / (x0 - 21.518852)) + ((6793.8154 - (654.61096 / (x0 + -37.487923))) + (654.61084 / (x0 + -43.684837)))) * x1) + (x0 * (x0 + x1))) - -689.9842) * 3.4474976"
32,2.904561e6,"((x0 * x0) + ((x1 * ((1252.3031 / (x0 - 21.548525)) + (6769.4272 - (684.238 / (x0 + -37.433556))))) + abs((x1 * (1445.6586 / (x0 + -44.42781))) + 685.20337))) * 3.4315948"
33,2.9045608e6,"abs(((x0 * x0) + (abs((x1 * (1445.6586 / (x0 + -44.42781))) + 685.20337) + (x1 * ((1252.3031 / (x0 - 21.548525)) + (6769.4272 - (684.238 / (x0 + -37.433556))))))) * 3.431595)"
34,2.889821e6,"3.4157467 * (abs(656.76654 + (1447.3883 * (x1 / (-44.415165 + x0)))) + (((x1 - -0.009484941) * (6769.4272 + ((1252.3032 / (x0 - 21.545189)) - (794.89825 / (x0 + -37.460594))))) + (x0 * x0)))"
36,2.885278e6,"(((x0 * x0) + ((x1 - -0.010913131) * (((1252.3032 / (x0 - 21.547823)) + (6769.4272 - (794.8983 / (x0 + -37.45112)))) + x0))) + abs((x1 * (1447.3883 / (x0 + -44.41286))) + 656.4196)) * 3.3991323"
38,2.8517152e6,"(abs((((x1 / (x0 + -44.44585)) * 1447.3884) + 657.22394) - (-51.83566 / (x0 + -51.83566))) + ((x0 * x0) + (x1 * (((1252.3032 / (x0 - 21.553623)) + 6769.4272) - (794.8986 / (x0 + -37.4513)))))) * 3.443191"
40,2.8060082e6,"(abs((((x1 / (x0 + -44.44585)) * 1447.3884) + 657.22394) - (-51.83566 / (x0 + (-51.83566 + x1)))) + ((x0 * x0) + (((1252.3032 / (x0 - 21.553623)) + (6769.4272 - (794.8986 / (x0 + -37.4513)))) * x1))) * 3.4431915"
42,2.7476575e6,"(abs(((x1 / (x0 + -44.44585)) * 1447.3884) + (657.22394 - ((x0 * -2.2518723) / ((x0 + -51.83566) + x1)))) + ((x1 * (((1252.3032 / (x0 - 21.553623)) + 6769.4272) - (794.8986 / (x0 + -37.4513)))) + (x0 * x0))) * 3.443191"
44,2.5886352e6,"((x0 * x0) + (abs((x1 * (1447.3884 / (x0 + -44.44874))) + (658.99866 - ((x0 * -3.5959013) / ((x0 + -51.83603) - (x1 + x1))))) + (x1 * (((1252.3032 / (x0 - 21.553211)) - (794.8987 / (x0 + -37.44686))) + 6769.4272)))) * 3.4284773"
46,2.5430835e6,"(((x1 * (((1252.3032 / (x0 - 21.553211)) - (794.8987 / (x0 + -37.44686))) + 6769.4272)) + (x0 * x0)) + abs((((x1 / (x0 + -44.44874)) * 1447.3884) + 658.99866) - ((x0 * (-3.5959013 - x1)) / ((x0 + -51.83603) - (x1 + x1))))) * 3.428476"
48,2.4573475e6,"((abs((((1447.3801 * x1) / (x0 + -44.44162)) + 657.1955) - (((x1 + 0.5201415) * -4.4135556) * (x0 / ((x0 + -51.831573) - (x1 + x1))))) + (x0 * x0)) + (((1252.2909 / (x0 - 21.573544)) + (6769.423 - (794.91705 / (x0 + -37.52212)))) * x1)) * 3.4309683"
50,2.4287115e6,"((((((1252.3032 / (x0 - 21.5511)) + 6769.4272) - (794.8987 / (x0 + -37.471363))) * x1) + (x0 * x0)) + abs((((x1 * 1447.3884) / (x0 + -44.47933)) + 657.22394) - ((x0 * -3.5898361) * (((x1 + x1) + 0.897741) / ((x0 + -51.77459) - (x1 + x1)))))) * 3.4356954"
