Complexity,Loss,Equation
1,1.09850776e8,"13255.6045"
3,7.5950296e7,"x1 * 31994.402"
5,1.9433446e7,"(x1 * 23563.297) + 8430.352"
7,5.201006e6,"(x0 + (x1 * 105.3523)) * 222.3828"
9,4.5484025e6,"((x0 - -173.172) * x0) + (x1 * 23646.938)"
11,4.332256e6,"((x1 * 23814.996) + ((x0 * x0) * 3.4542735)) - -2387.5298"
13,4.3243625e6,"((x0 * ((x0 + x1) * 3.4466405)) + (x1 * 23681.559)) - -2400.9453"
14,4.324007e6,"((x0 * x0) * 3.1946406) + ((log(x0) + (x1 * 30.188564)) * 788.8386)"
15,4.2857725e6,"(((x1 * 38.127983) + 4.2294555) * (x0 - -585.8951)) + (x0 * (x0 * 3.3075259))"
16,4.2846125e6,"((x0 + 809.453) * (log(x0) + (x1 * 28.08474))) + (x0 * (x0 * 3.0654218))"
17,3.6821938e6,"(x0 * (x0 * 3.454299)) + ((x1 * ((4289.4453 / (x0 + -21.530743)) + 23581.74)) + 2396.6895)"
19,3.6751722e6,"(((x1 + x0) * (x0 * 3.442405)) + 2407.8723) + (x1 * ((4381.5786 / (x0 + -21.520655)) + 23464.29))"
21,3.6396312e6,"((x0 * (x0 * 3.368866)) + ((x1 * 37.81808) * (((107.97686 / (x0 + -21.582886)) - -584.4083) + x0))) + 2536.9868"
23,3.6392592e6,"(x0 * (x0 * 3.29754)) + (((x1 * 43.863495) + 4.9511137) * (((x1 * 80.724236) / (x0 + -21.604906)) + (x0 - -498.36517)))"
25,3.3963532e6,"(((x1 * 38.891884) + 3.9533885) * (((-48.68377 / (43.685226 - x0)) + (97.748634 / (x0 + -21.519766))) + 608.117)) + (x0 * (3.4235027 * x0))"
27,3.3626875e6,"((x0 * 3.4235027) * x0) + (((((-48.68377 / (43.685226 - x0)) + (97.748634 / (x0 + -21.519766))) * x1) + 608.117) * ((x1 * 38.891884) + 3.9533885))"
28,3.2757968e6,"((x0 * 3.358482) * x0) + (((99.49522 / (x0 + -21.498413)) + (abs((-97.448746 / (43.45145 - x0)) + 118.871826) - -490.89847)) * ((x1 * 38.656593) + 4.1483746))"
30,3.239688e6,"(((x1 * 38.65895) + 4.108665) * ((((x1 * 100.15585) / (x0 + -21.559187)) - -490.8979) + abs((-97.45064 / (43.452396 - x0)) + 117.22349))) + ((x0 * x0) * 3.38175)"
32,3.2373768e6,"((abs((-97.489006 / (43.451927 - x0)) + 116.76159) + ((x1 * (100.09778 / (x0 + -21.534693))) - -490.90054)) * ((x1 * 38.49862) + 4.18961)) + ((x0 * (x0 + x1)) * 3.3551483)"
33,3.209014e6,"((x0 * x0) * 3.3113568) + ((((39.625347 / (46.486057 - x0)) + (81.537415 / (x0 + -21.538082))) + (((-43.243633 / (43.62487 - x0)) - -500.32455) + x0)) * ((43.98416 * x1) + 4.79232))"
34,3.01305e6,"((x0 * 3.2608898) * x0) + (((x1 * 43.396194) + 4.898802) * ((80.75496 / (x0 + -21.611597)) + (abs((-56.77746 / (43.57128 - x0)) + ((x0 / (60.34797 - x0)) + 46.493793)) + 492.43683)))"
36,2.9706105e6,"(x0 * (3.2608898 * x0)) + (((x1 * 43.396194) + 4.898802) * ((80.75496 / ((x0 * x1) + -21.611597)) + (abs(((-56.77746 / (43.57128 - x0)) + (x0 / (60.34797 - x0))) + 46.493793) + 492.43683)))"
38,2.9604938e6,"(x0 * (x0 * 3.2913027)) + (((x1 * 43.503242) + 4.9596972) * ((((x1 * 80.75154) / (x0 + -21.596565)) + (77.18325 / (46.477673 - (x0 * 1.2392747)))) + (abs((-60.5915 / (43.60389 - x0)) + x0) - -496.26904)))"
40,2.8199132e6,"((abs((x0 / (59.7789 - x0)) + ((-56.77746 / (43.57127 - x0)) + 43.57127)) + (((x0 / (38.71452 - x0)) + (80.75496 / (x0 + -21.610691))) - -497.92282)) * ((x1 * 43.39635) + 4.899015)) + (x0 * (x0 * 3.2614696))"
42,2.691767e6,"(x0 * (x0 * 3.2608898)) + ((abs(((x0 / (60.34797 - x0)) + x0) + (-56.77746 / (43.63257 - x0))) + ((80.75496 / (-21.611597 + x0)) + ((80.75496 / (46.493793 - (1.239364 * x0))) - -497.9228))) * ((x1 * 43.396194) + 4.898802))"
44,2.647038e6,"((x0 * x0) * 3.2608898) + ((abs(((x0 / (60.34797 - x0)) + x0) + (-56.77746 / (43.63257 - x0))) + (((x1 * 80.75496) / (x0 + -21.611597)) + ((80.75496 / (46.493793 - (1.239364 * x0))) - -497.9228))) * ((x1 * 43.396194) + 4.898802))"
45,2.6435995e6,"((x0 * x0) * 3.2608898) + ((abs(abs((x0 / (60.34797 - x0)) + x0) + (-56.77746 / (43.63257 - x0))) + ((x1 * (80.75496 / (x0 + -21.611597))) + ((80.75496 / (46.493793 - (1.239364 * x0))) - -497.9228))) * ((x1 * 43.396194) + 4.898802))"
46,2.6411608e6,"((x0 * (x0 - x1)) * 3.2608898) + ((abs((x0 / (60.34797 - x0)) + (x0 + (-56.77746 / (43.63257 - x0)))) + (((80.75496 / (46.493793 - (1.239364 * x0))) - -497.9228) + ((x1 * 80.75496) / (x0 + -21.611597)))) * ((x1 * 43.396194) + 4.898802))"
47,2.6371588e6,"((x0 * (x0 - x1)) * 3.2608898) + ((abs(abs((x0 / (60.34797 - x0)) + x0) + (-56.77746 / (43.63257 - x0))) + (((80.75496 / (46.493793 - (x0 * 1.239364))) - -497.9228) + (x1 * (80.75496 / (x0 + -21.611597))))) * ((x1 * 43.396194) + 4.898802))"
48,2.5221092e6,"((x0 * x0) * 3.3091264) + (((42.883163 * x1) + 4.90884) * (abs((x0 / (60.348705 - x0)) + ((x0 + (47.199474 / (46.466743 - x0))) + (-60.17208 / (43.538643 - x0)))) + ((80.79341 / (x0 + -21.653318)) + ((80.715195 / (47.199474 - (x0 * 1.258497))) - -497.86926))))"
50,2.4643348e6,"(x0 * (x0 * 3.3091264)) + (((x1 * 42.883163) + 4.90884) * (abs((x0 / (60.348705 - x0)) + (((47.199474 / (46.466743 - x0)) + x0) + (-60.17208 / (43.538643 - x0)))) + (((x1 * 80.79341) / (x0 + -21.653318)) + ((80.715195 / (47.199474 - (x0 * 1.258497))) - -497.86926))))"
