Complexity,Loss,Equation
1,1.471762e8,"13696.774"
3,1.30796664e8,"x0 * 343.87955"
5,1.3063681e8,"x0 * (x0 + 297.89413)"
7,1.2614186e8,"(x0 * 339.42023) - (x1 * -24207.752)"
9,1.2594027e8,"(x0 * (x0 + 293.45444)) - (x1 * -24321.357)"
11,1.256114e8,"(((x0 * x0) + (x1 * 5417.8584)) + 1300.2073) * 4.463089"
13,1.255088e8,"abs((((x1 * -14199.09) + (x0 * x0)) * log(x0)) - -6952.726)"
15,1.2535713e8,"((x0 - (((x0 + -69.96876) * 5.206531) * x1)) * (x0 * 4.4814644)) + 5767.3105"
16,1.25293624e8,"abs((((x0 - ((x0 + -101.136444) * (x1 * -5.029733))) * x0) * 4.4687104) + 5795.1978)"
17,1.25209544e8,"((x0 - (x1 * ((x0 + -62.40316) * 9.871147))) * ((x0 * 5.2888613) + -67.42178)) + 7074.8853"
19,1.25208184e8,"((x0 - (((x0 + -60.9193) * x1) * 8.225056)) * (((x1 + 5.4761777) * x0) + -82.92081)) + 7370.4155"
21,1.2520798e8,"((((x1 + 5.56874) * (x0 + x1)) + -90.524864) * (x0 - ((x0 + -60.777485) * (x1 * 8.0848465)))) + 7515.644"
23,1.2502296e8,"((((x0 * 5.3432) + -75.41017) * (x0 - (((x0 + -61.267292) * 11.365504) * x1))) - (-404.88593 / (x0 + -54.88224))) + 7319.0854"
24,1.2501695e8,"abs(((x0 * 5.3432) + -75.41017) * (((x1 * (x0 + -60.906944)) * 11.365504) - x0)) + (7320.5737 - (-404.88593 / (x0 + -54.88224)))"
25,1.24999624e8,"(((((x0 * 5.176753) + -69.09153) * (x0 - (((x0 + -61.085094) * x1) * 10.927701))) + 7320.636) - (-403.12677 / (x0 + -54.900826))) - 10.927701"
30,1.2499871e8,"((7320.636 + ((-69.09153 + (x0 * 5.176753)) * (x0 - (((x0 + -61.085094) * x1) * 10.927701)))) - (-403.12677 / (x0 + (-53.890144 - 1.0106808)))) - abs(x0 + -61.085094)"
31,1.2485857e8,"((x0 + -5.2686925) * 244.1086) + (((1731.1824 - ((61.012596 - x0) * x0)) * 5.039376) + ((((x0 / ((-19.493828 / x0) - (x1 + -1.3970466))) - -39830.47) / 1.5374594) * x1))"
32,1.2480439e8,"(((x0 + -5.749785) * 244.1086) + (((x0 / ((-19.493902 / x0) - (-1.397048 + x1))) - (-39830.47 * x1)) / 1.5271856)) + ((1731.1824 - abs(x0 * (x0 - 61.012596))) * 5.039379)"
34,1.2477443e8,"((((x0 / ((-19.493902 / x0) - (x1 + -1.397048))) - (x1 * -39830.47)) / 1.5331184) + ((x0 + -5.268692) * 244.1086)) + ((1731.1824 - abs((x0 - -1.6100597) * (61.012596 - x0))) * 5.039379)"
36,1.2474905e8,"(((x0 + (1731.1824 - ((x0 - -3.0330067) * abs(61.012596 - x0)))) * 5.03938) + (((x0 / ((-19.493952 / x0) - (x1 + -1.3970505))) - (x1 * -39830.47)) / 1.5483714)) + ((x0 + -5.268692) * 244.1086)"
39,1.24420296e8,"((((1708.7126 - (x0 * (59.85331 - x0))) * 5.572551) + ((x0 + -7.3934684) * 239.02951)) + (x1 * (((10.41383 - x0) * -3708.6553) - ((x0 * 49.01854) * x0)))) + (59.85331 / (((59.69131 - x0) * x1) - 10.692966))"
40,1.244176e8,"((x1 * (((10.41383 - x0) * -3708.6553) - (x0 * (x0 * 49.01854)))) + ((x0 + -7.3934684) * 239.02951)) + ((59.85331 / (48.998344 - (x0 * x1))) + abs((((x0 + 0.20926806) * (59.85331 - x0)) - 1708.7126) * 5.572551))"
41,1.2441419e8,"(((1708.7126 - ((0.50151825 + x0) * (59.85331 - x0))) * 5.572551) + (((x0 + -7.3934684) * 239.02951) + (x1 * (((10.41383 - x0) * -3708.6553) - ((x0 * 49.01854) * x0))))) + (59.85331 / (((59.69131 - x0) * x1) - 10.692966))"
43,1.244093e8,"((((1708.7126 - ((0.50151825 + x0) * (59.85331 - x0))) * 5.572551) + ((x0 + -7.3934684) * 239.02951)) + (x1 * (((10.41383 - x0) * -3708.6553) - ((49.01854 * x0) * (-0.057104588 + x0))))) + (59.85331 / (((59.69131 - x0) * x1) - 10.692966))"
44,1.24366696e8,"(((((10.41383 - x0) * -3708.6553) - ((x0 * (x0 - 1.2526277)) * 49.01854)) * x1) + (239.02951 * (x0 + -7.3934684))) + (((59.85331 / (48.998344 - (x0 * x1))) + abs((((x0 + 0.20926806) * (59.85331 - x0)) - 1708.7126) * 5.572551)) + x0)"
46,1.2434237e8,"((1708.7587 - (x0 * abs(x0 - 61.154068))) * 6.38718) + (((1708.7607 / ((((x0 - 60.982082) * -10.037748) - ((x1 * 4.114285) + x0)) * 0.09742353)) + ((x0 + -10.058299) * 238.47217)) + (x1 * (((10.272939 - x0) * -3708.6157) - ((x0 * 51.430164) * x0))))"
48,1.2434235e8,"(((1708.7587 - (x0 * abs(x0 - 61.154068))) * 6.38718) + (((1708.7607 / ((((x0 - 60.982082) * -10.037748) - ((x1 * 4.114285) + x0)) * 0.09742353)) + ((x0 + -10.058299) * 238.47217)) + (x1 * (((10.272939 - x0) * -3708.6157) - ((x0 * 51.430164) * x0))))) + x1"
50,1.2433818e8,"((((10.272939 - x0) * (x0 + -3708.6157)) - (x0 * ((x0 * 49.57587) + x0))) * x1) + (((1708.7587 - (x0 * abs(x0 - 61.154068))) * 6.38718) + (((x0 + -10.058299) * 238.61394) + (1708.7607 / ((((x0 - 60.982082) * -10.037748) - (x0 + (x1 * 4.114285))) * 0.09742353))))"
