Complexity,Loss,Equation
1,1.471762e8,"13696.1045"
3,1.30796664e8,"x0 * 343.87955"
5,1.3063681e8,"x0 * (x0 - -297.89413)"
7,1.26141864e8,"(x1 * 24209.213) + (x0 * 339.41898)"
9,1.2594027e8,"(x0 * (x0 + 293.45453)) + (x1 * 24317.605)"
11,1.256114e8,"(((x0 * 4.463614) * x0) + (x1 * 24177.824)) - -5801.911"
13,1.25600376e8,"(x1 * 25883.676) + (((x0 * (4.4712334 - x1)) * x0) - -5789.1504)"
14,1.25584776e8,"((0.116960466 * x0) + ((2.9542725 + (2.4502463 * x1)) - sqrt(x0))) * 9836.121"
16,1.2558477e8,"((((x0 * 0.116960466) + (x1 * 2.4502463)) + 2.9542725) - sqrt(x0)) * (9836.121 - x1)"
17,1.2535711e8,"(((x0 * -23.299387) - -1631.2372) * (x0 * x1)) - ((x0 * (x0 * -4.48113)) + -5768.4917)"
18,1.25293624e8,"abs((((x0 * x0) * -4.4698806) + -5793.39) - (x0 * (x1 * ((x0 * 22.47739) - 2273.2625))))"
19,1.2523007e8,"((((x0 * -51.143745) - -3197.4536) * x1) * (x0 + -12.415973)) - ((x0 * (x0 * -4.4744716)) + -5782.5225)"
21,1.2520807e8,"((x1 * (x0 + -12.701731)) * ((x0 * -52.082314) - -3251.2844)) - ((((x0 * -5.6408725) + 96.75866) * x0) + -7640.6934)"
24,1.2518159e8,"((((x0 * -52.50843) - -3274.0715) * x1) * (x0 + -12.836017)) + (((4.1872635 - sqrt(x0 + x0)) + (x0 * 0.16163354)) * 7502.3594)"
26,1.2518136e8,"((x1 * (x0 + -12.844924)) * ((x0 * -52.545357) - -3276.4727)) - ((((x0 * 0.1629118) - sqrt(x0 + (x0 - 1.38942))) + 4.062547) * -7472.9663)"
28,1.2518114e8,"((x1 * (x0 + -12.84493)) * ((-52.5453 * x0) - -3276.4727)) - (((4.0516415 + (x0 * 0.16343816)) - sqrt(x0 + (x0 - 1.3884382))) * (x0 + -7475.0474))"
29,1.246722e8,"abs((((x0 * 0.6297402) / ((x0 * 0.026418692) + -1.2954425)) - ((((x0 * 0.16289052) + 4.1197495) - sqrt(x0 + x0)) * -7475.044)) + ((x1 + x1) * 13032.076))"
31,1.2462146e8,"abs((((x0 * 0.6057735) / ((x0 * 0.026417246) + -1.2953334)) + ((x1 + x1) * 13032.076)) - (((x0 * 0.1625319) + (4.119739 - sqrt(x0 + (x0 - 0.7222555)))) * -7475.044))"
32,1.2461839e8,"abs((((x0 / ((x0 * 0.026417246) + -1.2953334)) + (log(x0) * (x1 * 13032.076))) * 0.6057735) - ((((x0 * 0.1625319) + 4.119739) - sqrt((x0 + x0) - 0.7222555)) * -7472.9033))"
33,1.2422943e8,"abs((((0.82174027 / ((x0 * 0.026418302) + -1.2953794)) + (x1 * ((x0 * -51.320366) - -3275.032))) * (x0 + -12.841701)) - ((((x0 * 0.16269949) + 4.119744) - sqrt(x0 + x0)) * -7475.044))"
35,1.2415326e8,"abs((((0.82174027 / ((x0 * 0.026418302) + -1.2953794)) + (x1 * ((x0 * -51.320366) - -3275.032))) * (x0 + -12.841701)) - (((x0 * 0.16269949) + (4.119744 - sqrt(x0 + (x0 + -0.5937409)))) * -7475.044))"
37,1.2415017e8,"abs(((x0 * 0.6030778) / ((x0 * 0.026417313) + -1.2953321)) + (((x0 + -12.841701) * (x1 * ((x0 * -51.320366) - -3275.032))) - ((((x0 * 0.16253212) + 4.119739) - sqrt((x0 + x0) - 0.76367575)) * -7475.044)))"
39,1.2413817e8,"abs((((((x0 * -51.320366) - -3275.032) * (x0 + -12.841701)) * x1) + (((x0 * 0.6030722) + 4.119739) / ((x0 * 0.026415514) + -1.2953657))) - ((((x0 * 0.16255793) + 4.1197395) - sqrt((x0 + x0) - 0.78524685)) * -7475.044))"
41,1.2410826e8,"abs((-7475.044 * ((0.16253212 * x0) + (4.119739 - sqrt((x0 - 0.7852468) + x0)))) - ((((x1 / 4.119739) + 0.6030778) * (x0 / ((x0 * 0.02641725) + -1.2953335))) + ((((x0 * -51.320366) - -3275.032) * (x0 + -12.841701)) * x1)))"
42,1.2410807e8,"abs((-7475.044 * (((0.16253212 * x0) + 4.119739) - sqrt((x0 - sqrt(0.5398603)) + x0))) - ((((x1 / 4.119739) + 0.6030778) * (x0 / ((x0 * 0.02641725) + -1.2953335))) + ((((x0 * -51.320366) - -3275.032) * (-12.841701 + x0)) * x1)))"
43,1.2408982e8,"abs(((((((x0 - x1) * -51.320366) - -3275.032) * x1) * (x0 + -12.896505)) + ((((x1 / 4.119739) + 0.6030778) * x0) / ((x0 * 0.026417255) + -1.2953329))) - (((4.119739 - sqrt((x0 - 0.7735343) + x0)) + (x0 * 0.16253173)) * -7474.0166))"
44,1.240897e8,"abs((((((x0 - x1) * -51.320366) - -3275.032) * ((x0 + -12.896505) * x1)) + ((x0 * ((x1 / log(x0)) + 0.6030778)) / ((x0 * 0.026417255) + -1.2953329))) - (((4.119739 - sqrt((x0 - 0.7852468) + x0)) + (x0 * 0.16253173)) * -7475.044))"
45,1.2408599e8,"abs(((((x0 - x1) * -51.320366) - -3275.032) * ((x0 + -12.896505) * x1)) + (((((x1 / 4.119739) + 0.6030778) * x0) / ((x0 * 0.026417239) + -1.295334)) - ((x0 + -7475.044) * ((x0 * 0.16253218) + (4.119739 - sqrt((x0 - 0.7735343) + x0))))))"
46,1.24083656e8,"abs((((((x0 - 1.0682937) * -51.320366) - -3275.032) * (x1 * (x0 + -13.004234))) - (((0.16253328 * x0) + (4.119739 - sqrt((x0 - 0.8043251) + x0))) * (x0 + -7475.5083))) + ((x0 * ((x1 / log(x0)) + 0.6030778)) / ((0.026417218 * x0) + -1.295336)))"
