Complexity,Loss,Equation
1,1.471762e8,"13698.586"
3,1.30796664e8,"x0 * 343.87955"
5,1.3063681e8,"x0 * (x0 - -297.92532)"
7,1.26141864e8,"(x1 * 24209.803) + (339.41898 * x0)"
9,1.2594027e8,"((x0 + 293.45453) * x0) - (x1 * -24317.453)"
11,1.256114e8,"((x0 * 4.4636283) * x0) + ((x1 * 24176.445) + 5801.887)"
13,1.25600376e8,"(25874.639 * x1) + (((x0 * x0) * (4.473436 - x1)) + 5784.6577)"
14,1.2560037e8,"abs(((x1 * 25874.639) + 5784.6577) + (x0 * (x0 * (4.473436 - x1))))"
15,1.2523553e8,"((x0 * ((((x0 * -0.9925981) + 59.83782) * x1) + 4.471647)) * x0) + 5789.1494"
17,1.2520955e8,"((x0 - 12.729454) * ((x1 * ((x0 * -52.22989) + 3258.91)) - (x0 * -5.28921))) + 7070.4077"
18,1.25209544e8,"((x0 - 12.729454) * ((sqrt(x1) * ((x0 * -52.22989) + 3258.91)) - (x0 * -5.28921))) + 7071.5986"
19,1.2520805e8,"(((((x0 * -52.47737) + 3271.5618) * x1) - ((x0 + -3.2104876) * -5.546447)) * (x0 - 12.745298)) + 7241.5786"
21,1.24765736e8,"(x0 * ((x0 / 0.2375555) + (x1 * ((((-8.045463 / (x0 + -48.550907)) + -13.135243) * x0) + 1262.6008)))) + 6468.16"
23,1.24688696e8,"(x0 * ((x0 / 0.2375555) + ((x1 + -0.0052497014) * ((((-8.045463 / (x0 + -48.550907)) + -13.135243) * x0) + 1262.6008)))) + 6468.16"
25,1.2441932e8,"((x0 - 8.93215) * (((x0 + x0) / 0.39221328) + (x1 * ((x0 * -32.549644) + ((x0 / (x0 + -49.052315)) + 2313.0315))))) + 6548.015"
27,1.2439919e8,"(((x1 * (((x0 + 10.149072) / (x0 + -49.055656)) + ((x0 * -32.549644) + 2313.0315))) + ((x0 + x0) / 0.39419457)) * (x0 - 8.932149)) + 6550.1133"
29,1.2439883e8,"((((x0 + x0) / 0.39420176) + ((((((x0 + x1) + 9.897144) / (x0 + -49.055695)) + (x0 * -32.549644)) + 2313.0315) * x1)) * (x0 - 8.932149)) + 6551.5522"
31,1.24327016e8,"((x0 - 8.932173) * ((((x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895)) + 2313.0315) * x1) + ((x0 + x0) / 0.40538275))) + (6599.7783 - (-173.40503 / (x0 + -50.93416)))"
33,1.2427993e8,"(6599.7783 - (-173.40503 / (x0 + -50.93416))) + ((x0 - 8.932173) * (((2313.0315 + (x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895))) * (x1 * 1.0890372)) + ((x0 + x0) / 0.40538275)))"
35,1.24243576e8,"(6599.7783 - (-173.40503 / ((x0 + x1) + -50.93416))) + ((x0 - 8.932173) * (((2313.0315 + (x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895))) * (x1 * 1.0890372)) + ((x0 + x0) / 0.40538275)))"
36,1.2424116e8,"(((((x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895)) + 2313.0315) * (x1 * 1.1002383)) + ((x0 + x0) / 0.40538275)) * (x0 - 8.932173)) + (6599.7783 - (-3.9171386 / abs((x0 + -50.924286) * -0.017149914)))"
38,1.2417155e8,"((x0 - 8.932173) * (((x0 + x0) / 0.40538275) + (((x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895)) + 2313.0315) * x1))) + (6599.7783 - (-3.9171386 / abs(0.019729458 * (x0 + ((0.9207565 * x1) + -50.93416)))))"
40,1.24149256e8,"((x0 - 8.932173) * (((x0 + x0) / 0.40538275) + (((x0 * ((-3.917147 / (x0 + -48.778854)) + -33.524895)) + 2313.0315) * (1.0681292 * x1)))) + (6599.7783 - (-3.9171386 / (0.020549875 * abs(x0 + (-50.93416 + (0.9207565 * x1))))))"
41,1.2382014e8,"(((x1 * ((x0 * -33.280117) + ((-415.18423 / (x0 + -48.59267)) + 2536.0076))) + ((x0 + x0) / 0.46036583)) * (x0 - (x1 * 12.695883))) + (6065.4634 - ((x1 * -414.90002) / ((x0 / ((-423.20557 / x0) + -48.865982)) + x1)))"
43,1.2374829e8,"((((x0 + -3.2550406) - (x1 * 8.039013)) * (((x0 + x0) / 0.4293079) + (x1 * (((x0 * -34.80725) + 2535.794) + (-419.17514 / (x0 + -48.628418)))))) + 6065.9653) - ((x1 * -419.83932) / (x1 + (x0 / ((-433.12683 / x0) + -48.628418))))"
45,1.2368556e8,"(6066.3916 - (x1 * (-419.17575 / (x1 + (x0 / ((-433.13986 / x0) + -48.700233)))))) + ((x0 + (-3.1328497 - (x1 * 8.079257))) * (((((-419.17575 / ((x0 + -48.78909) / 0.6037554)) + (x0 * -34.50583)) + 2535.8008) * x1) + ((x0 + x0) * 2.3261895)))"
46,1.2367628e8,"abs((((((-419.17575 / ((x0 + -48.78909) / 0.6037554)) + ((x0 * -34.50583) + 2535.8008)) * x1) + ((x0 + x0) * 2.3261895)) * ((x0 + -3.1328497) - (x1 * 8.037853))) + (6066.3916 - ((x1 * -419.17575) / (x1 + (x0 / ((-433.13986 / x0) + -48.937614))))))"
