Complexity,Loss,Equation
1,2.5720656e7,"13692.087"
3,9.353339e6,"x0 * 343.6923"
5,9.193711e6,"(x0 - -297.74402) * x0"
7,4.826323e6,"(x1 * 23875.762) + (x0 * 339.32053)"
9,4.625544e6,"((x0 + 293.36734) * x0) + (x1 * 23980.914)"
11,4.2974155e6,"(x1 * 23841.283) + (((x0 * x0) * 4.4619446) + 5801.197)"
13,3.933269e6,"(((x1 * (60.058617 - x0)) + 4.471877) * (x0 * x0)) + 5784.594"
15,3.9101738e6,"(x0 * (((((60.064648 - x0) * x1) + 5.5927563) * x0) + -92.78891)) - -7560.32"
17,3.6683818e6,"(((297.70593 / (56.991417 - x0)) + 23279.35) * x1) + (((x0 * 4.506931) * x0) - -5758.939)"
19,3.5022852e6,"((x0 * (x0 * 4.4437704)) + ((((x0 / (48.953472 - x0)) + 710.76874) * x1) * 37.33397)) + 5831.1304"
21,3.3911572e6,"(x0 * (x0 * 4.6028013)) + (((x1 * 83.07363) + 18.115562) * ((99.488754 / (x1 + (55.57766 - x0))) + 300.62042))"
23,3.2443022e6,"(x0 * (x0 * 4.5103936)) + ((((560.569 / ((55.48892 - x0) + x1)) + 793.3226) * ((x1 * 29.752983) - -2.3929887)) + 3748.1238)"
25,3.2283172e6,"((((534.8818 / ((x1 - x0) + 55.51516)) + 825.41003) * ((x1 * 28.889694) - -2.872153)) + ((x0 * 4.9554996) * (x0 + -6.8858113))) + 3866.7766"
27,3.2085178e6,"(x0 * (5.4570813 * x0)) + ((((x1 * 86.574585) + 7.5017986) * ((186.78343 / ((x1 + 55.51402) - x0)) + 273.914)) + (77.74254 * (65.22266 - x0)))"
29,2.8090352e6,"abs(((((x1 * 83.72938) + 29.703543) * (298.25137 + (x0 / (55.54545 - x0)))) + (x0 * (x0 * 4.377609))) - abs((2316.9375 / (48.940136 - x0)) - -2735.5378))"
31,2.4600215e6,"abs((((x0 * x0) * 4.549529) + ((29.13818 + (95.3679 * x1)) * (293.35168 + (x0 / (55.65629 - (x0 - x1)))))) - abs((2313.873 / (48.94103 - x0)) + 2789.6184))"
33,2.2509718e6,"abs(abs((2313.873 / (48.94103 - x0)) - -2846.15) - ((((x0 / (((x1 * 1.2913013) + 55.529476) - x0)) + 293.82748) * ((x1 * 95.3679) + 29.13818)) + ((x0 * x0) * 4.549529)))"
35,2.0696476e6,"abs(((((x0 + 53.828102) * x1) + 29.138184) * ((48.940136 / ((x1 * 1.304996) + (55.54546 - x0))) + 298.6702)) + (((x0 * x0) * 4.377609) - abs((2316.9375 / (48.940136 - x0)) - -2705.0254)))"
37,2.0669899e6,"abs(((((x0 * 0.82249737) / (((x1 * 1.3070134) + 55.545483) - x0)) + 298.6702) * (((x0 + 54.910477) * x1) + 29.138184)) + (((x0 * x0) * 4.377609) - abs(-2682.2834 - (2313.873 / (48.940136 - x0)))))"
39,1.9808399e6,"abs(((x0 * (x0 * 4.377609)) + ((((x0 + 55.545464) * x1) + 29.138184) * ((48.940136 / (((x1 * 1.304996) - x0) + 55.545464)) + 298.6702))) - abs((2316.9375 / ((x1 / 54.910477) + (48.940136 - x0))) + 2736.9414))"
41,1.8514894e6,"abs((((x0 * (x0 * 4.377609)) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0)))) - (65.61999 / (54.025837 - x0))) + ((((x0 + 54.025837) * x1) + 29.703543) * ((48.940136 / ((x1 * 1.304996) + (55.54545 - x0))) + 298.6702)))"
42,1.8502024e6,"abs((((x0 * (x0 * 4.377609)) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0)))) - (65.61999 / abs(54.025837 - x0))) + ((((x0 + 54.025837) * x1) + 29.703543) * ((48.940136 / ((x1 * 1.304996) + (55.54545 - x0))) + 298.6702)))"
43,1.8026611e6,"abs(((((((x0 + 54.025837) * x1) + 29.703543) * ((48.940136 / ((1.304996 * x1) + (55.54545 - x0))) + 298.6702)) + ((4.377609 * x0) * x0)) - abs((2316.9375 / (48.940136 - x0)) - -2735.5378)) - ((45.281902 / (54.025837 - x0)) / 0.39441004))"
44,1.7984879e6,"abs(((((x0 * x0) * 4.377609) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0)))) - ((x0 + 54.025837) / abs(x0 - 54.025837))) + (((x1 * (x0 + 54.025837)) + 29.703543) * ((48.940136 / ((x1 * 1.304996) + (55.54545 - x0))) + 297.82574)))"
46,1.7857141e6,"abs(abs((298.6702 / ((x0 - 54.025837) / 0.38649818)) + 133.99832) - (((((48.940136 / ((55.54545 - x0) + (x1 * 1.304996))) + 298.6702) * (((x0 + 54.025837) * x1) + 29.703543)) + (x0 * (x0 * 4.377609))) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0)))))"
48,1.7806155e6,"x0 + abs(((((48.940136 / ((55.54545 - x0) + (x1 * 1.304996))) + 298.6702) * (29.703543 + ((x0 + 54.025837) * x1))) + ((x0 * (x0 * 4.377609)) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0))))) - abs((298.6702 / ((x0 - 54.025837) / 0.38649818)) + 133.99832))"
50,1.7794995e6,"abs((((48.940136 / ((55.54545 - x0) + (x1 * 1.304996))) + 298.6702) * (((x0 + 54.025837) * x1) + 29.703543)) + (((x0 * ((0.23125684 + x0) * 4.377609)) - abs(-2735.5378 - (2316.9375 / (48.940136 - x0)))) - abs((298.6702 / ((x0 - 54.025837) / 0.41882402)) + 133.99832))) + x0"
