Complexity,Loss,Equation
1,2.5720656e7,"13692.917"
3,9.353339e6,"x0 * 343.6923"
5,9.193711e6,"(x0 + 297.74402) * x0"
7,4.826323e6,"(x0 * 339.32834) + (x1 * 23873.053)"
9,4.625544e6,"((x0 + 293.36902) * x0) + (x1 * 23982.201)"
11,4.297415e6,"((x1 * 23841.895) + ((x0 * 4.4623003) * x0)) - -5800.5425"
13,4.2866785e6,"((x0 * ((4.4702067 - x1) * x0)) + (x1 * 25542.957)) - -5787.3066"
14,4.1861435e6,"((abs((x1 * -1163.7988) + (x0 * 6.660571)) + -180.92998) * x0) + 9247.268"
16,4.140493e6,"((x0 - -9.043328) * (abs((x0 * 5.8978314) + (x1 * -992.277)) + -170.92923)) - -9572.122"
17,4.1395542e6,"((x0 - -15.094741) * abs((x1 * -630.0872) + abs((x0 * 5.137022) + -123.258804))) - -8247.753"
19,3.9033775e6,"abs((((log(x0) * 467.64917) + -1016.7726) * (x0 + (x1 * -169.69406))) + 16743.555) + (x0 * -808.1557)"
21,3.8962442e6,"abs((((log(x0) * 526.6481) + -1170.2006) * ((x0 + (x1 * -177.55746)) + 5.8523684)) + 17798.451) + (x0 * -1010.8965)"
23,3.8902655e6,"abs(((((x1 * (x0 - 10.774551)) / 0.21359693) + x0) * ((log(x0) * 464.72977) + -2129.1853)) + ((x0 * 317.41965) + 16654.092))"
25,3.4012688e6,"abs(((x0 * -22640.457) - -8896.896) + ((x0 + (((59.013916 / (x0 + -49.08762)) + (log(x0) * 196.5775)) + 21981.576)) * (x1 + x0)))"
27,3.3275485e6,"abs((x0 * -22640.695) + ((((x1 * 1.1365047) + x0) * (((log(x0) * 196.5775) + (x0 + (59.013916 / (x0 + -49.08762)))) + 21981.217)) - -8898.258))"
29,3.3247878e6,"abs(((((x1 * 1.1333721) + x0) * (((x0 + (log(x0) * 196.5775)) + ((x0 / (x0 + -49.087624)) * 1.204468)) + 21982.584)) + (x0 * -22641.469)) - -8819.618)"
31,3.3206938e6,"abs(((-22641.469 * x0) + ((x0 + (x1 * 1.1333721)) * ((((log(x0) * 196.5775) + x0) + ((x1 + x0) * (1.204468 / (x0 + -49.087624)))) + 21982.584))) - -8820.35)"
33,3.3036362e6,"abs(((x0 * -22641.469) - -8811.701) + (((log(x0) * 196.5775) + ((x0 + 21982.584) + (((x0 * 1.202626) + (x1 * 12.740072)) / (x0 + -49.087624)))) * (x0 + (x1 * 1.149281))))"
36,2.9371138e6,"abs(((((x0 + 21981.217) + ((log(x0) * 196.5775) + (59.013916 / (x0 + -49.08762)))) * (x0 + (x1 * 1.6016206))) - (abs((x0 + -39.93859) * (x1 * 1041.4946)) + -8899.197)) + (x0 * -22640.695))"
38,2.9330172e6,"abs(((((x0 + 21981.217) + ((196.5775 * log(x0)) + ((x1 + 59.013916) / (x0 + -49.08762)))) * (x0 + (x1 * 1.5935634))) - (abs((x0 + -39.93859) * (x1 * -1009.51843)) + -8900.031)) + (-22640.695 * x0))"
40,2.902509e6,"abs(((((x1 * 1.6191479) + x0) * (((log(x0) * 196.5775) + (((x1 / 0.05982436) + 59.013916) / (x0 + -49.08762))) + (x0 + 21981.217))) - ((x1 * abs((x0 + -40.6453) * -1009.51843)) + -8900.031)) + (x0 * -22640.695))"
42,2.9024175e6,"abs(((((x1 * 1.6191479) + x0) * (((log(x0) * 196.5775) + (21981.217 + (x0 - x1))) + (((x1 / 0.05982436) + 59.013916) / (-49.08762 + x0)))) - (-8900.031 + (x1 * abs(-1009.51843 * (-40.6453 + x0))))) + (x0 * -22640.695))"
43,2.9023995e6,"abs((((((log(x0) * 196.5775) + ((59.013916 + (x1 / 0.05982436)) / (x0 + -49.08762))) + (x0 + (21981.217 - x1))) * (x0 + (1.6191479 * x1))) - ((sqrt(x1) * abs((x0 + -40.6453) * -1009.51843)) + -8900.031)) + (-22640.695 * x0))"
44,2.9023158e6,"abs((((((log(x0) * 196.5775) + ((59.013916 + (x1 / 0.05982436)) / (x0 + -49.08762))) + (x0 + (21981.217 - x1))) * (x0 + (1.6191479 * x1))) - (abs((x1 * (x0 + -40.6453)) * -1009.51843) + -8900.031)) + ((-22640.695 - x1) * x0))"
47,2.902273e6,"abs((((((((x1 / 0.05982436) + 59.013916) / (-49.08762 + x0)) + ((log(x0) * 196.5775) + (x0 + (21981.217 - x1)))) * (x0 + (x1 * 1.6191479))) - (-8900.031 + (sqrt(x1) * abs(-1009.51843 * (-40.6453 + x0))))) + (x0 * (-22640.695 - x1))) + -1.5723317)"
48,2.9004475e6,"abs((x0 * -22640.695) + (((x0 + (x1 * 1.5935634)) * (((log(x0) * 196.5775) + (((x1 / 0.05982436) + 59.013916) / (-49.08762 + x0))) + (x0 + 21981.217))) - (((x1 * x0) * (x0 + -40.6453)) + (abs((x1 * -1009.51843) * (x0 + -40.6453)) + -8900.031))))"
