Complexity,Loss,Equation
1,2.5720656e7,"13692.292"
3,9.353339e6,"x0 * 343.6923"
5,9.193711e6,"(x0 + 297.74402) * x0"
7,4.8263225e6,"(x0 * 339.3205) + (x1 * 23877.586)"
9,4.625544e6,"(x1 * 23983.992) + ((x0 + 293.36902) * x0)"
11,4.297415e6,"((x0 * x0) * 4.461919) + ((x1 + 0.24334398) * 23839.758)"
13,3.933269e6,"5784.877 + (((x1 * (60.05849 - x0)) - -4.4717555) * (x0 * x0))"
15,3.9101738e6,"(((x0 * ((x1 * (60.0647 - x0)) - -5.5930686)) - 92.80861) * x0) + 7560.6"
17,3.9094508e6,"(x0 * ((x0 * (((x1 * (60.287766 - x0)) / 1.0213126) - -5.5925803)) - 92.93892)) + 7567.3477"
18,3.8852298e6,"((((x1 * (x0 * (60.038887 - x0))) - -785.5438) * x0) + 41229.152) + (log(x0) * -16220.512)"
20,3.8843262e6,"(((((x0 * (x1 * 0.97674996)) * (60.28464 - x0)) - -785.2927) * x0) + 41231.61) + (log(x0) * -16218.112)"
22,3.3159475e6,"abs((x1 * 25776.334) + (6729.0566 - (((190.43434 / (x0 + -49.034725)) + ((x0 * 40.12534) + -357.6281)) * (x0 * -0.12368547))))"
24,3.2796088e6,"abs((x1 * 24943.85) + (6739.8433 - ((((x0 * 40.125343) + (189.7657 / (x0 + -49.03473))) - 360.81537) * ((x0 * -0.12367314) - x1))))"
26,3.2665108e6,"abs((((x0 * -0.12353613) - (x1 / 0.40150067)) * ((190.43434 / (x0 + -49.03484)) + ((x0 * 40.12534) - 357.03384))) - ((x1 * 23464.254) + 6718.719))"
28,3.2663818e6,"abs((((x0 * -0.12367179) - (x1 / 0.43551135)) * (((189.7657 / (-49.03473 + x0)) - 359.9158) + ((x0 + x1) * 40.12534))) - ((x1 * 23464.254) + 6736.8633))"
30,3.2658515e6,"abs((6735.83 - (((-0.1236725 * x0) - (x1 / 0.39084405)) * (((189.7657 / (x0 + -49.03473)) - 359.9158) + ((x0 + x1) * (40.12534 - x1))))) + (x1 * 23464.254))"
32,3.0510945e6,"abs(((((x0 * -134.19373) + (1642.9624 - (x0 * -111.77007))) * (x1 * x0)) + 6719.0576) - ((x0 * -0.12368817) * ((190.43434 / (x0 + -49.034626)) + ((x0 * 40.12534) + -357.23688))))"
33,3.0507238e6,"abs(((((x0 * -134.19373) + (1645.4102 - (x0 * -111.77007))) * (x0 * x1)) + 6721.9727) - (x0 * (((((log(x0) / (x0 + -49.034737)) + 39.9988) * x0) - 356.22202) * -0.12375188)))"
34,3.0200018e6,"abs((((x0 * (((x0 * -134.19373) + 1609.864) - (x0 * -111.77007))) * x1) + 6710.6445) - (((187.74515 / (x0 + -49.034428)) + ((x0 * 40.12534) - 356.91183)) * ((x0 * -0.123850346) - x1)))"
35,2.97431e6,"abs((((((x0 * 40.12534) + -359.27094) + (187.74515 / (x0 + -49.034428))) * -0.12383629) * x0) - abs((((x1 * x0) / -0.67454123) * (((x0 * -134.19373) + 1644.5697) - (x0 * -111.77007))) + 6718.43))"
37,2.9330195e6,"abs(abs((((x0 * x1) / -0.69214904) * (((x0 * -134.19373) + 1644.5697) - (x0 * -111.77007))) + 6708.5693) - (((187.74515 / (x0 + -49.034428)) + ((x0 * 40.12534) - 356.28925)) * ((x0 * -0.12383139) - x1)))"
38,2.3280842e6,"abs((6719.848 - ((x0 * ((190.43434 / (x0 + -49.034744)) + ((x0 * 40.12534) + -357.6281))) * -0.1237367)) + (((x0 - (x0 / (x0 + -56.43963))) * x1) * (((x0 * -134.19373) - (x0 * -111.77007)) + 1611.7037)))"
40,2.2825855e6,"abs(((((x0 * -134.19373) + 1609.864) - (x0 * -111.77007)) * (x1 * (x0 - (x0 / (x0 + -56.439632))))) + (6708.9185 - ((((187.74515 / (x0 + -49.034576)) - 369.6339) + (x0 * 40.125343)) * ((x0 * -0.12494976) - x1))))"
