Complexity,Loss,Equation
1,2.5720656e7,"13692.293"
3,9.353339e6,"x0 * 343.6923"
5,9.193711e6,"x0 * (297.74402 + x0)"
7,4.826323e6,"((x1 * 70.35789) + x0) * 339.3208"
9,4.625544e6,"((x0 - -293.36902) * x0) + (x1 * 23982.406)"
11,4.297415e6,"4.4618635 * (((x0 * x0) + 1300.2241) + (5344.361 * x1))"
13,4.2866785e6,"(4.4702277 - x1) * (((x0 * x0) + 1294.6072) + (x1 * 7733.666))"
15,4.1200698e6,"abs((((x1 * 8180.3037) + (x0 * (x0 * -0.5453859))) * sqrt(x0)) + -7166.4897)"
17,3.933269e6,"(((x1 * (x0 * x0)) * (60.05806 - x0)) + ((x0 * 4.471872) * x0)) + 5784.617"
19,3.9101732e6,"(((x0 * 5.5944195) * (x0 - 16.610117)) + 7563.225) + ((x0 * x0) * (x1 * (60.0647 - x0)))"
20,3.7775182e6,"(x0 * sqrt(((x0 * -842.345) - -48014.68) * (x0 * x1))) + (((x0 * x0) * 4.492829) + 5756.781)"
22,3.7662265e6,"(x0 * (x0 * 4.5007596)) + ((x0 * sqrt(((x0 * -156.36989) - -8913.087) * (x1 * (x0 * 5.7209215)))) + 5737.5063)"
24,3.7654272e6,"((x0 * (x0 * 4.5007606)) + ((x0 + 0.45230323) * sqrt(((x0 * 5.7209215) * x1) * ((x0 * -156.36989) - -8913.087)))) + 5734.8237"
26,3.764917e6,"(((x0 * x0) * 4.5007606) + 5726.677) + (sqrt((((((x0 * -156.36989) - -8913.1045) * x0) - 1.1652359) * x1) * 5.7209215) * (x0 - -0.45871323))"
28,3.7508918e6,"(sqrt(x1 * ((-8913.1045 - (x0 * -156.36998)) * (x0 * -5.8767204))) * x0) + (((((x0 / 64.50475) + -0.4993117) * 406.18033) * (x0 + 8.21941)) + 10342.326)"
30,3.7506945e6,"(x0 * sqrt(((x0 * ((x0 * -156.36984) - -8913.1045)) * 5.720935) * x1)) + ((((((x1 + x0) / 64.493935) - 0.4995326) * 406.1833) * (x0 + 8.242198)) + 10342.894)"
32,3.3728778e6,"(x0 * (((x0 / 65.5153) - 0.4868855) * 476.25012)) + (((105137.984 / ((x0 * -71.406425) + 3958.412)) + (sqrt(x0 * (((x0 * -797.5873) - -45484.324) * x1)) * x0)) + 10153.544)"
34,2.96587e6,"((x0 * sqrt((((x0 * -797.6506) - -45484.324) * x0) * x1)) + ((x0 * (((x0 / 64.69172) - 0.4918766) * 474.0315)) - (-105136.14 / ((x1 * (x0 * -71.2271)) + 3487.6667)))) + 10134.515"
35,2.9658698e6,"abs(((10134.515 - (-105136.34 / (((x0 * x1) * -71.2271) + 3487.6667))) + (sqrt((x1 * ((x0 * -797.6506) - -45484.324)) * x0) * x0)) + (x0 * (((x0 / 64.69172) - 0.4918766) * 474.0315)))"
36,2.6097382e6,"((10131.841 - (-105136.14 / (((x0 * -71.22959) + 3958.865) - (x1 * 471.15082)))) + (x0 * sqrt(((x0 * -797.6506) - -45484.324) * (x0 * x1)))) + ((x0 * ((x0 / 64.69172) - 0.49161023)) * 477.3155)"
38,2.4228075e6,"(((((x0 / 64.69172) - 0.4918766) * (x0 * 474.0315)) + 10131.841) - (-105136.14 / ((3958.865 - (x1 * 470.99588)) + (x0 * -71.2271)))) + (sqrt(x0 * ((x1 * 1.464931) * ((x0 * -797.6506) - -45484.324))) * x0)"
40,2.4160365e6,"((10130.993 + (sqrt(((x0 * x1) * 1.459641) * ((x0 * -797.6506) - -45484.324)) * x0)) - (-105136.14 / (((x0 * -71.2271) - (x1 * 470.99588)) + 3958.865))) + (((x0 / 64.69172) - 0.49440154) * (469.5297 * (x0 - -1.2574195)))"
41,2.3828208e6,"(((x0 * (((x0 / 64.69285) - 0.49139336) * 474.03177)) + 10128.549) - (-105136.14 / ((x0 * -71.23264) + (3959.3672 - (x1 * 471.02353))))) + (sqrt(abs(((x0 * x1) * x0) * ((-4029.1575 - (x0 * -70.8061)) * 0.4277955))) * x0)"
42,2.2929578e6,"((x0 * sqrt(x1 * ((x0 * (x0 * -0.42776972)) * (-4029.1262 - (-70.80641 * (x0 + -0.09699347)))))) + ((((x0 / 64.69173) - 0.49264577) * (x0 * 472.70203)) + 10129.436)) - (-105136.14 / (((x0 * -71.232666) + 3959.3672) - (x1 * 471.00845)))"
44,2.2884025e6,"(((((x0 - -0.7277005) * 471.00845) * ((x0 / 64.69173) - 0.49264577)) + 10129.436) - (-105136.14 / (((x0 * -71.232666) + 3959.3672) - (x1 * 471.00845)))) + (sqrt(((-4029.1262 - ((x0 + -0.09699347) * -70.80641)) * (x0 * (x1 * -0.42776972))) * x0) * x0)"
46,2.2867605e6,"((((x0 + 0.6961197) * (((x0 / 64.69173) - 0.49264577) * 471.00845)) + 10129.436) - (-105136.14 / (((x0 * -71.232666) + 3959.3672) - (471.00845 * x1)))) + (x0 * sqrt((((-4029.1262 - (-70.80641 * (x0 + -0.09699347))) * (x0 * x1)) + x1) * (x0 * -0.42776972)))"
50,2.2866542e6,"((((abs(x0 - log(0.43453205)) * 471.00845) * ((x0 / 64.69173) - 0.49264577)) + 10129.436) - (-105136.14 / (((x0 * -71.232666) + 3959.3672) - (x1 * 471.00845)))) + (sqrt((x0 * -0.42776972) * (((x0 * x1) * (-4029.1262 - ((x0 + -0.09699347) * -70.80641))) + x1)) * abs(abs(x0)))"
