Complexity,Loss,Equation
1,184.68924,"37.979763"
3,147.68488,"x1 + 33.88626"
4,104.16813,"237.22389 / log(x0)"
5,95.34331,"179.19334 / sqrt(sqrt(x0))"
6,85.094955,"(10.648086 - log(x0)) * 8.92317"
7,82.98378,"(sqrt(sqrt(x0)) * -6.928646) + 73.593666"
8,81.57083,"(760.4586 / log(x0 - -376.41888)) + -71.42314"
10,74.70224,"((293.91647 - (log(x0) * 0.29829088)) * x2) - 7253.2227"
12,74.354485,"((276.20956 - (log(x2 + x0) * 0.32170936)) * x2) - 6806.813"
13,73.67956,"abs(6606.106 - (x2 * (267.40268 - (log(x0) * 0.31160882)))) + 16.833153"
14,71.91463,"(10.645785 - log(x0)) * (8.891715 - (3.6786761 / (x2 + (227.33038 - x0))))"
15,71.67734,"abs((10.625112 - log(x0)) * ((12.189274 / ((x2 + 226.34415) - x0)) - 8.926911))"
16,69.36227,"(log(x0 + 129.42958) - 10.021687) * ((5.4022274 / ((227.27579 - x0) + x2)) + -11.325751)"
17,69.35849,"(log(x0 + 129.42958) - 10.021687) * ((log(x0) / ((227.27579 - x0) + x2)) + -11.325751)"
18,66.018166,"(10.5945 - log(x0)) * abs((10.148103 / (226.9491 - (x0 - (x2 * sqrt(x1))))) - 8.906102)"
19,65.993355,"(10.594501 - log(x0)) * abs((10.148103 / (226.94908 - abs(x0 - (sqrt(x1) * x2)))) - 8.906104)"
20,63.49013,"(8.603 - (5.7574177 / ((x1 * (x1 * 1.1345645)) + ((226.06378 - x0) + x2)))) * (10.747851 - log(x0))"
22,61.366505,"(10.125769 - log(x0 + 125.88969)) * (10.844096 - (5.4079165 / ((((x1 * (x1 * 1.1390723)) + x2) - x0) + 226.15132)))"
24,60.0041,"x1 + (((7.0593615 / (((((x1 * x1) * 1.1311055) - x0) + 226.0912) + x2)) - 9.994282) * (log(x0 + 227.00064) - 10.177905))"
25,59.94427,"(((6.3202896 / (((((x1 * x1) * 1.1363696) + x2) + 226.1038) - x0)) - 10.208959) * (log(x0 + 128.89821) - 10.168076)) + sqrt(x1)"
26,59.34567,"((10.268454 - log(x0 + 131.56038)) * (9.633207 - (6.0393043 / (x2 + (((x1 * (x1 * 1.135224)) + 226.1193) - x0))))) + (x1 * 0.688981)"
28,59.337433,"((9.633207 - (6.0393043 / (x2 + (((x1 * (x1 * 1.135224)) + 226.1193) - x0)))) * (10.268454 - log(x0 + 131.56038))) + ((x1 * 0.688981) + 0.086395845)"
29,58.9946,"(10.013546 - log(x0 - -134.32716)) * (11.308279 - ((222.81113 / (sqrt(x0 * x1) - 12.098675)) / (222.81113 - (x0 - (x2 + (x1 * (x1 * 1.2235945)))))))"
30,58.985504,"abs(10.013546 - log(x0 - -134.32716)) * (11.308279 - ((222.81113 / (sqrt(x0 * x1) - 12.098675)) / (222.84825 - (x0 - (x2 + (x1 * (x1 * 1.2235945)))))))"
31,56.578827,"(11.308274 - ((222.84898 / (sqrt((x1 - -0.1251377) * x0) - 12.098671)) / ((((x1 * 1.2246803) * x1) + 222.84898) - (x0 - x2)))) * (10.013538 - log(x0 - -132.5304))"
33,55.862476,"(log(137.44815 + x0) - 10.222542) * (((x0 / (sqrt((0.09197207 + x1) * x0) - 11.090093)) / (222.4399 - (((-1.3237227 - x2) + x0) - (1.1900357 * (x1 * x1))))) + -10.588385)"
34,55.84847,"abs((((x0 / (sqrt((x1 + 0.09197207) * x0) - 11.090093)) / (222.4399 - ((x0 + (-1.3237227 - x2)) - ((x1 * x1) * 1.1900357)))) + -10.588385) * (log(x0 + 136.3091) - 10.222542))"
35,55.674145,"(log((x0 - x1) + 137.44815) - 10.222542) * (((x0 / (sqrt((x1 + 0.09197207) * x0) - 11.090093)) / (222.4399 - ((x0 - ((x1 * 1.1900357) * x1)) + (-1.2518629 - x2)))) + -10.588385)"
36,54.944668,"((log(x0 + 126.591286) - 10.252652) * (((x0 / (sqrt((x1 + 0.092089444) * x0) - 11.101)) / ((x1 * (x1 * 1.1887568)) + (222.42961 - ((-1.3103471 - x2) + x0)))) + -9.822192)) + sqrt(x1)"
37,54.098328,"((((x0 / (sqrt(x0 * (x1 + 0.09231931)) - 11.1081295)) / (((x1 * (x1 * 1.1886926)) + 222.44731) - ((x0 + -1.3142713) - x2))) + -9.811206) * (log(x0 - -138.52927) - 10.261916)) + (x1 / 1.664205)"
38,54.098034,"((((x0 / (sqrt(x0 * (x1 + 0.09231931)) - 11.1081295)) / (((x1 * (1.1886926 * x1)) + 222.44731) - abs((x0 + -1.3142713) - x2))) + -9.811206) * (log(x0 - -138.52927) - 10.261916)) + (x1 / 1.664205)"
39,54.00214,"(((((x0 - x2) / (sqrt(x0 * (x1 + 0.09195035)) - 11.090658)) / (((x1 * (x1 * 1.1865349)) + 222.4252) - (x0 + (-1.4921376 - x2)))) + -9.782554) * (log(x0 - -133.07625) - 10.263111)) + (x1 / 1.6749854)"
40,53.44651,"(10.013538 - log(x0 - ((x1 / (log(x0) - (x1 + -0.024957763))) + -133.58041))) * (11.308274 - ((222.84898 / (sqrt((x1 - -0.1251377) * x0) - 12.098671)) / ((222.84898 + (x1 * (1.2246803 * x1))) - (x0 - x2))))"
42,53.343662,"((10.013538 - log(x0 - ((x1 / (log(x0) - (x1 + -0.024957763))) + -133.58041))) * (11.308274 - ((222.84898 / (sqrt((x1 - -0.1251377) * x0) - 12.098671)) / ((222.84898 + (x1 * (1.2246803 * x1))) - (x0 - x2))))) - -0.375539"
43,53.28986,"((10.013538 - log(x0 - ((sqrt(x2) / (log(x0) - (x1 + -0.024957763))) + -133.58041))) * (11.308274 - ((222.84898 / (sqrt((x1 - -0.1251377) * x0) - 12.098671)) / ((222.84898 + (x1 * (1.2246803 * x1))) - (x0 - x2))))) - -0.375539"
44,53.138706,"(x1 / 1.5467178) + ((((x0 / (sqrt((0.09232091 + x1) * x0) - 11.111464)) / ((222.46199 - ((-1.1843531 - x2) + x0)) + ((x1 * 1.1961188) * x1))) + -9.820748) * (log(x0 - ((10.246777 / (log(x0) - x1)) + -133.58041)) - 10.246777))"
45,52.654476,"(x1 / 1.6345292) + ((log(x0 - ((sqrt(x0) / (log(x0) - x1)) + -133.58041)) - 10.246777) * (((x0 / (sqrt((x1 + 0.092479564) * x0) - 11.111464)) / (((x1 * (x1 * 1.1961187)) - ((x0 - x2) + -1.1843531)) + 222.46199)) + -9.820748))"
46,50.84082,"((log(x0 - ((x1 / (log(x0) - (x1 + -0.024957677))) + -133.58041)) - 10.246759) * (((x0 / (sqrt(x0 * (x1 + 0.09226864)) - 11.111454)) / ((222.46088 - ((-1.1843648 - x2) + x0)) + ((x1 * 1.1956241) * x1))) + -9.820739)) + (x1 / 1.596676)"
48,50.76519,"((log(x0 - ((x1 / (log(x0) - (x1 + -0.024957763))) + -133.58041)) - 10.246777) * (((x0 / (sqrt(x0 * (x1 + 0.092479564)) - 11.111464)) / ((x1 * ((x1 * 1.1961187) + -0.024957763)) + (222.46199 - (x0 + (-1.1843531 - x2))))) + -9.820748)) + (x1 / 1.5966655)"
49,50.764267,"((log(x0 - (-133.58041 + (log(x0) / (log(x0) - (x1 + -0.024957763))))) - 10.246777) * (((x0 / (sqrt(x0 * (x1 + 0.092479564)) - 11.111464)) / (222.46199 + ((x1 * ((1.1961187 * x1) + -0.024957763)) - (x0 + (-1.1843531 - x2))))) + -9.820748)) + (x1 / 1.5966655)"
50,50.68819,"(x1 / 1.5966655) + ((log(x0 - ((x1 / (log(x0) - (x1 + -0.024957763))) + -133.58041)) - 10.246777) * ((((x0 - x1) / (sqrt(x0 * (x1 + 0.092479564)) - 11.111464)) / (((x1 * ((x1 + -0.024957763) * 1.1961187)) + 222.46199) - ((-1.2837813 - x2) + x0))) + -9.820748))"
