Complexity,Loss,Equation
1,184.68924,"37.97872"
3,147.68488,"x1 + 33.885647"
4,104.16813,"237.22383 / log(x0)"
5,95.34331,"179.1912 / sqrt(sqrt(x0))"
6,85.094955,"95.02874 - (log(x0) * 8.925384)"
7,82.98377,"73.5998 - (sqrt(sqrt(x0)) * 6.929847)"
8,81.962364,"118.048134 - (log(x0 - -161.04996) * 11.893909)"
10,80.355705,"((260.37784 - sqrt(x0)) * (x2 + -24.452187)) + -81.95787"
12,74.24401,"(((x2 + -24.761272) * 283.44202) + (x0 * 0.0070409784)) - sqrt(x0)"
14,73.71801,"(x0 * 0.00950532) + (((x2 + -24.76007) * 294.90323) - sqrt(x0 / 0.7067511))"
15,72.43957,"abs((((x2 + -24.821358) * 287.63327) + (x0 * 0.0065365746)) - sqrt(x0)) + 16.601763"
17,72.28652,"abs((x0 * 0.0065826345) + (((x2 + -24.821985) * 287.63327) - sqrt(x0 - x1))) + 16.60192"
18,71.69991,"abs(((((x2 + -24.834044) * 290.7843) + (x0 * 0.007358185)) + sqrt(x1)) - sqrt(x0)) + 17.206818"
20,71.528946,"abs((sqrt(x1) + (x0 * 0.0073538367)) + (((x2 + -24.834332) * 290.7843) - sqrt(x0 + -18.26077))) + 16.860588"
21,71.37824,"abs(((x2 + -24.834623) * 290.7843) + (sqrt(x1) + ((x0 * 0.007359691) - sqrt(abs(28.70518 - x0))))) + 16.65356"
23,71.0213,"abs(((x2 + -24.836687) * 290.7846) + (((x0 * 0.007439625) + sqrt(x1)) - sqrt(abs(x2 + (x2 - x0))))) + 16.613281"
25,71.0117,"abs((((x2 + -24.836687) * 290.7846) + (x0 * 0.007439625)) + (sqrt(x1) - sqrt(abs((x2 - x0) + (-0.26225805 + x2))))) + 16.613281"
26,65.88045,"x1 + (((x0 * -0.0095212655) + ((14.330501 / (x2 + ((x2 * -11.106015) + x0))) - (-12.258622 - x2))) + abs((x0 * 0.007048801) + -7.956247))"
27,65.81518,"(abs((0.0070665306 * x0) + -7.963106) + (x0 * -0.009542191)) + (abs(x1 + (14.340022 / ((x2 * -11.106014) + (x0 + x2)))) - (-12.265689 - x2))"
28,65.45405,"((abs((x0 * 0.0068691) + -7.963105) + ((14.340022 / (x2 + (x0 + (x2 * -11.106018)))) - (-12.890933 - x2))) + (x0 * -0.009445484)) + (x1 * 0.78601354)"
30,65.2243,"(((x1 * 0.6289856) + (x0 * -0.009746742)) - (-13.936901 - x2)) + abs((x0 / (3549.7283 / x2)) + (-8.171933 - (21.97465 / ((x2 * -11.123702) + (x0 + x2)))))"
32,64.449646,"(abs((x0 / (3549.728 / x2)) + (-8.134051 - (x2 / ((x2 * -11.084844) + ((x2 + x0) - x1))))) + ((x0 * -0.009621011) - (-13.443655 - x2))) + (x1 * 0.6905915)"
34,60.58429,"((x1 + (((x0 * -0.008864386) + (14.340021 / ((x2 * -11.106075) + (x0 + x2)))) + x2)) - -11.743191) + abs(((x0 * 0.0063974825) + -7.350427) - (10.68855 / (x0 + (x2 * -11.743191))))"
36,58.653027,"(((14.340021 / (x2 + (x0 + (x2 * -11.106075)))) + ((x0 * -0.008864386) + x1)) + (x2 - -11.743191)) + abs((x0 * 0.0063974825) + (-7.350427 - (-11.897217 / (x0 + ((x2 + 1.2781447) * -11.146586)))))"
38,58.63829,"((14.340022 / ((x0 + (x2 * -11.106074)) + x2)) + (x2 - -11.783758)) + (abs((-11.783758 / (x0 + ((x2 + 1.2781475) * -11.146584))) - (((x1 + x0) * 0.006439265) + -7.350427)) + ((x0 * -0.008907421) + x1))"
39,58.340435,"(abs(((x0 * 0.006340502) - (-11.897217 / (((x2 + 1.2781448) * -11.146586) + x0))) + -7.350427) + (abs((x1 + -0.7565494) + (14.340022 / (((x2 * -11.106078) + x0) + x2))) - (-12.258622 - x2))) + (x0 * -0.008925646)"
41,58.325775,"abs(((x0 * 0.0063405116) - (-11.897217 / (((x2 + 1.2781448) * -11.146586) + x0))) + -7.350427) + ((abs((14.340022 / (((x2 * -11.106078) + x0) + x2)) + (x1 + -0.7565494)) - (-12.258622 - x2)) + ((x0 + x1) * -0.008925647))"
42,58.271126,"((x0 * -0.009610338) + abs((12.647838 / abs(x0 + ((x2 + 1.2528313) * -11.1508))) - ((x0 / (3551.1653 / x2)) + -7.3528237))) + ((((sqrt(x0) / (x0 + ((x2 * -11.106708) + x2))) + x1) * 0.80734676) - (-12.6813545 - x2))"
43,58.19436,"((x1 + (sqrt(x0) / ((x2 + x0) + (x2 * -11.106766)))) * 0.80061585) + ((abs((((0.9297989 / (3551.1653 / x2)) * x0) + -7.3504333) - (-11.970054 / (x0 + ((x2 + 1.2773764) * -11.147189)))) + (x0 * -0.009152333)) - (-12.68082 - x2))"
44,58.163486,"((abs((x1 + (sqrt(x0) / ((x2 * -11.106793) + (x0 + x2)))) * -0.800619) + (x0 * -0.009152178)) + abs((((0.9297883 / (3551.1653 / x2)) * x0) + -7.3504353) - (-11.970054 / (x0 + ((x2 + 1.2773407) * -11.147207))))) - (-12.680821 - x2)"
45,58.04335,"((x0 * -0.009427242) - (-12.68082 - x2)) + (((x1 + (sqrt(x0) / ((x0 + x2) + (x2 * -11.106961)))) * 0.7524483) + abs(((x0 - (x2 / 0.23149626)) / (3551.1653 / x2)) + (-7.3504343 - (-11.970054 / (((x2 + 1.2771286) * -11.147388) + x0)))))"
47,58.039707,"(((x0 + x1) * -0.009400299) - (-12.68082 - x2)) + (((x1 + (sqrt(x0) / ((x2 * -11.1069565) + (x2 + x0)))) * 0.7677016) + abs(((x0 - (x2 / 0.23149627)) / (3551.1653 / x2)) + (-7.3504343 - (-11.970054 / (((x2 + 1.2771099) * -11.147406) + x0)))))"
48,58.037643,"(abs((x1 + (sqrt(x0) / ((-11.106961 * x2) + (x2 + x0)))) * 0.76770186) + abs((((x0 - ((x2 - x1) / 0.23149626)) / (3551.1653 / x2)) - (-11.970054 / (((x2 + 1.2771267) * -11.147389) + x0))) + -7.3504343)) + ((x0 * -0.009427461) - (-12.68082 - x2))"
49,58.012543,"(((x0 * -0.009426246) + (x2 / x0)) - (-12.68082 - x2)) + ((((sqrt(x0) / (((x2 * -11.106956) + x2) + x0)) + x1) * 0.76246786) + abs((-7.3504343 - (-11.970054 / (((x2 + 1.2770884) * -11.147424) + x0))) + ((x0 - (x2 / 0.23149632)) / (3551.1653 / x2))))"
