Complexity,Loss,Equation
1,184.68924,"37.979763"
3,147.68488,"x1 - -33.88626"
4,128.48651,"66.51989 - sqrt(x0)"
5,95.34331,"179.1912 / sqrt(sqrt(x0))"
6,81.383316,"1322.1102 / sqrt(x0 + 549.0794)"
8,81.24967,"(x1 + 1319.4185) / sqrt(x0 + 552.6379)"
9,80.31148,"sqrt(x1) + (1271.1877 / sqrt(x0 + 567.4301))"
11,80.17994,"sqrt(x1 * 2.2506187) + (1248.9966 / sqrt(x0 + 582.2847))"
12,79.14409,"(abs((x0 * -0.009601372) + 10.493396) - (x0 * 0.01241793)) + 42.35189"
14,79.10611,"(abs((x0 * -0.009600114) + 10.483794) + 42.339474) - ((x0 - x1) * 0.012418064)"
15,78.45281,"40.10651 + ((abs((x0 * 0.008959365) + -9.9661665) + sqrt(x1)) - (0.011484881 * x0))"
16,75.51009,"((x1 / sqrt(abs((x0 / 11.753085) - x2))) + 51.631695) - (sqrt(x0) * 0.54306334)"
17,75.08671,"(x1 / sqrt(sqrt(abs((x0 / 11.72938) - x2)))) + (49.97168 - sqrt(0.26105097 * x0))"
18,70.139404,"x1 + ((sqrt(x2 / abs((x0 / 10.115231) - x2)) + 44.51355) - (sqrt(x0) * 0.42426714))"
20,60.82996,"((x1 / sqrt(abs((x2 + (x1 * 0.83392423)) - (x0 / 9.786843)))) - (sqrt(x0) * 0.54564327)) + 51.600796"
22,59.646606,"(43.53046 - (sqrt(x0) * 0.4109671)) + (sqrt(abs(-33.60647 / ((x1 * 0.8354692) + (x2 - (x0 / 9.784146))))) + x1)"
24,59.193745,"sqrt(abs((34.161797 / ((x1 * 0.8354692) + (x2 - (x0 / 9.784146)))) - -0.3696166)) + ((43.53046 - (sqrt(x0) * 0.4109671)) + x1)"
26,59.118103,"(43.53046 - (0.4109671 * sqrt(x0 - 9.784146))) + (x1 + sqrt(abs((34.161797 / (((0.8354692 * x1) + x2) - (x0 / 9.784146))) - -0.36978307)))"
27,58.360027,"(sqrt(abs(-36.40262 / ((x2 - (x0 / 9.78392)) + (0.8351845 * x1)))) + 33.50733) + ((x2 * log((x2 + x1) / sqrt(x0))) * 0.5693945)"
28,58.316708,"(log(x0) / sqrt(abs((x1 * 0.8351845) + (x2 - (x0 / 9.78392))))) + (33.503986 + (log((x1 + x2) / sqrt(x0)) * (0.5712048 * x2)))"
29,58.18295,"((log((x2 + (x1 * 1.6758448)) / sqrt(x0)) * (x2 * 0.54015136)) + sqrt(36.226406 / abs((x2 - (x0 / 9.78392)) + (x1 * 0.8351845)))) + 32.42406"
30,58.09487,"(((x2 * 0.5712048) * log((x2 + x1) / sqrt(x2 + x0))) + (log(x0) / sqrt(abs((x1 * 0.8351845) + (x2 - (x0 / 9.78392)))))) + 33.983402"
31,57.813812,"((log((x1 + (x1 + x2)) / sqrt(x0 + 36.226406)) * (x2 * 0.54015136)) + sqrt(abs(36.226406 / ((x1 * 0.8351845) + (x2 - (x0 / 9.78392)))))) + 32.617477"
32,57.751877,"((((x2 - -1.4489845) * 0.5712048) * log((x1 + x2) / sqrt(x2 + x0))) + 33.983402) + (log(x0) / sqrt(abs((x1 * 0.8351845) + (x2 - (x0 / 9.78392)))))"
33,56.58227,"((sqrt(33.868076 / abs((x1 * 0.83571696) + (x2 - (x0 / 9.783717)))) + 35.98307) + abs((sqrt(x0) * -0.27474672) + ((x1 + x2) / sqrt(log(x0))))) + (x0 * -0.005987856)"
34,56.581676,"abs((abs(((x2 + x1) / sqrt(log(x0))) + (sqrt(x0) * -0.27474663)) + (x0 * -0.0060341777)) + (sqrt(abs(33.868076 / ((x2 - (x0 / 9.783717)) + (x1 * 0.8356938)))) + 35.98307))"
35,56.061348,"((34.47356 - (x0 * 0.005611976)) + abs(((x1 + x2) / sqrt(log(x0))) + (sqrt(x0) * -0.26714048))) + sqrt(x1 + abs(-35.080074 / ((x2 + (x1 * 0.8351894)) - (x0 / 9.784101))))"
37,55.916153,"((34.47356 - (x0 * 0.005611976)) + abs((sqrt(x0) * -0.26714048) + ((x1 + x2) / sqrt(log(x0))))) + sqrt(x1 + abs((34.47356 / (((x1 * 0.8351894) + x2) - (x0 / 9.784101))) - -0.36012238))"
38,55.911297,"((34.47356 - (0.005611976 * x0)) + abs(((x1 + x2) / sqrt(log(x0))) + (-0.26714048 * sqrt(x0)))) + sqrt(x1 + abs((-34.099827 / ((x0 / 9.784101) - ((x1 * 0.8351894) + x2))) - log(0.69759095)))"
39,55.8857,"((34.177925 - (x0 * 0.0057573915)) + abs(((x1 + x2) / sqrt(log(x0))) + ((sqrt(x0) * x2) * -0.010973271))) + sqrt((x1 / 0.5612261) + abs(-37.377583 / ((x2 + (x1 * 0.83521974)) - (x0 / 9.783844))))"
41,55.725567,"(abs(((x2 + x1) / sqrt(log(x0))) + ((x2 * sqrt(x0)) * -0.010973288)) + (34.177925 - (x0 * 0.0057573915))) + sqrt((x1 + x1) + abs(-0.40750003 + (37.65554 / ((x0 / 9.783844) - (x2 + (0.83521974 * x1))))))"
42,54.97356,"(abs(((sqrt(x0) * x2) * -0.0105441995) + ((x1 + x2) / sqrt(log(x0)))) - (0.0058922386 * x0)) + (((-0.3699054 / (x1 - log(x0))) + sqrt(34.92327 / abs((x1 * 0.83515835) + (x2 - (x0 / 9.783817))))) + 35.951885)"
43,54.86506,"(-0.447776 / abs(log(x0) - x1)) + (sqrt(abs(-39.241558 / ((x2 - (x0 / 9.783819)) + (x1 * 0.8352459)))) + ((35.26777 + abs(((x2 + x1) / sqrt(log(x0))) + ((sqrt(x0) * x2) * -0.010653421))) - (x0 * 0.00560715)))"
44,54.350826,"sqrt(x1 + (38.781605 / abs((x2 + (x1 * 0.835321)) - (x0 / 9.78382)))) + ((((0.38272727 / (log(x0) - x1)) + 34.17792) + abs((sqrt(x0) * (x2 * -0.010744193)) + ((x2 + x1) / sqrt(log(x0))))) - (x0 * 0.005607144))"
45,54.1073,"(sqrt(x1 + abs(-39.314102 / ((x2 - (x0 / 9.783818)) + (x1 * 0.8350186)))) + (34.17792 - (x0 * 0.005326))) + ((-0.36990562 / abs(x1 - log(x0))) + abs(((x2 + x1) / sqrt(log(x0))) + ((x2 * -0.01043508) * sqrt(x0))))"
46,53.928238,"sqrt(x1 + (x1 + abs(38.105175 / ((x0 / 9.78382) - ((x1 * 0.835321) + x2))))) + ((abs(((x2 * sqrt(x0)) * -0.010744198) + ((x2 + x1) / sqrt(log(x0)))) - (x0 * 0.005607155)) + (34.17792 - (-0.4171029 / (log(x0) - x1))))"
47,53.28934,"(34.17792 - abs(0.47173488 / (log(x0) - x1))) + (sqrt((x1 + x1) + (38.105175 / abs((x0 / 9.78382) - (x2 + (x1 * 0.835321))))) + (abs((x2 * (sqrt(x0) * -0.010744203)) + ((x1 + x2) / sqrt(log(x0)))) - (x0 * 0.00560715)))"
49,53.104355,"((-0.34516898 / abs(log(x0 + 3.5993867) - x1)) + sqrt(abs(-39.314102 / ((x2 - (x0 / 9.78382)) + (x1 * 0.8353216))) + (x1 + x1))) + (abs((-0.010744533 * (x2 * sqrt(x0))) + ((x2 + x1) / sqrt(log(x0)))) + (34.17792 - (x0 * 0.00560682)))"
50,53.098568,"sqrt(abs(-39.314102 / ((x2 - (x0 / 9.78382)) + (x1 * 0.8353216))) + (x1 + x1)) + (abs((sqrt(x0) * (x2 * -0.010744533)) + ((x2 + x1) / sqrt(log(x0)))) + ((34.17792 - (x0 * 0.00560682)) + (-0.34516898 / abs(log(x0 + sqrt(x2)) - x1))))"
