Complexity,Loss,Equation
1,184.68924,"37.979763"
3,147.68488,"x1 + 33.88626"
4,128.48651,"66.52162 - sqrt(x0)"
5,95.34331,"179.18211 / sqrt(sqrt(x0))"
6,85.094955,"(log(x0) * -8.922839) + 95.01248"
7,82.98377,"73.59322 - (sqrt(sqrt(x0)) * 6.9285564)"
8,81.96234,"(log(x0 + 161.72598) * -11.902514) + 118.119095"
9,81.72707,"(log(log(x0 + 268.53665)) * -94.492294) + 219.75664"
10,75.132324,"(((x2 * x2) + -611.599) - log(x0)) * 6.953608"
12,74.70774,"(((x2 * x2) + (-1.2732172 * log(x0))) + -608.82) * 5.8480334"
14,74.35861,"((x2 * x2) + ((log(x0 + x2) * -1.4371338) + -607.3494)) * 5.570749"
15,72.708206,"(abs(((x2 * x2) + (log(x0) * -1.124531)) + -613.12036) + 2.3708506) * 6.821167"
17,72.15788,"(abs((x2 * x2) + ((log(x0 + x2) * -1.1755675) + -612.7474)) + 2.191622) * 7.0755854"
19,71.920876,"(2.3854768 + abs((x2 * x2) + ((log(x0) * -1.2514532) + -612.13983))) * (6.687042 - (x2 / x0))"
21,71.818,"(2.385447 + abs((x2 * x2) + ((-1.2497172 * log(x0)) + -612.1445))) * (6.687527 - (x2 / (x0 + -7.218922)))"
23,68.718704,"((x0 * (log(abs((x2 / -0.09887711) + x0)) / ((x0 + (x2 * x1)) * 1.4057544))) * -6.4701767) + (x2 + 34.85022)"
25,68.56387,"(((x0 * log(abs((x2 / -0.09887711) + x0))) / ((x0 + (x2 * (x1 + 0.9615391))) * 1.4057544)) * -6.4701767) + (x2 + 34.30608)"
26,68.3939,"(34.626194 + x2) + (((x0 / ((x1 * (x2 + sqrt(x0))) + (x0 * 1.3828291))) * -6.4701767) * log(abs((x2 / -0.09887711) + x0)))"
27,66.861206,"((log(abs(((x1 * (-1.5471572 - x1)) + x0) + (x2 / -0.099884406))) * ((x0 * -6.4571333) / ((x0 + 112.596176) * 1.322987))) + 35.566475) + x2"
29,64.989044,"(((x0 * -6.4571333) / ((x0 * 1.3565382) + (x1 * x2))) * log(abs((x0 + (x2 / -0.0998844)) + (x1 * (-1.547157 - x1))))) + (x2 + 35.796715)"
31,64.79884,"x2 + (((-6.4571333 / (((x1 * (x2 - x1)) + x0) * 1.3407927)) * (log(abs((x1 * (-1.5471572 - x1)) + (x0 + (x2 / -0.0998844)))) * x0)) + 35.90871)"
32,64.67655,"((log(abs((x1 * (-1.5471572 - x1)) + (x0 + (x2 / -0.0998844)))) * -6.4571333) * (x0 / ((1.3562574 * (sqrt(x0) + x0)) + (x1 * x2)))) + (x2 + 35.184704)"
33,64.576096,"(x2 + 35.233974) + (((log(abs((x0 + (x2 / -0.0998844)) + (x1 * (-1.5471572 - x1)))) * -6.4571333) * x0) / (x2 + ((x0 + ((x2 - x1) * x1)) * 1.3562574)))"
34,64.51158,"((((x0 / (((sqrt(x0) + x0) + (x1 * (x2 - x1))) * 1.3562574)) * -6.4571333) * log(abs((x1 * (-1.5471572 - x1)) + (x0 + (x2 / -0.0998844))))) + x2) + 35.184704"
35,62.685448,"(((x0 * -6.4571333) / ((x0 + (((x1 / 0.024478182) / (x1 + -1.4843696)) + 75.3119)) * 1.322987)) * log(abs(((x2 / -0.099884406) + (x1 * (-1.5471572 - x1))) + x0))) + (x2 + 35.478485)"
37,62.485718,"(log(abs(x0 + ((x2 / -0.099884406) + (x1 * (-1.5471572 - x1))))) * (((x0 - x1) * -6.4571333) / (((x0 + 75.3119) + ((x1 / 0.024478184) / (x1 + -1.4721098))) * 1.3133066))) + (x2 + 35.566475)"
38,61.49555,"((abs(49.61045 - x0) * log(abs((x0 + (x1 * (-1.3400098 - x1))) + ((x2 - -0.1057825) / -0.10022445)))) * (-6.4569316 / ((x0 + ((x1 * 37.32262) / (x1 + -1.5779556))) * 1.3383287))) + (x2 + 35.280636)"
40,61.48737,"((abs(x2 - (x0 - x2)) * log(abs(((x2 - -0.1057825) / -0.10022445) + (x0 + ((-1.3400098 - x1) * x1))))) * (-6.4569316 / ((((35.392353 * x1) / (x1 + -1.5529481)) + x0) * 1.3383287))) + (x2 + 35.392353)"
42,61.4644,"((-6.4569316 / ((((x1 / (x1 + -1.5529481)) * 35.392353) + x0) * 1.3383287)) * (log(abs((x0 + ((-1.3400098 - x1) * x1)) + ((x2 - -0.1057825) / -0.10022445))) * (abs((x0 - x2) - x2) + 1.3383287))) + (x2 + 35.392353)"
43,61.290394,"((log(abs(((x1 * (-1.3400098 - x1)) + x0) + ((x2 - -0.1057825) / -0.10022444))) * ((abs((x2 - x0) + x2) * -6.4569316) / ((x0 + (((x1 * 35.580757) / (x1 + -1.5529481)) + sqrt(x0))) * 1.3383287))) + x2) + 34.622967"
45,61.22993,"((log(abs(((x1 * (-1.3400098 - x1)) + x0) + ((x2 - -0.1057825) / -0.10022444))) * abs((x2 + x2) - x0)) * (-6.4569316 / (((x0 + sqrt(x0)) + ((x1 + 0.12549935) * (35.580757 / (x1 + -1.5529481)))) * 1.3383287))) + (x2 + 34.622967)"
50,61.229927,"(log(abs(((x1 * (-1.3400098 - x1)) + x0) + ((x2 - -0.1057825) / -0.10022444))) * (abs(x2 + (x2 - x0)) * (-6.4569316 / (((x0 + sqrt(x0)) + ((x1 + 0.12549935) * (35.580757 / (-1.5529481 + x1)))) * 1.3383287)))) + (x2 + (35.580757 - sqrt(sqrt(sqrt(0.7082093)))))"
