Complexity,Loss,Equation
1,184.68924,"37.97976"
3,147.68488,"x1 + 33.885666"
4,104.16813,"237.22386 / log(x0)"
5,95.34331,"179.1912 / sqrt(sqrt(x0))"
6,81.3833,"1322.2776 / sqrt(x0 + 549.29706)"
8,81.24935,"(x1 + 1322.2029) / sqrt(x0 + 556.18604)"
9,81.19065,"(x2 / ((x0 + 1022.0807) / 1851.1228)) + 10.563831"
10,74.45272,"(x2 + -24.78774) / (sqrt(x0 + 594.75793) / 7363.7217)"
11,73.23724,"(x2 - 24.861923) / (sqrt(sqrt(x0 + 104.67902)) / 1797.973)"
12,72.810875,"((x2 - 24.879856) / (sqrt(x0 + 377.81784) / 10335.167)) + 8.248751"
14,72.80932,"((x2 - 24.874815) / (sqrt(x0 + (422.61316 - x1)) / 10335.175)) + 7.362909"
15,72.69826,"(((x2 - 24.880722) / (sqrt(x0 + 422.39417) / 10335.172)) + sqrt(x1)) + 7.559111"
16,72.6782,"((x2 - 24.87804) / (sqrt(x0 + 423.4918) / 10335.183)) - ((x1 * -0.19685557) + -7.6970024)"
17,72.61996,"((x2 - 24.87898) / (sqrt(423.66806 + x0) / 10335.172)) + (sqrt(0.94126266 + x1) + 6.678127)"
18,72.58865,"(((x2 - 24.879938) / (sqrt(x0 + 424.50092) / 10335.174)) + 7.401028) + sqrt(abs(x1 - 0.7633228))"
19,72.22735,"(((x2 - 24.880072) / (sqrt(x0 + 412.78064) / 10335.188)) + 10.421186) - abs(-2.845574 - (x1 * -0.47955608))"
21,72.21623,"(((x2 - 24.880062) / (sqrt((x0 + 423.2018) - x1) / 10335.188)) + 10.421186) - abs(-2.845574 - (x1 * -0.47955596))"
22,72.14573,"((log(abs((x0 / x2) + -11.730496)) / -0.62116086) + x2) + ((x2 / (0.8080704 + (x0 / 674.1954))) + sqrt(x1))"
23,68.561676,"(54.739452 / (((x0 / (x2 * x2)) + 1.2809597) + (13.219862 / ((x2 * 10.454138) - ((x0 * x1) + 20.02819))))) + 13.80806"
25,67.00164,"(54.733673 / (((13.256817 / ((x2 * 10.451076) - ((x0 * x1) + 19.981274))) + (x0 / (x2 * (x1 + x2)))) + 1.2939533)) + 12.815548"
27,66.4713,"(54.25469 / (((x0 / (((x1 * 2.6435697) + x2) * x2)) + (15.40142 / ((x2 * 10.281407) - ((x0 * x1) + 17.374325)))) + 1.3216639)) + 12.111359"
29,66.36186,"((x2 + 27.369726) / ((x0 / (x2 * ((x1 * 2.1828542) + x2))) + ((13.219862 / ((x2 * 10.454138) - ((x0 * x1) + 20.02819))) + 1.2809597))) + 12.763751"
31,61.202404,"(log(abs((x0 / x2) + -11.730498)) * -1.4557692) + ((x2 / ((x0 / 674.1954) + ((10.630118 / ((x2 * 10.62861) - ((x1 * x0) + x2))) + 0.75597084))) + x2)"
33,60.81589,"(x2 / (((10.630439 / ((x2 * 10.630406) - ((x1 * x0) + x2))) + (x0 / 674.1954)) + 0.77145475)) + (x2 + (0.77145475 + (log(abs((x0 / x2) + -11.730498)) * -1.509617)))"
34,59.898556,"(log(abs((x0 / x2) + -11.730498)) * -1.5320647) + ((x2 / ((10.630885 / ((x2 * 10.630549) - ((x1 * x0) + x2))) + ((x0 / 610.7187) + 0.77146626))) + (sqrt(x1) + x2))"
35,58.84572,"(x2 / ((x0 / 674.1954) + (0.7824652 + (10.630898 / ((x2 * 10.630898) - ((x1 * x0) + x2)))))) + ((log(abs(((x0 / x2) + -11.730498) / (x1 + -0.8169224))) * -1.4677691) + x2)"
37,58.54054,"x2 + (((x2 - 0.95744735) / (((10.630884 / ((x2 * 10.630884) - ((x1 * x0) + x2))) + 0.7714759) + (x0 / 674.1954))) + (log(abs(((x0 / x2) + -11.730498) / (x1 + -0.76501036))) * -1.4426003))"
39,58.397434,"(x2 + ((x2 - 2.5450287) / (((10.630884 / ((x2 * 10.630668) - (x2 + (x0 * x1)))) + 0.7516268) + (x0 / 674.1954)))) + ((log(abs(((x0 / x2) + -11.730498) / (0.7516268 - x1))) * -1.484176) + 0.9112483)"
41,58.29841,"(x2 + (-1.484176 * log(abs((-11.730498 + (x0 / x2)) / (x1 + -0.66746044))))) + ((x2 - log(abs(x1 - 2.709859))) / ((0.771476 + (x0 / 674.1954)) + (10.630884 / ((x2 * 10.630884) - (x2 + (x1 * x0))))))"
43,57.760925,"((-1.3837231 * log(abs(((x0 / x2) + -11.730498) / (-0.6792357 + x1)))) + x2) + ((x2 - log(abs((x0 / 63.419853) + -11.341491))) / (0.7516268 + ((x0 / 674.1954) + (10.630884 / ((10.630884 * x2) - ((x0 * x1) + x2))))))"
45,57.646828,"(x2 + ((log(abs(((x0 / x2) + -11.730498) / (-0.8093958 + x1))) * -1.4622273) + ((x2 - log(abs((x0 / 63.419853) + -11.341491))) / ((10.630884 / ((x2 * 10.630668) - ((x0 * x1) + x2))) + (0.7516268 + (x0 / 674.1954)))))) + 0.42164811"
47,57.577858,"((x2 - -0.57352215) + (log(abs(((x0 / x2) + -11.730498) / (x1 + -0.7450456))) * -1.484176)) + ((x2 - log(abs((x0 / 63.419853) + -11.341491))) / (((x0 / 674.1954) + 0.7714763) + (10.630884 / ((x2 * 10.630856) - (x2 + ((x0 + -0.3064905) * x1))))))"
48,57.576736,"((log(abs(((x0 / x2) + -11.730498) / (x1 + -0.7450456))) * -1.484176) + x2) + (((x2 - log(abs((x0 / 63.419853) + -11.341491))) / ((10.630884 / ((x2 * 10.630855) - (((-0.3064905 + x0) * x1) + x2))) + abs((x0 / 674.1954) + 0.77225536))) - -0.57352215)"
49,57.538353,"((-1.484176 * log(abs(((x0 / x2) + -11.730498) / (x1 + -0.7450456)))) + x2) + (((x2 - log(abs(((x0 - -1.3534017) / 63.419853) + -11.341491))) / ((10.630884 / ((x2 * 10.630855) - (((-0.3064905 + x0) * x1) + x2))) + ((x0 / 674.1954) + 0.77225536))) - -0.57352215)"
