Complexity,Loss,Equation
1,131.97185,"37.819244"
3,94.744095,"x1 + 33.72317"
4,72.6326,"66.35602 - sqrt(x0)"
5,40.974464,"178.5598 / sqrt(sqrt(x0))"
6,30.657932,"(log(x0) * -8.999385) + 95.339485"
7,28.386007,"(sqrt(sqrt(x0)) * -6.9928584) + 73.76163"
8,26.923048,"(776.338 / log(x0 + 386.0862)) + -73.68356"
10,26.374973,"((x1 + 755.1307) / log(x0 - -390.98184)) + -71.16212"
11,26.275692,"(sqrt(x1) + 111.77271) + (log(x0 + 161.10718) * -11.24958)"
12,25.883263,"(((x1 * 3.1185498) + 724.945) / log(x0 - -416.7513)) + -67.67756"
14,25.333527,"((x2 + sqrt(x1)) / (((x0 / 76.19954) + 15.160766) / x2)) + 9.870667"
16,22.23919,"((abs(0.6098187 / ((x0 / 77.884445) + -3.8721225)) + -16.41049) * log(sqrt(x0))) - -88.725815"
18,20.94637,"(log(sqrt(x0 + 101.152695)) * ((0.5493208 / abs((x0 / 73.577065) + -4.099083)) + -20.252857)) - -103.554085"
20,20.856163,"(((1.5784048 / abs((x0 / 77.60011) + -3.8864367)) + 96.866516) + (log(sqrt(x0)) * -18.561804)) - (369.2321 / x0)"
21,20.11889,"sqrt(x1) + ((log(sqrt(x0 + 92.05334)) * -18.593113) + (abs(1.5909954 / (-4.0425334 + (x0 / 74.58473))) - -96.150276))"
23,20.072453,"((abs(-1.596491 / ((x0 / 73.96466) + -4.0749373)) + 94.61049) + (log(sqrt(x0 + 92.245766)) * -18.279297)) + sqrt(x1 * 1.6332463)"
25,19.961958,"(((abs(1.5036848 / ((x0 / 77.855774) + -3.8723414)) - -93.284676) + (log(sqrt(x0)) * -17.912115)) - ((x2 / x0) * 17.282703)) + sqrt(x1)"
27,19.848055,"(sqrt(x1) - ((x2 - x1) / (x0 / x2))) + (abs(1.5193005 / ((x0 / 77.16809) + -3.9066308)) + ((log(sqrt(x0)) * -17.953451) - -93.53244))"
29,19.848047,"(sqrt(x1) - ((x2 - x1) / (x0 / x2))) + ((abs(1.5197929 / ((x0 / 77.16821) + -3.9066305)) + ((log(sqrt(x0)) * -17.952343) - -93.948814)) - 0.4208557)"
30,18.978708,"(((abs(1.5287486 / ((x0 / 77.97489) + -3.868305)) + (-6.2099876 / ((x0 / x2) + -39.36206))) + (log(sqrt(x0)) * -18.846676)) - -97.97675) - ((x2 * 18.235723) / x0)"
32,18.658943,"((((-6.1950026 / ((x0 / x2) + -39.36966)) + (1.5393171 / abs((x0 / 78.023575) + -3.8653708))) - -97.9589) - (((x2 - x1) * x2) / x0)) + (log(sqrt(x0)) * -18.824116)"
34,18.570356,"(((-6.1950026 / (((x0 - x1) / x2) + -39.36966)) - -97.9589) - ((x2 / x0) * (x2 - x1))) + ((-18.824116 * log(sqrt(x0))) + (1.5393171 / abs(-3.8653708 + (x0 / 78.023575))))"
36,18.53089,"(-18.824116 * log(sqrt(x0))) + (((1.5393171 / abs((x0 / 78.023575) + -3.8653708)) + ((-6.1950026 / ((((x0 - x1) - x1) / x2) + -39.36966)) - -97.9589)) - ((x2 / x0) * (x2 - x1)))"
37,18.234234,"(((log(sqrt(x0)) * -18.448977) - (((x2 - x1) * x2) / x0)) + abs(1.5163776 / ((x0 / 77.764725) + -3.8760273))) + ((-5.660767 / (((sqrt(x0) / 1.4263003) + -19.584633) - (x1 / 1.2760397))) - -96.704865)"
38,18.231651,"abs(((-18.434402 * log(sqrt(x0))) + ((1.5271971 / abs(-3.880738 + (x0 / 77.67852))) - ((x2 / x0) * (x2 - x1)))) + ((-5.758855 / (((sqrt(x0) / 1.4263848) + -19.578917) - (x1 / 1.2695096))) - -96.64464))"
39,18.101664,"(-6.0706143 / ((sqrt(x0) / 1.4277864) + (-19.548967 - (x1 / 1.2746276)))) + (abs(1.5775269 / ((x0 / 77.3487) + -3.8973377)) + ((log(sqrt(x0)) * -17.677408) + (93.854385 - (((x2 - x1) / x0) * (x2 - x1)))))"
40,16.288517,"((-6.2169952 / (((x1 / -0.059942447) + 94.138565) + ((log(sqrt(x0)) * -19.771637) - ((x2 + 18.274712) / 1.8791411)))) + (((log(sqrt(x0)) * -18.771002) - (369.183 / x0)) + (1.4878955 / abs((x0 / 77.98991) + -3.8712153)))) + 97.51818"
41,16.267988,"((-6.2169952 / (((sqrt(x1) / -0.059942447) + 94.138565) + ((log(sqrt(x0)) * -19.771637) - ((x2 + 18.274712) / 1.8791411)))) + (((log(sqrt(x0)) * -18.771002) - (369.183 / x0)) + (1.4878955 / abs((x0 / 77.98991) + -3.8712153)))) + 97.51818"
42,16.229803,"(-6.2169952 / ((((x1 / -0.059942447) + 94.138565) + (log(sqrt(x0)) * -19.771637)) - (((x2 + 18.274712) - -0.07551273) / 1.8791411))) + ((((log(sqrt(x0)) * -18.771002) - (369.183 / x0)) + abs(-1.4938285 / ((x0 / 77.98991) + -3.8712153))) + 97.51818)"
43,16.154861,"((-6.2169952 / ((94.138565 + (sqrt(x1) / -0.059942447)) + ((log(sqrt(x0)) * -19.771637) - ((x2 + 18.274712) / 1.8791411)))) + (abs(-1.5327661 / ((x0 / 77.98991) + -3.8712153)) + (97.58002 + (log(sqrt(x0)) * -18.771002)))) - ((18.274712 * x2) / x0)"
44,15.893553,"((log(sqrt(x0)) * -18.771002) + (1.5649011 / abs((x0 / 77.98991) + -3.8712153))) + (((-6.2169952 / (((log(sqrt(x0)) * -19.771637) - ((x2 + 18.294178) / 1.8791411)) + (94.138565 + (x1 / -0.059942447)))) - ((x2 - x1) / (x0 / x2))) - -97.731514)"
45,15.76947,"((log(sqrt(x0)) * -18.771002) + ((1.4836001 / abs((x0 / 77.98991) + -3.871215)) + (97.65552 - ((x2 - x1) * (x2 / x0))))) + (-6.2169952 / ((((log(sqrt(x0)) * -19.771645) - ((x2 + 18.274712) / 1.879141)) + (sqrt(x1) / -0.060070723)) + 94.08141))"
47,15.75848,"((-6.2169952 / (((log(sqrt(x0)) * -19.771645) - ((x2 + 18.274712) / 1.879141)) + ((sqrt(x1) / -0.060070712) + 94.08141))) + (abs(1.4836001 / (-3.871215 + ((x0 + 0.4778025) / 77.98991))) + (97.65552 - ((x2 - x1) * (x2 / x0))))) + (log(sqrt(x0)) * -18.771002)"
48,15.595107,"((-6.2169952 / ((x1 / -0.060070712) + (((log(sqrt(x0)) * -19.771645) - ((x2 + 18.274712) / 1.879141)) + 94.08141))) + (x1 * 0.086492956)) + ((log(sqrt(x0)) * -18.771002) + ((1.4836001 / abs((x0 / 77.98991) + -3.871215)) + (97.58002 - ((x2 - x1) * (x2 / x0)))))"
49,15.570591,"((-6.2169952 / (((-19.771645 * log(sqrt(x0))) - ((x2 + 18.274712) / 1.879141)) + ((sqrt(x1) / -0.060070712) + 94.08141))) + ((log(sqrt(x0)) * -18.771002) + (((1.4836001 / abs((x0 / 77.98991) + -3.871215)) + 97.58002) - (((x2 - x1) * x2) / x0)))) + (0.086492956 * x1)"
50,15.57059,"(-6.2169952 / (((sqrt(x1) / -0.06007072) + ((log(sqrt(x0)) * -19.771645) - ((x2 + 18.274712) / 1.879141))) + 94.08141)) + (((log(sqrt(x0)) * -18.771002) + ((abs(1.4836001 / ((x0 / 77.98991) + -3.871215)) + 97.58002) - ((x2 * abs(x1 - x2)) / x0))) + (x1 * 0.086492956))"
