Complexity,Loss,Equation
1,131.97185,"37.819244"
3,94.744095,"x1 + 33.72317"
4,50.594883,"236.33713 / log(x0)"
5,40.974472,"178.5594 / sqrt(sqrt(x0))"
6,30.65793,"(log(x0) * -9.000279) + 95.34478"
7,28.386007,"73.76098 - (sqrt(sqrt(x0)) * 6.992763)"
8,27.326813,"119.33838 - (log(x0 + 167.27232) * 12.09178)"
9,27.084673,"222.66232 - (log(log(x0 + 274.41064)) * 96.02825)"
10,26.987381,"(log(x0) * (-11.716923 - (223.81519 / x0))) + 116.269936"
11,26.275688,"((log(x0 + 161.39624) * -11.253615) + sqrt(x1)) + 111.805115"
12,26.208637,"(log(x0 + 185.11774) * -11.132804) + ((x1 * 0.49689263) + 111.14831)"
13,24.509884,"(38.16868 - (x0 * 0.008772602)) + abs((-34.20435 + sqrt(x0)) / 1.6625345)"
14,24.493841,"(abs(-34.068085 + sqrt(x0)) - (x0 * 0.014376038)) + (log(x0) * 5.97712)"
15,24.389051,"abs((sqrt(x0 + 38.204903) + -34.724346) / 1.5931067) + (38.204903 - (x0 * 0.008927669))"
16,23.624044,"(37.37806 - (x0 * 0.007858426)) + abs(((sqrt(x0) + -33.680668) / -1.9343035) + sqrt(x1))"
18,23.615057,"(abs(((sqrt(x0) + -33.67179) / -1.9378468) + sqrt(x1)) - ((x0 - x1) * 0.007848002)) + 37.350468"
19,23.584795,"(36.68632 + abs(((sqrt(x0) + -33.576836) / -1.9132735) + sqrt(x1))) - abs(0.71391475 - (x0 * 0.007911222))"
20,22.762754,"((log(abs(x0 + (x0 + (-23.4422 * x2)))) * -1.7608042) + (69.64866 - (x0 * -0.007185499))) - sqrt(x0)"
22,22.682167,"((69.64866 - (x0 * -0.007185499)) + (-1.7608042 * log(abs((x0 + x0) + (-23.4422 * x2))))) - sqrt(x0 - x1)"
23,22.066257,"sqrt(x1) + ((log(abs((x2 * -23.443323) + (x0 + x0))) * -1.6405485) + ((x0 * 0.007539927) + (66.7238 - sqrt(x0))))"
25,21.909855,"((67.197525 - sqrt(x0)) + (((x2 + -26.703554) * log(abs(((x2 * -23.439405) + x0) + x0))) + sqrt(x1))) + (x0 * 0.0076748026)"
27,21.833748,"sqrt(x1) + (((63.971546 - (sqrt(x0) - sqrt(sqrt(x0)))) + (log(abs(x0 + ((x2 * -23.432417) + x0))) * -1.8713049)) + (x0 * 0.006696987))"
29,21.756378,"(x0 * 0.00677673) + (((sqrt(x1) + 63.956436) - (sqrt(x0 - x1) - sqrt(sqrt(x0)))) + (log(abs((x2 * -23.428009) + (x0 + x0))) * -1.9000943))"
30,21.50865,"((sqrt(x1) + 65.29923) + abs(1.160887 - (x0 * 0.006820839))) + ((-1.9344723 * log(abs((x0 + x0) + (x2 * -23.427689)))) - (sqrt(x0) - sqrt(sqrt(x0))))"
32,21.328447,"(((x0 * 0.006498142) + 65.14301) - (sqrt(x0) - sqrt(x1 + sqrt(x0)))) + (log(abs((x0 + (-1.8982239 / (x1 + -1.0231029))) + (x0 + (x2 * -23.517406)))) * -1.8333248)"
33,20.684679,"(((sqrt(x1) + 63.793766) + (0.0066589173 * x0)) + (log(abs((x2 * -23.517406) + ((x0 + x0) + (-1.8982239 / (x1 + -1.0231004))))) * -1.8372653)) - (sqrt(x0) - sqrt(sqrt(x0)))"
35,20.613066,"(((sqrt(x1) + 63.793766) + (x0 * 0.006658917)) + (-1.8372653 * log(abs((x2 * -23.517406) + ((-1.8982239 / (x1 + -1.0231004)) + (x0 + x0)))))) - (sqrt(x0 - x1) - sqrt(sqrt(x0)))"
36,20.374544,"(log(abs(((x0 + x0) + (-1.8982239 / (x1 + -1.0231004))) + (x2 * -23.517406))) * -1.8372653) + ((abs((x0 * 0.0066596013) - 1.1313422) + (sqrt(x1) - (sqrt(x0) - sqrt(sqrt(x0))))) + 64.84444)"
38,20.36953,"(log(abs((x2 * -23.517406) + (x0 + ((-1.8982239 / (x1 + -1.0231004)) + x0)))) * -1.8372653) + (sqrt(x1) + ((abs((x0 * 0.0066592935) - 1.1313422) + 64.84444) - (sqrt(x0 - -1.5421331) - sqrt(sqrt(x0)))))"
39,20.18744,"((log(abs((x0 + (-1.8982239 / (x1 + -1.0231004))) + (x0 + (x2 * -23.517406)))) * -1.8372653) - (sqrt((-2.4055202 / (x1 + -1.0231004)) + x0) - sqrt(sqrt(x0)))) + (((x0 * 0.006659366) + sqrt(x1)) + 63.793766)"
40,20.16586,"(((x0 * 0.006658913) + (sqrt(x1) + 63.793766)) + (log(abs(((-1.8982239 / (x1 + -1.0231004)) + x0) + (x0 + (x2 * -23.517406)))) * -1.8372653)) - (sqrt((-2.4055202 / (sqrt(x1) + -1.0231004)) + x0) - sqrt(sqrt(x0)))"
41,20.12427,"(((x0 * 0.006658913) + (sqrt(x1) + 63.793766)) + (log(abs(((-1.8982239 / (x1 + -1.0231004)) + x0) + (x0 + (x2 * -23.517406)))) * -1.8372653)) - (sqrt((-2.4055202 / (sqrt(sqrt(x1)) + -1.0231004)) + x0) - sqrt(sqrt(x0)))"
42,19.90684,"((abs((x0 * 0.0066594942) - 1.0494877) + (sqrt(x1) + 64.84444)) - (sqrt(x0 + (-2.3930097 / (x1 + -1.0231004))) - sqrt(sqrt(x0)))) + (log(abs(((x0 + x0) + (-1.8982239 / (x1 + -1.0231004))) + (x2 * -23.517406))) * -1.8372653)"
43,19.895634,"((abs((x0 * 0.0066594942) - 1.0494877) + (sqrt(x1) + 64.84444)) - (sqrt((-2.3930097 / (sqrt(x1) + -1.0231004)) + x0) - sqrt(sqrt(x0)))) + (log(abs((x0 + (x0 + (-1.8982239 / (x1 + -1.0231004)))) + (x2 * -23.517406))) * -1.8372653)"
44,19.879112,"(((64.84444 + sqrt(x1)) + abs((0.0066591837 * x0) - 1.0494877)) - (sqrt((-2.3930097 / (sqrt(sqrt(x1)) + -1.0231004)) + x0) - sqrt(sqrt(x0)))) + (log(abs(((x0 + x0) + (-1.8982239 / (-1.0231004 + x1))) + (x2 * -23.517406))) * -1.8372653)"
46,19.806484,"(log(abs((x0 + (-1.8982239 / (x1 + -1.0231004))) + (x0 + (-23.517406 * x2)))) * -1.8372653) + ((64.84444 + abs((0.0066590677 * ((x1 * x1) - x0)) - -0.86477906)) + (sqrt(x1) - (sqrt((-2.5065188 / (-1.0231004 + x1)) + x0) - sqrt(sqrt(x0)))))"
47,19.797523,"(log(abs(((-1.8982239 / (x1 + -1.0231004)) + x0) + (x0 + (-23.517406 * x2)))) * -1.8372653) + (((abs((((x1 * x1) - x0) * 0.0066590677) - -0.86477906) + sqrt(x1)) + 64.84444) - (sqrt((-2.5065188 / (-1.0231004 + sqrt(x1))) + x0) - sqrt(sqrt(x0))))"
48,19.780426,"(log(abs(((-1.8982239 / ((x1 * x1) + -1.0231004)) + x0) + (x0 + (-23.517406 * x2)))) * -1.8372653) + (((abs((((x1 * x1) - x0) * 0.0066590677) - -0.86477906) + sqrt(x1)) + 64.84444) - (sqrt((-2.5065188 / (-1.0231004 + x1)) + x0) - sqrt(sqrt(x0))))"
49,19.771986,"(log(abs((x0 + (-1.8982239 / ((x1 * x1) + -1.0231004))) + (x0 + (-23.517406 * x2)))) * -1.8372653) + (((abs((((x1 * x1) - x0) * 0.0066590677) - -0.86477906) + sqrt(x1)) + 64.84444) - (sqrt((-2.5065188 / (-1.0231004 + sqrt(x1))) + x0) - sqrt(sqrt(x0))))"
50,19.76261,"(log(abs((x0 + (-1.8982239 / ((x1 * x1) + -1.0231004))) + (x0 + (-23.517406 * x2)))) * -1.8372653) + (((abs((((x1 * x1) - x0) * 0.0066590677) - -0.86477906) + sqrt(x1)) + 64.84444) - (sqrt((-2.5065188 / (-1.0231004 + sqrt(sqrt(x1)))) + x0) - sqrt(sqrt(x0))))"
