Complexity,Loss,Equation
1,131.97185,"37.819244"
3,94.744095,"x1 + 33.72317"
4,50.59488,"236.32886 / log(x0)"
5,46.46461,"45.768734 - (x0 * 0.0073354747)"
6,26.743332,"1307.302 / sqrt(x0 + 534.61475)"
8,26.609375,"(x1 + 1306.4135) / sqrt(x0 + 540.42163)"
10,26.506266,"((x1 / 0.4826918) + 1306.4135) / sqrt(540.42163 + x0)"
11,25.931175,"(1306.4135 / sqrt((x2 * x2) + x0)) + sqrt(x1)"
13,25.743443,"sqrt(x1) + (1239.1029 / sqrt((x2 * x2) + (-96.5089 + x0)))"
14,25.712595,"sqrt(x1) + (1239.1029 / sqrt((x2 * x2) + abs(-96.5089 + x0)))"
15,24.575083,"(-0.80796707 / (sqrt(x0) - 17.174282)) + (((x0 * 0.0054575535) + 60.131668) - sqrt(x0))"
16,21.235657,"(x0 * 0.0059304796) + (((3.4185827 / abs(sqrt(x0) - 17.364159)) + 58.563362) - sqrt(x0))"
18,21.10595,"((abs(3.3677206 / (sqrt(x0) - 17.357481)) + (x0 * 0.005972266)) + 58.43377) - sqrt(x0 - x1)"
19,20.405655,"(sqrt(x1) + (x0 * 0.0063829324)) + ((abs(-3.285502 / (17.360914 - sqrt(x0))) + 56.347466) - sqrt(x0))"
21,20.350584,"(((abs(0.13200454 / (sqrt(x0) - 17.359533)) + ((x0 * 0.00025650466) + 2.2557216)) * x2) + sqrt(x1)) - sqrt(x0)"
23,20.32577,"((x2 * ((abs(0.13077515 / (17.355267 - sqrt(x0))) + (x0 * 0.00025865904)) + 2.2487621)) + sqrt(x1)) - sqrt(x0 - x1)"
24,18.839594,"(((x0 * 0.0050967443) + 58.150143) + (3.4323285 / abs(sqrt(x0) - 17.36539))) - (sqrt(x0) - (x2 / abs(57.445568 - sqrt(x0))))"
26,18.703438,"(abs(3.3677711 / (17.357382 - sqrt(x0))) - (sqrt(x0 - x1) - abs(x2 / (sqrt(x0) - 57.460884)))) + ((x0 * 0.0051562125) + 57.9691)"
27,17.647816,"(((abs(3.277724 / (sqrt(x0) - 17.352266)) + 55.81712) + sqrt(x1)) - (sqrt(x0) - abs(-31.55382 / (sqrt(x0) - 57.647705)))) + (x0 * 0.0053421455)"
29,17.440992,"(((x0 * 0.0056060106) + 54.449318) + (abs(3.2782536 / (sqrt(x0) - 17.360441)) - (sqrt(x0) - abs(32.18408 / (sqrt(x0) - 57.62237))))) - (-1.5868632 * sqrt(x1))"
30,17.421719,"(abs(-3.2483888 / (17.360653 - sqrt(x0))) + ((x0 * 0.0054751565) - (sqrt(x0) - (33.334938 / abs(57.63338 - sqrt(x0)))))) + (54.23507 - (-2.6316452 * sqrt(sqrt(x1))))"
32,17.303505,"((x0 * 0.005295003) + 54.78289) + ((abs(-3.226456 / (17.356392 - sqrt(x0))) - (sqrt(x0) - abs((-32.7895 / (sqrt(x0) - 57.57103)) + -0.7375345))) - (sqrt(sqrt(x1)) * -2.8285837))"
34,17.28868,"(((x0 * 0.005295612) + 54.78289) - (sqrt(sqrt(x1)) * -2.8285837)) + (abs(3.274413 / (17.356392 - sqrt(x0))) - (sqrt(x0) - abs((-32.7895 / ((sqrt(x0) - x1) - 57.57103)) + -0.7375345)))"
35,17.260511,"(((3.318777 / abs(17.352015 - sqrt(x0))) + ((x0 * 0.005591781) - (sqrt(x1) * -1.6124454))) + ((x1 / (x0 - x2)) + 54.446365)) - (sqrt(x0) - (32.19111 / abs(sqrt(x0) - 57.64201)))"
36,17.22445,"(abs(log(x2) / (sqrt(x0) - 17.352015)) + ((54.446365 + (x0 * 0.005591781)) - (-1.6124454 * (sqrt(x1) + (x1 / (x0 - x2)))))) - (sqrt(x0) - abs(32.19111 / (57.64201 - sqrt(x0))))"
37,16.3028,"54.02751 + (abs((2.1316702 / (56.438393 - (x0 / x2))) + (-3.3951669 / (sqrt(x0) - 17.354048))) + ((((x0 * -0.0032999562) - sqrt(x1)) * -1.6885211) - (sqrt(x0) - abs(-33.968994 / (sqrt(x0) - 57.6767)))))"
38,16.236269,"54.02751 + (abs((2.1316702 / abs(56.438393 - (x0 / x2))) + (-3.3951669 / (sqrt(x0) - 17.354048))) + ((((x0 * -0.0032999562) - sqrt(x1)) * -1.6885211) - (sqrt(x0) - abs(-33.968994 / (sqrt(x0) - 57.6767)))))"
39,15.5474415,"abs((-1.106874 / ((x0 / (x2 - -0.7896059)) - 54.468803)) + (-3.2210255 / (sqrt(x0) - 17.35611))) + ((54.4691 - (sqrt(x0) - abs(32.18199 / (57.63979 - sqrt(x0))))) + ((x0 * 0.005508842) - (sqrt(x1) * -1.6056858)))"
40,15.503937,"((x0 * 0.0055253697) + (54.468803 - (sqrt(x1) * -1.6104542))) + (abs((-3.2210255 / (17.35611 - sqrt(x0))) + (-1.106874 / abs((x0 / (x2 - -0.789606)) - 54.468803))) - (sqrt(x0) - abs(32.18199 / (57.63979 - sqrt(x0)))))"
42,15.375106,"abs((3.3410544 / (sqrt(x0) - 17.352898)) + (1.0985793 / ((x0 / (x2 - -0.7946816)) - 54.453533))) + (((53.540615 - (sqrt(x0) - (33.658157 / abs(sqrt(x0) - 57.639187)))) + (x0 * 0.005523698)) - (sqrt(x2 * sqrt(x1)) * -0.60123414))"
43,15.184223,"((x0 * 0.00510608) + ((abs((3.0306149 / (17.347767 - sqrt(x0))) - (1.1855532 / ((x0 / x2) - 56.181953))) + 54.596413) - (sqrt(sqrt(x1 * x2)) * -1.2939692))) - abs(abs(x0 * (0.010867978 / (sqrt(x0) - 57.599224))) - sqrt(x0))"
44,15.044017,"(((x0 * 0.0050126584) - (sqrt(sqrt(x1) * x2) * -0.6423779)) + 54.410366) + (abs((3.174218 / (17.358381 - sqrt(x0))) - (1.1898162 / ((x0 / (x2 - -0.797467)) - 54.450844))) - (sqrt(x0) - (x0 * abs(0.0114132995 / (57.629784 - sqrt(x0))))))"
45,15.0105715,"(abs((3.1742184 / (sqrt(x0) - 17.35828)) - abs(1.1944834 / ((x0 / (x2 - -0.7974861)) - 54.450832))) + (((x0 * 0.0050448766) - (sqrt(sqrt(x1) * x2) * -0.6423817)) + 54.410362)) - (sqrt(x0) - abs((x0 / (57.629784 - sqrt(x0))) * 0.011309876))"
47,14.776603,"abs(abs((3.483691 / (sqrt(x0) - 17.359045)) + (-1.332305 / (54.43985 - (x0 / (x2 - -0.8036328))))) - 0.8915542) + (((x0 * 0.0047819093) - (sqrt(x0) - (x0 * abs(0.011457745 / (sqrt(x0) - 57.626724))))) + (54.43985 - (-0.68479204 * sqrt(sqrt(x1) * x2))))"
48,14.726438,"(54.476498 - (sqrt(sqrt(x1) * x2) * -0.6846212)) + (abs(abs(1.3823339 / (54.476498 - (x0 / (x2 - -0.788037)))) + (abs(3.483637 / (sqrt(x0) - 17.354692)) - 0.8914389)) + ((x0 * 0.004769231) - (sqrt(x0) - ((x0 * 0.011459262) / abs(57.62671 - sqrt(x0))))))"
49,14.726433,"(abs(abs(1.3823339 / ((x0 / (x2 - -0.78803706)) - 54.476498)) + (abs(3.483637 / (17.354692 - sqrt(x0))) - 0.8914389)) + ((x0 * 0.0047692503) - (sqrt(x0) - (x0 * abs(0.011457562 / (57.62671 - sqrt(x0))))))) + (54.476498 - (sqrt(sqrt(x1)) * (sqrt(x2) * -0.6846212)))"
50,14.720368,"(((x0 * 0.004775873) - (sqrt(x0) - (((x0 - 54.476498) * 0.011603087) / abs(sqrt(x0) - 57.626778)))) + (54.4764 - (sqrt(sqrt(x1) * x2) * -0.6847571))) + abs(((1.3837879 / abs((x0 / (x2 - -0.7878631)) - 54.475727)) + abs(3.4608128 / (sqrt(x0) - 17.35459))) - 0.8916156)"
