Complexity,Loss,Equation
1,131.97185,"37.819244"
3,94.744095,"x1 + 33.72317"
4,72.6326,"66.35602 - sqrt(x0)"
5,46.46461,"45.768875 - (x0 * 0.007335535)"
6,30.657932,"(log(x0) * -8.999516) + 95.34039"
7,28.386011,"(sqrt(sqrt(x0)) * -6.992459) + 73.75947"
8,27.326813,"(log(x0 + 167.40433) * -12.093202) + 119.35047"
9,26.930723,"(420.59973 / log(log(x0 + 388.4523))) + -178.89012"
11,26.405016,"sqrt(x1) + ((58.296703 - sqrt(x0)) + (x0 * 0.0057966867))"
12,25.402222,"((150.14812 * (x2 + -24.57179)) - sqrt(x0)) + (x0 * 0.006192221)"
14,24.522264,"(((x2 + -24.549294) * (x1 + 136.61789)) + (x0 * 0.006714754)) - sqrt(x0)"
15,23.98488,"(sqrt(sqrt(x0)) * -5.900092) - (log(abs((x0 / 62.107224) - 4.6590147)) + -69.5016)"
16,23.984877,"abs((sqrt(sqrt(x0)) * -5.900092) - (log(abs(4.6590147 - (x0 / 62.107224))) + -69.5016))"
17,22.74404,"68.64186 - (log(abs(3.6164787 - (x0 / (x1 + 75.017265)))) - (sqrt(sqrt(x0)) * -5.802082))"
19,22.605408,"68.64186 - (log(abs(3.6164787 - (x0 / (x1 + 75.017265)))) - (sqrt(sqrt(x0 - x1)) * -5.802082))"
21,22.057316,"(((x2 * x2) - (sqrt(sqrt(x0)) * 5.7902637)) - log(abs((x0 / (x1 + 67.71632)) - 3.9746833))) + -554.71967"
23,21.821333,"((-553.15247 - (sqrt(sqrt(x0)) * 4.8735867)) + (x2 * x2)) - log(abs((3.5708303 - (x0 / (x1 + 76.05498))) * x0))"
24,21.228653,"(-559.31775 + ((x2 * x2) - log(abs(3.9746916 - (x0 / (x1 + 67.71632)))))) + (sqrt(x1) - (5.2296443 * sqrt(sqrt(x0))))"
25,20.95855,"(((x2 * x2) - (log(sqrt(x0)) * 11.913039)) + (-547.82153 - (log(abs(3.9747903 - (x0 / (x1 + 68.47307)))) * 2.333988))) + 3.9747903"
26,20.567234,"(-547.82153 - (log(abs((x0 / (x1 + 68.47307)) - 3.9747903)) * 2.333988)) + (((x2 * x2) - (log(sqrt(x0)) * 11.913039)) + log(x2))"
28,20.058401,"((-556.4444 - (sqrt(sqrt(x0)) * 5.213209)) + (log(abs((x2 / sqrt(x0)) - 0.7335366)) - log(abs(4.3931813 - (x0 / 66.68981))))) + (x2 * x2)"
30,19.617548,"((x2 * x2) + ((-556.4444 - (sqrt(sqrt(x0)) * 5.213209)) + log(abs(((x2 + x1) / sqrt(x0)) - 0.7335366)))) - log(abs(4.3931813 - (x0 / 66.68981)))"
31,19.241217,"((-557.78033 - log(abs(3.9746833 - (x0 / (x1 + 67.71632))))) + (log(abs((x2 / sqrt(x0)) - 0.7335366)) + (x2 * x2))) - (sqrt(x2) * sqrt(sqrt(x0)))"
33,18.705772,"((x2 * x2) + ((log(abs(0.7335368 - ((x2 + x1) / sqrt(x0)))) + -557.78033) - log(abs((x0 / (x1 + 67.71632)) - 3.9746857)))) - (sqrt(x2) * sqrt(sqrt(x0)))"
35,18.398046,"((log(abs(((x2 + x1) / sqrt(x0)) - 0.7336131)) * 1.3243687) - (sqrt(x2) * sqrt(sqrt(x0)))) + ((-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746916))) + (x2 * x2))"
37,18.323938,"(((x2 * x2) - log(abs((x0 / (x1 + 67.71632)) - 3.9747024))) + -557.78033) + ((log(abs(0.7336365 - ((x1 + x2) / sqrt(x0)))) * 1.4977428) - (sqrt(sqrt(x0 * 0.9385092)) * sqrt(x2)))"
39,18.263166,"(((x2 * x2) + (log(abs(0.73363304 - ((x1 + x2) / sqrt(x0)))) * 1.4954675)) + (-557.78033 - log(abs(3.9747057 - (x0 / (x1 + 67.71632))) * 0.49729005))) - (sqrt(sqrt(x0 + x2)) * sqrt(x2))"
41,18.121468,"((x2 * x2) + ((log(abs(0.7336364 - ((x2 + x1) / sqrt(x0)))) * 1.3673574) + (-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746916))))) - (sqrt(x2) * ((-2.1437275 / (x0 - x2)) + sqrt(sqrt(x0))))"
42,17.057493,"(-557.78033 - log(abs(3.9746974 - (x0 / (67.71632 + x1))))) + ((x2 * x2) + (((-0.18778881 / ((-0.6819678 + (x2 / sqrt(x0))) - x1)) + log(abs(0.7336336 - (x2 / sqrt(x0))))) - (sqrt(x2) * sqrt(sqrt(x0)))))"
44,16.042006,"((-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746916))) + ((-0.18130922 / (((x2 / sqrt(x0)) + -0.6817924) - (x1 / 1.1129761))) + ((x2 * x2) + log(abs((x2 / sqrt(x0)) - 0.7336131))))) - (sqrt(x2) * sqrt(sqrt(x0)))"
45,15.978788,"((-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746916))) + ((-0.18130922 / (((x2 / sqrt(x0)) + -0.6817924) - (sqrt(x1) / 1.1129761))) + ((x2 * x2) + log(abs((x2 / sqrt(x0)) - 0.7336131))))) - (sqrt(x2) * sqrt(sqrt(x0)))"
46,15.513491,"((-557.78033 - log(abs(3.9747026 - (x0 / (x1 + 67.71632))))) + ((-0.1813095 / ((x2 / sqrt(x0)) + (-0.6820905 - (x1 / 1.1128815)))) + (log(abs(((x1 + x2) / sqrt(x0)) - 0.73361635)) + (x2 * x2)))) - (sqrt(sqrt(x0)) * sqrt(x2))"
47,15.48702,"((-557.78033 - log(abs(3.9747026 - (x0 / (x1 + 67.71632))))) + (((-0.1813095 / ((x2 / sqrt(x0)) + (-0.6820905 - (sqrt(x1) / 1.1128815)))) + log(abs(((x1 + x2) / sqrt(x0)) - 0.73361635))) + (x2 * x2))) - (sqrt(sqrt(x0)) * sqrt(x2))"
48,15.449062,"(((-0.18778884 / (((x2 / sqrt(x0)) + -0.68196976) - (x1 / 1.1129177))) + log(abs(0.7336336 - ((x1 + x2) / sqrt(x0))))) - (sqrt(sqrt(x0)) * sqrt(x2))) + (((x2 * x2) - 0.30107155) + (-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746974))))"
49,15.38726,"((((-0.18778884 / (((x2 / sqrt(x0)) + -0.68196976) - (sqrt(x1) / 1.1129177))) + log(abs(0.7336336 - ((x1 + x2) / sqrt(x0))))) - (sqrt(sqrt(x0)) * sqrt(x2))) + ((x2 * x2) - 0.30107155)) + (-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746974)))"
50,15.387216,"((((-0.18778895 / (((x2 / sqrt(x0)) - (sqrt(x1) / 1.1129174)) + -0.68197155)) + log(abs(0.7336336 - ((x1 + x2) / sqrt(x0))))) - (sqrt(abs(sqrt(x0))) * sqrt(x2))) + ((x2 * x2) - 0.30107155)) + (-557.78033 - log(abs((x0 / (x1 + 67.71632)) - 3.9746974)))"
