Complexity,Loss,Equation
1,131.97185,"37.819244"
3,94.744095,"x1 + 33.72317"
4,72.6326,"66.35602 - sqrt(x0)"
5,46.46461,"(x0 * -0.0073357667) + 45.76884"
6,30.65793,"(log(x0) * -9.000279) + 95.34478"
8,27.32681,"(log(x0 + 167.1232) * -12.090832) + 119.32942"
10,26.165459,"(x2 - 24.798056) * (525.9201 + (-47.953667 * log(x0)))"
12,24.753336,"(x2 - 24.755562) * ((log(x0 + 103.81543) * -48.29729) + 496.17838)"
14,24.362066,"((x1 + 482.038) + (log(x0 + 109.81066) * -46.709385)) * (x2 - 24.755575)"
16,24.263166,"(((log(x0) * -46.038673) + 485.74417) + x1) * ((x2 - 24.772331) - (1.2699131 / x0))"
17,23.97248,"(log(x0) * -8.683632) + (((x2 - 24.298334) * 141.20271) - abs((-532.3661 / x0) + 1.8397129))"
18,21.699694,"((log(x0) * -8.032502) + ((x2 - 24.388876) * 157.54541)) - log(abs((-6280.5947 / x0) + 21.436186))"
20,20.35544,"(((x2 - 24.20905) * 125.02042) - (log(abs((-10494.292 / x0) + 35.748783)) * 2.2115617)) + (-7.977656 * log(x0))"
22,20.332796,"(((x2 - 24.20905) * 125.02042) - (2.2115617 * log(abs((-10494.292 / x0) + 35.748783)))) + (-7.977656 * log(x0 - x1))"
24,20.105112,"(((x2 - 24.413403) * 157.23222) + (log(x0) * -7.2581897)) - ((log(abs((-6278.9863 / x0) + 21.40387)) * 1.9557607) + (x1 * -0.32062677))"
25,19.239357,"(log(abs(x0 + -66.139465)) * -6.547947) + (((x2 - 24.276062) * 125.89752) - (log(abs(((-433.8911 / x0) * x2) + 36.3983)) * 3.1829739))"
27,19.129017,"((log(abs(x0 + -67.72482)) * -5.0122275) + ((x2 - 24.349993) * 125.77508)) - (log(abs(((x2 * -433.857) / x0) + 36.702045)) * log(sqrt(x0)))"
29,18.377604,"(log(abs(x0 + -66.54229)) * -6.2858553) + ((125.245514 * (x2 - 24.30061)) - (log(abs((((x2 * -433.5906) / (x2 + x0)) - x1) + 40.01586)) * 2.6346276))"
31,18.025957,"(((log(x0) * -7.5466523) - (log(abs(37.02417 + ((-433.8133 / x0) * x2))) * 1.9360164)) + (125.591866 * (x2 - 24.233082))) - ((x0 * 0.46992162) / abs(x0 + -1092.4924))"
33,18.001982,"(((x2 - 24.233107) * 125.591866) + ((log(x0) * -7.546653) - (log(abs(37.024178 + (x2 * (-433.8133 / x0)))) * 1.9360182))) - (x0 * (0.4699214 / abs(x1 + (-1092.4924 + x0))))"
34,17.381344,"((log(abs(x0 + -67.50042)) * -4.8824587) + (((x2 - 24.346235) * 125.58616) - abs(-500.03006 / (x0 + -1089.9961)))) - (log(sqrt(x0)) * log(abs(((-433.93512 / x0) * x2) + 36.626923)))"
36,17.18548,"(log(abs(x0 + -67.24069)) * -4.6887302) + (((126.382645 * (x2 - 24.362038)) - (log(abs((-434.0249 * (x2 / x0)) + 36.62458)) * log(sqrt(x0)))) - abs((0.4300824 / (x0 + -1090.5627)) * x0))"
38,16.849388,"((log(abs(x0 + -67.78489)) * -4.6286716) + (((x2 - 24.35513) * 125.32041) - (log(sqrt(x0)) * log(abs(((x2 * -433.8829) / x0) + 36.662018))))) - abs((x0 * (0.46767285 / (x0 + -1087.9926))) - -0.96238977)"
39,16.678434,"abs((((log(abs(x0 + -68.983116)) * -4.5033183) + ((x2 - 24.356342) * 125.32912)) - (log(sqrt(x0)) * log(abs((x2 * (-433.88998 / x0)) + 36.599796)))) - abs((-2.3138807 - (x0 / (x0 + -1067.5215))) * 0.65081304))"
42,16.343946,"(((log(abs(x0 + -68.965256)) * -5.0130324) - (log(sqrt(x0)) * log(abs(((x2 * -433.8858) / x0) + 36.665596)))) - abs((((x0 * 0.5190233) / (1085.5764 - x0)) + -2.324219) - (x0 * -0.0010240538))) + ((x2 - 24.332209) * 125.334404)"
43,16.112411,"abs((((log(abs(x0 + -68.99343)) * -5.0082603) + ((x2 - 24.332264) * 125.33114)) - (log(sqrt(x0)) * log(abs((x2 * (-433.88507 / x0)) + 36.66222)))) - abs(-2.3089466 - ((x0 * -0.0011648459) + ((0.6555688 * x0) / (x0 + -1067.4192)))))"
44,15.981031,"abs((((log(abs(x0 + -68.99343)) * -5.0082603) + ((x2 - 24.332264) * 125.33114)) - (log(sqrt(x0)) * log(abs(36.66222 + ((x2 * -433.88507) / x0))))) - abs((x0 * -0.0011648459) + abs(((0.6555688 * x0) / (x0 + -1067.4192)) - -2.3089466)))"
46,15.960345,"abs(abs(abs((x0 * (0.6555688 / (x0 + -1067.4192))) - -2.3089466) + ((x0 + -69.54946) * -0.0011648459)) - ((((x2 - 24.332264) * 125.33114) + (log(abs(x0 + -67.45257)) * -5.0082603)) - (log(abs((x2 * (-433.88507 / x0)) + 36.66222)) * log(sqrt(x0)))))"
48,15.940396,"abs((((log(abs(x0 + -68.46006)) * -5.0082603) + ((x2 - 24.332264) * 125.33114)) - (log(abs(((x2 * -433.88507) / x0) + 36.66222)) * log(sqrt(x0)))) - abs(abs(((x0 * 0.6555688) / (x0 + (x1 + -1067.4192))) - -2.3089466) + ((x0 - x2) * -0.0011648459)))"
