Complexity,Loss,Equation
1,183.58754,"38.756195"
3,159.92342,"x1 + 34.041786"
5,108.364265,"97357.516 / (x0 - -1815.5913)"
6,101.142365,"(log(x0) * -8.782037) + 94.678894"
7,99.176285,"(18225.041 / (x0 - -421.17874)) - -19.961773"
8,99.10313,"(log(x0) * -7.54131) + (x1 - -82.062)"
9,88.5793,"(x2 * (443.07907 - sqrt(log(x0)))) + -10961.387"
10,84.70277,"(x2 * (369.20026 - (log(x0) * 0.2829108))) + -9134.586"
11,84.70274,"(x2 * (369.20026 - abs(log(x0) * 0.2829108))) + -9134.586"
12,84.03912,"x1 + (((x2 * 346.85693) - (log(x0) * 5.925719)) + -8588.668)"
13,83.592896,"((x2 * (369.11328 - (log(x0) * 0.2700881))) + sqrt(x1)) + -9136.518"
14,83.205215,"((x1 * 0.56560713) + (x2 * ((log(x0) * -0.2550946) + 368.31393))) + -9119.542"
15,83.18644,"(sqrt(x1 * 4.502094) + (((x2 * x2) - log(x0)) * 6.6898894)) + -4093.6304"
16,68.4271,"((((x2 / (x0 + -5293.708)) + (x2 * x2)) - log(x0)) * 7.373532) + -4511.23"
18,68.37984,"(((x2 * x2) + ((x2 / (x0 + -5293.707)) - log(x0 + 6.8778267))) * 7.373309) + -4511.0054"
19,67.41358,"(sqrt(x1) + -4306.5615) + (((x2 * ((2.8769555 / (x0 + -5290.118)) + x2)) - log(x0)) * 7.0385904)"
20,67.07341,"(x1 * 0.51192826) + ((((x2 * ((2.696312 / (x0 + -5290.5137)) + x2)) - log(x0)) * 7.0265675) + -4299.5054)"
22,66.91406,"((((x1 * 0.07718356) + (x2 * x2)) + ((41.2792 / (x0 + -5292.463)) - log(x0 + 18.80327))) * 7.103726) + -4346.9443"
24,66.88106,"(((((x2 * x2) + (x1 * 0.085522346)) + (41.279182 / (x0 + -5292.4634))) - log((x1 / 0.30056426) + x0)) * 7.1031337) + -4346.859"
26,66.70424,"(((((x2 * x2) + (x1 * 0.09919273)) + (40.845688 / (x0 + -5292.4507))) - log(x0)) * 7.036026) + (-4304.8535 - sqrt(abs(x1 - 3.0000072)))"
27,66.25197,"(((((x2 * x2) + ((40.84696 / (x0 + -5292.4443)) + (x1 * 0.08590967))) - log(x0)) * 7.0357714) + -4304.404) - abs(log(abs(x1 + -2.0706842)))"
28,65.82649,"((x1 / (x0 - (x1 * x1))) + (7.03631 * (((0.06418305 * x1) + (41.279427 / (x0 + -5292.4604))) + ((x2 * x2) - log(x0))))) + -4305.3135"
29,65.80001,"(7.03631 * (((41.279427 / (x0 + -5292.4604)) + (x1 * 0.06418305)) + (((0.76766545 / (x0 - (x1 * sqrt(x0)))) + (x2 * x2)) - log(x0)))) + -4305.3135"
30,65.68829,"(((((x1 * 0.07009834) + (41.279453 / (x0 + -5292.46))) + ((x2 * x2) - log(x0 + x1))) * 7.0356708) + (x1 / (x0 - (x1 * x1)))) + -4304.9966"
