Complexity,Loss,Equation
1,183.58754,"38.759674"
3,159.92342,"x1 + 34.03949"
4,108.77522,"242.09119 / log(x0)"
5,103.430214,"182.83763 / sqrt(sqrt(x0))"
6,100.55358,"1902.9716 / (sqrt(x0) + x2)"
7,100.21459,"191.43631 / sqrt(sqrt(x0 + 47.245342))"
8,98.77486,"x1 + (1669.3945 / (x2 + sqrt(x0)))"
9,98.359245,"x1 + (168.64311 / sqrt(sqrt(x0 + 52.53536)))"
10,84.70283,"((x2 + -24.739689) * 366.40997) - (log(x0) * 7.070574)"
12,83.76498,"((x2 + -24.734892) * (x1 + 348.6008)) - (log(x0) * 6.8672843)"
13,83.58809,"(sqrt(x1) - (log(x0) * 6.7755337)) + ((x2 + -24.746967) * 360.62317)"
14,83.1949,"(((x2 + -24.752285) * 355.8151) - (log(x0) * 6.4103446)) + (x1 * 0.5725788)"
15,83.10662,"((sqrt(x1) * 2.2152832) + ((x2 + -24.757587) * 355.80545)) - (log(x0) * 6.409307)"
16,82.754364,"(((sqrt(x0) * -0.0067318887) + ((x0 * 5.700609e-5) + (x2 + x2))) + -49.592304) * 180.682"
18,81.95235,"((((x0 * 5.4477106e-5) + x2) + x2) + ((sqrt(x0) * -0.0064643943) + -49.596844)) * (x1 + 175.35657)"
19,70.76141,"((-49.21561 + ((x2 - (0.06480622 * log(x0))) + x2)) * 126.80074) + (x2 / (sqrt(x0) + -72.48533))"
21,68.360664,"((x2 + (x2 + (x2 - (log(x0) * 0.063077554)))) + -74.18155) * ((x2 / (sqrt(x0) + -72.721825)) + 120.35508)"
23,68.16622,"((x2 / (sqrt(x0) + -72.723114)) + 122.08543) * ((x2 + (x2 + (x2 - (log(x2 + x0) * 0.06458375)))) + -74.172325)"
25,67.32849,"((x2 + (x2 + x2)) + (-74.1899 - (log(x0) * 0.060642894))) * (((x2 * 4.514372) + (x2 / (sqrt(x0) + -72.718185))) + x1)"
27,67.14987,"(x1 * 0.4081095) + (((x2 / (sqrt(x0) + -72.71758)) + (x2 * 4.560361)) * ((-74.191345 - (log(x0) * 0.061229996)) + (x2 + (x2 + x2))))"
29,67.01127,"(((x2 * 4.5577493) + (x2 / (sqrt(x0) + -72.717354))) - (x1 * -1.3484482)) * (-74.18969 + ((x2 + (x2 + x2)) - (log(x2 + x0) * 0.061206155)))"
31,66.972664,"(((x2 * 4.557748) + ((x2 + 1.2263469) / (sqrt(x0) + -72.717285))) - (x1 * -1.3875709)) * ((x2 + x2) + ((x2 + -74.1897) - (log(x2 + x0) * 0.061315037)))"
33,66.88147,"abs(abs((log(x0) / (sqrt(x0) + -72.7081)) + -1.2107288) - ((((((x2 + (x2 + x2)) - (log(x0) * 0.057919696)) + -73.95251) * 4.1039495) * (x2 + sqrt(x1))) - x2))"
35,66.718956,"abs(abs((log(x0) / (sqrt(x0) + -72.710144)) + -1.7068911) - ((((-73.9764 - (log(x0) * 0.059765752)) + ((x2 + x2) + x2)) * ((x2 + sqrt(x1)) * 4.107293)) - (x2 + -4.3426313)))"
37,66.45008,"abs(abs((-277.02786 / x0) + (1.9137607 - (log(x0) / (sqrt(x0) + -72.710365)))) - ((((((x2 + x2) + x2) + (-73.97454 - (log(x0) * 0.05433229))) * 4.1067266) * (sqrt(x1) + x2)) - x2))"
38,66.356514,"abs((((x2 + sqrt(x1)) * ((((x2 + (x2 + x2)) + -73.97791) - (log(x0) * 0.05631255)) * 4.1085005)) - x2) - ((log(x0) / (sqrt(x0) + -72.71003)) + (x2 / ((x2 + 73.9763) - x0))))"
39,65.88412,"abs(((x2 / ((x2 + 73.9763) - x0)) + abs(log(x0) / (sqrt(x0) + -72.710014))) - (((((x2 + x2) + ((x2 + -73.977356) - (log(x0) * 0.055935375))) * (sqrt(x1) + x2)) * 4.1085052) - x2))"
41,65.70882,"abs((((x1 / 0.23279044) / (x2 - (x0 + -73.984085))) + (log(x0) / abs(sqrt(x0) + -72.70941))) - ((((sqrt(x1) + x2) * (((x2 + x2) + x2) + (-73.9841 - (log(x0) * 0.05515267)))) * 4.1139526) - x2))"
42,65.49198,"abs((((((x2 + x2) + x2) + (-73.988174 - (log(x0) * 0.056718946))) * (((x2 + 0.7526314) + sqrt(x1)) * 4.1139293)) - x2) - ((x2 / (x2 - abs(x0 + -74.08214))) + abs(log(x0) / (sqrt(x0) + -72.70862))))"
43,65.26594,"abs(((x2 / (x2 - (x0 + -74.08206))) + abs((log(x0) / (sqrt(x0) + -72.71015)) - 1.642794)) - (((((x2 + (x2 + x2)) + -73.98282) - (log(x0) * 0.056349818)) * (((sqrt(x1) + x2) + 1.0910238) * 4.107545)) - x2))"
44,65.01819,"abs(((x2 / (x2 - abs(x0 + -74.08206))) + abs((log(x0) / (sqrt(x0) + -72.71015)) - 1.642794)) - ((((x2 + (x2 + x2)) + (-73.98282 - (log(x0) * 0.056349818))) * ((sqrt(x1) + (1.0910238 + x2)) * 4.107545)) - x2))"
46,64.74874,"abs((((x1 / 0.291161) / (x2 - abs(x0 + -74.08206))) + abs((log(x0) / (sqrt(x0) + -72.71015)) - 1.642794)) - ((((x2 + (x2 + x2)) + (-73.98282 - (log(x0) * 0.056349818))) * (((sqrt(x1) + x2) + 1.0910238) * 4.107545)) - x2))"
48,64.72336,"abs((abs((log(x0) / (sqrt(x0) + -72.71015)) - ((-277.02786 / x0) + 1.7835776)) + (x2 / (x2 - abs(x0 + -73.98076)))) - ((((((x2 + x2) + x2) + (-73.98076 - (log(x0) * 0.05608445))) * 4.1075377) * ((sqrt(x1) + 0.75179577) + x2)) - x2))"
50,64.46046,"abs((abs((log(x0) / (sqrt(x0) + -72.71015)) - ((-277.02786 / x0) + 1.7835776)) + ((x1 / 0.31856257) / (x2 - abs(x0 + -73.98076)))) - ((((((x2 + x2) + x2) + (-73.98076 - (log(x0) * 0.05608445))) * 4.1075377) * ((sqrt(x1) + 0.75179577) + x2)) - x2))"
