Complexity,Loss,Equation
1,183.58754,"38.756207"
3,159.92342,"x1 + 34.041786"
4,108.77524,"242.09117 / log(x0)"
5,103.430214,"182.8377 / sqrt(sqrt(x0))"
6,100.55358,"1902.9559 / (sqrt(x0) + x2)"
7,100.21458,"191.42905 / sqrt(sqrt(x0 + 47.237038))"
8,98.774864,"x1 + (1669.4099 / (x2 + sqrt(x0)))"
9,96.90843,"(-28857.08 / (x2 - log(log(x0)))) + 1286.387"
10,90.577576,"(x2 * 391.08957) + ((262.79523 / sqrt(x0)) + -9738.549)"
11,85.61797,"((x2 - sqrt(sqrt(sqrt(log(x0))))) * 299.42734) + -7060.62"
12,83.541435,"((633.50745 / sqrt(x0 + 220.86229)) + -8947.671) - (-359.00848 * x2)"
14,83.26037,"(((516.61676 / sqrt(x0 + 212.94417)) + -8946.543) + x1) - (x2 * -358.9363)"
16,82.249115,"(((x1 * 0.5390606) + (534.64685 / sqrt(x0 + 192.11778))) - (x2 * -358.9566)) + -8945.883"
18,82.24884,"0.8927102 + ((((x1 * 0.5402832) + -8946.775) + (534.6456 / sqrt(x0 + 192.11826))) - (x2 * -358.95618))"
20,70.00656,"(((x2 - log(sqrt(sqrt(log(x0))))) * x2) * 7.507866) + ((-7.5400953 / (72.6859 - sqrt(x0))) + -4555.707)"
21,69.973656,"((-7.540095 / (72.68619 - sqrt(x0))) + -4558.0356) + (((x2 - log(sqrt(sqrt(log(sqrt(x0)))))) * 7.458928) * x2)"
22,69.02889,"((x2 - log(sqrt(sqrt(log(x0 + x2))))) * (x2 * 7.513343)) + ((-7.5400953 / (72.68601 - sqrt(x0))) + -4558.467)"
24,68.99328,"(x2 * (7.55415 * (x2 - log(sqrt(sqrt(log(x0 + x2))))))) + ((-7.540096 / (72.685974 - sqrt(x0))) + (-4558.467 - x2))"
25,67.84014,"((x2 * (x2 - log(sqrt(sqrt(log(x0 + x2)))))) * 7.508119) + ((sqrt(x1) + (-7.5402393 / (72.683716 - sqrt(x0)))) + -4557.335)"
26,67.195404,"((-4558.014 - (x1 * -0.60048753)) + (-7.381707 / (72.68411 - sqrt(x0)))) + (((x2 - sqrt(log(sqrt(log(x0 + 72.68411))))) * 7.665469) * x2)"
28,67.15564,"(-4558.014 + ((-7.381707 / (72.67887 - sqrt(x0 + -1.3697854))) - (x1 * -0.60048753))) + (((x2 - sqrt(log(sqrt(log(72.68411 + x0))))) * 7.665469) * x2)"
30,67.13982,"(((x2 - log(sqrt(sqrt(log(x2 + x0))))) * x2) * 7.5093374) + ((-4558.026 + (-7.5401673 / (72.68497 - sqrt(x0)))) - (((x2 / x0) + -0.527083) * x1))"
31,67.00355,"(x2 * (7.5088954 * (x2 - log(sqrt(sqrt(log(x0 + 73.28578))))))) + ((x1 + (-4558.011 - ((x1 * sqrt(x0)) / 72.58529))) + (-7.54024 / (72.68368 - sqrt(x0))))"
33,66.93637,"((7.5088954 * (x2 - log(sqrt(sqrt(log(x0 + 73.28578)))))) * x2) + (((x1 + -4558.011) - ((x1 * sqrt(x0 + 73.28578)) / 72.58529)) + (-7.54024 / (72.68368 - sqrt(x0))))"
34,65.86557,"(7.5090322 * (x2 * (x2 - log(sqrt(sqrt(log(x0 + x2))))))) + ((-7.5402393 / (72.68368 - sqrt(x0))) + (-4558.011 - (x1 * ((4.2861176 / (x2 - (x0 - 73.28578))) + -0.44561467))))"
35,65.5504,"(((-7.5402393 / (72.68375 - sqrt(x0))) + -4558.011) - (((4.2861176 / (x2 - abs(73.28578 - x0))) + -0.4456153) * x1)) + ((x2 * (x2 - log(sqrt(sqrt(log(x2 + x0)))))) * 7.5090723)"
36,65.256325,"(((-7.5402403 / (72.68367 - sqrt(x0))) + -4558.0107) - (x1 * (-0.44685704 + (log(x0) / (x2 - abs(x0 - 73.28579)))))) + ((x2 * (x2 - sqrt(log(sqrt(log(x0 + 73.285774)))))) * 7.6665864)"
38,65.18373,"((-4558.0107 - (x1 * ((sqrt(x1 + x1) / (x2 - abs(x0 - 73.28579))) + -0.44685704))) + (-7.5402403 / (72.68367 - sqrt(x0)))) + (7.6665864 * ((x2 - sqrt(log(sqrt(log(73.285774 + x0))))) * x2))"
39,65.095825,"((-4558.0107 - (x1 * ((((x1 + -2.3139284) * 0.7237652) / (x2 - abs(x0 - 73.28579))) + -0.44685704))) + (-7.5402403 / (72.68367 - sqrt(x0)))) + ((x2 * (x2 - sqrt(log(sqrt(log(x0 + 73.285774)))))) * 7.6665864)"
43,64.938,"(((-7.5400953 / (72.68596 - sqrt(x0))) + -4558.0356) - (x1 * (((x2 / x0) + -0.46208528) + (3.7105227 / (((x2 / 0.23972662) - (x0 - log(x0))) - x1))))) + ((x2 * (x2 - log(sqrt(sqrt(log(x2 + x0)))))) * 7.5095844)"
44,64.927414,"((-7.5400953 / (72.68593 - sqrt(x0))) + (-4558.0356 - (x1 * (((x2 / x0) + -0.4620852) + (log(x0) / ((x2 / 0.23972653) - ((x1 + x0) - log(x0)))))))) + ((x2 * (x2 - log(sqrt(sqrt(log(x2 + x0)))))) * 7.5094576)"
45,64.87122,"((x2 * (x2 - log(sqrt(sqrt(log(x2 + x0)))))) * 7.50918) + ((-4558.0356 + (-7.5400953 / (72.6859 - sqrt(x0)))) - ((((x2 / x0) + -0.4805478) + ((x0 / x2) / ((x2 / 0.23963077) + (log(x0) - (x0 + x1))))) * x1))"
47,64.827194,"((x2 * (x2 - log(sqrt(sqrt(log(x2 + x0)))))) * 7.50918) + ((-7.5400953 / (72.6859 - sqrt(x0))) + (-4558.0356 - ((((x2 / (x0 - x1)) + -0.4805478) + ((x0 / x2) / ((log(x0) - (x0 + x1)) + (x2 / 0.23963077)))) * x1)))"
49,64.81897,"(((x2 - log(sqrt(sqrt(log(x2 + x0))))) * x2) * 7.50918) + (((-7.5400953 / (72.6859 - sqrt(x0))) + -4558.0356) - ((((x2 / (x0 - (x1 * 1.4223235))) + -0.4805478) + ((x0 / x2) / ((x2 / 0.23963077) + (log(x0) - (x0 + x1))))) * x1))"
