Complexity,Loss,Equation
1,183.58754,"38.756187"
3,159.92342,"x1 + 34.041786"
4,154.75485,"66.310745 - sqrt(x0)"
5,125.7291,"abs(64.77437 - sqrt(x0))"
6,101.14237,"(log(x0) * -8.780733) - -94.67019"
7,100.96504,"(sqrt(log(x0)) * -43.84457) + 149.02185"
8,99.102875,"((log(x0) * -7.5425124) + 82.0708) + x1"
9,98.209526,"abs((log(x0) * 9.496071) + -76.79567) + 22.091644"
10,84.70153,"((log(x0) * -7.074823) + -9044.312) + (x2 * 365.58795)"
12,84.037254,"((x2 * 350.49423) + ((log(x0) * -5.905657) + -8679.61)) + x1"
13,83.58702,"(x2 * 359.8781) + (((log(x0) * -6.778479) + -8905.704) + sqrt(x1))"
14,83.193954,"((log(x0) * -6.4251127) + ((x1 * 0.56950945) + (x2 * 354.84256))) + -8782.845"
15,82.72439,"(((x2 * 64.3714) + -1602.6962) * 5.5325575) + abs((7.6854596 * log(x0)) + -62.250725)"
17,82.291794,"(x1 + abs((log(x0) * 6.5196853) + -52.65881)) + (((x2 * 64.37315) + -1603.0056) * 5.2879896)"
18,81.62455,"sqrt(x1) + ((5.4529433 * ((x2 * 64.37605) + -1603.0151)) + abs((7.3945312 * log(x0)) + -59.81246))"
19,81.342735,"((x1 * 0.5457561) + ((-1603.0033 + (64.37822 * x2)) * 5.400952)) + abs((log(x0) * 7.027226) + -56.840088)"
20,81.16331,"((((x2 * 64.3661) + (sqrt(x1) * 0.40677515)) + -1603.0016) * 5.3432484) + abs((log(x0) * 7.0592456) + -56.972633)"
22,68.01539,"(-5.281769 / (sqrt(x0) + -72.831535)) + ((((x2 * 64.36432) + -1603.003) * 5.432519) + abs((log(x0) * 8.0829935) + -67.75147))"
24,67.53097,"(((x2 * 64.36809) + -1602.9592) * 5.4327364) + ((-5.281716 / (sqrt(x0) + -72.83235)) + abs((log(x0 + x2) * 8.209046) + -68.328674))"
26,67.27637,"(abs((log(x0) * (8.210682 - (x1 / x2))) + -67.75146) + (((x2 * 64.36142) + -1603.0032) * 5.4324408)) + (-5.2817683 / (-72.831116 + sqrt(x0)))"
28,66.69839,"(-5.2817683 / (sqrt(x0) + -72.83115)) + (abs((log(x2 + x0) * (8.210685 - (x1 / x2))) + -68.05855) + (((x2 * 64.36141) + -1602.9496) * 5.4324403))"
30,66.69541,"(-5.2817683 / (-72.83115 + sqrt(x0))) + (abs((log(x2 + x0) * (8.210685 - (x1 / (x2 + -0.19001395)))) + -68.05855) + (((x2 * 64.36141) + -1602.9496) * 5.4324403))"
31,66.48605,"(-5.2817154 / (sqrt(x0) + -72.83193)) + ((5.4326677 * (-1602.9594 + (64.36587 * x2))) + abs(((-68.05877 - (x1 / log(x2))) + (log(x0 + x2) * 8.209128)) + 0.94909286))"
39,66.300446,"abs(((-1.0523045 / (sqrt(x0 / 1.5009179) + (log(x0 * 8.850068) + -70.143486))) + (8.555518 * log(x0 + x2))) + -70.923134) + ((((x2 * 64.36004) + -1602.9695) * log(log(x0) * x2)) + (x1 / 1.9472225))"
40,66.282936,"abs(((log(x0 + x2) * 8.555518) + -70.923134) + (-1.0523045 / abs(sqrt(x0 / 1.5009179) + (log(x0 * 8.850068) + -70.143486)))) + ((((x2 * 64.36004) + -1602.9695) * log(x2 * log(x0))) + (x1 / 1.9472225))"
41,66.23375,"((x1 / 1.9472225) + (((x2 * 64.36004) + -1602.9695) * log(x2 * log(64.36004 - -1604.5579)))) + abs((-1.0523045 / (sqrt(x0 / 1.5009217) + (-70.143486 + log(x0 * 8.850071)))) + ((log(x0 + 64.36004) * 8.555518) + -70.923134))"
42,66.22014,"((x1 / 1.9472225) + (((x2 * 64.36004) + -1602.9695) * log(x2 * log(64.36004 - -1604.5579)))) + abs((-1.0523045 / (sqrt(x0 / 1.5009217) + (-70.143486 + log(x0 * 8.850071)))) + abs((log(x0 + 64.36004) * 8.555518) + -70.923134))"
43,66.219955,"((x1 / 1.9472225) + (((x2 * 64.36004) + -1602.9695) * log(x2 * log(sqrt(x0) - -1604.5579)))) + abs((-1.0523045 / ((sqrt(x0 / 1.5009217) + log(x0 * 8.850071)) + -70.143486)) + abs((log(x0 + 64.36004) * 8.555518) + -70.923134))"
44,66.218475,"((x1 / 1.9472225) + (((x2 * 64.36004) + -1602.9695) * log(x2 * log(64.36004 - -1604.5579)))) + abs((-1.0523045 / (sqrt(x0 / 1.5009217) + (-70.143486 + log(x0 * 8.850071)))) + abs(-70.923134 + (log((x0 - -0.6599809) + 64.36004) * 8.555518)))"
47,66.129456,"(abs((-1.0523045 / (sqrt(x0 / 1.5009179) + (log(x0 * 8.850068) + -70.143486))) + ((log(x2 + x0) * 8.555518) + -70.923134)) + (x1 / 1.9472225)) + (((x2 * 64.36004) + -1602.9695) * (log(log(x0) * x2) - (x1 / ((x0 * 1.5009179) + -70.923134))))"
48,66.05636,"(abs((-1.0523045 / (sqrt(x0 / 1.5009179) + (log(x0 * 8.850068) + -70.143486))) + ((log(x2 + x0) * 8.555518) + -70.923134)) + (x1 / 1.9472225)) + (((x2 * 64.36004) + -1602.9695) * (log(log(x0) * x2) - (x1 / abs((x0 * 1.5009179) + -70.923134))))"
50,66.00969,"(abs((-1.0523045 / (sqrt(x0 / 1.5009179) + (log(x0 * 8.850068) + -70.143486))) + ((log(x2 + x0) * 8.555518) + -70.923134)) + (x1 / 1.9472225)) + (((x2 * 64.36004) + -1602.9695) * (log(x1 + (log(x0) * x2)) - (x1 / abs((x0 * 1.5009179) + -70.923134))))"
